timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755006540000,0.8588,0.8588,0.8588,1,0.8588,766,0.8588,2025-08-12 13:49:00+00:00
1755006660000,0.652,0.7456,0.65,32,0.7456,5033,0.68209,2025-08-12 13:51:00+00:00
1755006780000,0.8349,0.8349,0.8349,2,0.8349,2219,0.8349,2025-08-12 13:53:00+00:00
1755006900000,0.7279,0.7279,0.7202,5,0.7202,2502,0.726976,2025-08-12 13:55:00+00:00
1755007020000,0.69,0.69,0.69,2,0.69,205,0.69,2025-08-12 13:57:00+00:00
1755007440000,0.6713,0.6713,0.6713,1,0.6713,200,0.6713,2025-08-12 14:04:00+00:00
1755007620000,0.7169,0.7169,0.7169,1,0.7169,100,0.7169,2025-08-12 14:07:00+00:00
1755007680000,0.7177,0.7177,0.7177,2,0.7177,200,0.7177,2025-08-12 14:08:00+00:00
1755007740000,0.6994,0.6994,0.6994,1,0.6994,100,0.6994,2025-08-12 14:09:00+00:00
1755007800000,0.71,0.71,0.71,2,0.71,150,0.71,2025-08-12 14:10:00+00:00
1755011760000,0.7245,0.7245,0.7245,1,0.7245,200,0.7245,2025-08-12 15:16:00+00:00
1755014160000,0.7094,0.7094,0.7094,1,0.7094,300,0.7094,2025-08-12 15:56:00+00:00
1755019080000,0.6586,0.6586,0.6586,4,0.6586,2569,0.6586,2025-08-12 17:18:00+00:00
1755019800000,0.6955,0.6955,0.6955,1,0.6955,609,0.6955,2025-08-12 17:30:00+00:00
1755024540000,0.6955,0.6955,0.6955,3,0.6955,160,0.6955,2025-08-12 18:49:00+00:00
1755026400000,0.6455,0.6455,0.6455,1,0.6455,500,0.6455,2025-08-12 19:20:00+00:00
1755026460000,0.6496,0.6496,0.64,21,0.6455,3629,0.642678,2025-08-12 19:21:00+00:00
1755026580000,0.6448,0.6448,0.6448,2,0.6448,200,0.6448,2025-08-12 19:23:00+00:00
1755026640000,0.6448,0.6448,0.6448,5,0.6448,403,0.6448,2025-08-12 19:24:00+00:00
1755027180000,0.6615,0.6615,0.6615,1,0.6615,1100,0.6615,2025-08-12 19:33:00+00:00
1755027240000,0.6605,0.6605,0.6605,1,0.6605,200,0.6605,2025-08-12 19:34:00+00:00
1755027480000,0.67,0.67,0.67,1,0.67,1000,0.67,2025-08-12 19:38:00+00:00
1755027840000,0.6502,0.6605,0.64,10,0.6523,2240,0.652991,2025-08-12 19:44:00+00:00
1755028380000,0.6605,0.6605,0.6605,2,0.6605,300,0.6605,2025-08-12 19:53:00+00:00
1755028620000,0.7,0.7,0.7,1,0.7,100,0.7,2025-08-12 19:57:00+00:00
1755091800000,0.7,0.7,0.7,4,0.7,234,0.7,2025-08-13 13:30:00+00:00
1755092160000,0.71,0.71,0.71,2,0.71,250,0.71,2025-08-13 13:36:00+00:00
1755092640000,0.7,0.711,0.7,6,0.711,14060,0.700078,2025-08-13 13:44:00+00:00
1755093420000,0.6664,0.69,0.6664,6,0.69,500,0.6826,2025-08-13 13:57:00+00:00
1755097020000,0.7199,0.7199,0.7199,1,0.7199,250,0.7199,2025-08-13 14:57:00+00:00
1755097440000,0.71,0.71,0.71,2,0.71,119,0.71,2025-08-13 15:04:00+00:00
1755099540000,0.72,0.72,0.72,36,0.72,296,0.72,2025-08-13 15:39:00+00:00
1755100080000,0.72,0.72,0.6955,7,0.7166,1405,0.711015,2025-08-13 15:48:00+00:00
1755100260000,0.6945,0.6945,0.6945,2,0.6945,140,0.6945,2025-08-13 15:51:00+00:00
1755100800000,0.6945,0.6945,0.6945,1,0.6945,100,0.6945,2025-08-13 16:00:00+00:00
1755102780000,0.718,0.718,0.7179,3,0.7179,1057,0.717915,2025-08-13 16:33:00+00:00
