timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756908480000,1.64,1.64,1.64,3,1.64,1002,1.64,2025-09-03 14:08:00+00:00
1756908540000,1.65,1.65,1.65,3,1.65,516,1.65,2025-09-03 14:09:00+00:00
1756908660000,1.63,1.63,1.625,7,1.625,815,1.626429,2025-09-03 14:11:00+00:00
1756908720000,1.6475,1.6475,1.62,29,1.62,1009,1.631134,2025-09-03 14:12:00+00:00
1756908780000,1.6202,1.6202,1.6202,1,1.6202,1000,1.6202,2025-09-03 14:13:00+00:00
1756908840000,1.6203,1.6203,1.6203,1,1.6203,1000,1.6203,2025-09-03 14:14:00+00:00
1756908900000,1.6254,1.6254,1.6254,1,1.6254,100,1.6254,2025-09-03 14:15:00+00:00
1756909080000,1.6668,1.6668,1.6668,2,1.6668,401,1.6668,2025-09-03 14:18:00+00:00
1756909200000,1.645,1.645,1.645,1,1.645,100,1.645,2025-09-03 14:20:00+00:00
1756909680000,1.6641,1.6641,1.6641,3,1.6641,118,1.6641,2025-09-03 14:28:00+00:00
1756909920000,1.66,1.66,1.66,4,1.66,103,1.66,2025-09-03 14:32:00+00:00
1756910160000,1.6599,1.6599,1.64,19,1.64,1693,1.644556,2025-09-03 14:36:00+00:00
1756910400000,1.69,1.6999,1.66,30,1.66,5010,1.671418,2025-09-03 14:40:00+00:00
1756910460000,1.6604,1.6604,1.6604,4,1.6604,974,1.6604,2025-09-03 14:41:00+00:00
1756910520000,1.68,1.68,1.68,3,1.68,251,1.68,2025-09-03 14:42:00+00:00
1756910580000,1.68,1.68,1.68,2,1.68,139,1.68,2025-09-03 14:43:00+00:00
1756911000000,1.68,1.68,1.68,3,1.68,300,1.68,2025-09-03 14:50:00+00:00
1756911300000,1.6996,1.6996,1.6996,1,1.6996,108,1.6996,2025-09-03 14:55:00+00:00
1756911360000,1.7,1.7,1.68,5,1.68,1707,1.68125,2025-09-03 14:56:00+00:00
1756911540000,1.69,1.69,1.69,1,1.69,300,1.69,2025-09-03 14:59:00+00:00
1756911600000,1.69,1.69,1.69,2,1.69,550,1.69,2025-09-03 15:00:00+00:00
1756911720000,1.69,1.69,1.69,3,1.69,185,1.69,2025-09-03 15:02:00+00:00
1756911840000,1.68,1.68,1.68,9,1.68,364,1.68,2025-09-03 15:04:00+00:00
1756911900000,1.6684,1.6684,1.6684,6,1.6684,1319,1.6684,2025-09-03 15:05:00+00:00
1756911960000,1.69,1.69,1.69,2,1.69,200,1.69,2025-09-03 15:06:00+00:00
1756912140000,1.6711,1.6711,1.6711,2,1.6711,150,1.6711,2025-09-03 15:09:00+00:00
1756912620000,1.68,1.68,1.68,4,1.68,1021,1.68,2025-09-03 15:17:00+00:00
1756912800000,1.6805,1.6805,1.6805,1,1.6805,246,1.6805,2025-09-03 15:20:00+00:00
1756912860000,1.69,1.69,1.69,1,1.69,1000,1.69,2025-09-03 15:21:00+00:00
1756912920000,1.69,1.69,1.69,2,1.69,4406,1.69,2025-09-03 15:22:00+00:00
1756912980000,1.6999,1.6999,1.6999,1,1.6999,244,1.6999,2025-09-03 15:23:00+00:00
1756913160000,1.6812,1.6812,1.6812,4,1.6812,166,1.6812,2025-09-03 15:26:00+00:00
1756913340000,1.69,1.69,1.69,3,1.69,1105,1.69,2025-09-03 15:29:00+00:00
1756913400000,1.6801,1.6801,1.6801,2,1.6801,121,1.6801,2025-09-03 15:30:00+00:00
1756913760000,1.68,1.68,1.68,5,1.68,124,1.68,2025-09-03 15:36:00+00:00
