timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755270060000,2.21,2.21,2.2,9,2.2,10806,2.203935,2025-08-15 15:01:00+00:00
1755270120000,2.22,2.22,2.205,20,2.21,4949,2.218564,2025-08-15 15:02:00+00:00
1755270180000,2.2299,2.2299,2.2299,3,2.2299,1025,2.2299,2025-08-15 15:03:00+00:00
1755270240000,2.2208,2.2208,2.2208,1,2.2208,1000,2.2208,2025-08-15 15:04:00+00:00
1755270300000,2.1905,2.2249,2.1905,11,2.2205,14800,2.208412,2025-08-15 15:05:00+00:00
1755270660000,2.2,2.2,2.2,4,2.2,164,2.2,2025-08-15 15:11:00+00:00
1755270720000,2.2015,2.2015,2.2015,3,2.2015,176,2.2015,2025-08-15 15:12:00+00:00
1755270840000,2.221,2.221,2.2,24,2.2,2561,2.208484,2025-08-15 15:14:00+00:00
1755270900000,2.22,2.22,2.22,2,2.22,200,2.22,2025-08-15 15:15:00+00:00
1755270960000,2.23,2.23,2.23,12,2.23,485,2.23,2025-08-15 15:16:00+00:00
1755271200000,2.24,2.24,2.23,17,2.24,8321,2.230495,2025-08-15 15:20:00+00:00
1755271320000,2.24,2.24,2.24,10,2.24,13811,2.24,2025-08-15 15:22:00+00:00
1755271560000,2.24,2.245,2.24,4,2.245,310,2.241667,2025-08-15 15:26:00+00:00
1755271620000,2.235,2.2351,2.23,7,2.235,1129,2.234032,2025-08-15 15:27:00+00:00
1755271740000,2.2101,2.23,2.21,8,2.23,2100,2.220138,2025-08-15 15:29:00+00:00
1755271800000,2.215,2.215,2.215,2,2.215,280,2.215,2025-08-15 15:30:00+00:00
1755271860000,2.215,2.22,2.215,15,2.215,2028,2.218603,2025-08-15 15:31:00+00:00
1755271920000,2.22,2.22,2.215,16,2.215,3282,2.219539,2025-08-15 15:32:00+00:00
1755271980000,2.23,2.23,2.23,3,2.23,361,2.23,2025-08-15 15:33:00+00:00
1755272040000,2.23,2.23,2.23,1,2.23,1000,2.23,2025-08-15 15:34:00+00:00
1755272100000,2.23,2.23,2.23,2,2.23,190,2.23,2025-08-15 15:35:00+00:00
1755272160000,2.2306,2.2306,2.2306,3,2.2306,210,2.2306,2025-08-15 15:36:00+00:00
1755272460000,2.2283,2.2283,2.2283,1,2.2283,150,2.2283,2025-08-15 15:41:00+00:00
1755272520000,2.2,2.23,2.2,16,2.222,3568,2.214106,2025-08-15 15:42:00+00:00
1755272580000,2.21,2.21,2.21,3,2.21,130,2.21,2025-08-15 15:43:00+00:00
1755272880000,2.19,2.2,2.19,17,2.19,3605,2.19029,2025-08-15 15:48:00+00:00
1755273000000,2.21,2.21,2.21,1,2.21,500,2.21,2025-08-15 15:50:00+00:00
1755273060000,2.21,2.21,2.21,4,2.21,900,2.21,2025-08-15 15:51:00+00:00
1755273180000,2.178,2.2,2.178,3,2.2,2750,2.1788,2025-08-15 15:53:00+00:00
1755273420000,2.21,2.21,2.21,2,2.21,202,2.21,2025-08-15 15:57:00+00:00
1755273480000,2.21,2.21,2.21,2,2.21,245,2.21,2025-08-15 15:58:00+00:00
1755273840000,2.2293,2.23,2.224,5,2.2252,410,2.227125,2025-08-15 16:04:00+00:00
1755273900000,2.2124,2.2124,2.2124,2,2.2124,220,2.2124,2025-08-15 16:05:00+00:00
1755273960000,2.2294,2.23,2.2294,2,2.23,800,2.229925,2025-08-15 16:06:00+00:00
1755274380000,2.23,2.23,2.23,2,2.23,725,2.23,2025-08-15 16:13:00+00:00
1755274440000,2.25,2.25,2.22,6,2.22,1010,2.226238,2025-08-15 16:14:00+00:00
1755274800000,2.2469,2.2469,2.2469,1,2.2469,300,2.2469,2025-08-15 16:20:00+00:00
1755275100000,2.2434,2.2434,2.2434,1,2.2434,1000,2.2434,2025-08-15 16:25:00+00:00
1755275220000,2.2475,2.2475,2.2475,1,2.2475,110,2.2475,2025-08-15 16:27:00+00:00
1755275580000,2.265,2.265,2.265,1,2.265,100,2.265,2025-08-15 16:33:00+00:00
1755275760000,2.265,2.265,2.265,1,2.265,100,2.265,2025-08-15 16:36:00+00:00
1755276000000,2.28,2.28,2.28,3,2.28,1100,2.28,2025-08-15 16:40:00+00:00
1755276480000,2.26,2.26,2.26,4,2.26,308,2.26,2025-08-15 16:48:00+00:00
1755277680000,2.2676,2.2676,2.2676,1,2.2676,400,2.2676,2025-08-15 17:08:00+00:00
1755277860000,2.2789,2.2789,2.2789,1,2.2789,400,2.2789,2025-08-15 17:11:00+00:00
1755278400000,2.28,2.28,2.28,5,2.28,227,2.28,2025-08-15 17:20:00+00:00
1755278580000,2.2899,2.2899,2.2899,1,2.2899,100,2.2899,2025-08-15 17:23:00+00:00
1755278820000,2.29,2.29,2.29,2,2.29,1196,2.29,2025-08-15 17:27:00+00:00
1755278880000,2.2873,2.2873,2.2873,2,2.2873,1001,2.2873,2025-08-15 17:28:00+00:00
1755279000000,2.28,2.28,2.28,1,2.28,100,2.28,2025-08-15 17:30:00+00:00
1755279240000,2.29,2.29,2.29,5,2.29,2732,2.29,2025-08-15 17:34:00+00:00
1755279300000,2.2854,2.2854,2.2854,1,2.2854,100,2.2854,2025-08-15 17:35:00+00:00
1755279420000,2.3099,2.3099,2.3099,1,2.3099,450,2.3099,2025-08-15 17:37:00+00:00
1755279720000,2.2801,2.2801,2.2801,3,2.2801,464,2.2801,2025-08-15 17:42:00+00:00
1755280380000,2.3,2.3,2.3,1,2.3,500,2.3,2025-08-15 17:53:00+00:00
1755280620000,2.305,2.31,2.305,3,2.31,460,2.307174,2025-08-15 17:57:00+00:00
1755280980000,2.29,2.29,2.29,15,2.29,1137,2.29,2025-08-15 18:03:00+00:00
1755281040000,2.2814,2.2814,2.2814,4,2.2814,649,2.2814,2025-08-15 18:04:00+00:00
1755281280000,2.2818,2.2818,2.2818,3,2.2818,183,2.2818,2025-08-15 18:08:00+00:00
1755281340000,2.26,2.2801,2.26,21,2.2801,2123,2.272005,2025-08-15 18:09:00+00:00
1755281880000,2.2855,2.2855,2.2855,1,2.2855,150,2.2855,2025-08-15 18:18:00+00:00
1755282240000,2.29,2.29,2.29,6,2.29,403,2.29,2025-08-15 18:24:00+00:00
1755282540000,2.2901,2.2901,2.2901,6,2.2901,142,2.2901,2025-08-15 18:29:00+00:00
1755282900000,2.3043,2.3043,2.3043,2,2.3043,2003,2.3043,2025-08-15 18:35:00+00:00
1755282960000,2.3,2.3,2.3,1,2.3,100,2.3,2025-08-15 18:36:00+00:00
1755283140000,2.31,2.31,2.31,10,2.31,4574,2.31,2025-08-15 18:39:00+00:00
1755283320000,2.32,2.32,2.318,2,2.318,200,2.319,2025-08-15 18:42:00+00:00
1755283560000,2.305,2.305,2.305,4,2.305,245,2.305,2025-08-15 18:46:00+00:00
1755283740000,2.305,2.305,2.305,4,2.305,2032,2.305,2025-08-15 18:49:00+00:00
1755284520000,2.31,2.31,2.31,9,2.31,3842,2.31,2025-08-15 19:02:00+00:00
1755284940000,2.31,2.31,2.31,2,2.31,600,2.31,2025-08-15 19:09:00+00:00
1755285900000,2.31,2.31,2.31,4,2.31,1160,2.31,2025-08-15 19:25:00+00:00
1755286260000,2.301,2.301,2.301,2,2.301,165,2.301,2025-08-15 19:31:00+00:00
1755286320000,2.3,2.3,2.3,5,2.3,342,2.3,2025-08-15 19:32:00+00:00
1755286500000,2.29,2.29,2.29,25,2.29,1280,2.29,2025-08-15 19:35:00+00:00
1755286620000,2.29,2.29,2.29,2,2.29,1517,2.29,2025-08-15 19:37:00+00:00
1755286740000,2.295,2.295,2.29,19,2.29,1001,2.292322,2025-08-15 19:39:00+00:00
1755286860000,2.3,2.3,2.3,22,2.3,716,2.3,2025-08-15 19:41:00+00:00
1755286980000,2.305,2.305,2.305,12,2.305,194,2.305,2025-08-15 19:43:00+00:00
1755287100000,2.31,2.31,2.31,4,2.31,256,2.31,2025-08-15 19:45:00+00:00
1755287220000,2.29,2.3002,2.29,29,2.3002,1917,2.297813,2025-08-15 19:47:00+00:00
1755287280000,2.29,2.29,2.29,2,2.29,200,2.29,2025-08-15 19:48:00+00:00
1755287340000,2.2849,2.2849,2.2849,1,2.2849,213,2.2849,2025-08-15 19:49:00+00:00
1755287400000,2.28,2.285,2.27,14,2.285,2262,2.279886,2025-08-15 19:50:00+00:00
1755287460000,2.2732,2.2732,2.2732,2,2.2732,525,2.2732,2025-08-15 19:51:00+00:00
1755287580000,2.28,2.28,2.28,2,2.28,229,2.28,2025-08-15 19:53:00+00:00
1755287640000,2.2701,2.2701,2.2701,1,2.2701,179,2.2701,2025-08-15 19:54:00+00:00
1755287760000,2.27,2.271,2.27,4,2.271,294,2.270602,2025-08-15 19:56:00+00:00
