timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757445900000,53.7694,53.83,53.715,156,53.75,12164,53.747492,2025-09-09 19:25:00+00:00
1757445960000,53.785,53.8499,53.7348,37,53.8499,1618,53.801564,2025-09-09 19:26:00+00:00
1757446020000,53.75,53.8399,53.73,45,53.82,4895,53.786614,2025-09-09 19:27:00+00:00
1757446080000,53.735,53.84,53.71,150,53.8015,10340,53.747573,2025-09-09 19:28:00+00:00
1757446140000,53.73,53.75,53.72,41,53.72,2028,53.7312,2025-09-09 19:29:00+00:00
1757446200000,53.75,53.75,53.7101,67,53.75,2953,53.729149,2025-09-09 19:30:00+00:00
1757446260000,53.75,53.75,53.674,98,53.71,3964,53.705775,2025-09-09 19:31:00+00:00
1757446320000,53.73,53.73,53.73,22,53.73,626,53.73,2025-09-09 19:32:00+00:00
1757446380000,53.705,53.79,53.7,81,53.73,3970,53.737387,2025-09-09 19:33:00+00:00
1757446440000,53.665,53.78,53.64,73,53.71,2777,53.698101,2025-09-09 19:34:00+00:00
1757446500000,53.6899,53.6899,53.6108,21,53.65,1117,53.638082,2025-09-09 19:35:00+00:00
1757446560000,53.6444,53.67,53.61,93,53.65,2793,53.643511,2025-09-09 19:36:00+00:00
1757446620000,53.77,53.83,53.6406,120,53.67,6568,53.765389,2025-09-09 19:37:00+00:00
1757446680000,53.8985,53.8985,53.74,81,53.84,3335,53.818841,2025-09-09 19:38:00+00:00
1757446740000,53.8999,53.9,53.798,27,53.798,2122,53.835167,2025-09-09 19:39:00+00:00
1757446800000,53.88,53.88,53.76,72,53.87,5458,53.842742,2025-09-09 19:40:00+00:00
1757446860000,53.84,53.8741,53.84,50,53.8741,1222,53.853007,2025-09-09 19:41:00+00:00
1757446920000,53.83,53.8464,53.79,44,53.8464,2476,53.820584,2025-09-09 19:42:00+00:00
1757446980000,53.7508,53.835,53.7508,57,53.835,2936,53.801756,2025-09-09 19:43:00+00:00
1757447040000,53.705,53.76,53.68,88,53.76,4446,53.717842,2025-09-09 19:44:00+00:00
1757447100000,53.64,53.81,53.61,38,53.81,1946,53.69546,2025-09-09 19:45:00+00:00
1757447160000,53.695,53.74,53.61,68,53.61,4074,53.671492,2025-09-09 19:46:00+00:00
1757447220000,53.754,53.754,53.64,97,53.64,4624,53.71952,2025-09-09 19:47:00+00:00
1757447280000,53.7385,53.7686,53.69,67,53.7494,4917,53.7234,2025-09-09 19:48:00+00:00
