timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756145760000,1.662,1.665,1.6601,35,1.6601,2736,1.660773,2025-08-25 18:16:00+00:00
1756145820000,1.6601,1.67,1.66,83,1.665,18863,1.660599,2025-08-25 18:17:00+00:00
1756145880000,1.6435,1.6601,1.635,239,1.6601,36165,1.646819,2025-08-25 18:18:00+00:00
1756145940000,1.6303,1.6401,1.63,52,1.64,9027,1.638445,2025-08-25 18:19:00+00:00
1756146000000,1.635,1.64,1.6301,45,1.635,6541,1.639263,2025-08-25 18:20:00+00:00
1756146060000,1.6253,1.6395,1.62,73,1.63,9842,1.627225,2025-08-25 18:21:00+00:00
1756146120000,1.6378,1.64,1.6296,52,1.6296,16513,1.636646,2025-08-25 18:22:00+00:00
1756146180000,1.64,1.65,1.635,69,1.635,16292,1.641355,2025-08-25 18:23:00+00:00
1756146240000,1.6498,1.65,1.6401,20,1.6402,11905,1.645331,2025-08-25 18:24:00+00:00
1756146300000,1.63,1.645,1.63,81,1.645,11652,1.639978,2025-08-25 18:25:00+00:00
1756146360000,1.6396,1.64,1.63,16,1.6397,4613,1.632611,2025-08-25 18:26:00+00:00
1756146420000,1.63,1.6358,1.63,17,1.63,1737,1.632946,2025-08-25 18:27:00+00:00
1756146480000,1.6328,1.64,1.63,31,1.63,8097,1.631785,2025-08-25 18:28:00+00:00
1756146540000,1.645,1.65,1.6305,69,1.6305,11309,1.642538,2025-08-25 18:29:00+00:00
1756146600000,1.645,1.65,1.64,38,1.65,7947,1.646454,2025-08-25 18:30:00+00:00
1756146660000,1.64,1.65,1.64,23,1.65,2808,1.644594,2025-08-25 18:31:00+00:00
1756146720000,1.6404,1.645,1.64,17,1.6402,7176,1.640641,2025-08-25 18:32:00+00:00
1756146780000,1.65,1.65,1.6401,20,1.645,4478,1.647435,2025-08-25 18:33:00+00:00
1756146840000,1.6199,1.64,1.6,347,1.64,76235,1.61684,2025-08-25 18:34:00+00:00
1756146900000,1.62,1.6299,1.62,18,1.625,4641,1.626008,2025-08-25 18:35:00+00:00
1756146960000,1.6204,1.63,1.6204,21,1.622,6726,1.624719,2025-08-25 18:36:00+00:00
1756147020000,1.625,1.6302,1.62,161,1.63,19146,1.625524,2025-08-25 18:37:00+00:00
1756147080000,1.6295,1.63,1.62,29,1.63,3814,1.623199,2025-08-25 18:38:00+00:00
1756147140000,1.63,1.64,1.63,54,1.63,7491,1.631925,2025-08-25 18:39:00+00:00
1756147200000,1.62,1.645,1.62,220,1.635,34871,1.633273,2025-08-25 18:40:00+00:00
1756147260000,1.6205,1.6298,1.61,99,1.61,25286,1.619499,2025-08-25 18:41:00+00:00
1756147320000,1.63,1.63,1.62,15,1.6201,7413,1.624735,2025-08-25 18:42:00+00:00
1756147380000,1.62,1.63,1.62,21,1.625,5833,1.62609,2025-08-25 18:43:00+00:00
1756147440000,1.645,1.645,1.62,77,1.62,17984,1.632939,2025-08-25 18:44:00+00:00
1756147500000,1.6701,1.68,1.65,273,1.65,77718,1.666671,2025-08-25 18:45:00+00:00
1756147560000,1.6502,1.6799,1.65,87,1.675,13068,1.666855,2025-08-25 18:46:00+00:00
1756147620000,1.645,1.6599,1.64,86,1.6501,8183,1.648859,2025-08-25 18:47:00+00:00
1756147680000,1.6402,1.65,1.64,18,1.6402,3498,1.640595,2025-08-25 18:48:00+00:00
1756147740000,1.655,1.66,1.6495,81,1.6495,6479,1.654714,2025-08-25 18:49:00+00:00
1756147800000,1.66,1.66,1.65,59,1.6501,17857,1.657403,2025-08-25 18:50:00+00:00
1756147860000,1.6503,1.66,1.65,47,1.66,11614,1.654511,2025-08-25 18:51:00+00:00
1756147920000,1.67,1.67,1.6501,95,1.6501,29657,1.664247,2025-08-25 18:52:00+00:00
1756147980000,1.685,1.7,1.67,201,1.675,62840,1.684776,2025-08-25 18:53:00+00:00
