timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756914600000,0.9458,0.9458,0.941,5,0.941,5100,0.94436,2025-09-03 15:50:00+00:00
1756914660000,0.94,0.9413,0.94,14,0.9409,4412,0.940081,2025-09-03 15:51:00+00:00
1756914720000,0.935,0.94,0.935,20,0.94,8158,0.939167,2025-09-03 15:52:00+00:00
1756914780000,0.94,0.94,0.94,7,0.94,651,0.94,2025-09-03 15:53:00+00:00
1756914840000,0.94,0.94,0.935,7,0.935,1705,0.939118,2025-09-03 15:54:00+00:00
1756915080000,0.9395,0.9395,0.935,15,0.935,20159,0.93514,2025-09-03 15:58:00+00:00
1756915140000,0.9361,0.9361,0.9332,9,0.9332,610,0.934475,2025-09-03 15:59:00+00:00
1756915200000,0.9306,0.9332,0.9306,18,0.9332,2344,0.932922,2025-09-03 16:00:00+00:00
1756915260000,0.9256,0.93,0.9256,23,0.93,17977,0.928899,2025-09-03 16:01:00+00:00
1756915320000,0.9307,0.9307,0.9307,4,0.9307,249,0.9307,2025-09-03 16:02:00+00:00
1756915380000,0.9307,0.9307,0.9307,1,0.9307,425,0.9307,2025-09-03 16:03:00+00:00
1756915440000,0.9255,0.93,0.9255,6,0.93,400,0.92775,2025-09-03 16:04:00+00:00
1756915500000,0.9233,0.9335,0.9233,9,0.9335,520,0.930931,2025-09-03 16:05:00+00:00
1756915560000,0.9256,0.935,0.9256,24,0.9314,11566,0.934041,2025-09-03 16:06:00+00:00
1756915620000,0.9312,0.9312,0.9266,6,0.9266,1543,0.930759,2025-09-03 16:07:00+00:00
1756915680000,0.9266,0.9266,0.9266,1,0.9266,496,0.9266,2025-09-03 16:08:00+00:00
1756915740000,0.93,0.9308,0.93,16,0.93,22524,0.930069,2025-09-03 16:09:00+00:00
1756915800000,0.9312,0.9312,0.9288,2,0.9288,1258,0.930708,2025-09-03 16:10:00+00:00
1756915860000,0.9243,0.9263,0.9243,9,0.9263,773,0.9247,2025-09-03 16:11:00+00:00
1756915920000,0.9312,0.9312,0.9259,7,0.9259,4575,0.928855,2025-09-03 16:12:00+00:00
1756915980000,0.9275,0.9275,0.9201,13,0.9257,1501,0.926633,2025-09-03 16:13:00+00:00
1756916040000,0.9213,0.9213,0.9205,6,0.9205,1691,0.920548,2025-09-03 16:14:00+00:00
1756916100000,0.9473,0.9495,0.9273,76,0.9273,52402,0.941906,2025-09-03 16:15:00+00:00
1756916220000,0.9221,0.9395,0.9221,8,0.9382,2609,0.937327,2025-09-03 16:17:00+00:00
1756916280000,0.94,0.94,0.922,11,0.922,22596,0.922081,2025-09-03 16:18:00+00:00
1756916340000,0.9247,0.9434,0.9247,6,0.9247,10512,0.941413,2025-09-03 16:19:00+00:00
1756916400000,0.9312,0.9351,0.93,13,0.933,2115,0.932658,2025-09-03 16:20:00+00:00
1756916460000,0.9319,0.9319,0.9319,5,0.9319,1325,0.9319,2025-09-03 16:21:00+00:00
1756916520000,0.9434,0.9435,0.9356,33,0.9377,73005,0.941674,2025-09-03 16:22:00+00:00
1756916580000,0.9459,0.9459,0.9433,16,0.9433,38027,0.943889,2025-09-03 16:23:00+00:00
1756916640000,0.9459,0.9473,0.9399,11,0.9459,9600,0.946943,2025-09-03 16:24:00+00:00
1756916700000,0.9388,0.9519,0.9351,39,0.9459,6091,0.943953,2025-09-03 16:25:00+00:00
1756916760000,0.9377,0.9389,0.9377,8,0.9388,1640,0.938707,2025-09-03 16:26:00+00:00
1756916820000,0.9434,0.9434,0.9404,10,0.9404,5272,0.943323,2025-09-03 16:27:00+00:00
1756916880000,0.9435,0.9435,0.9435,4,0.9435,1000,0.9435,2025-09-03 16:28:00+00:00
1756916940000,0.9433,0.9433,0.94,7,0.94,1350,0.942329,2025-09-03 16:29:00+00:00
1756917000000,0.9368,0.9404,0.9326,23,0.9367,3163,0.937506,2025-09-03 16:30:00+00:00
1756917060000,0.9369,0.9411,0.9369,24,0.94,13766,0.940406,2025-09-03 16:31:00+00:00
1756917120000,0.9411,0.9411,0.9403,9,0.9403,2923,0.941033,2025-09-03 16:32:00+00:00
1756917180000,0.9388,0.9388,0.9388,4,0.9388,4260,0.9388,2025-09-03 16:33:00+00:00
1756917240000,0.9271,0.9403,0.9271,39,0.9403,42351,0.930795,2025-09-03 16:34:00+00:00
1756917300000,0.9271,0.9299,0.9271,8,0.9299,2443,0.929662,2025-09-03 16:35:00+00:00
1756917360000,0.9246,0.9271,0.9246,3,0.9271,500,0.9256,2025-09-03 16:36:00+00:00
1756917420000,0.9271,0.9271,0.9271,2,0.9271,1200,0.9271,2025-09-03 16:37:00+00:00
1756917480000,0.9215,0.9295,0.9201,36,0.9245,2791,0.924755,2025-09-03 16:38:00+00:00
1756917540000,0.9175,0.9201,0.915,35,0.9201,59419,0.919522,2025-09-03 16:39:00+00:00
1756917600000,0.9157,0.9167,0.9151,10,0.9151,2630,0.916091,2025-09-03 16:40:00+00:00
1756917660000,0.9167,0.9167,0.9167,6,0.9167,991,0.9167,2025-09-03 16:41:00+00:00
1756917720000,0.915,0.9167,0.915,28,0.9167,4195,0.91514,2025-09-03 16:42:00+00:00
1756917780000,0.914,0.9167,0.91,47,0.915,16511,0.913901,2025-09-03 16:43:00+00:00
1756917840000,0.9113,0.9165,0.9113,26,0.9141,9520,0.913309,2025-09-03 16:44:00+00:00
1756917900000,0.9132,0.9165,0.9132,9,0.9165,694,0.91386,2025-09-03 16:45:00+00:00
1756917960000,0.9164,0.9164,0.9113,8,0.9113,1922,0.912909,2025-09-03 16:46:00+00:00
1756918020000,0.9089,0.9132,0.9089,73,0.9113,25791,0.91083,2025-09-03 16:47:00+00:00
1756918080000,0.905,0.9094,0.904,19,0.9089,2591,0.907376,2025-09-03 16:48:00+00:00
1756918140000,0.9005,0.904,0.9003,29,0.904,2530,0.902155,2025-09-03 16:49:00+00:00
1756918200000,0.9035,0.905,0.9003,22,0.9008,2483,0.902033,2025-09-03 16:50:00+00:00
1756918260000,0.9,0.902,0.9,23,0.9,7414,0.900388,2025-09-03 16:51:00+00:00
1756918320000,0.9016,0.9017,0.9,10,0.9,1769,0.900864,2025-09-03 16:52:00+00:00
1756918380000,0.9012,0.9015,0.9012,6,0.9015,1245,0.901344,2025-09-03 16:53:00+00:00
1756918440000,0.9006,0.9009,0.9,19,0.9009,7880,0.900059,2025-09-03 16:54:00+00:00
1756918500000,0.9006,0.9011,0.9,9,0.9,5407,0.900998,2025-09-03 16:55:00+00:00
1756918560000,0.9001,0.9001,0.9,7,0.9,352,0.900037,2025-09-03 16:56:00+00:00
1756918620000,0.9,0.9006,0.9,23,0.9001,13487,0.900399,2025-09-03 16:57:00+00:00
1756918680000,0.8989,0.9005,0.8989,63,0.9005,23020,0.899917,2025-09-03 16:58:00+00:00
1756918740000,0.8989,0.8994,0.8989,19,0.8989,5237,0.898949,2025-09-03 16:59:00+00:00
1756918800000,0.8966,0.8988,0.8966,7,0.8988,487,0.897773,2025-09-03 17:00:00+00:00
1756918860000,0.8915,0.8966,0.8915,29,0.8966,19771,0.896147,2025-09-03 17:01:00+00:00
1756918920000,0.8949,0.8949,0.8915,14,0.8944,5830,0.892331,2025-09-03 17:02:00+00:00
1756918980000,0.8912,0.8972,0.8912,77,0.8961,37214,0.895472,2025-09-03 17:03:00+00:00
1756919040000,0.867,0.8908,0.8646,84,0.89,112628,0.878056,2025-09-03 17:04:00+00:00
1756919100000,0.867,0.875,0.8646,53,0.8646,30949,0.867464,2025-09-03 17:05:00+00:00
1756919160000,0.8587,0.8648,0.852,15,0.8642,17262,0.8562,2025-09-03 17:06:00+00:00
1756919220000,0.8559,0.86,0.8559,12,0.8586,5491,0.857617,2025-09-03 17:07:00+00:00
1756919280000,0.8564,0.8598,0.8521,19,0.8521,24758,0.858164,2025-09-03 17:08:00+00:00
1756919340000,0.8672,0.8672,0.8563,83,0.8563,60230,0.858999,2025-09-03 17:09:00+00:00
1756919400000,0.87,0.8717,0.8686,56,0.8716,41808,0.871154,2025-09-03 17:10:00+00:00
1756919460000,0.8707,0.8716,0.87,24,0.8716,8657,0.870273,2025-09-03 17:11:00+00:00
1756919520000,0.871,0.8716,0.871,29,0.8713,21576,0.871203,2025-09-03 17:12:00+00:00
1756919580000,0.8705,0.871,0.8705,30,0.8708,21558,0.870713,2025-09-03 17:13:00+00:00
1756919640000,0.8799,0.8799,0.8701,32,0.8701,29725,0.87353,2025-09-03 17:14:00+00:00
1756919700000,0.8723,0.8742,0.87,39,0.8707,24577,0.871278,2025-09-03 17:15:00+00:00
1756919760000,0.872,0.874,0.872,11,0.8722,2865,0.872143,2025-09-03 17:16:00+00:00
1756919820000,0.8619,0.872,0.8619,40,0.872,10185,0.868712,2025-09-03 17:17:00+00:00
1756919880000,0.8626,0.8645,0.8618,11,0.8619,6015,0.861893,2025-09-03 17:18:00+00:00
1756919940000,0.8652,0.8652,0.8612,16,0.8652,7505,0.864034,2025-09-03 17:19:00+00:00
1756920000000,0.8643,0.8643,0.8643,9,0.8643,3190,0.8643,2025-09-03 17:20:00+00:00
1756920060000,0.8639,0.8652,0.8639,12,0.8643,2288,0.864475,2025-09-03 17:21:00+00:00
1756920120000,0.8643,0.8652,0.8642,20,0.8643,3359,0.864305,2025-09-03 17:22:00+00:00
1756920180000,0.8627,0.8645,0.8611,52,0.8643,56168,0.863191,2025-09-03 17:23:00+00:00
1756920240000,0.8627,0.8653,0.8627,9,0.8627,1815,0.86285,2025-09-03 17:24:00+00:00
1756920300000,0.8642,0.8642,0.8627,27,0.8627,6147,0.863383,2025-09-03 17:25:00+00:00
1756920360000,0.8641,0.8641,0.8641,2,0.8641,5905,0.8641,2025-09-03 17:26:00+00:00
1756920420000,0.8688,0.8688,0.8688,9,0.8688,1856,0.8688,2025-09-03 17:27:00+00:00
1756920480000,0.8697,0.8704,0.8687,10,0.8704,1276,0.869441,2025-09-03 17:28:00+00:00
1756920540000,0.867,0.8784,0.867,52,0.87,30230,0.869211,2025-09-03 17:29:00+00:00
1756920600000,0.871,0.8799,0.8687,74,0.8692,63030,0.874196,2025-09-03 17:30:00+00:00
1756920660000,0.8719,0.8734,0.8705,36,0.8712,10038,0.871377,2025-09-03 17:31:00+00:00
1756920720000,0.872,0.872,0.872,7,0.872,2548,0.872,2025-09-03 17:32:00+00:00
1756920780000,0.8859,0.8859,0.8705,101,0.8706,33253,0.87466,2025-09-03 17:33:00+00:00
1756920840000,0.88,0.8857,0.88,37,0.882,23810,0.881958,2025-09-03 17:34:00+00:00
1756920900000,0.8802,0.883,0.8801,11,0.883,6329,0.882861,2025-09-03 17:35:00+00:00
1756920960000,0.883,0.883,0.883,28,0.883,3610,0.883,2025-09-03 17:36:00+00:00
1756921020000,0.8801,0.8856,0.8801,9,0.8802,9038,0.881967,2025-09-03 17:37:00+00:00
1756921080000,0.8895,0.898,0.8802,49,0.8829,7097,0.88892,2025-09-03 17:38:00+00:00
1756921140000,0.8919,0.8939,0.8919,4,0.8919,600,0.892233,2025-09-03 17:39:00+00:00
1756921200000,0.8988,0.9015,0.8919,46,0.8919,23926,0.899795,2025-09-03 17:40:00+00:00
1756921260000,0.897,0.9012,0.897,49,0.9011,5035,0.897766,2025-09-03 17:41:00+00:00
1756921320000,0.8929,0.9011,0.8929,9,0.897,6801,0.894177,2025-09-03 17:42:00+00:00
1756921380000,0.8904,0.894,0.8868,69,0.8929,25651,0.891116,2025-09-03 17:43:00+00:00
1756921440000,0.892,0.892,0.8868,2,0.8868,1100,0.891527,2025-09-03 17:44:00+00:00
1756921500000,0.8901,0.8941,0.8901,20,0.8921,3125,0.89112,2025-09-03 17:45:00+00:00
1756921560000,0.8901,0.8901,0.89,45,0.89,8333,0.890044,2025-09-03 17:46:00+00:00
1756921620000,0.8908,0.894,0.8908,22,0.894,6978,0.891243,2025-09-03 17:47:00+00:00
1756921680000,0.8963,0.8963,0.8963,5,0.8963,9085,0.8963,2025-09-03 17:48:00+00:00
1756921740000,0.8942,0.9014,0.8942,7,0.9014,368,0.897988,2025-09-03 17:49:00+00:00
1756921800000,0.8943,0.8943,0.8943,8,0.8943,644,0.8943,2025-09-03 17:50:00+00:00
1756921860000,0.8961,0.8961,0.894,34,0.8949,9542,0.894296,2025-09-03 17:51:00+00:00
1756921920000,0.8961,0.8961,0.8961,2,0.8961,102,0.8961,2025-09-03 17:52:00+00:00
1756921980000,0.9014,0.9014,0.8966,18,0.8966,349,0.899,2025-09-03 17:53:00+00:00
1756922040000,0.8966,0.8966,0.8965,8,0.8966,837,0.896586,2025-09-03 17:54:00+00:00
1756922100000,0.896,0.8964,0.896,9,0.8964,411,0.8962,2025-09-03 17:55:00+00:00
1756922160000,0.8961,0.8961,0.896,6,0.896,916,0.896055,2025-09-03 17:56:00+00:00
1756922220000,0.8939,0.896,0.8939,24,0.896,1621,0.894982,2025-09-03 17:57:00+00:00
1756922280000,0.8901,0.8901,0.8901,12,0.8901,390,0.8901,2025-09-03 17:58:00+00:00
1756922340000,0.88,0.89,0.88,33,0.89,13512,0.882044,2025-09-03 17:59:00+00:00
1756922400000,0.8878,0.8878,0.8878,6,0.8878,1057,0.8878,2025-09-03 18:00:00+00:00
1756922460000,0.88,0.8956,0.88,10,0.8956,745,0.8904,2025-09-03 18:01:00+00:00
