timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,4.034,4.1,3.88,643,4.08,150057,4.017896,2025-09-08 13:30:00+00:00
1757338260000,4.12,4.16,4.015,310,4.015,75609,4.102544,2025-09-08 13:31:00+00:00
1757338320000,4.1,4.13,4.05,155,4.1071,39637,4.089721,2025-09-08 13:32:00+00:00
1757338380000,4.22,4.25,4.08,234,4.1199,70715,4.194974,2025-09-08 13:33:00+00:00
1757338440000,4.4508,4.48,4.21,1369,4.23,272165,4.379277,2025-09-08 13:34:00+00:00
1757338500000,4.3499,4.5,4.22,1059,4.4602,199403,4.413291,2025-09-08 13:35:00+00:00
1757338560000,4.4009,4.48,4.3288,515,4.3288,99131,4.438282,2025-09-08 13:36:00+00:00
1757338620000,4.42,4.46,4.4,433,4.405,106758,4.431428,2025-09-08 13:37:00+00:00
1757338680000,4.38,4.4194,4.3,332,4.4107,76550,4.367383,2025-09-08 13:38:00+00:00
1757338740000,4.2978,4.38,4.22,283,4.38,46572,4.285428,2025-09-08 13:39:00+00:00
1757338800000,4.255,4.3,4.22,187,4.28,30224,4.256707,2025-09-08 13:40:00+00:00
1757338860000,4.1985,4.26,4.15,289,4.2508,66267,4.201126,2025-09-08 13:41:00+00:00
1757338920000,4.18,4.21,4.17,146,4.1987,33635,4.189251,2025-09-08 13:42:00+00:00
1757338980000,4.36,4.4,4.16,443,4.17,116399,4.290648,2025-09-08 13:43:00+00:00
1757339040000,4.3901,4.49,4.36,633,4.4,195785,4.43108,2025-09-08 13:44:00+00:00
1757339100000,4.215,4.41,4.21,381,4.3997,64778,4.278512,2025-09-08 13:45:00+00:00
1757339160000,4.3,4.32,4.2,197,4.2,28182,4.267027,2025-09-08 13:46:00+00:00
1757339220000,4.25,4.2887,4.25,114,4.28,18444,4.266869,2025-09-08 13:47:00+00:00
1757339280000,4.288,4.2999,4.25,100,4.255,17042,4.266295,2025-09-08 13:48:00+00:00
1757339340000,4.26,4.28,4.2515,68,4.28,17191,4.262672,2025-09-08 13:49:00+00:00
1757339400000,4.2651,4.2899,4.24,144,4.27,56305,4.269662,2025-09-08 13:50:00+00:00
1757339460000,4.21,4.26,4.2,98,4.26,21143,4.217891,2025-09-08 13:51:00+00:00
1757339520000,4.1802,4.2051,4.11,394,4.2,68292,4.158652,2025-09-08 13:52:00+00:00
1757339580000,4.15,4.18,4.1,228,4.165,58895,4.12948,2025-09-08 13:53:00+00:00
1757339640000,4.2,4.2,4.1,221,4.13,40218,4.128061,2025-09-08 13:54:00+00:00
1757339700000,4.135,4.2496,4.12,80,4.22,19639,4.203947,2025-09-08 13:55:00+00:00
1757339760000,4.155,4.155,4.11,158,4.14,37334,4.117343,2025-09-08 13:56:00+00:00
1757339820000,4.11,4.16,4.11,83,4.13,28431,4.114898,2025-09-08 13:57:00+00:00
1757339880000,4.12,4.12,4.11,105,4.11,21921,4.11629,2025-09-08 13:58:00+00:00
1757339940000,4.1207,4.13,4.11,63,4.11,16199,4.122851,2025-09-08 13:59:00+00:00
1757340000000,4.12,4.14,4.1,125,4.12,72739,4.111002,2025-09-08 14:00:00+00:00
1757340060000,4.1177,4.1576,4.1135,76,4.14,15991,4.131917,2025-09-08 14:01:00+00:00
1757340120000,4.08,4.1108,4.012,279,4.11,85681,4.061317,2025-09-08 14:02:00+00:00
1757340180000,4.1039,4.11,4.0518,108,4.0785,26410,4.080072,2025-09-08 14:03:00+00:00
1757340240000,4.15,4.15,4.0941,42,4.0941,9866,4.144089,2025-09-08 14:04:00+00:00
1757340300000,4.215,4.24,4.1635,181,4.1635,48900,4.203375,2025-09-08 14:05:00+00:00
1757340360000,4.2,4.233,4.1831,75,4.22,13473,4.20884,2025-09-08 14:06:00+00:00
1757340420000,4.1615,4.2,4.16,59,4.2,17758,4.176095,2025-09-08 14:07:00+00:00
1757340480000,4.1508,4.1814,4.1508,22,4.17,2746,4.165758,2025-09-08 14:08:00+00:00
1757340540000,4.2282,4.2282,4.16,78,4.16,15517,4.191645,2025-09-08 14:09:00+00:00
1757340600000,4.1953,4.25,4.1953,115,4.23,21398,4.239012,2025-09-08 14:10:00+00:00
1757340660000,4.24,4.24,4.2,17,4.205,809,4.21,2025-09-08 14:11:00+00:00
1757340720000,4.2242,4.2242,4.1706,74,4.21,17643,4.205183,2025-09-08 14:12:00+00:00
1757340780000,4.195,4.23,4.18,39,4.2299,9298,4.209875,2025-09-08 14:13:00+00:00
1757340840000,4.16,4.19,4.1,145,4.19,32518,4.143643,2025-09-08 14:14:00+00:00
1757340900000,4.195,4.2199,4.12,149,4.12,41760,4.192773,2025-09-08 14:15:00+00:00
1757340960000,4.2,4.21,4.19,58,4.1985,10676,4.199252,2025-09-08 14:16:00+00:00
1757341020000,4.165,4.1942,4.16,68,4.19,19998,4.169746,2025-09-08 14:17:00+00:00
1757341080000,4.16,4.1693,4.15,129,4.16,16238,4.1609,2025-09-08 14:18:00+00:00
1757341140000,4.108,4.16,4.1,44,4.16,17319,4.13651,2025-09-08 14:19:00+00:00
1757341200000,4.06,4.1015,4.06,123,4.1,22482,4.083548,2025-09-08 14:20:00+00:00
1757341260000,4.1083,4.12,4.05,146,4.06,61589,4.05795,2025-09-08 14:21:00+00:00
1757341320000,4.1099,4.11,4.09,21,4.09,2124,4.095071,2025-09-08 14:22:00+00:00
1757341380000,4.09,4.122,4.09,32,4.1,3933,4.107381,2025-09-08 14:23:00+00:00
1757341440000,4.0839,4.1,4.08,28,4.1,7797,4.086218,2025-09-08 14:24:00+00:00
1757341500000,4.13,4.13,4.0707,36,4.08,8205,4.098887,2025-09-08 14:25:00+00:00
1757341560000,4.1256,4.15,4.11,37,4.11,9593,4.128371,2025-09-08 14:26:00+00:00
1757341620000,4.14,4.16,4.135,44,4.14,20047,4.149718,2025-09-08 14:27:00+00:00
1757341680000,4.12,4.15,4.12,37,4.14,8370,4.127813,2025-09-08 14:28:00+00:00
1757341740000,4.095,4.15,4.085,57,4.12,17956,4.110097,2025-09-08 14:29:00+00:00
1757341800000,4.085,4.1001,4.0701,49,4.085,6130,4.09387,2025-09-08 14:30:00+00:00
1757341860000,4.03,4.08,4.02,110,4.08,27293,4.053079,2025-09-08 14:31:00+00:00
1757341920000,4.05,4.0764,4.0359,52,4.0359,9407,4.049843,2025-09-08 14:32:00+00:00
1757341980000,4.1,4.1,4.05,43,4.05,6401,4.075022,2025-09-08 14:33:00+00:00
1757342040000,4.11,4.111,4.1,33,4.1,7566,4.105816,2025-09-08 14:34:00+00:00
1757342100000,4.1,4.12,4.09,43,4.1,8884,4.105398,2025-09-08 14:35:00+00:00
1757342160000,4.12,4.12,4.1,65,4.1019,17196,4.101611,2025-09-08 14:36:00+00:00
1757342220000,4.16,4.16,4.14,45,4.14,12155,4.152998,2025-09-08 14:37:00+00:00
1757342280000,4.27,4.28,4.1684,156,4.17,43233,4.228939,2025-09-08 14:38:00+00:00
1757342340000,4.22,4.29,4.2191,159,4.28,26983,4.26822,2025-09-08 14:39:00+00:00
1757342400000,4.23,4.24,4.19,46,4.22,16851,4.219477,2025-09-08 14:40:00+00:00
1757342460000,4.2609,4.27,4.23,59,4.23,8765,4.252591,2025-09-08 14:41:00+00:00
1757342520000,4.27,4.34,4.255,255,4.27,90867,4.294682,2025-09-08 14:42:00+00:00
