timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757425800000,0.3321,0.3327,0.3321,10,0.3327,2847,0.332679,2025-09-09 13:50:00+00:00
1757425860000,0.3324,0.3331,0.3324,5,0.3331,1217,0.332978,2025-09-09 13:51:00+00:00
1757425920000,0.3325,0.3328,0.3325,5,0.3325,1000,0.332531,2025-09-09 13:52:00+00:00
1757425980000,0.3288,0.3324,0.3279,29,0.3324,75613,0.329668,2025-09-09 13:53:00+00:00
1757426040000,0.3279,0.3283,0.3278,18,0.3279,2589,0.328012,2025-09-09 13:54:00+00:00
1757426100000,0.3255,0.3279,0.324,49,0.3279,103313,0.32659,2025-09-09 13:55:00+00:00
1757426160000,0.3257,0.3257,0.325,38,0.3253,48967,0.325182,2025-09-09 13:56:00+00:00
1757426220000,0.3247,0.3251,0.324,70,0.325,38498,0.325037,2025-09-09 13:57:00+00:00
1757426280000,0.3242,0.3243,0.324,5,0.3242,4188,0.324164,2025-09-09 13:58:00+00:00
1757426340000,0.3243,0.3244,0.3243,4,0.3244,1525,0.324367,2025-09-09 13:59:00+00:00
1757426400000,0.3242,0.3243,0.3242,8,0.3243,5764,0.324202,2025-09-09 14:00:00+00:00
1757426460000,0.3242,0.3243,0.3242,9,0.3243,7928,0.32429,2025-09-09 14:01:00+00:00
1757426520000,0.3243,0.3243,0.3243,3,0.3243,109,0.3243,2025-09-09 14:02:00+00:00
1757426580000,0.324,0.3243,0.324,15,0.3243,3564,0.324191,2025-09-09 14:03:00+00:00
1757426640000,0.324,0.3241,0.324,17,0.324,25152,0.324024,2025-09-09 14:04:00+00:00
1757426700000,0.3231,0.324,0.323,8,0.324,6755,0.323652,2025-09-09 14:05:00+00:00
1757426760000,0.3202,0.3231,0.32,45,0.323,197865,0.320487,2025-09-09 14:06:00+00:00
1757426820000,0.3203,0.325,0.3203,103,0.3204,75408,0.323144,2025-09-09 14:07:00+00:00
1757426880000,0.3203,0.3204,0.3203,6,0.3203,3100,0.320332,2025-09-09 14:08:00+00:00
