timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753207560000,3.9,3.9,3.89,6,3.9,2119,3.899524,2025-07-22 18:06:00+00:00
1753209720000,3.8736,3.8736,3.8736,3,3.8736,175,3.8736,2025-07-22 18:42:00+00:00
1753210140000,3.86,3.86,3.86,1,3.86,100,3.86,2025-07-22 18:49:00+00:00
1753210800000,3.86,3.86,3.86,3,3.86,374,3.86,2025-07-22 19:00:00+00:00
1753211460000,3.86,3.86,3.86,4,3.86,375,3.86,2025-07-22 19:11:00+00:00
1753212660000,3.9,3.9,3.9,2,3.9,1010,3.9,2025-07-22 19:31:00+00:00
1753212840000,3.8953,3.8953,3.8953,2,3.8953,250,3.8953,2025-07-22 19:34:00+00:00
1753212900000,3.9,3.9,3.9,1,3.9,105,3.9,2025-07-22 19:35:00+00:00
1753213740000,3.86,3.86,3.86,1,3.86,100,3.86,2025-07-22 19:49:00+00:00
1753213800000,3.86,3.86,3.86,1,3.86,100,3.86,2025-07-22 19:50:00+00:00
1753213860000,3.86,3.86,3.86,2,3.86,191,3.86,2025-07-22 19:51:00+00:00
1753214400000,3.86,3.86,3.86,1,3.86,726,3.86,2025-07-22 20:00:00+00:00
1753277400000,3.91,3.91,3.91,5,3.91,1299,3.91,2025-07-23 13:30:00+00:00
1753277460000,3.9201,3.93,3.9201,2,3.93,254,3.923998,2025-07-23 13:31:00+00:00
1753277820000,3.92,3.965,3.92,10,3.965,1755,3.926695,2025-07-23 13:37:00+00:00
1753278060000,3.881,3.89,3.881,4,3.89,391,3.883679,2025-07-23 13:41:00+00:00
1753279080000,3.86,3.88,3.86,14,3.88,4454,3.875027,2025-07-23 13:58:00+00:00
1753279800000,3.8639,3.8639,3.8639,1,3.8639,1000,3.8639,2025-07-23 14:10:00+00:00
1753279920000,3.885,3.885,3.885,1,3.885,221,3.885,2025-07-23 14:12:00+00:00
1753280100000,3.8833,3.8833,3.8833,3,3.8833,137,3.8833,2025-07-23 14:15:00+00:00
1753280880000,3.9024,3.9024,3.9024,1,3.9024,100,3.9024,2025-07-23 14:28:00+00:00
1753281000000,3.92,3.92,3.91,11,3.91,2534,3.919167,2025-07-23 14:30:00+00:00
1753281300000,3.9439,3.9439,3.9439,2,3.9439,250,3.9439,2025-07-23 14:35:00+00:00
1753281360000,3.8711,3.8711,3.8711,1,3.8711,106,3.8711,2025-07-23 14:36:00+00:00
1753281780000,3.97,3.97,3.97,1,3.97,1413,3.97,2025-07-23 14:43:00+00:00
1753281900000,3.98,3.98,3.98,2,3.98,253,3.98,2025-07-23 14:45:00+00:00
1753282380000,3.98,3.98,3.98,2,3.98,302,3.98,2025-07-23 14:53:00+00:00
1753282560000,3.9759,3.9759,3.9759,1,3.9759,1770,3.9759,2025-07-23 14:56:00+00:00
1753282860000,3.98,3.98,3.97,12,3.97,1385,3.9775,2025-07-23 15:01:00+00:00
1753283040000,3.9813,3.9813,3.9813,1,3.9813,700,3.9813,2025-07-23 15:04:00+00:00
1753283340000,3.9895,3.9895,3.9895,1,3.9895,500,3.9895,2025-07-23 15:09:00+00:00
1753283760000,3.943,3.943,3.943,1,3.943,170,3.943,2025-07-23 15:16:00+00:00
1753285140000,3.94,3.94,3.89,3,3.89,2623,3.896946,2025-07-23 15:39:00+00:00
1753285560000,3.89,3.89,3.89,1,3.89,200,3.89,2025-07-23 15:46:00+00:00
1753285620000,3.9837,3.9837,3.9837,2,3.9837,201,3.9837,2025-07-23 15:47:00+00:00
1753285740000,3.9899,3.9899,3.9899,2,3.9899,151,3.9899,2025-07-23 15:49:00+00:00
1753285800000,3.9829,3.9829,3.9829,2,3.9829,170,3.9829,2025-07-23 15:50:00+00:00
1753285860000,3.9629,3.9629,3.9629,1,3.9629,200,3.9629,2025-07-23 15:51:00+00:00
1753286280000,3.9826,3.9826,3.9826,1,3.9826,175,3.9826,2025-07-23 15:58:00+00:00
1753286340000,3.94,3.94,3.94,1,3.94,175,3.94,2025-07-23 15:59:00+00:00
