timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757608620000,36.13,38.05,35.1,6832,36.0,5772005,35.998882,2025-09-11 16:37:00+00:00
1757608680000,34.41,36.69,33.66,15487,36.1297,2146005,35.371071,2025-09-11 16:38:00+00:00
1757608740000,34.81,34.985,33.99,15359,34.41,1516546,34.163097,2025-09-11 16:39:00+00:00
1757608800000,35.88,36.07,34.53,10618,34.81,1050924,35.722573,2025-09-11 16:40:00+00:00
1757608860000,35.0001,35.9,35.0,7188,35.88,618977,35.186082,2025-09-11 16:41:00+00:00
1757608920000,34.5837,35.19,34.0,8680,35.0,779045,34.48541,2025-09-11 16:42:00+00:00
1757608980000,34.3389,34.9584,34.17,5234,34.59,502888,34.622058,2025-09-11 16:43:00+00:00
1757609040000,33.5,34.5,33.5,7649,34.35,741900,33.958414,2025-09-11 16:44:00+00:00
1757609100000,33.19,33.66,33.1,7719,33.5,665557,33.282825,2025-09-11 16:45:00+00:00
1757609160000,32.7752,33.99,32.62,6972,33.19,664010,33.264966,2025-09-11 16:46:00+00:00
1757609220000,32.499,33.17,32.25,4896,32.75,446410,32.639626,2025-09-11 16:47:00+00:00
1757609280000,32.47,33.22,32.25,5259,32.415,509753,32.628404,2025-09-11 16:48:00+00:00
1757609340000,32.99,33.0,32.35,3040,32.4,260207,32.701519,2025-09-11 16:49:00+00:00
1757609400000,33.633,33.97,32.965,4620,32.97,452237,33.606872,2025-09-11 16:50:00+00:00
1757609460000,33.765,33.8,33.16,2949,33.6517,292536,33.501866,2025-09-11 16:51:00+00:00
1757609520000,33.4001,34.43,33.4001,5174,33.765,557976,34.042366,2025-09-11 16:52:00+00:00
1757609580000,33.35,33.79,33.06,2768,33.41,246063,33.340521,2025-09-11 16:53:00+00:00
1757609640000,32.39,33.36,31.65,5871,33.31,713255,32.318168,2025-09-11 16:54:00+00:00
1757609700000,31.935,32.47,31.53,3390,32.41,357594,31.87378,2025-09-11 16:55:00+00:00
1757609760000,31.6,31.96,31.51,3410,31.935,429649,31.677167,2025-09-11 16:56:00+00:00
1757609820000,31.93,32.2,31.6,2682,31.6,297771,31.781908,2025-09-11 16:57:00+00:00
1757609880000,31.59,31.99,31.5,2075,31.8501,261505,31.634543,2025-09-11 16:58:00+00:00
1757609940000,31.555,31.94,31.5,2825,31.55,243989,31.601181,2025-09-11 16:59:00+00:00
1757610000000,30.9107,31.6,30.77,4139,31.555,511833,31.204103,2025-09-11 17:00:00+00:00
1757610060000,31.34,31.45,30.76,3604,30.91,397124,31.028825,2025-09-11 17:01:00+00:00
