timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757687460000,0.3713,0.372,0.3713,4,0.372,3276,0.371627,2025-09-12 14:31:00+00:00
1757687520000,0.3723,0.3723,0.3722,3,0.3722,2178,0.372209,2025-09-12 14:32:00+00:00
1757687580000,0.3724,0.3724,0.3724,3,0.3724,1710,0.3724,2025-09-12 14:33:00+00:00
1757687640000,0.3724,0.3724,0.3724,9,0.3724,488,0.3724,2025-09-12 14:34:00+00:00
1757687700000,0.3724,0.3725,0.3724,16,0.3724,1771,0.372419,2025-09-12 14:35:00+00:00
1757687760000,0.3724,0.3724,0.3716,9,0.3723,1110,0.372055,2025-09-12 14:36:00+00:00
1757687820000,0.37,0.3725,0.3699,46,0.3713,21509,0.370202,2025-09-12 14:37:00+00:00
1757687880000,0.3695,0.37,0.3694,60,0.37,39515,0.369833,2025-09-12 14:38:00+00:00
1757687940000,0.367,0.3694,0.367,71,0.3694,42390,0.368054,2025-09-12 14:39:00+00:00
1757688000000,0.3699,0.3699,0.367,18,0.367,4280,0.368054,2025-09-12 14:40:00+00:00
1757688060000,0.3688,0.3688,0.3688,4,0.3688,689,0.3688,2025-09-12 14:41:00+00:00
1757688120000,0.3693,0.3693,0.3693,6,0.3693,1307,0.3693,2025-09-12 14:42:00+00:00
1757688180000,0.3692,0.3692,0.3692,5,0.3692,2946,0.3692,2025-09-12 14:43:00+00:00
1757688240000,0.3693,0.3693,0.3692,4,0.3692,1295,0.369214,2025-09-12 14:44:00+00:00
1757688300000,0.3693,0.3693,0.3693,4,0.3693,1018,0.3693,2025-09-12 14:45:00+00:00
1757688360000,0.3699,0.37,0.3693,13,0.3693,1676,0.369777,2025-09-12 14:46:00+00:00
1757688420000,0.3698,0.3699,0.3698,10,0.3699,1389,0.369883,2025-09-12 14:47:00+00:00
1757688480000,0.3699,0.3699,0.3699,4,0.3699,1140,0.3699,2025-09-12 14:48:00+00:00
1757688540000,0.3699,0.3699,0.3698,7,0.3698,24275,0.369899,2025-09-12 14:49:00+00:00
1757688600000,0.3699,0.3699,0.3698,8,0.3699,61127,0.369851,2025-09-12 14:50:00+00:00
1757688660000,0.37,0.37,0.3699,3,0.3699,611,0.369917,2025-09-12 14:51:00+00:00
1757688720000,0.37,0.37,0.3699,4,0.3699,1213,0.369945,2025-09-12 14:52:00+00:00
1757688780000,0.37,0.37,0.3699,7,0.37,1400,0.369979,2025-09-12 14:53:00+00:00
1757688840000,0.3704,0.3708,0.3699,13,0.3699,2805,0.370043,2025-09-12 14:54:00+00:00
1757688900000,0.3709,0.3709,0.3709,2,0.3709,301,0.3709,2025-09-12 14:55:00+00:00
1757688960000,0.3709,0.371,0.3709,3,0.371,2066,0.37092,2025-09-12 14:56:00+00:00
1757689020000,0.3709,0.3709,0.3709,3,0.3709,6531,0.3709,2025-09-12 14:57:00+00:00
1757689080000,0.371,0.371,0.371,6,0.371,1605,0.371,2025-09-12 14:58:00+00:00
1757689140000,0.371,0.371,0.371,6,0.371,301,0.371,2025-09-12 14:59:00+00:00
1757689200000,0.3699,0.3709,0.3699,35,0.3709,4728,0.370276,2025-09-12 15:00:00+00:00
1757689260000,0.3698,0.3699,0.3698,9,0.3699,1468,0.369877,2025-09-12 15:01:00+00:00
1757689320000,0.365,0.3698,0.365,120,0.3698,79699,0.367095,2025-09-12 15:02:00+00:00
1757689380000,0.367,0.367,0.3661,32,0.3661,17365,0.366948,2025-09-12 15:03:00+00:00
1757689440000,0.3667,0.367,0.3659,43,0.367,13427,0.366675,2025-09-12 15:04:00+00:00
1757689500000,0.3668,0.3668,0.3666,17,0.3667,2194,0.366697,2025-09-12 15:05:00+00:00
1757689560000,0.3667,0.3668,0.3667,8,0.3668,1190,0.366732,2025-09-12 15:06:00+00:00
1757689680000,0.3667,0.3667,0.3667,6,0.3667,783,0.3667,2025-09-12 15:08:00+00:00
1757689740000,0.3667,0.3667,0.3667,3,0.3667,1594,0.3667,2025-09-12 15:09:00+00:00
1757689800000,0.3674,0.3675,0.3668,33,0.3668,23425,0.367468,2025-09-12 15:10:00+00:00
1757689860000,0.3674,0.3674,0.3674,3,0.3674,2056,0.3674,2025-09-12 15:11:00+00:00
1757689920000,0.3674,0.3674,0.3674,7,0.3674,700,0.3674,2025-09-12 15:12:00+00:00
1757689980000,0.3677,0.3677,0.3675,4,0.3675,704,0.367557,2025-09-12 15:13:00+00:00
1757690040000,0.3698,0.3698,0.3698,3,0.3698,1150,0.3698,2025-09-12 15:14:00+00:00
1757690100000,0.3698,0.3699,0.3688,25,0.3698,22512,0.369706,2025-09-12 15:15:00+00:00
1757690160000,0.3698,0.3698,0.3698,11,0.3698,2766,0.3698,2025-09-12 15:16:00+00:00
1757690280000,0.3698,0.3698,0.3694,4,0.3694,5010,0.369408,2025-09-12 15:18:00+00:00
1757690340000,0.3698,0.3698,0.3698,3,0.3698,201,0.3698,2025-09-12 15:19:00+00:00
1757690400000,0.3699,0.3699,0.3698,10,0.3699,1206,0.369864,2025-09-12 15:20:00+00:00
1757690460000,0.3699,0.3699,0.3693,4,0.3699,950,0.369433,2025-09-12 15:21:00+00:00
1757690520000,0.3693,0.3699,0.3693,4,0.3699,1933,0.369395,2025-09-12 15:22:00+00:00
1757690580000,0.3698,0.3698,0.3698,2,0.3698,109,0.3698,2025-09-12 15:23:00+00:00
1757690640000,0.3696,0.3696,0.3696,3,0.3696,304,0.3696,2025-09-12 15:24:00+00:00
1757690700000,0.3697,0.3697,0.3688,14,0.3693,10339,0.368822,2025-09-12 15:25:00+00:00
1757690760000,0.3691,0.3695,0.3691,2,0.3695,346,0.369216,2025-09-12 15:26:00+00:00
1757690820000,0.3683,0.3688,0.368,6,0.3688,6218,0.368157,2025-09-12 15:27:00+00:00
1757690880000,0.368,0.3687,0.368,7,0.3686,1380,0.368174,2025-09-12 15:28:00+00:00
1757690940000,0.368,0.3687,0.368,4,0.3687,1005,0.368629,2025-09-12 15:29:00+00:00
1757691000000,0.3695,0.37,0.368,41,0.368,22242,0.368826,2025-09-12 15:30:00+00:00
1757691060000,0.3695,0.3695,0.3695,5,0.3695,740,0.3695,2025-09-12 15:31:00+00:00
1757691120000,0.3692,0.3692,0.3692,1,0.3692,1000,0.3692,2025-09-12 15:32:00+00:00
1757691360000,0.369,0.3692,0.369,5,0.3692,863,0.369125,2025-09-12 15:36:00+00:00
1757691420000,0.3693,0.3694,0.3693,5,0.3693,500,0.36934,2025-09-12 15:37:00+00:00
1757691480000,0.3693,0.3694,0.368,22,0.3688,31029,0.368285,2025-09-12 15:38:00+00:00
1757691540000,0.3693,0.3693,0.3693,11,0.3693,730,0.3693,2025-09-12 15:39:00+00:00
1757691660000,0.3681,0.3691,0.3681,2,0.3691,6250,0.36814,2025-09-12 15:41:00+00:00
