timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757700120000,21.57,21.575,21.5607,17,21.5607,2076,21.565803,2025-09-12 18:02:00+00:00
1757700180000,21.575,21.6,21.55,27,21.55,4974,21.576152,2025-09-12 18:03:00+00:00
1757700240000,21.505,21.58,21.5,28,21.58,4753,21.54305,2025-09-12 18:04:00+00:00
1757700300000,21.52,21.53,21.5,33,21.52,5805,21.518299,2025-09-12 18:05:00+00:00
1757700360000,21.555,21.565,21.521,33,21.55,3926,21.541071,2025-09-12 18:06:00+00:00
1757700420000,21.545,21.545,21.53,17,21.531,1538,21.536293,2025-09-12 18:07:00+00:00
1757700480000,21.5133,21.59,21.5133,48,21.57,5473,21.572243,2025-09-12 18:08:00+00:00
1757700540000,21.39,21.5236,21.39,117,21.5236,10094,21.441516,2025-09-12 18:09:00+00:00
1757700600000,21.345,21.37,21.31,56,21.36,15642,21.327296,2025-09-12 18:10:00+00:00
1757700660000,21.29,21.333,21.28,70,21.3237,35049,21.301531,2025-09-12 18:11:00+00:00
1757700720000,21.4,21.4,21.29,42,21.29,5493,21.361193,2025-09-12 18:12:00+00:00
1757700780000,21.405,21.42,21.34,19,21.3474,3215,21.372516,2025-09-12 18:13:00+00:00
1757700840000,21.4,21.4,21.3782,16,21.3782,506,21.3891,2025-09-12 18:14:00+00:00
1757700900000,21.375,21.405,21.375,19,21.405,1473,21.394167,2025-09-12 18:15:00+00:00
1757700960000,21.3305,21.36,21.325,10,21.36,556,21.335722,2025-09-12 18:16:00+00:00
1757701020000,21.3378,21.36,21.315,28,21.3495,3540,21.338555,2025-09-12 18:17:00+00:00
1757701080000,21.33,21.35,21.33,24,21.34,2609,21.337375,2025-09-12 18:18:00+00:00
1757701140000,21.43,21.43,21.31,79,21.31,11143,21.360309,2025-09-12 18:19:00+00:00
1757701200000,21.56,21.56,21.47,34,21.49,5246,21.494312,2025-09-12 18:20:00+00:00
1757701260000,21.5599,21.59,21.521,46,21.5603,5014,21.575232,2025-09-12 18:21:00+00:00
1757701320000,21.541,21.57,21.51,17,21.51,916,21.532032,2025-09-12 18:22:00+00:00
1757701380000,21.65,21.66,21.55,101,21.55,21533,21.613034,2025-09-12 18:23:00+00:00
1757701440000,21.65,21.66,21.62,87,21.64,13490,21.63989,2025-09-12 18:24:00+00:00
1757701500000,21.72,21.74,21.65,134,21.66,36024,21.662106,2025-09-12 18:25:00+00:00
1757701560000,21.85,21.85,21.74,170,21.74,31168,21.801642,2025-09-12 18:26:00+00:00
1757701620000,21.825,21.8699,21.82,49,21.85,8470,21.860964,2025-09-12 18:27:00+00:00
1757701680000,21.8674,21.8712,21.8236,98,21.83,14229,21.848683,2025-09-12 18:28:00+00:00
1757701740000,21.88,21.89,21.82,63,21.84,10934,21.869623,2025-09-12 18:29:00+00:00
1757701800000,21.9,21.9498,21.88,125,21.89,15532,21.916815,2025-09-12 18:30:00+00:00
1757701860000,21.95,21.9565,21.88,76,21.91,6840,21.92144,2025-09-12 18:31:00+00:00
1757701920000,21.9555,21.9865,21.94,94,21.96,12161,21.965894,2025-09-12 18:32:00+00:00
1757701980000,21.975,21.99,21.951,71,21.96,12673,21.969598,2025-09-12 18:33:00+00:00
1757702040000,21.8601,21.98,21.84,145,21.94,26020,21.899308,2025-09-12 18:34:00+00:00
1757702100000,21.8824,21.89,21.84,68,21.86,8915,21.8602,2025-09-12 18:35:00+00:00
1757702160000,21.905,21.9092,21.87,41,21.87,4310,21.895022,2025-09-12 18:36:00+00:00
1757702220000,21.99,21.99,21.89,118,21.905,16200,21.962217,2025-09-12 18:37:00+00:00
1757702280000,22.11,22.12,21.98,307,21.9891,39748,22.018444,2025-09-12 18:38:00+00:00
1757702340000,22.0307,22.14,22.0307,83,22.125,23883,22.086773,2025-09-12 18:39:00+00:00
1757702400000,22.15,22.15,22.042,100,22.05,18230,22.126797,2025-09-12 18:40:00+00:00
1757702460000,22.31,22.31,22.17,225,22.18,21919,22.256495,2025-09-12 18:41:00+00:00
1757702520000,22.25,22.32,22.2347,134,22.315,18417,22.273876,2025-09-12 18:42:00+00:00
1757702580000,22.16,22.264,22.1138,110,22.255,17694,22.190248,2025-09-12 18:43:00+00:00
1757702640000,22.08,22.1588,22.07,92,22.1588,12523,22.103097,2025-09-12 18:44:00+00:00
1757702700000,22.23,22.2399,22.08,79,22.08,27918,22.142234,2025-09-12 18:45:00+00:00
1757702760000,22.2811,22.2811,22.22,63,22.2399,8848,22.242038,2025-09-12 18:46:00+00:00
1757702820000,22.31,22.31,22.2133,66,22.285,20857,22.279468,2025-09-12 18:47:00+00:00
1757702880000,22.25,22.295,22.2104,31,22.295,3937,22.250143,2025-09-12 18:48:00+00:00
1757702940000,22.085,22.225,22.0736,87,22.225,11315,22.166914,2025-09-12 18:49:00+00:00
1757703000000,22.2,22.24,22.09,99,22.09,14328,22.195012,2025-09-12 18:50:00+00:00
1757703060000,22.32,22.33,22.135,58,22.2,8462,22.239497,2025-09-12 18:51:00+00:00
1757703120000,22.47,22.48,22.31,193,22.3192,33236,22.41142,2025-09-12 18:52:00+00:00
1757703180000,22.42,22.505,22.42,150,22.48,22253,22.462825,2025-09-12 18:53:00+00:00
1757703240000,22.3,22.4,22.28,45,22.4,7429,22.331252,2025-09-12 18:54:00+00:00
1757703300000,22.25,22.3,22.25,67,22.275,6755,22.280152,2025-09-12 18:55:00+00:00
1757703360000,22.24,22.24,22.19,48,22.19,8516,22.202403,2025-09-12 18:56:00+00:00
1757703420000,22.24,22.2636,22.215,27,22.2297,1883,22.241289,2025-09-12 18:57:00+00:00
1757703480000,22.33,22.35,22.1972,87,22.25,9234,22.247418,2025-09-12 18:58:00+00:00
1757703540000,22.295,22.365,22.28,66,22.35,7223,22.329766,2025-09-12 18:59:00+00:00
1757703600000,22.36,22.36,22.295,73,22.3,8625,22.331957,2025-09-12 19:00:00+00:00
1757703660000,22.425,22.425,22.34,51,22.35,3804,22.365064,2025-09-12 19:01:00+00:00
1757703720000,22.39,22.42,22.37,51,22.39,9054,22.395086,2025-09-12 19:02:00+00:00
1757703780000,22.375,22.435,22.37,42,22.37,4108,22.406292,2025-09-12 19:03:00+00:00
1757703840000,22.4,22.46,22.37,87,22.3864,17916,22.412449,2025-09-12 19:04:00+00:00
1757703900000,22.505,22.55,22.39,110,22.415,9352,22.455893,2025-09-12 19:05:00+00:00
1757703960000,22.5276,22.58,22.5,241,22.52,34929,22.546152,2025-09-12 19:06:00+00:00
1757704020000,22.61,22.63,22.55,240,22.55,37437,22.586646,2025-09-12 19:07:00+00:00
1757704080000,22.54,22.6171,22.5233,75,22.6171,15965,22.551867,2025-09-12 19:08:00+00:00
1757704140000,22.49,22.54,22.4815,92,22.54,17841,22.510792,2025-09-12 19:09:00+00:00
1757704200000,22.63,22.63,22.49,105,22.49,13779,22.540734,2025-09-12 19:10:00+00:00
1757704260000,22.4467,22.66,22.4,155,22.63,26893,22.49151,2025-09-12 19:11:00+00:00
1757704320000,22.2904,22.465,22.2904,112,22.4415,16344,22.330594,2025-09-12 19:12:00+00:00
1757704380000,22.345,22.4374,22.29,135,22.29,26339,22.375931,2025-09-12 19:13:00+00:00
1757704440000,22.3535,22.41,22.33,72,22.37,11647,22.354927,2025-09-12 19:14:00+00:00
1757704500000,22.44,22.4899,22.3526,103,22.355,15329,22.392688,2025-09-12 19:15:00+00:00
1757704560000,22.5365,22.565,22.46,65,22.46,16430,22.515983,2025-09-12 19:16:00+00:00
1757704620000,22.62,22.645,22.5,74,22.52,11936,22.596576,2025-09-12 19:17:00+00:00
1757704680000,22.6,22.6699,22.6,65,22.65,9224,22.647736,2025-09-12 19:18:00+00:00
1757704740000,22.64,22.7,22.6,111,22.62,14029,22.65483,2025-09-12 19:19:00+00:00
1757704800000,22.61,22.65,22.6,51,22.6418,5894,22.624676,2025-09-12 19:20:00+00:00
1757704860000,22.56,22.6045,22.55,67,22.59,24109,22.573924,2025-09-12 19:21:00+00:00
1757704920000,22.585,22.59,22.51,33,22.53,2474,22.555323,2025-09-12 19:22:00+00:00
1757704980000,22.5,22.6,22.5,41,22.585,7894,22.563366,2025-09-12 19:23:00+00:00
1757705040000,22.61,22.61,22.482,61,22.5,5639,22.517193,2025-09-12 19:24:00+00:00
1757705100000,22.665,22.665,22.62,81,22.62,9271,22.638699,2025-09-12 19:25:00+00:00
1757705160000,22.6033,22.67,22.6033,87,22.66,13829,22.661969,2025-09-12 19:26:00+00:00
1757705220000,22.631,22.66,22.5829,57,22.64,13818,22.605615,2025-09-12 19:27:00+00:00
1757705280000,22.6246,22.65,22.61,175,22.63,45325,22.631798,2025-09-12 19:28:00+00:00
