timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756133700000,3.35,3.37,3.35,10,3.37,10718,3.350999,2025-08-25 14:55:00+00:00
1756133820000,3.35,3.35,3.35,2,3.35,251,3.35,2025-08-25 14:57:00+00:00
1756133880000,3.3408,3.3408,3.3408,1,3.3408,300,3.3408,2025-08-25 14:58:00+00:00
1756134060000,3.3627,3.3627,3.3627,1,3.3627,2500,3.3627,2025-08-25 15:01:00+00:00
1756134120000,3.3101,3.37,3.3101,3,3.37,1131,3.31555,2025-08-25 15:02:00+00:00
1756134180000,3.3146,3.37,3.3146,2,3.37,1100,3.319636,2025-08-25 15:03:00+00:00
1756134240000,3.39,3.39,3.3684,3,3.3684,219,3.3792,2025-08-25 15:04:00+00:00
1756134360000,3.39,3.39,3.39,2,3.39,105,3.39,2025-08-25 15:06:00+00:00
1756134480000,3.37,3.37,3.37,2,3.37,200,3.37,2025-08-25 15:08:00+00:00
1756134840000,3.37,3.37,3.37,2,3.37,501,3.37,2025-08-25 15:14:00+00:00
1756134960000,3.37,3.37,3.37,1,3.37,100,3.37,2025-08-25 15:16:00+00:00
1756135200000,3.37,3.37,3.37,2,3.37,103,3.37,2025-08-25 15:20:00+00:00
1756135380000,3.33,3.35,3.33,11,3.35,2756,3.34612,2025-08-25 15:23:00+00:00
1756135500000,3.35,3.35,3.33,9,3.33,11300,3.347578,2025-08-25 15:25:00+00:00
1756135680000,3.3312,3.3312,3.3312,4,3.3312,4530,3.3312,2025-08-25 15:28:00+00:00
1756135740000,3.345,3.345,3.345,1,3.345,100,3.345,2025-08-25 15:29:00+00:00
1756135860000,3.345,3.345,3.345,3,3.345,1002,3.345,2025-08-25 15:31:00+00:00
1756136160000,3.3779,3.3779,3.3779,1,3.3779,900,3.3779,2025-08-25 15:36:00+00:00
1756136220000,3.3101,3.3101,3.3101,8,3.3101,1028,3.3101,2025-08-25 15:37:00+00:00
1756136460000,3.35,3.35,3.32,2,3.32,200,3.335,2025-08-25 15:41:00+00:00
1756136520000,3.3728,3.3728,3.3728,1,3.3728,260,3.3728,2025-08-25 15:42:00+00:00
1756136760000,3.35,3.35,3.35,1,3.35,100,3.35,2025-08-25 15:46:00+00:00
1756137060000,3.35,3.35,3.35,4,3.35,910,3.35,2025-08-25 15:51:00+00:00
1756137120000,3.3206,3.3206,3.3206,2,3.3206,1034,3.3206,2025-08-25 15:52:00+00:00
1756137360000,3.28,3.32,3.28,23,3.32,3249,3.303051,2025-08-25 15:56:00+00:00
1756137420000,3.28,3.28,3.28,3,3.28,1004,3.28,2025-08-25 15:57:00+00:00
1756137540000,3.3765,3.3765,3.3765,2,3.3765,3503,3.3765,2025-08-25 15:59:00+00:00
1756137600000,3.31,3.31,3.31,2,3.31,154,3.31,2025-08-25 16:00:00+00:00
1756137660000,3.33,3.33,3.3163,3,3.3163,957,3.317732,2025-08-25 16:01:00+00:00
1756137720000,3.33,3.33,3.33,1,3.33,100,3.33,2025-08-25 16:02:00+00:00
1756137780000,3.33,3.33,3.33,1,3.33,100,3.33,2025-08-25 16:03:00+00:00
1756137840000,3.3493,3.3493,3.33,4,3.33,550,3.334289,2025-08-25 16:04:00+00:00
1756138020000,3.28,3.2801,3.28,5,3.28,1900,3.280022,2025-08-25 16:07:00+00:00
1756138080000,3.28,3.28,3.28,2,3.28,938,3.28,2025-08-25 16:08:00+00:00
1756138140000,3.3489,3.3489,3.3489,1,3.3489,650,3.3489,2025-08-25 16:09:00+00:00
1756138200000,3.3115,3.3115,3.3115,2,3.3115,252,3.3115,2025-08-25 16:10:00+00:00
1756138500000,3.315,3.315,3.315,2,3.315,125,3.315,2025-08-25 16:15:00+00:00
1756138800000,3.22,3.3,3.22,40,3.3,5177,3.274387,2025-08-25 16:20:00+00:00
1756139040000,3.3239,3.3239,3.3239,3,3.3239,300,3.3239,2025-08-25 16:24:00+00:00
1756139220000,3.29,3.29,3.29,3,3.29,570,3.29,2025-08-25 16:27:00+00:00
1756139340000,3.2546,3.2546,3.2546,2,3.2546,495,3.2546,2025-08-25 16:29:00+00:00
1756139460000,3.29,3.29,3.29,2,3.29,110,3.29,2025-08-25 16:31:00+00:00
1756139580000,3.18,3.251,3.16,233,3.251,54644,3.169533,2025-08-25 16:33:00+00:00
1756139640000,3.1601,3.2,3.1601,8,3.2,1745,3.190006,2025-08-25 16:34:00+00:00
1756139760000,3.16,3.16,3.16,3,3.16,166,3.16,2025-08-25 16:36:00+00:00
1756139820000,3.185,3.2,3.17,3,3.2,1000,3.1745,2025-08-25 16:37:00+00:00
1756139880000,3.2,3.2,3.185,61,3.185,4745,3.197201,2025-08-25 16:38:00+00:00
1756139940000,3.25,3.259,3.22,9,3.259,4029,3.253126,2025-08-25 16:39:00+00:00
1756140000000,3.22,3.24,3.21,13,3.21,11056,3.236652,2025-08-25 16:40:00+00:00
1756140060000,3.22,3.22,3.22,2,3.22,150,3.22,2025-08-25 16:41:00+00:00
1756140120000,3.22,3.235,3.22,8,3.22,1175,3.227273,2025-08-25 16:42:00+00:00
1756140180000,3.25,3.25,3.22,14,3.22,10200,3.247188,2025-08-25 16:43:00+00:00
1756140240000,3.2325,3.2325,3.2325,5,3.2325,525,3.2325,2025-08-25 16:44:00+00:00
1756140300000,3.2408,3.25,3.2408,4,3.25,1400,3.242215,2025-08-25 16:45:00+00:00
1756140420000,3.2054,3.2054,3.2054,1,3.2054,1000,3.2054,2025-08-25 16:47:00+00:00
1756140480000,3.2,3.2,3.1807,2,3.1807,1200,3.183917,2025-08-25 16:48:00+00:00
1756140540000,3.24,3.24,3.2,7,3.215,880,3.215,2025-08-25 16:49:00+00:00
1756140660000,3.2,3.22,3.2,5,3.22,1343,3.204468,2025-08-25 16:51:00+00:00
1756140720000,3.22,3.22,3.22,3,3.22,392,3.22,2025-08-25 16:52:00+00:00
1756140780000,3.2499,3.2499,3.21,3,3.21,1270,3.240324,2025-08-25 16:53:00+00:00
1756140840000,3.21,3.22,3.21,2,3.22,400,3.2175,2025-08-25 16:54:00+00:00
1756140900000,3.2001,3.2001,3.2001,1,3.2001,250,3.2001,2025-08-25 16:55:00+00:00
1756141140000,3.225,3.225,3.225,1,3.225,100,3.225,2025-08-25 16:59:00+00:00
1756141380000,3.2495,3.2495,3.225,3,3.225,1105,3.247273,2025-08-25 17:03:00+00:00
1756141500000,3.2,3.2,3.2,4,3.2,337,3.2,2025-08-25 17:05:00+00:00
1756141620000,3.22,3.225,3.22,2,3.225,300,3.221667,2025-08-25 17:07:00+00:00
1756141680000,3.215,3.215,3.2,14,3.2,563,3.20375,2025-08-25 17:08:00+00:00
1756141740000,3.225,3.23,3.22,6,3.22,2160,3.2249,2025-08-25 17:09:00+00:00
1756141800000,3.215,3.22,3.21,8,3.22,12637,3.214458,2025-08-25 17:10:00+00:00
1756141920000,3.2,3.215,3.2,19,3.2025,3214,3.202496,2025-08-25 17:12:00+00:00
1756141980000,3.21,3.21,3.21,2,3.21,754,3.21,2025-08-25 17:13:00+00:00
1756142040000,3.1814,3.1814,3.1814,1,3.1814,1000,3.1814,2025-08-25 17:14:00+00:00
1756142100000,3.21,3.21,3.1814,4,3.1814,1112,3.184,2025-08-25 17:15:00+00:00
1756142160000,3.15,3.21,3.14,37,3.21,7850,3.157688,2025-08-25 17:16:00+00:00
1756142280000,3.1879,3.1879,3.175,4,3.175,8200,3.187585,2025-08-25 17:18:00+00:00
1756142340000,3.1539,3.1539,3.1537,3,3.1537,1601,3.153825,2025-08-25 17:19:00+00:00
1756142400000,3.16,3.16,3.16,4,3.16,233,3.16,2025-08-25 17:20:00+00:00
1756142580000,3.15,3.16,3.15,3,3.16,294,3.156,2025-08-25 17:23:00+00:00
1756142700000,3.165,3.1797,3.1552,8,3.165,1554,3.164477,2025-08-25 17:25:00+00:00
1756142760000,3.18,3.18,3.179,3,3.179,2953,3.179661,2025-08-25 17:26:00+00:00
1756142820000,3.1528,3.1528,3.1528,2,3.1528,950,3.1528,2025-08-25 17:27:00+00:00
1756142880000,3.1501,3.165,3.1501,5,3.165,316,3.160033,2025-08-25 17:28:00+00:00
1756142940000,3.165,3.17,3.15,7,3.165,1049,3.1577,2025-08-25 17:29:00+00:00
1756143000000,3.17,3.17,3.14,104,3.17,12081,3.164988,2025-08-25 17:30:00+00:00
1756143060000,3.16,3.16,3.16,6,3.16,10776,3.16,2025-08-25 17:31:00+00:00
1756143120000,3.18,3.18,3.16,32,3.16,10259,3.177162,2025-08-25 17:32:00+00:00
1756143300000,3.2,3.205,3.2,6,3.2,10205,3.20005,2025-08-25 17:35:00+00:00
1756143480000,3.2094,3.2094,3.2094,2,3.2094,102,3.2094,2025-08-25 17:38:00+00:00
1756143660000,3.185,3.185,3.185,4,3.185,350,3.185,2025-08-25 17:41:00+00:00
1756143840000,3.185,3.185,3.1601,7,3.18,1275,3.170467,2025-08-25 17:44:00+00:00
1756143960000,3.18,3.19,3.18,5,3.19,360,3.183333,2025-08-25 17:46:00+00:00
1756144080000,3.18,3.18,3.18,1,3.18,100,3.18,2025-08-25 17:48:00+00:00
1756144140000,3.1625,3.1625,3.1625,3,3.1625,2760,3.1625,2025-08-25 17:49:00+00:00
1756144200000,3.186,3.186,3.186,1,3.186,100,3.186,2025-08-25 17:50:00+00:00
1756144260000,3.168,3.1859,3.168,3,3.18,425,3.179247,2025-08-25 17:51:00+00:00
1756144320000,3.18,3.18,3.18,2,3.18,150,3.18,2025-08-25 17:52:00+00:00
1756144380000,3.19,3.19,3.19,3,3.19,1219,3.19,2025-08-25 17:53:00+00:00
1756144440000,3.18,3.18,3.18,3,3.18,1023,3.18,2025-08-25 17:54:00+00:00
1756144500000,3.16,3.16,3.16,17,3.16,6100,3.16,2025-08-25 17:55:00+00:00
1756144620000,3.144,3.144,3.144,2,3.144,1001,3.144,2025-08-25 17:57:00+00:00
1756144680000,3.17,3.17,3.17,1,3.17,120,3.17,2025-08-25 17:58:00+00:00
1756144740000,3.16,3.1772,3.16,8,3.1772,525,3.17376,2025-08-25 17:59:00+00:00
1756144920000,3.155,3.18,3.155,30,3.18,1140,3.16875,2025-08-25 18:02:00+00:00
1756144980000,3.14,3.18,3.14,18,3.165,10680,3.179229,2025-08-25 18:03:00+00:00
1756145100000,3.16,3.16,3.15,11,3.16,10537,3.159724,2025-08-25 18:05:00+00:00
1756145160000,3.19,3.19,3.165,7,3.165,1362,3.174129,2025-08-25 18:06:00+00:00
1756145220000,3.1809,3.185,3.1809,2,3.185,1400,3.181193,2025-08-25 18:07:00+00:00
1756145280000,3.185,3.185,3.1805,11,3.1805,9518,3.180597,2025-08-25 18:08:00+00:00
1756145340000,3.185,3.185,3.185,2,3.185,2590,3.185,2025-08-25 18:09:00+00:00
1756145400000,3.185,3.185,3.185,2,3.185,114,3.185,2025-08-25 18:10:00+00:00
1756145520000,3.17,3.17,3.17,11,3.17,385,3.17,2025-08-25 18:12:00+00:00
1756145580000,3.18,3.18,3.18,2,3.18,157,3.18,2025-08-25 18:13:00+00:00
1756145640000,3.17,3.17,3.17,12,3.17,1386,3.17,2025-08-25 18:14:00+00:00
1756145700000,3.17,3.17,3.16,10,3.1602,3086,3.162711,2025-08-25 18:15:00+00:00
1756145820000,3.155,3.155,3.14,4,3.14,330,3.1475,2025-08-25 18:17:00+00:00
1756145940000,3.17,3.17,3.17,6,3.17,344,3.17,2025-08-25 18:19:00+00:00
1756146000000,3.1526,3.17,3.1526,5,3.17,4913,3.158226,2025-08-25 18:20:00+00:00
1756146060000,3.155,3.155,3.155,1,3.155,120,3.155,2025-08-25 18:21:00+00:00
1756146120000,3.155,3.155,3.155,4,3.155,233,3.155,2025-08-25 18:22:00+00:00
1756146300000,3.155,3.17,3.155,6,3.17,10242,3.169793,2025-08-25 18:25:00+00:00
1756146360000,3.17,3.17,3.17,5,3.17,1688,3.17,2025-08-25 18:26:00+00:00
1756146420000,3.1459,3.1459,3.1459,3,3.1459,107,3.1459,2025-08-25 18:27:00+00:00
1756146480000,3.175,3.175,3.155,12,3.17,10742,3.16976,2025-08-25 18:28:00+00:00
1756146720000,3.15,3.15,3.15,19,3.15,1398,3.15,2025-08-25 18:32:00+00:00
1756146780000,3.14,3.155,3.14,4,3.155,301,3.1475,2025-08-25 18:33:00+00:00
1756146840000,3.17,3.17,3.17,1,3.17,100,3.17,2025-08-25 18:34:00+00:00
1756147020000,3.18,3.18,3.18,3,3.18,110,3.18,2025-08-25 18:37:00+00:00
1756147080000,3.2,3.2,3.18,8,3.18,556,3.19,2025-08-25 18:38:00+00:00
1756147140000,3.18,3.18,3.18,2,3.18,1070,3.18,2025-08-25 18:39:00+00:00
1756147200000,3.18,3.1811,3.18,3,3.1811,1350,3.180169,2025-08-25 18:40:00+00:00
1756147260000,3.2,3.21,3.19,33,3.19,12062,3.19969,2025-08-25 18:41:00+00:00
1756147320000,3.2,3.205,3.2,9,3.2,8700,3.200058,2025-08-25 18:42:00+00:00
1756147440000,3.18,3.18,3.18,3,3.18,155,3.18,2025-08-25 18:44:00+00:00
1756147560000,3.18,3.18,3.18,3,3.18,215,3.18,2025-08-25 18:46:00+00:00
1756147620000,3.18,3.18,3.18,1,3.18,100,3.18,2025-08-25 18:47:00+00:00
1756147680000,3.1891,3.1891,3.1891,3,3.1891,1680,3.1891,2025-08-25 18:48:00+00:00
1756147740000,3.181,3.19,3.181,6,3.19,705,3.188714,2025-08-25 18:49:00+00:00
1756147800000,3.2,3.2,3.2,3,3.2,484,3.2,2025-08-25 18:50:00+00:00
1756147860000,3.1802,3.19,3.1802,3,3.19,720,3.188639,2025-08-25 18:51:00+00:00
1756147980000,3.18,3.18,3.18,2,3.18,200,3.18,2025-08-25 18:53:00+00:00
1756148040000,3.185,3.185,3.185,1,3.185,500,3.185,2025-08-25 18:54:00+00:00
1756148100000,3.19,3.19,3.19,4,3.19,1900,3.19,2025-08-25 18:55:00+00:00
1756148280000,3.2033,3.21,3.2033,5,3.21,355,3.206035,2025-08-25 18:58:00+00:00
1756148340000,3.1974,3.2,3.1974,11,3.2,11640,3.199775,2025-08-25 18:59:00+00:00
1756148520000,3.195,3.195,3.195,4,3.195,281,3.195,2025-08-25 19:02:00+00:00
1756148580000,3.19,3.19,3.19,1,3.19,220,3.19,2025-08-25 19:03:00+00:00
1756148640000,3.205,3.205,3.2,4,3.2,320,3.2025,2025-08-25 19:04:00+00:00
1756148700000,3.205,3.205,3.205,4,3.205,340,3.205,2025-08-25 19:05:00+00:00
1756148760000,3.21,3.21,3.21,13,3.21,7522,3.21,2025-08-25 19:06:00+00:00
1756148880000,3.23,3.23,3.21,23,3.21,1471,3.214718,2025-08-25 19:08:00+00:00
1756148940000,3.23,3.23,3.23,4,3.23,2500,3.23,2025-08-25 19:09:00+00:00
1756149000000,3.2201,3.2222,3.2201,2,3.2222,1500,3.2208,2025-08-25 19:10:00+00:00
