timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757342220000,1.425,1.43,1.425,14,1.4287,4187,1.429545,2025-09-08 14:37:00+00:00
1757342280000,1.43,1.43,1.425,18,1.43,667,1.426842,2025-09-08 14:38:00+00:00
1757342340000,1.425,1.43,1.425,10,1.425,831,1.425907,2025-09-08 14:39:00+00:00
1757342400000,1.425,1.43,1.425,5,1.43,229,1.4275,2025-09-08 14:40:00+00:00
1757342460000,1.425,1.43,1.425,4,1.43,253,1.4275,2025-09-08 14:41:00+00:00
1757342520000,1.425,1.43,1.425,11,1.425,917,1.42875,2025-09-08 14:42:00+00:00
1757342580000,1.425,1.43,1.425,7,1.425,671,1.425833,2025-09-08 14:43:00+00:00
1757342640000,1.425,1.43,1.4205,28,1.425,4871,1.424973,2025-09-08 14:44:00+00:00
1757342700000,1.425,1.43,1.425,10,1.43,1229,1.425909,2025-09-08 14:45:00+00:00
1757342760000,1.425,1.43,1.425,8,1.43,1981,1.427857,2025-09-08 14:46:00+00:00
1757342820000,1.4282,1.43,1.4201,8,1.4201,1285,1.427966,2025-09-08 14:47:00+00:00
1757342880000,1.43,1.43,1.4227,7,1.43,438,1.428175,2025-09-08 14:48:00+00:00
1757342940000,1.43,1.43,1.425,14,1.425,1492,1.429664,2025-09-08 14:49:00+00:00
1757343000000,1.425,1.43,1.425,10,1.43,831,1.428868,2025-09-08 14:50:00+00:00
1757343060000,1.435,1.44,1.425,51,1.43,9140,1.430799,2025-09-08 14:51:00+00:00
1757343120000,1.44,1.44,1.435,10,1.435,3413,1.435313,2025-09-08 14:52:00+00:00
1757343180000,1.425,1.44,1.425,46,1.44,18557,1.431291,2025-09-08 14:53:00+00:00
1757343300000,1.425,1.425,1.425,5,1.425,335,1.425,2025-09-08 14:55:00+00:00
1757343360000,1.4269,1.4269,1.4269,2,1.4269,114,1.4269,2025-09-08 14:56:00+00:00
1757343600000,1.425,1.43,1.425,15,1.43,1146,1.42559,2025-09-08 15:00:00+00:00
1757343720000,1.43,1.43,1.425,7,1.43,612,1.428,2025-09-08 15:02:00+00:00
1757343780000,1.43,1.43,1.425,6,1.425,2190,1.428307,2025-09-08 15:03:00+00:00
