timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750780020000,1.2856,1.2856,1.2856,3,1.2856,202,1.2856,2025-06-24 15:47:00+00:00
1750781040000,1.2999,1.2999,1.2999,1,1.2999,800,1.2999,2025-06-24 16:04:00+00:00
1750781280000,1.2793,1.29,1.2793,3,1.29,2200,1.285623,2025-06-24 16:08:00+00:00
1750782240000,1.272,1.272,1.272,1,1.272,121,1.272,2025-06-24 16:24:00+00:00
1750782540000,1.28,1.29,1.28,9,1.28,897,1.281338,2025-06-24 16:29:00+00:00
1750782600000,1.2701,1.2701,1.2701,2,1.2701,3060,1.2701,2025-06-24 16:30:00+00:00
1750784160000,1.2882,1.295,1.28,13,1.295,7016,1.285519,2025-06-24 16:56:00+00:00
1750784820000,1.2754,1.2754,1.2714,2,1.2714,2000,1.2743,2025-06-24 17:07:00+00:00
1750785000000,1.2718,1.2718,1.2718,1,1.2718,250,1.2718,2025-06-24 17:10:00+00:00
1750785180000,1.2707,1.2707,1.2707,1,1.2707,156,1.2707,2025-06-24 17:13:00+00:00
1750786080000,1.29,1.29,1.29,1,1.29,250,1.29,2025-06-24 17:28:00+00:00
1750786200000,1.28,1.28,1.2718,2,1.2718,550,1.277018,2025-06-24 17:30:00+00:00
1750786320000,1.28,1.28,1.28,5,1.28,250,1.28,2025-06-24 17:32:00+00:00
1750786440000,1.272,1.272,1.272,1,1.272,100,1.272,2025-06-24 17:34:00+00:00
1750786680000,1.27,1.2702,1.27,6,1.2702,3232,1.270031,2025-06-24 17:38:00+00:00
1750786800000,1.28,1.28,1.28,2,1.28,5000,1.28,2025-06-24 17:40:00+00:00
1750787280000,1.2652,1.2652,1.2652,1,1.2652,200,1.2652,2025-06-24 17:48:00+00:00
1750787700000,1.26,1.26,1.26,45,1.26,2123,1.26,2025-06-24 17:55:00+00:00
1750788000000,1.2606,1.2606,1.2606,1,1.2606,100,1.2606,2025-06-24 18:00:00+00:00
1750788720000,1.265,1.265,1.265,2,1.265,332,1.265,2025-06-24 18:12:00+00:00
1750789440000,1.26,1.2603,1.26,10,1.2603,1150,1.260071,2025-06-24 18:24:00+00:00
1750789980000,1.26,1.26,1.26,4,1.26,301,1.26,2025-06-24 18:33:00+00:00
1750790040000,1.26,1.26,1.26,18,1.26,1051,1.26,2025-06-24 18:34:00+00:00
1750790400000,1.26,1.26,1.26,3,1.26,215,1.26,2025-06-24 18:40:00+00:00
1750790460000,1.26,1.26,1.26,8,1.26,725,1.26,2025-06-24 18:41:00+00:00
1750790760000,1.3,1.3,1.26,33,1.26,28623,1.282024,2025-06-24 18:46:00+00:00
1750790880000,1.275,1.28,1.275,71,1.28,3366,1.275278,2025-06-24 18:48:00+00:00
1750791000000,1.29,1.29,1.29,4,1.29,1532,1.29,2025-06-24 18:50:00+00:00
1750792320000,1.29,1.29,1.29,1,1.29,2716,1.29,2025-06-24 19:12:00+00:00
1750792740000,1.27,1.27,1.27,2,1.27,980,1.27,2025-06-24 19:19:00+00:00
1750792920000,1.26,1.27,1.25,14,1.27,1425,1.25919,2025-06-24 19:22:00+00:00
1750793220000,1.26,1.26,1.26,2,1.26,200,1.26,2025-06-24 19:27:00+00:00
1750793280000,1.26,1.26,1.26,1,1.26,100,1.26,2025-06-24 19:28:00+00:00
1750793400000,1.26,1.26,1.26,1,1.26,100,1.26,2025-06-24 19:30:00+00:00
1750793460000,1.26,1.26,1.26,3,1.26,150,1.26,2025-06-24 19:31:00+00:00
1750793760000,1.2798,1.2799,1.265,6,1.265,3100,1.276961,2025-06-24 19:36:00+00:00
1750793880000,1.2601,1.2601,1.2601,1,1.2601,580,1.2601,2025-06-24 19:38:00+00:00
1750794300000,1.28,1.28,1.27,5,1.28,3908,1.270781,2025-06-24 19:45:00+00:00
1750794360000,1.2656,1.2656,1.2656,1,1.2656,220,1.2656,2025-06-24 19:46:00+00:00
1750794840000,1.3,1.3,1.3,1,1.3,2000,1.3,2025-06-24 19:54:00+00:00
1750795020000,1.28,1.28,1.28,1,1.28,200,1.28,2025-06-24 19:57:00+00:00
1750795080000,1.282,1.282,1.282,3,1.282,1248,1.282,2025-06-24 19:58:00+00:00
1750795140000,1.28,1.28,1.28,1,1.28,151,1.28,2025-06-24 19:59:00+00:00
1750795200000,1.26,1.26,1.26,1,1.26,3015,1.26,2025-06-24 20:00:00+00:00
1750858200000,1.22,1.22,1.22,1,1.22,1240,1.22,2025-06-25 13:30:00+00:00
1750858320000,1.23,1.23,1.23,1,1.23,137,1.23,2025-06-25 13:32:00+00:00
1750858620000,1.2402,1.2402,1.2402,1,1.2402,105,1.2402,2025-06-25 13:37:00+00:00
1750858860000,1.24,1.24,1.24,1,1.24,108,1.24,2025-06-25 13:41:00+00:00
1750859700000,1.2419,1.2419,1.2419,1,1.2419,1000,1.2419,2025-06-25 13:55:00+00:00
1750859760000,1.2549,1.2549,1.2549,1,1.2549,135,1.2549,2025-06-25 13:56:00+00:00
1750859880000,1.3194,1.3194,1.3194,2,1.3194,4005,1.3194,2025-06-25 13:58:00+00:00
1750860480000,1.25,1.25,1.25,2,1.25,2025,1.25,2025-06-25 14:08:00+00:00
1750860600000,1.27,1.27,1.27,1,1.27,100,1.27,2025-06-25 14:10:00+00:00
1750860960000,1.275,1.275,1.275,3,1.275,762,1.275,2025-06-25 14:16:00+00:00
1750861080000,1.3,1.3,1.275,10,1.275,20007,1.29945,2025-06-25 14:18:00+00:00
1750861140000,1.3,1.3,1.3,1,1.3,1000,1.3,2025-06-25 14:19:00+00:00
1750861260000,1.27,1.27,1.27,1,1.27,138,1.27,2025-06-25 14:21:00+00:00
1750861860000,1.25,1.29,1.25,10,1.27,4026,1.265752,2025-06-25 14:31:00+00:00
1750863660000,1.31,1.31,1.3,52,1.31,1523,1.305,2025-06-25 15:01:00+00:00
1750863720000,1.32,1.32,1.3,28,1.3,543,1.306667,2025-06-25 15:02:00+00:00
1750863840000,1.29,1.32,1.29,21,1.31,1363,1.305702,2025-06-25 15:04:00+00:00
