timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757685000000,24.465,24.48,24.45,595,24.4551,172089,24.46811,2025-09-12 13:50:00+00:00
1757685060000,24.475,24.485,24.45,543,24.465,117450,24.467218,2025-09-12 13:51:00+00:00
1757685120000,24.5158,24.52,24.47,534,24.475,172605,24.488663,2025-09-12 13:52:00+00:00
1757685180000,24.4942,24.5194,24.48,628,24.5194,155092,24.496666,2025-09-12 13:53:00+00:00
1757685240000,24.505,24.52,24.4935,420,24.4999,137406,24.506006,2025-09-12 13:54:00+00:00
1757685300000,24.4837,24.52,24.48,529,24.5051,143795,24.498121,2025-09-12 13:55:00+00:00
1757685360000,24.445,24.495,24.4337,810,24.485,267042,24.467254,2025-09-12 13:56:00+00:00
1757685420000,24.4307,24.46,24.43,461,24.445,101633,24.447097,2025-09-12 13:57:00+00:00
1757685480000,24.4351,24.4499,24.43,310,24.435,59700,24.43615,2025-09-12 13:58:00+00:00
1757685540000,24.44,24.45,24.43,390,24.435,72557,24.442669,2025-09-12 13:59:00+00:00
1757685600000,24.42,24.43,24.39,782,24.43,112953,24.405093,2025-09-12 14:00:00+00:00
1757685660000,24.365,24.43,24.36,515,24.42,113552,24.389067,2025-09-12 14:01:00+00:00
1757685720000,24.36,24.375,24.35,521,24.365,98391,24.36424,2025-09-12 14:02:00+00:00
1757685780000,24.33,24.3699,24.33,841,24.36,176021,24.350139,2025-09-12 14:03:00+00:00
1757685840000,24.34,24.3599,24.33,951,24.34,205614,24.340211,2025-09-12 14:04:00+00:00
1757685900000,24.325,24.35,24.32,653,24.34,240185,24.335456,2025-09-12 14:05:00+00:00
1757685960000,24.34,24.3568,24.31,1073,24.325,191632,24.33639,2025-09-12 14:06:00+00:00
1757686020000,24.345,24.38,24.34,1044,24.345,222116,24.358228,2025-09-12 14:07:00+00:00
1757686080000,24.295,24.3487,24.2801,1366,24.345,371632,24.308524,2025-09-12 14:08:00+00:00
1757686140000,24.305,24.32,24.3,655,24.3,174942,24.307692,2025-09-12 14:09:00+00:00
1757686200000,24.295,24.31,24.28,620,24.305,120366,24.298145,2025-09-12 14:10:00+00:00
1757686260000,24.275,24.3,24.27,846,24.295,188053,24.280332,2025-09-12 14:11:00+00:00
1757686320000,24.28,24.2899,24.27,426,24.275,93524,24.282645,2025-09-12 14:12:00+00:00
1757686380000,24.2799,24.29,24.27,758,24.285,164668,24.280545,2025-09-12 14:13:00+00:00
1757686440000,24.27,24.29,24.27,449,24.2779,103516,24.277377,2025-09-12 14:14:00+00:00
1757686500000,24.2545,24.29,24.25,1132,24.275,271776,24.268138,2025-09-12 14:15:00+00:00
1757686560000,24.265,24.285,24.25,651,24.255,160422,24.266337,2025-09-12 14:16:00+00:00
1757686620000,24.27,24.29,24.26,575,24.265,143915,24.279761,2025-09-12 14:17:00+00:00
1757686680000,24.2746,24.2899,24.26,503,24.27,112942,24.270148,2025-09-12 14:18:00+00:00
1757686740000,24.2899,24.29,24.265,543,24.275,77814,24.274861,2025-09-12 14:19:00+00:00
