timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757425740000,21.96,22.04,21.96,34,22.04,2529,21.994768,2025-09-09 13:49:00+00:00
1757425800000,22.03,22.03,21.96,17,21.97,2638,21.9784,2025-09-09 13:50:00+00:00
1757425860000,21.97,22.01,21.92,46,22.01,5526,21.931066,2025-09-09 13:51:00+00:00
1757425920000,21.93,21.93,21.89,26,21.9,4967,21.917583,2025-09-09 13:52:00+00:00
1757425980000,21.8548,21.94,21.85,37,21.92,11955,21.904279,2025-09-09 13:53:00+00:00
1757426040000,21.8125,21.85,21.79,35,21.85,3609,21.828084,2025-09-09 13:54:00+00:00
1757426100000,21.84,21.84,21.79,22,21.83,3629,21.807114,2025-09-09 13:55:00+00:00
1757426160000,21.88,21.905,21.8656,12,21.8656,712,21.887029,2025-09-09 13:56:00+00:00
1757426220000,21.83,21.8471,21.81,21,21.84,9811,21.814104,2025-09-09 13:57:00+00:00
1757426280000,21.89,21.89,21.8451,10,21.8451,717,21.861242,2025-09-09 13:58:00+00:00
1757426340000,21.86,21.86,21.84,25,21.85,3062,21.842963,2025-09-09 13:59:00+00:00
1757426400000,21.83,21.89,21.83,31,21.865,3837,21.874731,2025-09-09 14:00:00+00:00
1757426460000,21.805,21.84,21.8,19,21.81,2054,21.816313,2025-09-09 14:01:00+00:00
1757426520000,21.81,21.81,21.81,9,21.81,282,21.81,2025-09-09 14:02:00+00:00
1757426580000,21.74,21.81,21.74,22,21.81,1444,21.774712,2025-09-09 14:03:00+00:00
1757426640000,21.77,21.78,21.74,13,21.74,2233,21.764591,2025-09-09 14:04:00+00:00
1757426700000,21.79,21.79,21.79,9,21.79,220,21.79,2025-09-09 14:05:00+00:00
1757426760000,21.68,21.78,21.68,37,21.77,5123,21.733365,2025-09-09 14:06:00+00:00
1757426820000,21.7654,21.77,21.7446,12,21.7446,887,21.759455,2025-09-09 14:07:00+00:00
1757426880000,21.78,21.78,21.78,8,21.78,323,21.78,2025-09-09 14:08:00+00:00
1757426940000,21.75,21.75,21.75,5,21.75,407,21.75,2025-09-09 14:09:00+00:00
1757427000000,21.83,21.83,21.77,10,21.77,6393,21.828882,2025-09-09 14:10:00+00:00
1757427060000,21.84,21.84,21.81,13,21.81,1045,21.822517,2025-09-09 14:11:00+00:00
1757427120000,21.85,21.86,21.85,10,21.86,644,21.854032,2025-09-09 14:12:00+00:00
1757427180000,21.8,21.8864,21.8,12,21.8864,1670,21.821648,2025-09-09 14:13:00+00:00
1757427240000,21.8255,21.8255,21.78,9,21.78,734,21.7931,2025-09-09 14:14:00+00:00
1757427300000,21.86,21.8741,21.81,10,21.81,1251,21.820372,2025-09-09 14:15:00+00:00
1757427360000,21.91,21.92,21.89,10,21.89,1880,21.898111,2025-09-09 14:16:00+00:00
