timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,2.71,2.72,2.42,371,2.45,148420,2.55743,2025-09-02 13:30:00+00:00
1756819860000,3.1828,3.2999,2.71,1364,2.7199,290382,3.032311,2025-09-02 13:31:00+00:00
1756819920000,3.2141,3.25,3.0,1717,3.17,315985,3.149108,2025-09-02 13:32:00+00:00
1756819980000,3.03,3.23,3.01,1217,3.21,173127,3.105493,2025-09-02 13:33:00+00:00
1756820040000,2.8472,3.1,2.81,1330,3.03,200970,3.010181,2025-09-02 13:34:00+00:00
1756820100000,3.04,3.19,2.76,2116,2.82,293726,3.030457,2025-09-02 13:35:00+00:00
1756820160000,2.96,3.2,2.96,1198,3.05,222266,3.065708,2025-09-02 13:36:00+00:00
1756820220000,3.19,3.23,2.92,1667,2.95,390072,3.111261,2025-09-02 13:37:00+00:00
1756820280000,3.375,3.43,3.17,3200,3.2012,511807,3.337382,2025-09-02 13:38:00+00:00
1756820340000,3.3,3.37,3.11,2384,3.37,348021,3.264462,2025-09-02 13:39:00+00:00
1756820400000,3.33,3.4,3.24,2504,3.3,417381,3.348618,2025-09-02 13:40:00+00:00
1756820460000,3.43,3.45,3.33,2865,3.33,428615,3.413098,2025-09-02 13:41:00+00:00
1756820520000,3.6,3.63,3.4,5137,3.41,795019,3.531033,2025-09-02 13:42:00+00:00
1756820580000,3.3717,3.69,3.37,7744,3.6075,1263891,3.589114,2025-09-02 13:43:00+00:00
1756820640000,3.24,3.52,3.03,6992,3.39,994718,3.289343,2025-09-02 13:44:00+00:00
1756820700000,3.5174,3.53,3.21,4032,3.26,629853,3.408685,2025-09-02 13:45:00+00:00
1756820760000,3.4,3.53,3.4,3282,3.51,658638,3.463701,2025-09-02 13:46:00+00:00
1756820820000,3.418,3.5,3.35,2513,3.4225,583136,3.421448,2025-09-02 13:47:00+00:00
1756820880000,3.43,3.49,3.35,1835,3.42,337740,3.426512,2025-09-02 13:48:00+00:00
1756820940000,3.4008,3.45,3.17,3041,3.43,551013,3.335144,2025-09-02 13:49:00+00:00
1756821000000,3.38,3.5,3.28,2692,3.41,483624,3.403671,2025-09-02 13:50:00+00:00
1756821060000,3.155,3.38,3.14,3037,3.38,482583,3.253788,2025-09-02 13:51:00+00:00
1756821120000,3.1802,3.39,3.1358,1977,3.16,341152,3.234212,2025-09-02 13:52:00+00:00
1756821180000,3.02,3.19,2.9874,2780,3.18,372013,3.078348,2025-09-02 13:53:00+00:00
1756821240000,3.01,3.06,2.95,1647,3.0208,262734,3.009968,2025-09-02 13:54:00+00:00
1756821300000,3.1311,3.15,3.0,1095,3.0279,189166,3.081661,2025-09-02 13:55:00+00:00
1756821360000,3.15,3.23,3.12,1355,3.131,233187,3.18811,2025-09-02 13:56:00+00:00
1756821420000,3.1758,3.19,3.1,661,3.1589,75735,3.139684,2025-09-02 13:57:00+00:00
1756821480000,3.1791,3.21,3.15,554,3.165,79618,3.18279,2025-09-02 13:58:00+00:00
1756821540000,3.1799,3.23,3.12,720,3.16,138284,3.171867,2025-09-02 13:59:00+00:00
1756821600000,3.0954,3.17,3.05,977,3.17,162397,3.097898,2025-09-02 14:00:00+00:00
1756821660000,3.07,3.12,3.05,500,3.12,62035,3.073284,2025-09-02 14:01:00+00:00
1756821720000,3.07,3.12,3.06,318,3.0791,53118,3.089743,2025-09-02 14:02:00+00:00
1756821780000,3.0092,3.1,3.0,825,3.0606,178212,3.038641,2025-09-02 14:03:00+00:00
1756821840000,3.01,3.0488,3.0,647,3.0,113214,3.016473,2025-09-02 14:04:00+00:00
1756821900000,3.1995,3.23,3.0,980,3.0099,238827,3.105517,2025-09-02 14:05:00+00:00
1756821960000,3.35,3.37,3.1701,2422,3.1999,516710,3.295605,2025-09-02 14:06:00+00:00
1756822020000,3.3676,3.45,3.3,3123,3.3409,634579,3.385352,2025-09-02 14:07:00+00:00
1756822080000,3.37,3.48,3.32,2399,3.36,411450,3.405725,2025-09-02 14:08:00+00:00
1756822140000,3.33,3.39,3.27,1123,3.36,218535,3.330913,2025-09-02 14:09:00+00:00
1756822200000,3.2,3.34,3.2,1658,3.3392,317724,3.24226,2025-09-02 14:10:00+00:00
1756822260000,3.27,3.32,3.2,822,3.22,149437,3.250639,2025-09-02 14:11:00+00:00
1756822320000,3.4,3.45,3.26,1765,3.2848,408004,3.386189,2025-09-02 14:12:00+00:00
1756822380000,3.58,3.61,3.34,3167,3.4042,637175,3.496509,2025-09-02 14:13:00+00:00
1756822440000,3.3246,3.64,3.2,4647,3.58,1004737,3.430115,2025-09-02 14:14:00+00:00
1756822500000,3.3,3.4599,3.2408,1429,3.31,253288,3.306377,2025-09-02 14:15:00+00:00
1756822560000,3.2302,3.3499,3.2,1136,3.3188,184250,3.243514,2025-09-02 14:16:00+00:00
1756822620000,3.28,3.35,3.23,727,3.25,128197,3.30256,2025-09-02 14:17:00+00:00
1756822680000,3.43,3.45,3.285,1602,3.286,307938,3.374881,2025-09-02 14:18:00+00:00
1756822740000,3.4663,3.54,3.38,2608,3.4291,493938,3.464308,2025-09-02 14:19:00+00:00
1756822800000,3.4,3.48,3.32,1528,3.4698,348841,3.401145,2025-09-02 14:20:00+00:00
1756822860000,3.42,3.46,3.3502,789,3.4,170077,3.401042,2025-09-02 14:21:00+00:00
1756822920000,3.31,3.44,3.22,1600,3.42,345838,3.328549,2025-09-02 14:22:00+00:00
1756822980000,3.29,3.32,3.27,543,3.3018,75353,3.289531,2025-09-02 14:23:00+00:00
1756823040000,3.305,3.33,3.27,733,3.29,133644,3.288778,2025-09-02 14:24:00+00:00
1756823100000,3.29,3.32,3.28,409,3.31,74457,3.294514,2025-09-02 14:25:00+00:00
1756823160000,3.3492,3.38,3.23,879,3.28,204539,3.312814,2025-09-02 14:26:00+00:00
1756823220000,3.278,3.43,3.25,987,3.3405,249026,3.360604,2025-09-02 14:27:00+00:00
1756823280000,3.2501,3.33,3.25,443,3.28,83345,3.273002,2025-09-02 14:28:00+00:00
