timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757014800000,3.105,3.105,3.1,7,3.1,834,3.102177,2025-09-04 19:40:00+00:00
1757014860000,3.1,3.1068,3.095,57,3.1068,4884,3.098545,2025-09-04 19:41:00+00:00
1757014920000,3.11,3.11,3.105,4,3.105,377,3.108656,2025-09-04 19:42:00+00:00
1757015040000,3.095,3.101,3.095,70,3.101,3728,3.097992,2025-09-04 19:44:00+00:00
1757015100000,3.075,3.095,3.075,46,3.095,4307,3.083247,2025-09-04 19:45:00+00:00
1757015220000,3.065,3.0789,3.065,25,3.075,1687,3.070593,2025-09-04 19:47:00+00:00
1757015280000,3.055,3.06,3.05,46,3.06,13416,3.058572,2025-09-04 19:48:00+00:00
1757015340000,3.051,3.055,3.051,15,3.055,1490,3.051923,2025-09-04 19:49:00+00:00
1757015400000,3.055,3.06,3.041,93,3.055,6876,3.049939,2025-09-04 19:50:00+00:00
1757015460000,3.045,3.055,3.045,52,3.05,2830,3.04945,2025-09-04 19:51:00+00:00
1757015520000,3.045,3.05,3.04,16,3.04,4083,3.041851,2025-09-04 19:52:00+00:00
1757015580000,3.035,3.04,3.03,45,3.04,3151,3.035148,2025-09-04 19:53:00+00:00
1757015640000,3.0299,3.0354,3.02,85,3.035,8862,3.029972,2025-09-04 19:54:00+00:00
1757015700000,3.025,3.03,3.02,22,3.025,3464,3.024977,2025-09-04 19:55:00+00:00
1757015760000,3.02,3.03,3.015,70,3.025,15696,3.020816,2025-09-04 19:56:00+00:00
1757015820000,3.02,3.03,3.02,56,3.025,6183,3.025016,2025-09-04 19:57:00+00:00
1757015880000,3.025,3.03,3.0225,191,3.025,17739,3.027493,2025-09-04 19:58:00+00:00
1757015940000,3.015,3.025,3.01,148,3.025,15548,3.01653,2025-09-04 19:59:00+00:00
1757016000000,3.01,3.02,3.01,2,3.02,8918,3.019888,2025-09-04 20:00:00+00:00
1757079000000,3.2644,3.2644,3.13,131,3.13,57013,3.179399,2025-09-05 13:30:00+00:00
1757079060000,3.3737,3.41,3.266,132,3.266,33386,3.3508,2025-09-05 13:31:00+00:00
1757079120000,3.4293,3.45,3.39,66,3.39,28776,3.419024,2025-09-05 13:32:00+00:00
1757079180000,3.47,3.5,3.45,112,3.45,27195,3.481283,2025-09-05 13:33:00+00:00
1757079240000,3.41,3.46,3.41,68,3.46,16811,3.433108,2025-09-05 13:34:00+00:00
1757079300000,3.33,3.41,3.31,131,3.41,23041,3.353249,2025-09-05 13:35:00+00:00
1757079360000,3.34,3.355,3.3,35,3.33,10846,3.339737,2025-09-05 13:36:00+00:00
1757079420000,3.3425,3.3663,3.34,33,3.355,5281,3.355538,2025-09-05 13:37:00+00:00
1757079480000,3.3185,3.3507,3.31,32,3.348,5753,3.33029,2025-09-05 13:38:00+00:00
1757079540000,3.3049,3.32,3.28,47,3.32,6043,3.305686,2025-09-05 13:39:00+00:00
1757079600000,3.291,3.3,3.291,8,3.3,2184,3.295626,2025-09-05 13:40:00+00:00
1757079660000,3.27,3.3,3.27,58,3.29,13871,3.287238,2025-09-05 13:41:00+00:00
1757079720000,3.22,3.2808,3.18,642,3.2808,134858,3.198122,2025-09-05 13:42:00+00:00
1757079780000,3.21,3.225,3.199,26,3.22,12136,3.217388,2025-09-05 13:43:00+00:00
1757079840000,3.2192,3.2241,3.2,24,3.2,9433,3.217675,2025-09-05 13:44:00+00:00
1757079900000,3.215,3.23,3.21,57,3.23,7490,3.220187,2025-09-05 13:45:00+00:00
1757079960000,3.23,3.26,3.205,117,3.2181,11884,3.230806,2025-09-05 13:46:00+00:00
1757080020000,3.28,3.29,3.24,62,3.2499,23886,3.266837,2025-09-05 13:47:00+00:00
1757080080000,3.29,3.29,3.28,12,3.28,4489,3.28692,2025-09-05 13:48:00+00:00
