timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757348940000,26.47,26.47,26.47,22,26.47,698,26.47,2025-09-08 16:29:00+00:00
1757349000000,26.45,26.45,26.45,24,26.45,598,26.45,2025-09-08 16:30:00+00:00
1757349060000,26.45,26.45,26.45,10,26.45,444,26.45,2025-09-08 16:31:00+00:00
1757349240000,26.475,26.48,26.45,34,26.45,2116,26.4725,2025-09-08 16:34:00+00:00
1757349300000,26.515,26.5409,26.46,54,26.48,4777,26.520517,2025-09-08 16:35:00+00:00
1757349360000,26.52,26.5473,26.49,139,26.515,16040,26.529998,2025-09-08 16:36:00+00:00
1757349420000,26.535,26.56,26.53,68,26.55,4235,26.547753,2025-09-08 16:37:00+00:00
1757349480000,26.58,26.61,26.5,99,26.5185,9563,26.573156,2025-09-08 16:38:00+00:00
1757349540000,26.68,26.7,26.55,111,26.55,49286,26.648483,2025-09-08 16:39:00+00:00
1757349600000,26.71,26.71,26.705,37,26.705,6586,26.709487,2025-09-08 16:40:00+00:00
1757349660000,26.72,26.79,26.72,51,26.755,4361,26.749355,2025-09-08 16:41:00+00:00
1757349720000,26.8789,26.8789,26.72,59,26.755,6449,26.785425,2025-09-08 16:42:00+00:00
1757349780000,26.93,26.93,26.82,166,26.865,74518,26.875687,2025-09-08 16:43:00+00:00
1757349840000,26.915,26.935,26.9,93,26.91,9485,26.918982,2025-09-08 16:44:00+00:00
1757349900000,26.86,26.915,26.86,99,26.915,6270,26.887782,2025-09-08 16:45:00+00:00
1757349960000,26.85,26.86,26.84,89,26.86,4596,26.848888,2025-09-08 16:46:00+00:00
1757350020000,26.74,26.84,26.74,166,26.84,11604,26.768021,2025-09-08 16:47:00+00:00
1757350080000,26.849,26.849,26.8,38,26.82,3114,26.820842,2025-09-08 16:48:00+00:00
1757350140000,26.92,26.92,26.75,61,26.811,3297,26.829408,2025-09-08 16:49:00+00:00
1757350200000,26.82,26.85,26.82,56,26.84,1780,26.835,2025-09-08 16:50:00+00:00
1757350260000,26.92,26.92,26.7908,54,26.7908,2672,26.860971,2025-09-08 16:51:00+00:00
1757350320000,26.88,26.885,26.88,31,26.885,1053,26.882538,2025-09-08 16:52:00+00:00
1757350380000,26.9,26.9,26.89,39,26.9,1605,26.897555,2025-09-08 16:53:00+00:00
1757350440000,26.89,26.9399,26.86,53,26.9399,1678,26.892616,2025-09-08 16:54:00+00:00
1757350500000,26.9,26.91,26.9,33,26.9,1847,26.900625,2025-09-08 16:55:00+00:00
1757350560000,26.91,26.91,26.88,34,26.9,1325,26.905294,2025-09-08 16:56:00+00:00
1757350620000,26.9811,27.09,26.95,155,26.96,63442,27.024663,2025-09-08 16:57:00+00:00
1757350680000,27.075,27.104,26.99,97,27.0515,38950,27.062197,2025-09-08 16:58:00+00:00
1757350740000,26.98,27.06,26.98,97,27.0325,9664,27.034109,2025-09-08 16:59:00+00:00
1757350800000,27.01,27.01,26.978,48,26.978,2082,26.992325,2025-09-08 17:00:00+00:00
1757350920000,27.07,27.07,27.052,21,27.052,795,27.064,2025-09-08 17:02:00+00:00
1757350980000,26.955,27.01,26.955,48,27.0,3476,26.98433,2025-09-08 17:03:00+00:00
1757351040000,26.9475,27.0085,26.93,40,26.96,4309,26.956035,2025-09-08 17:04:00+00:00
1757351100000,26.86,26.955,26.86,49,26.955,3710,26.909962,2025-09-08 17:05:00+00:00
1757351160000,26.9094,26.9094,26.86,80,26.9051,6318,26.879194,2025-09-08 17:06:00+00:00
1757351220000,26.85,26.85,26.82,39,26.85,1954,26.838,2025-09-08 17:07:00+00:00
1757351280000,26.84,26.85,26.84,37,26.84,2462,26.840857,2025-09-08 17:08:00+00:00
1757351340000,26.945,26.945,26.8801,52,26.91,2533,26.915156,2025-09-08 17:09:00+00:00
1757351400000,26.9,26.955,26.9,45,26.955,1716,26.941,2025-09-08 17:10:00+00:00
1757351520000,26.86,26.9294,26.86,29,26.8978,1444,26.87372,2025-09-08 17:12:00+00:00
1757351580000,26.8409,26.87,26.8409,28,26.86,1022,26.857725,2025-09-08 17:13:00+00:00
1757351640000,26.855,26.86,26.83,42,26.84,3492,26.843162,2025-09-08 17:14:00+00:00
1757351700000,26.8736,26.89,26.8736,24,26.88,969,26.880752,2025-09-08 17:15:00+00:00
1757351760000,26.88,26.91,26.88,45,26.91,1173,26.885,2025-09-08 17:16:00+00:00
1757351820000,26.855,26.88,26.83,62,26.88,2299,26.851118,2025-09-08 17:17:00+00:00
1757351940000,26.885,26.885,26.8727,14,26.8727,2246,26.87876,2025-09-08 17:19:00+00:00
1757352000000,26.8913,26.8913,26.8913,7,26.8913,447,26.8913,2025-09-08 17:20:00+00:00
1757352060000,26.885,26.89,26.885,34,26.89,1445,26.886667,2025-09-08 17:21:00+00:00
1757352120000,26.95,26.95,26.885,59,26.885,2877,26.896425,2025-09-08 17:22:00+00:00
1757352180000,26.994,27.01,26.96,60,26.97,7848,26.993277,2025-09-08 17:23:00+00:00
1757352240000,26.99,27.0,26.98,16,27.0,848,26.992,2025-09-08 17:24:00+00:00
1757352300000,26.97,26.98,26.96,19,26.97,1828,26.965234,2025-09-08 17:25:00+00:00
1757352360000,26.9726,26.98,26.96,29,26.96,1179,26.970021,2025-09-08 17:26:00+00:00
1757352420000,27.087,27.0955,26.98,130,26.99,41401,27.062974,2025-09-08 17:27:00+00:00
1757352480000,27.09,27.1,27.085,31,27.087,7210,27.087717,2025-09-08 17:28:00+00:00
1757352540000,27.05,27.08,27.02,87,27.07,3265,27.056471,2025-09-08 17:29:00+00:00
1757352600000,27.0,27.04,26.9784,133,27.04,4504,27.012274,2025-09-08 17:30:00+00:00
1757352660000,26.95,26.99,26.95,66,26.99,3002,26.959167,2025-09-08 17:31:00+00:00
1757352720000,26.8918,26.95,26.8918,30,26.95,3573,26.940391,2025-09-08 17:32:00+00:00
1757352780000,26.84,26.905,26.84,90,26.905,3998,26.883322,2025-09-08 17:33:00+00:00
1757352840000,26.85,26.86,26.8306,39,26.85,4435,26.83412,2025-09-08 17:34:00+00:00
1757352900000,26.83,26.845,26.83,24,26.845,3426,26.835815,2025-09-08 17:35:00+00:00
1757352960000,26.84,26.84,26.84,21,26.84,533,26.84,2025-09-08 17:36:00+00:00
1757353020000,26.88,26.88,26.84,14,26.88,899,26.862365,2025-09-08 17:37:00+00:00
1757353080000,26.83,26.85,26.83,23,26.85,948,26.843475,2025-09-08 17:38:00+00:00
1757353140000,26.84,26.84,26.84,15,26.84,1180,26.84,2025-09-08 17:39:00+00:00
1757353200000,26.9273,26.95,26.8596,56,26.8596,4910,26.895997,2025-09-08 17:40:00+00:00
1757353260000,26.94,26.96,26.9387,25,26.94,1487,26.944309,2025-09-08 17:41:00+00:00
1757353320000,26.95,26.9687,26.9301,43,26.95,3827,26.952125,2025-09-08 17:42:00+00:00
1757353440000,26.945,26.95,26.945,21,26.95,1481,26.948672,2025-09-08 17:44:00+00:00
1757353500000,26.91,26.93,26.91,80,26.93,3547,26.91759,2025-09-08 17:45:00+00:00
1757353560000,26.87,26.91,26.85,60,26.91,3832,26.87008,2025-09-08 17:46:00+00:00
1757353620000,26.8358,26.85,26.8358,9,26.85,555,26.84432,2025-09-08 17:47:00+00:00
1757353680000,26.85,26.85,26.85,15,26.85,256,26.85,2025-09-08 17:48:00+00:00
1757353740000,26.81,26.81,26.81,30,26.81,834,26.81,2025-09-08 17:49:00+00:00
1757353860000,26.71,26.7909,26.71,62,26.78,4882,26.73776,2025-09-08 17:51:00+00:00
1757353920000,26.69,26.71,26.67,63,26.69,3328,26.692746,2025-09-08 17:52:00+00:00
1757353980000,26.7,26.7,26.7,15,26.7,2356,26.7,2025-09-08 17:53:00+00:00
1757354040000,26.65,26.69,26.65,71,26.69,4280,26.67677,2025-09-08 17:54:00+00:00
1757354100000,26.64,26.65,26.64,18,26.65,640,26.645,2025-09-08 17:55:00+00:00
1757354220000,26.685,26.685,26.66,46,26.66,2308,26.668529,2025-09-08 17:57:00+00:00
1757354280000,26.695,26.7299,26.695,19,26.7299,1565,26.716605,2025-09-08 17:58:00+00:00
1757354340000,26.73,26.73,26.71,27,26.71,1106,26.721429,2025-09-08 17:59:00+00:00
1757354400000,26.7281,26.7322,26.7281,38,26.7322,1635,26.728458,2025-09-08 18:00:00+00:00
1757354460000,26.72,26.765,26.72,27,26.765,1160,26.730833,2025-09-08 18:01:00+00:00
1757354520000,26.72,26.75,26.72,15,26.75,1553,26.744981,2025-09-08 18:02:00+00:00
1757354580000,26.735,26.735,26.735,34,26.735,883,26.735,2025-09-08 18:03:00+00:00
1757354640000,26.735,26.735,26.735,8,26.735,466,26.735,2025-09-08 18:04:00+00:00
1757354700000,26.76,26.76,26.74,30,26.76,1292,26.753333,2025-09-08 18:05:00+00:00
1757354760000,26.8,26.8,26.8,29,26.8,780,26.8,2025-09-08 18:06:00+00:00
1757354820000,26.79,26.79,26.79,10,26.79,600,26.79,2025-09-08 18:07:00+00:00
1757354880000,26.755,26.79,26.75,68,26.79,2286,26.769231,2025-09-08 18:08:00+00:00
1757354940000,26.7562,26.7562,26.7562,14,26.7562,751,26.7562,2025-09-08 18:09:00+00:00
1757355000000,26.755,26.755,26.755,14,26.755,696,26.755,2025-09-08 18:10:00+00:00
1757355060000,26.76,26.76,26.755,31,26.755,1350,26.756154,2025-09-08 18:11:00+00:00
1757355120000,26.73,26.76,26.73,30,26.76,1259,26.743414,2025-09-08 18:12:00+00:00
1757355180000,26.74,26.74,26.724,11,26.724,1172,26.727765,2025-09-08 18:13:00+00:00
1757355240000,26.75,26.75,26.73,17,26.73,1172,26.737688,2025-09-08 18:14:00+00:00
1757355300000,26.73,26.73,26.73,19,26.73,811,26.73,2025-09-08 18:15:00+00:00
1757355360000,26.75,26.75,26.74,36,26.74,1049,26.741852,2025-09-08 18:16:00+00:00
1757355420000,26.8,26.8,26.8,13,26.8,531,26.8,2025-09-08 18:17:00+00:00
1757355480000,26.78,26.78,26.78,29,26.78,711,26.78,2025-09-08 18:18:00+00:00
1757355540000,26.75,26.76,26.75,60,26.76,1663,26.753235,2025-09-08 18:19:00+00:00
1757355600000,26.73,26.76,26.73,51,26.76,1076,26.7425,2025-09-08 18:20:00+00:00
1757355660000,26.705,26.71,26.7,15,26.7,1861,26.706129,2025-09-08 18:21:00+00:00
1757355720000,26.71,26.73,26.71,30,26.7176,1902,26.717,2025-09-08 18:22:00+00:00
1757355780000,26.725,26.725,26.7226,9,26.7226,977,26.7232,2025-09-08 18:23:00+00:00
1757355840000,26.725,26.725,26.725,12,26.725,319,26.725,2025-09-08 18:24:00+00:00
1757355900000,26.725,26.725,26.725,12,26.725,332,26.725,2025-09-08 18:25:00+00:00
1757355960000,26.69,26.71,26.68,94,26.705,5375,26.696667,2025-09-08 18:26:00+00:00
1757356020000,26.69,26.71,26.69,63,26.6999,2231,26.699782,2025-09-08 18:27:00+00:00
1757356080000,26.67,26.68,26.67,49,26.68,1552,26.674286,2025-09-08 18:28:00+00:00
1757356200000,26.69,26.69,26.66,48,26.675,2784,26.673947,2025-09-08 18:30:00+00:00
1757356260000,26.665,26.6774,26.66,46,26.675,1598,26.667189,2025-09-08 18:31:00+00:00
1757356320000,26.64,26.66,26.64,93,26.66,2137,26.648442,2025-09-08 18:32:00+00:00
1757356380000,26.55,26.57,26.54,75,26.57,7991,26.542149,2025-09-08 18:33:00+00:00
1757356440000,26.555,26.605,26.54,88,26.54,4039,26.570747,2025-09-08 18:34:00+00:00
1757356500000,26.5686,26.5686,26.55,14,26.55,692,26.563286,2025-09-08 18:35:00+00:00
1757356560000,26.5722,26.584,26.5722,11,26.584,785,26.574479,2025-09-08 18:36:00+00:00
1757356620000,26.56,26.5822,26.56,19,26.5822,1078,26.574862,2025-09-08 18:37:00+00:00
1757356680000,26.59,26.59,26.58,25,26.58,1431,26.584286,2025-09-08 18:38:00+00:00
1757356800000,26.57,26.57,26.565,22,26.565,1167,26.568507,2025-09-08 18:40:00+00:00
1757356860000,26.55,26.5644,26.51,179,26.5644,15729,26.534896,2025-09-08 18:41:00+00:00
1757356920000,26.56,26.56,26.55,11,26.55,705,26.556667,2025-09-08 18:42:00+00:00
1757356980000,26.5,26.53,26.5,64,26.53,8731,26.520515,2025-09-08 18:43:00+00:00
1757357100000,26.51,26.51,26.5,17,26.5,682,26.505,2025-09-08 18:45:00+00:00
1757357160000,26.5,26.5,26.5,13,26.5,504,26.5,2025-09-08 18:46:00+00:00
1757357220000,26.465,26.47,26.45,67,26.47,2570,26.462,2025-09-08 18:47:00+00:00
1757357280000,26.51,26.53,26.45,76,26.45,3174,26.476566,2025-09-08 18:48:00+00:00
1757357340000,26.57,26.57,26.53,52,26.53,1672,26.557778,2025-09-08 18:49:00+00:00
1757357400000,26.5544,26.56,26.5544,7,26.56,520,26.556,2025-09-08 18:50:00+00:00
1757357460000,26.71,26.71,26.59,42,26.59,1824,26.649286,2025-09-08 18:51:00+00:00
1757357520000,26.66,26.7,26.65,22,26.65,839,26.6675,2025-09-08 18:52:00+00:00
1757357580000,26.595,26.66,26.595,60,26.66,1972,26.6175,2025-09-08 18:53:00+00:00
1757357640000,26.59,26.605,26.59,23,26.6,763,26.596991,2025-09-08 18:54:00+00:00
1757357700000,26.595,26.595,26.595,13,26.595,498,26.595,2025-09-08 18:55:00+00:00
1757357760000,26.66,26.66,26.63,30,26.63,1512,26.63375,2025-09-08 18:56:00+00:00
1757357820000,26.64,26.655,26.64,38,26.655,2480,26.651538,2025-09-08 18:57:00+00:00
1757357880000,26.6126,26.635,26.61,44,26.62,2239,26.616467,2025-09-08 18:58:00+00:00
1757357940000,26.63,26.6385,26.611,26,26.6385,801,26.631955,2025-09-08 18:59:00+00:00
1757358000000,26.57,26.625,26.57,63,26.625,1702,26.594097,2025-09-08 19:00:00+00:00
1757358060000,26.575,26.575,26.56,24,26.5744,890,26.56735,2025-09-08 19:01:00+00:00
1757358120000,26.53,26.53,26.53,33,26.53,559,26.53,2025-09-08 19:02:00+00:00
1757358180000,26.49,26.515,26.49,50,26.51,2838,26.507265,2025-09-08 19:03:00+00:00
1757358240000,26.43,26.4803,26.43,54,26.4803,3430,26.46056,2025-09-08 19:04:00+00:00
1757358300000,26.43,26.435,26.43,17,26.435,644,26.431646,2025-09-08 19:05:00+00:00
1757358360000,26.425,26.435,26.425,27,26.435,1170,26.430273,2025-09-08 19:06:00+00:00
1757358420000,26.445,26.46,26.3995,70,26.425,3060,26.423963,2025-09-08 19:07:00+00:00
1757358480000,26.46,26.48,26.445,117,26.445,4640,26.462034,2025-09-08 19:08:00+00:00
1757358540000,26.46,26.46,26.46,19,26.46,588,26.46,2025-09-08 19:09:00+00:00
1757358600000,26.45,26.45,26.4,130,26.43,7179,26.41822,2025-09-08 19:10:00+00:00
1757358660000,26.375,26.43,26.375,59,26.43,3426,26.396333,2025-09-08 19:11:00+00:00
1757358780000,26.435,26.435,26.36,69,26.36,4930,26.384574,2025-09-08 19:13:00+00:00
1757358840000,26.45,26.45,26.43,32,26.435,1664,26.439,2025-09-08 19:14:00+00:00
1757358900000,26.4597,26.4597,26.4597,22,26.4597,700,26.4597,2025-09-08 19:15:00+00:00
1757358960000,26.415,26.445,26.415,64,26.4405,4312,26.42749,2025-09-08 19:16:00+00:00
1757359020000,26.42,26.42,26.4138,30,26.4138,1314,26.41628,2025-09-08 19:17:00+00:00
1757359080000,26.44,26.45,26.44,34,26.45,1474,26.444,2025-09-08 19:18:00+00:00
1757359140000,26.4,26.445,26.4,59,26.445,2278,26.421538,2025-09-08 19:19:00+00:00
1757359200000,26.36,26.4,26.36,72,26.4,6387,26.387522,2025-09-08 19:20:00+00:00
1757359260000,26.445,26.4495,26.3705,59,26.3705,2109,26.415,2025-09-08 19:21:00+00:00
1757359320000,26.43,26.43,26.41,27,26.43,1469,26.422095,2025-09-08 19:22:00+00:00
1757359380000,26.37,26.418,26.35,79,26.41,6047,26.386147,2025-09-08 19:23:00+00:00
1757359440000,26.45,26.45,26.35,107,26.365,5607,26.395752,2025-09-08 19:24:00+00:00
1757359500000,26.445,26.45,26.4102,22,26.4295,3129,26.425019,2025-09-08 19:25:00+00:00
1757359560000,26.42,26.42,26.42,27,26.42,856,26.42,2025-09-08 19:26:00+00:00
1757359680000,26.41,26.42,26.38,83,26.4001,5612,26.400227,2025-09-08 19:28:00+00:00
1757359740000,26.44,26.46,26.42,76,26.42,2889,26.439549,2025-09-08 19:29:00+00:00
1757359800000,26.45,26.46,26.42,65,26.44,3249,26.442055,2025-09-08 19:30:00+00:00
1757359860000,26.415,26.46,26.41,79,26.46,4785,26.428691,2025-09-08 19:31:00+00:00
1757359920000,26.4101,26.46,26.38,150,26.4,10249,26.402714,2025-09-08 19:32:00+00:00
1757359980000,26.38,26.4493,26.33,210,26.435,29249,26.381156,2025-09-08 19:33:00+00:00
1757360040000,26.19,26.38,26.12,228,26.38,48093,26.322949,2025-09-08 19:34:00+00:00
