timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754419200000,1.9,1.92,1.9,5,1.92,4450,1.908989,2025-08-05 18:40:00+00:00
1754419440000,1.86,1.9,1.86,11,1.9,12356,1.899433,2025-08-05 18:44:00+00:00
1754419500000,1.85,1.87,1.85,2,1.87,500,1.862,2025-08-05 18:45:00+00:00
1754420340000,1.91,1.91,1.8899,12,1.8899,6194,1.890258,2025-08-05 18:59:00+00:00
1754420700000,1.8901,1.8901,1.8901,1,1.8901,100,1.8901,2025-08-05 19:05:00+00:00
1754421480000,1.94,1.94,1.94,2,1.94,2703,1.94,2025-08-05 19:18:00+00:00
1754421960000,1.89,1.89,1.89,3,1.89,2669,1.89,2025-08-05 19:26:00+00:00
1754422080000,1.95,1.95,1.95,1,1.95,116,1.95,2025-08-05 19:28:00+00:00
1754422200000,1.9399,1.9399,1.9398,4,1.9398,4500,1.93986,2025-08-05 19:30:00+00:00
1754422380000,1.915,1.915,1.915,1,1.915,3000,1.915,2025-08-05 19:33:00+00:00
1754422500000,1.94,1.94,1.94,1,1.94,100,1.94,2025-08-05 19:35:00+00:00
1754422620000,1.8901,1.8901,1.8901,1,1.8901,5000,1.8901,2025-08-05 19:37:00+00:00
1754422680000,1.89,1.89,1.89,3,1.89,401,1.89,2025-08-05 19:38:00+00:00
1754422740000,1.915,1.915,1.89,3,1.9083,8284,1.902433,2025-08-05 19:39:00+00:00
1754422920000,1.9,1.9,1.9,11,1.9,10351,1.9,2025-08-05 19:42:00+00:00
1754423100000,1.9,1.9,1.9,4,1.9,547,1.9,2025-08-05 19:45:00+00:00
1754423280000,1.9,1.9,1.9,4,1.9,171,1.9,2025-08-05 19:48:00+00:00
1754423700000,1.86,1.86,1.86,1,1.86,100,1.86,2025-08-05 19:55:00+00:00
1754423880000,1.85,1.85,1.85,4,1.85,127,1.85,2025-08-05 19:58:00+00:00
1754424000000,1.86,1.86,1.86,1,1.86,426,1.86,2025-08-05 20:00:00+00:00
1754487000000,1.99,2.01,1.932,11,2.01,5203,1.999924,2025-08-06 13:30:00+00:00
1754487120000,1.89,1.94,1.89,10,1.93,7300,1.894182,2025-08-06 13:32:00+00:00
1754487180000,1.8877,1.8877,1.8877,3,1.8877,2646,1.8877,2025-08-06 13:33:00+00:00
1754487240000,1.89,1.8984,1.89,4,1.8984,15495,1.892979,2025-08-06 13:34:00+00:00
1754487300000,1.89,1.89,1.89,15,1.89,6737,1.89,2025-08-06 13:35:00+00:00
1754487360000,1.89,1.89,1.88,7,1.89,7284,1.88641,2025-08-06 13:36:00+00:00
1754487540000,1.89,1.89,1.89,2,1.89,500,1.89,2025-08-06 13:39:00+00:00
1754487900000,1.88,1.8901,1.88,4,1.89,750,1.886937,2025-08-06 13:45:00+00:00
1754487960000,1.89,1.89,1.89,4,1.89,264,1.89,2025-08-06 13:46:00+00:00
1754488020000,1.89,1.89,1.882,2,1.882,500,1.8836,2025-08-06 13:47:00+00:00
1754488080000,1.9,1.901,1.9,19,1.9,8611,1.900459,2025-08-06 13:48:00+00:00
1754488380000,1.9,1.9,1.9,2,1.9,130,1.9,2025-08-06 13:53:00+00:00
1754488620000,1.89,1.89,1.89,3,1.89,409,1.89,2025-08-06 13:57:00+00:00
1754488740000,1.8989,1.8989,1.8989,2,1.8989,160,1.8989,2025-08-06 13:59:00+00:00
1754488800000,1.9,1.9,1.9,9,1.9,9844,1.9,2025-08-06 14:00:00+00:00
1754488860000,1.9021,1.9021,1.9021,2,1.9021,599,1.9021,2025-08-06 14:01:00+00:00
1754488920000,1.9062,1.9085,1.9062,3,1.9085,416,1.906821,2025-08-06 14:02:00+00:00
1754489160000,1.91,1.91,1.91,1,1.91,100,1.91,2025-08-06 14:06:00+00:00
1754489280000,1.91,1.91,1.91,1,1.91,2000,1.91,2025-08-06 14:08:00+00:00
1754489520000,1.9,1.9,1.9,3,1.9,1422,1.9,2025-08-06 14:12:00+00:00
1754490360000,1.981,1.981,1.981,2,1.981,516,1.981,2025-08-06 14:26:00+00:00
1754490660000,1.96,1.96,1.96,1,1.96,1000,1.96,2025-08-06 14:31:00+00:00
1754491440000,1.95,1.95,1.95,1,1.95,344,1.95,2025-08-06 14:44:00+00:00
1754491560000,1.9556,1.9556,1.9556,4,1.9556,635,1.9556,2025-08-06 14:46:00+00:00
1754491740000,1.9,1.92,1.9,20,1.92,20495,1.900444,2025-08-06 14:49:00+00:00
1754491800000,1.92,1.92,1.92,1,1.92,100,1.92,2025-08-06 14:50:00+00:00
1754491980000,1.905,1.905,1.905,1,1.905,180,1.905,2025-08-06 14:53:00+00:00
1754492640000,1.95,1.95,1.92,5,1.92,1542,1.944,2025-08-06 15:04:00+00:00
1754494320000,1.9276,1.9276,1.9276,3,1.9276,230,1.9276,2025-08-06 15:32:00+00:00
1754494560000,1.93,1.93,1.93,1,1.93,400,1.93,2025-08-06 15:36:00+00:00
1754494800000,1.915,1.915,1.915,1,1.915,700,1.915,2025-08-06 15:40:00+00:00
1754494860000,1.95,1.95,1.915,40,1.94,5876,1.941076,2025-08-06 15:41:00+00:00
1754495220000,1.94,1.94,1.94,3,1.94,1021,1.94,2025-08-06 15:47:00+00:00
1754495280000,1.9499,1.9499,1.9499,1,1.9499,100,1.9499,2025-08-06 15:48:00+00:00
1754495580000,1.95,1.95,1.95,1,1.95,100,1.95,2025-08-06 15:53:00+00:00
1754495760000,1.94,1.94,1.94,1,1.94,120,1.94,2025-08-06 15:56:00+00:00
1754496840000,1.92,1.92,1.92,1,1.92,200,1.92,2025-08-06 16:14:00+00:00
1754496900000,1.94,1.94,1.94,2,1.94,200,1.94,2025-08-06 16:15:00+00:00
1754497020000,1.95,1.95,1.95,5,1.95,1000,1.95,2025-08-06 16:17:00+00:00
1754497080000,1.95,1.95,1.95,4,1.95,1050,1.95,2025-08-06 16:18:00+00:00
1754497320000,1.94,1.95,1.94,2,1.95,5272,1.94981,2025-08-06 16:22:00+00:00
1754497380000,1.998,2.0,1.97,5,1.97,3000,1.986333,2025-08-06 16:23:00+00:00
1754497440000,1.9996,1.9996,1.9996,1,1.9996,200,1.9996,2025-08-06 16:24:00+00:00
