timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742306040000,3.755,3.755,3.71,21,3.75,2192,3.72978,2025-03-18 13:54:00+00:00
1742306160000,3.67,3.69,3.67,4,3.69,630,3.682619,2025-03-18 13:56:00+00:00
1742306220000,3.8,3.8,3.8,3,3.8,278,3.8,2025-03-18 13:57:00+00:00
1742306280000,3.8,3.8,3.8,3,3.8,195,3.8,2025-03-18 13:58:00+00:00
1742306760000,3.7395,3.7825,3.7395,2,3.7825,239,3.764328,2025-03-18 14:06:00+00:00
1742307120000,3.7,3.7,3.7,1,3.7,100,3.7,2025-03-18 14:12:00+00:00
1742307600000,3.78,3.78,3.78,3,3.78,254,3.78,2025-03-18 14:20:00+00:00
1742307840000,3.6987,3.7,3.6987,10,3.7,501,3.699417,2025-03-18 14:24:00+00:00
1742308920000,3.73,3.73,3.73,1,3.73,150,3.73,2025-03-18 14:42:00+00:00
1742309280000,3.7748,3.7748,3.7748,2,3.7748,2017,3.7748,2025-03-18 14:48:00+00:00
1742310000000,3.78,3.78,3.78,4,3.78,287,3.78,2025-03-18 15:00:00+00:00
1742310180000,3.73,3.73,3.73,1,3.73,232,3.73,2025-03-18 15:03:00+00:00
1742310360000,3.74,3.74,3.74,4,3.74,600,3.74,2025-03-18 15:06:00+00:00
1742310660000,3.73,3.73,3.73,2,3.73,132,3.73,2025-03-18 15:11:00+00:00
1742310960000,3.72,3.73,3.72,6,3.73,965,3.728266,2025-03-18 15:16:00+00:00
1742311200000,3.67,3.67,3.67,2,3.67,200,3.67,2025-03-18 15:20:00+00:00
1742311380000,3.7,3.7,3.7,2,3.7,567,3.7,2025-03-18 15:23:00+00:00
1742311860000,3.74,3.74,3.74,1,3.74,112,3.74,2025-03-18 15:31:00+00:00
1742312280000,3.8,3.8,3.79,2,3.79,250,3.796,2025-03-18 15:38:00+00:00
1742312640000,3.7892,3.7892,3.7892,1,3.7892,700,3.7892,2025-03-18 15:44:00+00:00
1742312700000,3.73,3.73,3.73,2,3.73,132,3.73,2025-03-18 15:45:00+00:00
1742320020000,3.68,3.68,3.68,4,3.68,103,3.68,2025-03-18 17:47:00+00:00
