timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757430240000,11.3218,11.345,11.32,112,11.345,47960,11.339613,2025-09-09 15:04:00+00:00
1757430300000,11.315,11.33,11.31,47,11.325,4446,11.318607,2025-09-09 15:05:00+00:00
1757430360000,11.3212,11.3212,11.31,38,11.31,2840,11.317993,2025-09-09 15:06:00+00:00
1757430420000,11.315,11.325,11.315,39,11.325,1462,11.31803,2025-09-09 15:07:00+00:00
1757430480000,11.32,11.32,11.315,23,11.315,2943,11.317411,2025-09-09 15:08:00+00:00
1757430540000,11.325,11.325,11.324,13,11.324,1486,11.324096,2025-09-09 15:09:00+00:00
1757430600000,11.32,11.32,11.31,55,11.32,2932,11.317826,2025-09-09 15:10:00+00:00
1757430660000,11.3228,11.325,11.32,23,11.325,806,11.322349,2025-09-09 15:11:00+00:00
1757430720000,11.345,11.345,11.325,64,11.325,4562,11.336135,2025-09-09 15:12:00+00:00
1757430780000,11.36,11.36,11.333,198,11.3499,22881,11.341046,2025-09-09 15:13:00+00:00
1757430840000,11.3539,11.39,11.35,213,11.36,23378,11.361365,2025-09-09 15:14:00+00:00
1757430900000,11.3687,11.3687,11.3598,43,11.36,7409,11.361776,2025-09-09 15:15:00+00:00
1757430960000,11.3615,11.3699,11.3601,27,11.365,2283,11.366044,2025-09-09 15:16:00+00:00
1757431020000,11.3893,11.3893,11.365,59,11.365,3364,11.37541,2025-09-09 15:17:00+00:00
1757431080000,11.38,11.38,11.3764,20,11.3764,1543,11.377,2025-09-09 15:18:00+00:00
1757431140000,11.375,11.3887,11.37,40,11.385,2887,11.383754,2025-09-09 15:19:00+00:00
1757431200000,11.3887,11.39,11.38,41,11.38,3095,11.385352,2025-09-09 15:20:00+00:00
1757431260000,11.355,11.385,11.355,78,11.385,4677,11.36815,2025-09-09 15:21:00+00:00
1757431320000,11.38,11.39,11.36,165,11.36,23687,11.376676,2025-09-09 15:22:00+00:00
1757431380000,11.3587,11.38,11.35,82,11.38,19358,11.352356,2025-09-09 15:23:00+00:00
1757431440000,11.355,11.3558,11.3501,25,11.355,4505,11.351309,2025-09-09 15:24:00+00:00
1757431500000,11.3646,11.365,11.355,48,11.36,7721,11.360066,2025-09-09 15:25:00+00:00
1757431560000,11.365,11.3664,11.3601,34,11.365,6967,11.36456,2025-09-09 15:26:00+00:00
1757431620000,11.385,11.385,11.37,55,11.37,3035,11.377039,2025-09-09 15:27:00+00:00
1757431680000,11.385,11.389,11.385,27,11.385,1671,11.385765,2025-09-09 15:28:00+00:00
1757431740000,11.39,11.395,11.39,36,11.39,6348,11.393304,2025-09-09 15:29:00+00:00
1757431800000,11.3914,11.395,11.3912,31,11.395,1286,11.391669,2025-09-09 15:30:00+00:00
1757431860000,11.38,11.395,11.38,54,11.395,2323,11.388947,2025-09-09 15:31:00+00:00
1757431920000,11.375,11.3787,11.3735,18,11.3735,1956,11.378176,2025-09-09 15:32:00+00:00
1757431980000,11.375,11.38,11.37,33,11.375,3221,11.376292,2025-09-09 15:33:00+00:00
1757432040000,11.38,11.38,11.375,40,11.375,2452,11.379008,2025-09-09 15:34:00+00:00
1757432100000,11.365,11.385,11.36,58,11.385,3704,11.369574,2025-09-09 15:35:00+00:00
1757432160000,11.345,11.35,11.34,41,11.35,6874,11.342215,2025-09-09 15:36:00+00:00
1757432220000,11.31,11.34,11.31,69,11.34,5781,11.331614,2025-09-09 15:37:00+00:00
1757432280000,11.315,11.32,11.31,50,11.315,3120,11.316433,2025-09-09 15:38:00+00:00
1757432340000,11.32,11.32,11.31,69,11.31,5373,11.317806,2025-09-09 15:39:00+00:00
1757432400000,11.305,11.336,11.3,99,11.33,11260,11.324672,2025-09-09 15:40:00+00:00
1757432460000,11.305,11.305,11.305,30,11.305,5658,11.305,2025-09-09 15:41:00+00:00
1757432520000,11.3,11.305,11.295,154,11.305,16047,11.299658,2025-09-09 15:42:00+00:00
1757432580000,11.2985,11.31,11.295,75,11.3,4360,11.301742,2025-09-09 15:43:00+00:00
1757432640000,11.295,11.295,11.295,20,11.295,3690,11.295,2025-09-09 15:44:00+00:00
1757432700000,11.295,11.2985,11.295,28,11.295,2947,11.295855,2025-09-09 15:45:00+00:00
1757432760000,11.295,11.3,11.29,36,11.29,2634,11.294881,2025-09-09 15:46:00+00:00
1757432820000,11.2999,11.3,11.2966,33,11.2968,2902,11.297977,2025-09-09 15:47:00+00:00
1757432880000,11.3,11.305,11.29,65,11.305,2753,11.297319,2025-09-09 15:48:00+00:00
1757432940000,11.285,11.295,11.2832,50,11.295,10945,11.28858,2025-09-09 15:49:00+00:00
1757433000000,11.295,11.3,11.2846,64,11.285,5606,11.290727,2025-09-09 15:50:00+00:00
1757433060000,11.3051,11.3051,11.295,36,11.2999,7184,11.299029,2025-09-09 15:51:00+00:00
1757433120000,11.325,11.33,11.31,86,11.31,4761,11.320696,2025-09-09 15:52:00+00:00
1757433180000,11.345,11.345,11.31,145,11.325,14180,11.31761,2025-09-09 15:53:00+00:00
1757433240000,11.355,11.355,11.33,59,11.34,9010,11.335462,2025-09-09 15:54:00+00:00
1757433300000,11.3493,11.35,11.34,41,11.35,7022,11.341077,2025-09-09 15:55:00+00:00
1757433360000,11.34,11.3493,11.34,67,11.3493,10373,11.344164,2025-09-09 15:56:00+00:00
1757433420000,11.3213,11.34,11.32,62,11.34,7658,11.330606,2025-09-09 15:57:00+00:00
1757433480000,11.32,11.335,11.32,86,11.325,9238,11.325743,2025-09-09 15:58:00+00:00
1757433540000,11.33,11.335,11.3115,59,11.3115,3392,11.325648,2025-09-09 15:59:00+00:00
1757433600000,11.3382,11.3382,11.3314,16,11.3314,563,11.335614,2025-09-09 16:00:00+00:00
1757433660000,11.3379,11.3379,11.335,20,11.335,1081,11.335569,2025-09-09 16:01:00+00:00
1757433720000,11.3335,11.335,11.3335,28,11.335,1319,11.333766,2025-09-09 16:02:00+00:00
1757433780000,11.3378,11.3399,11.335,42,11.3399,3090,11.335693,2025-09-09 16:03:00+00:00
1757433840000,11.325,11.335,11.325,68,11.335,34208,11.329857,2025-09-09 16:04:00+00:00
1757433900000,11.3241,11.335,11.3241,94,11.33,12659,11.327761,2025-09-09 16:05:00+00:00
1757433960000,11.345,11.35,11.325,94,11.325,11225,11.334863,2025-09-09 16:06:00+00:00
1757434020000,11.325,11.34,11.325,57,11.34,2347,11.331478,2025-09-09 16:07:00+00:00
1757434080000,11.3251,11.3251,11.32,32,11.325,5145,11.3248,2025-09-09 16:08:00+00:00
1757434140000,11.345,11.345,11.325,55,11.325,9546,11.330723,2025-09-09 16:09:00+00:00
1757434200000,11.355,11.355,11.345,22,11.345,1179,11.3475,2025-09-09 16:10:00+00:00
1757434260000,11.405,11.405,11.36,86,11.36,11465,11.384333,2025-09-09 16:11:00+00:00
1757434320000,11.405,11.405,11.39,91,11.4,13615,11.397498,2025-09-09 16:12:00+00:00
1757434380000,11.3968,11.405,11.3968,45,11.405,3178,11.398678,2025-09-09 16:13:00+00:00
1757434440000,11.4,11.4,11.4,52,11.4,2308,11.4,2025-09-09 16:14:00+00:00
1757434500000,11.41,11.41,11.3973,47,11.4098,9000,11.403301,2025-09-09 16:15:00+00:00
1757434560000,11.47,11.47,11.41,122,11.41,17085,11.441606,2025-09-09 16:16:00+00:00
1757434620000,11.475,11.4788,11.475,16,11.475,1307,11.477876,2025-09-09 16:17:00+00:00
1757434680000,11.46,11.48,11.46,133,11.475,6633,11.468278,2025-09-09 16:18:00+00:00
1757434740000,11.415,11.45,11.415,155,11.45,20476,11.424266,2025-09-09 16:19:00+00:00
1757434800000,11.44,11.45,11.42,96,11.42,18754,11.424465,2025-09-09 16:20:00+00:00
1757434860000,11.465,11.4683,11.445,56,11.45,5438,11.456931,2025-09-09 16:21:00+00:00
1757434920000,11.4401,11.46,11.4401,41,11.46,7480,11.444233,2025-09-09 16:22:00+00:00
1757434980000,11.445,11.445,11.4415,34,11.4415,2428,11.444684,2025-09-09 16:23:00+00:00
1757435040000,11.46,11.46,11.445,61,11.445,5562,11.447868,2025-09-09 16:24:00+00:00
1757435100000,11.455,11.455,11.4518,28,11.4518,1641,11.454709,2025-09-09 16:25:00+00:00
1757435160000,11.46,11.4657,11.4501,92,11.455,16609,11.457797,2025-09-09 16:26:00+00:00
1757435220000,11.455,11.46,11.45,34,11.45,9502,11.45896,2025-09-09 16:27:00+00:00
1757435280000,11.48,11.48,11.4525,67,11.4525,18750,11.476335,2025-09-09 16:28:00+00:00
1757435340000,11.5,11.5,11.485,52,11.485,5415,11.493812,2025-09-09 16:29:00+00:00
1757435400000,11.5,11.51,11.5,64,11.5,3198,11.50127,2025-09-09 16:30:00+00:00
1757435460000,11.5,11.51,11.5,18,11.51,1090,11.505,2025-09-09 16:31:00+00:00
1757435520000,11.505,11.515,11.5042,61,11.5042,5836,11.50716,2025-09-09 16:32:00+00:00
1757435580000,11.505,11.505,11.5,64,11.505,6782,11.502979,2025-09-09 16:33:00+00:00
1757435640000,11.4901,11.5,11.4901,24,11.5,4574,11.493149,2025-09-09 16:34:00+00:00
1757435700000,11.49,11.495,11.49,23,11.495,903,11.49125,2025-09-09 16:35:00+00:00
1757435760000,11.505,11.505,11.48,73,11.48,11503,11.488753,2025-09-09 16:36:00+00:00
1757435820000,11.5,11.5087,11.5,38,11.5087,1720,11.502757,2025-09-09 16:37:00+00:00
1757435880000,11.495,11.5,11.495,18,11.4989,1675,11.499402,2025-09-09 16:38:00+00:00
1757435940000,11.51,11.51,11.5,39,11.5,2165,11.502627,2025-09-09 16:39:00+00:00
1757436000000,11.4928,11.51,11.49,36,11.51,1926,11.496987,2025-09-09 16:40:00+00:00
1757436060000,11.48,11.495,11.48,75,11.49,6890,11.482845,2025-09-09 16:41:00+00:00
1757436120000,11.475,11.48,11.46,69,11.4701,8319,11.47111,2025-09-09 16:42:00+00:00
1757436180000,11.47,11.475,11.465,67,11.475,5865,11.46815,2025-09-09 16:43:00+00:00
1757436240000,11.45,11.47,11.45,49,11.47,6586,11.45356,2025-09-09 16:44:00+00:00
1757436300000,11.44,11.4499,11.44,27,11.44,6905,11.440529,2025-09-09 16:45:00+00:00
1757436360000,11.43,11.44,11.4101,115,11.44,19349,11.4157,2025-09-09 16:46:00+00:00
1757436420000,11.445,11.4471,11.44,19,11.4471,1137,11.445195,2025-09-09 16:47:00+00:00
1757436480000,11.445,11.445,11.445,20,11.445,649,11.445,2025-09-09 16:48:00+00:00
1757436540000,11.435,11.44,11.435,30,11.44,1351,11.438752,2025-09-09 16:49:00+00:00
1757436600000,11.4287,11.435,11.4265,33,11.435,2269,11.429324,2025-09-09 16:50:00+00:00
1757436660000,11.42,11.425,11.42,54,11.425,1992,11.4205,2025-09-09 16:51:00+00:00
1757436720000,11.4,11.425,11.4,78,11.415,12869,11.417742,2025-09-09 16:52:00+00:00
1757436780000,11.37,11.385,11.37,21,11.385,3184,11.373268,2025-09-09 16:53:00+00:00
1757436840000,11.38,11.38,11.375,56,11.38,1913,11.379431,2025-09-09 16:54:00+00:00
1757436900000,11.3984,11.3984,11.38,54,11.38,3193,11.390071,2025-09-09 16:55:00+00:00
1757436960000,11.395,11.4,11.395,39,11.395,2709,11.396888,2025-09-09 16:56:00+00:00
1757437020000,11.415,11.42,11.4,46,11.4,3942,11.404483,2025-09-09 16:57:00+00:00
1757437080000,11.4199,11.4199,11.4135,12,11.4135,595,11.416872,2025-09-09 16:58:00+00:00
1757437140000,11.425,11.425,11.415,22,11.415,2207,11.416488,2025-09-09 16:59:00+00:00
1757437200000,11.435,11.435,11.42,54,11.42,4076,11.427204,2025-09-09 17:00:00+00:00
1757437260000,11.43,11.44,11.4246,54,11.43,5791,11.431722,2025-09-09 17:01:00+00:00
1757437320000,11.4548,11.465,11.435,98,11.435,5864,11.446629,2025-09-09 17:02:00+00:00
1757437380000,11.465,11.465,11.465,19,11.465,470,11.465,2025-09-09 17:03:00+00:00
1757437440000,11.485,11.49,11.47,71,11.47,4232,11.477348,2025-09-09 17:04:00+00:00
1757437500000,11.4842,11.4886,11.48,45,11.4886,5057,11.481122,2025-09-09 17:05:00+00:00
1757437560000,11.4899,11.49,11.4899,33,11.4899,1817,11.489947,2025-09-09 17:06:00+00:00
1757437620000,11.48,11.5,11.48,60,11.5,3369,11.494519,2025-09-09 17:07:00+00:00
1757437680000,11.47,11.47,11.47,32,11.47,607,11.47,2025-09-09 17:08:00+00:00
1757437740000,11.4684,11.475,11.4684,27,11.475,2715,11.471541,2025-09-09 17:09:00+00:00
1757437800000,11.475,11.475,11.465,38,11.47,8121,11.469049,2025-09-09 17:10:00+00:00
1757437860000,11.485,11.4899,11.47,116,11.48,9682,11.480114,2025-09-09 17:11:00+00:00
1757437920000,11.4773,11.485,11.4773,54,11.4801,5413,11.480482,2025-09-09 17:12:00+00:00
1757437980000,11.46,11.47,11.46,41,11.47,1385,11.4675,2025-09-09 17:13:00+00:00
1757438040000,11.455,11.455,11.45,45,11.455,6342,11.451467,2025-09-09 17:14:00+00:00
1757438100000,11.46,11.46,11.45,40,11.45,1593,11.451099,2025-09-09 17:15:00+00:00
1757438160000,11.4699,11.4699,11.455,33,11.455,2200,11.45971,2025-09-09 17:16:00+00:00
1757438220000,11.475,11.475,11.455,77,11.46,4473,11.466019,2025-09-09 17:17:00+00:00
1757438280000,11.525,11.525,11.4763,170,11.48,22960,11.502785,2025-09-09 17:18:00+00:00
1757438340000,11.525,11.525,11.525,20,11.525,1475,11.525,2025-09-09 17:19:00+00:00
1757438400000,11.545,11.545,11.52,126,11.5214,13300,11.524811,2025-09-09 17:20:00+00:00
1757438460000,11.55,11.55,11.545,46,11.545,2408,11.545793,2025-09-09 17:21:00+00:00
1757438520000,11.53,11.555,11.53,39,11.555,2333,11.5431,2025-09-09 17:22:00+00:00
1757438580000,11.53,11.53,11.525,39,11.53,7933,11.5254,2025-09-09 17:23:00+00:00
1757438640000,11.545,11.56,11.54,58,11.54,8782,11.550989,2025-09-09 17:24:00+00:00
1757438700000,11.5599,11.56,11.55,29,11.56,4563,11.558052,2025-09-09 17:25:00+00:00
1757438760000,11.55,11.558,11.55,26,11.558,4606,11.55553,2025-09-09 17:26:00+00:00
1757438820000,11.565,11.575,11.5516,102,11.5516,10552,11.564741,2025-09-09 17:27:00+00:00
1757438880000,11.565,11.5687,11.56,20,11.5687,6542,11.564193,2025-09-09 17:28:00+00:00
1757438940000,11.5725,11.575,11.555,181,11.565,18266,11.565363,2025-09-09 17:29:00+00:00
1757439000000,11.5584,11.575,11.55,66,11.5742,14970,11.563704,2025-09-09 17:30:00+00:00
1757439060000,11.55,11.55,11.545,41,11.55,1934,11.547648,2025-09-09 17:31:00+00:00
1757439120000,11.545,11.555,11.545,29,11.555,1163,11.550389,2025-09-09 17:32:00+00:00
1757439180000,11.54,11.5453,11.54,31,11.5453,6590,11.545103,2025-09-09 17:33:00+00:00
1757439240000,11.54,11.55,11.54,16,11.55,7398,11.540419,2025-09-09 17:34:00+00:00
1757439300000,11.58,11.58,11.54,68,11.545,19436,11.565806,2025-09-09 17:35:00+00:00
1757439360000,11.6,11.6,11.575,68,11.575,19859,11.585685,2025-09-09 17:36:00+00:00
1757439420000,11.62,11.62,11.595,76,11.595,9496,11.604666,2025-09-09 17:37:00+00:00
1757439480000,11.615,11.62,11.615,21,11.615,3294,11.615221,2025-09-09 17:38:00+00:00
1757439540000,11.595,11.615,11.595,71,11.615,5304,11.608576,2025-09-09 17:39:00+00:00
1757439600000,11.6,11.6,11.6,19,11.6,825,11.6,2025-09-09 17:40:00+00:00
1757439660000,11.575,11.59,11.575,43,11.59,7918,11.577678,2025-09-09 17:41:00+00:00
1757439720000,11.59,11.605,11.57,92,11.57,21838,11.589931,2025-09-09 17:42:00+00:00
1757439780000,11.5865,11.5865,11.5736,40,11.58,10453,11.581543,2025-09-09 17:43:00+00:00
1757439840000,11.585,11.585,11.585,16,11.585,2925,11.585,2025-09-09 17:44:00+00:00
1757439900000,11.58,11.5801,11.575,39,11.5801,6775,11.579694,2025-09-09 17:45:00+00:00
1757439960000,11.575,11.58,11.575,27,11.58,1032,11.578571,2025-09-09 17:46:00+00:00
