timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757434380000,0.107,0.1072,0.107,3,0.1072,3100,0.107194,2025-09-09 16:13:00+00:00
1757434500000,0.1076,0.1076,0.1076,2,0.1076,1050,0.1076,2025-09-09 16:15:00+00:00
1757434560000,0.1076,0.1076,0.1076,4,0.1076,5228,0.1076,2025-09-09 16:16:00+00:00
1757434740000,0.1075,0.1075,0.1075,1,0.1075,195,0.1075,2025-09-09 16:19:00+00:00
1757434800000,0.1076,0.1076,0.1076,1,0.1076,290,0.1076,2025-09-09 16:20:00+00:00
1757434860000,0.1073,0.1076,0.1073,4,0.1076,2519,0.10754,2025-09-09 16:21:00+00:00
1757434920000,0.1076,0.1076,0.1074,3,0.1074,8978,0.107444,2025-09-09 16:22:00+00:00
1757435100000,0.1075,0.1075,0.1075,4,0.1075,1192,0.1075,2025-09-09 16:25:00+00:00
1757435280000,0.1076,0.1076,0.1075,5,0.1075,4100,0.107563,2025-09-09 16:28:00+00:00
1757435340000,0.1118,0.1118,0.1076,59,0.1079,523576,0.109412,2025-09-09 16:29:00+00:00
1757435400000,0.1148,0.1149,0.11,75,0.1119,235011,0.11269,2025-09-09 16:30:00+00:00
1757435460000,0.112,0.1138,0.112,13,0.1131,39435,0.11318,2025-09-09 16:31:00+00:00
1757435520000,0.1124,0.1129,0.1124,5,0.1129,21006,0.112888,2025-09-09 16:32:00+00:00
1757435580000,0.11,0.1127,0.11,63,0.1127,658768,0.110899,2025-09-09 16:33:00+00:00
1757435640000,0.1147,0.1148,0.1088,62,0.1099,623413,0.11167,2025-09-09 16:34:00+00:00
1757435700000,0.112,0.1147,0.1117,19,0.1146,155854,0.112927,2025-09-09 16:35:00+00:00
1757435760000,0.1118,0.1119,0.1117,6,0.1119,1502,0.111745,2025-09-09 16:36:00+00:00
1757435820000,0.1129,0.1129,0.1117,2,0.1117,40617,0.112427,2025-09-09 16:37:00+00:00
1757435940000,0.114,0.114,0.1117,21,0.1117,7504,0.113296,2025-09-09 16:39:00+00:00
1757436000000,0.114,0.114,0.114,1,0.114,10000,0.114,2025-09-09 16:40:00+00:00
1757436120000,0.1118,0.1138,0.1117,7,0.1117,126201,0.112212,2025-09-09 16:42:00+00:00
1757436180000,0.1094,0.1138,0.1094,95,0.1118,111252,0.110267,2025-09-09 16:43:00+00:00
1757436300000,0.1137,0.1137,0.1101,5,0.1101,13001,0.110592,2025-09-09 16:45:00+00:00
1757436360000,0.1105,0.1105,0.1101,4,0.1101,54006,0.110268,2025-09-09 16:46:00+00:00
1757436420000,0.1113,0.1115,0.1105,5,0.1105,60001,0.11065,2025-09-09 16:47:00+00:00
1757436540000,0.1129,0.1129,0.112,13,0.112,4206,0.11245,2025-09-09 16:49:00+00:00
1757436780000,0.1118,0.1118,0.1101,3,0.1118,7600,0.111778,2025-09-09 16:53:00+00:00
1757436840000,0.1125,0.1125,0.1124,2,0.1124,4000,0.112438,2025-09-09 16:54:00+00:00
1757437080000,0.111,0.111,0.111,1,0.111,164,0.111,2025-09-09 16:58:00+00:00
1757437140000,0.111,0.111,0.111,2,0.111,2940,0.111,2025-09-09 16:59:00+00:00
1757437260000,0.1101,0.1101,0.1101,2,0.1101,132,0.1101,2025-09-09 17:01:00+00:00
1757437320000,0.1101,0.1101,0.1101,3,0.1101,2350,0.1101,2025-09-09 17:02:00+00:00
1757437380000,0.1108,0.1113,0.1108,6,0.1113,11309,0.11108,2025-09-09 17:03:00+00:00
1757437440000,0.1102,0.1102,0.11,20,0.1101,143522,0.110154,2025-09-09 17:04:00+00:00
1757437500000,0.1082,0.1095,0.1081,41,0.1094,124727,0.108812,2025-09-09 17:05:00+00:00
1757437560000,0.1084,0.1094,0.1082,4,0.1094,8950,0.108411,2025-09-09 17:06:00+00:00
1757437680000,0.1087,0.1089,0.1082,39,0.1089,47071,0.108594,2025-09-09 17:08:00+00:00
1757437740000,0.1083,0.109,0.1083,10,0.109,25560,0.108412,2025-09-09 17:09:00+00:00
1757437800000,0.1081,0.1081,0.108,11,0.1081,64068,0.108097,2025-09-09 17:10:00+00:00
1757437860000,0.1087,0.1089,0.1081,26,0.1081,94600,0.10844,2025-09-09 17:11:00+00:00
1757437920000,0.1089,0.1095,0.1087,24,0.1095,96066,0.109331,2025-09-09 17:12:00+00:00
1757437980000,0.1089,0.1099,0.1089,25,0.1099,53100,0.109727,2025-09-09 17:13:00+00:00
1757438100000,0.1089,0.1089,0.1089,1,0.1089,500,0.1089,2025-09-09 17:15:00+00:00
1757438220000,0.1089,0.1089,0.1089,2,0.1089,1013,0.1089,2025-09-09 17:17:00+00:00
1757438340000,0.1095,0.1098,0.1089,6,0.1098,12921,0.109384,2025-09-09 17:19:00+00:00
1757438400000,0.1099,0.1099,0.1098,7,0.1098,6000,0.109883,2025-09-09 17:20:00+00:00
1757438520000,0.1099,0.11,0.1098,7,0.1098,1212,0.109901,2025-09-09 17:22:00+00:00
1757438580000,0.1095,0.1095,0.1095,3,0.1095,4999,0.1095,2025-09-09 17:23:00+00:00
1757438700000,0.1098,0.1098,0.1098,1,0.1098,400,0.1098,2025-09-09 17:25:00+00:00
1757438760000,0.1099,0.1099,0.1099,4,0.1099,1006,0.1099,2025-09-09 17:26:00+00:00
1757438880000,0.1095,0.1095,0.1095,1,0.1095,2914,0.1095,2025-09-09 17:28:00+00:00
1757438940000,0.1097,0.1097,0.1097,1,0.1097,376,0.1097,2025-09-09 17:29:00+00:00
1757439000000,0.1095,0.1097,0.109,14,0.1097,50902,0.109693,2025-09-09 17:30:00+00:00
1757439060000,0.1095,0.1095,0.1091,12,0.1093,1300,0.109285,2025-09-09 17:31:00+00:00
1757439180000,0.1093,0.1095,0.1093,3,0.1093,1140,0.109318,2025-09-09 17:33:00+00:00
1757439300000,0.1089,0.1089,0.1089,1,0.1089,1000,0.1089,2025-09-09 17:35:00+00:00
1757439360000,0.1095,0.1095,0.1093,4,0.1093,1100,0.109318,2025-09-09 17:36:00+00:00
1757439720000,0.1094,0.1094,0.1094,1,0.1094,2000,0.1094,2025-09-09 17:42:00+00:00
