timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755611400000,11.665,11.665,11.64,19,11.66,4765,11.650605,2025-08-19 13:50:00+00:00
1755611460000,11.6,11.665,11.6,4,11.665,336,11.6325,2025-08-19 13:51:00+00:00
1755611520000,11.665,11.665,11.665,4,11.665,800,11.665,2025-08-19 13:52:00+00:00
1755611580000,11.665,11.665,11.665,2,11.665,170,11.665,2025-08-19 13:53:00+00:00
1755613680000,11.6,11.615,11.6,33,11.6,2686,11.601313,2025-08-19 14:28:00+00:00
1755613800000,11.6,11.6,11.6,8,11.6,138,11.6,2025-08-19 14:30:00+00:00
1755613980000,11.61,11.61,11.61,2,11.61,106,11.61,2025-08-19 14:33:00+00:00
1755614040000,11.57,11.57,11.57,7,11.57,357,11.57,2025-08-19 14:34:00+00:00
1755614100000,11.57,11.57,11.57,4,11.57,109,11.57,2025-08-19 14:35:00+00:00
1755614280000,11.56,11.57,11.56,34,11.56,1964,11.563568,2025-08-19 14:38:00+00:00
1755614340000,11.53,11.53,11.53,15,11.53,335,11.53,2025-08-19 14:39:00+00:00
1755614700000,11.44,11.44,11.44,4,11.44,114,11.44,2025-08-19 14:45:00+00:00
1755614760000,11.49,11.49,11.49,16,11.49,1137,11.49,2025-08-19 14:46:00+00:00
1755614940000,11.445,11.445,11.445,2,11.445,102,11.445,2025-08-19 14:49:00+00:00
1755615000000,11.495,11.495,11.445,5,11.445,300,11.462182,2025-08-19 14:50:00+00:00
1755615240000,11.45,11.45,11.45,3,11.45,113,11.45,2025-08-19 14:54:00+00:00
1755615600000,11.36,11.39,11.36,16,11.39,660,11.374965,2025-08-19 15:00:00+00:00
1755616620000,11.435,11.435,11.36,41,11.38,3243,11.383009,2025-08-19 15:17:00+00:00
1755616980000,11.42,11.42,11.42,1,11.42,100,11.42,2025-08-19 15:23:00+00:00
1755618060000,11.34,11.34,11.34,7,11.34,350,11.34,2025-08-19 15:41:00+00:00
1755618540000,11.29,11.29,11.29,9,11.29,355,11.29,2025-08-19 15:49:00+00:00
1755618780000,11.285,11.285,11.285,4,11.285,228,11.285,2025-08-19 15:53:00+00:00
1755619140000,11.3,11.3,11.28,11,11.3,836,11.297143,2025-08-19 15:59:00+00:00
1755619200000,11.325,11.335,11.3,25,11.3,1797,11.313023,2025-08-19 16:00:00+00:00
1755619260000,11.325,11.325,11.325,3,11.325,235,11.325,2025-08-19 16:01:00+00:00
1755619980000,11.28,11.2805,11.27,17,11.27,961,11.278583,2025-08-19 16:13:00+00:00
1755620040000,11.171,11.23,11.171,6,11.23,743,11.18788,2025-08-19 16:14:00+00:00
1755620340000,11.25,11.25,11.25,19,11.25,783,11.25,2025-08-19 16:19:00+00:00
1755620700000,11.26,11.26,11.26,9,11.26,285,11.26,2025-08-19 16:25:00+00:00
