timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742999880000,0.1822,0.1822,0.1822,1,0.1822,210,0.1822,2025-03-26 14:38:00+00:00
1743000060000,0.184,0.184,0.184,2,0.184,101,0.184,2025-03-26 14:41:00+00:00
1743000180000,0.1821,0.1821,0.1821,4,0.1821,1600,0.1821,2025-03-26 14:43:00+00:00
1743000540000,0.1826,0.1826,0.1826,1,0.1826,200,0.1826,2025-03-26 14:49:00+00:00
1743001380000,0.1805,0.1821,0.1805,6,0.1821,1209,0.180649,2025-03-26 15:03:00+00:00
1743001500000,0.1815,0.1815,0.1815,1,0.1815,200,0.1815,2025-03-26 15:05:00+00:00
1743002100000,0.1815,0.1815,0.1813,2,0.1813,7136,0.181343,2025-03-26 15:15:00+00:00
1743002280000,0.1805,0.1805,0.1805,1,0.1805,100,0.1805,2025-03-26 15:18:00+00:00
1743002340000,0.1813,0.1813,0.1813,2,0.1813,213,0.1813,2025-03-26 15:19:00+00:00
1743002520000,0.1805,0.1805,0.1805,3,0.1805,300,0.1805,2025-03-26 15:22:00+00:00
1743002640000,0.1821,0.1821,0.1821,2,0.1821,112,0.1821,2025-03-26 15:24:00+00:00
1743002700000,0.1822,0.1822,0.1822,1,0.1822,200,0.1822,2025-03-26 15:25:00+00:00
1743002940000,0.1825,0.1825,0.1825,1,0.1825,5000,0.1825,2025-03-26 15:29:00+00:00
1743003180000,0.1805,0.1805,0.1805,2,0.1805,101,0.1805,2025-03-26 15:33:00+00:00
1743003240000,0.1805,0.1805,0.1805,9,0.1805,807,0.1805,2025-03-26 15:34:00+00:00
1743003360000,0.1812,0.1812,0.1812,1,0.1812,200,0.1812,2025-03-26 15:36:00+00:00
1743003420000,0.1805,0.1805,0.1805,3,0.1805,300,0.1805,2025-03-26 15:37:00+00:00
1743003480000,0.1805,0.1805,0.1805,2,0.1805,200,0.1805,2025-03-26 15:38:00+00:00
1743003600000,0.1812,0.1812,0.1812,1,0.1812,400,0.1812,2025-03-26 15:40:00+00:00
1743003840000,0.1805,0.1805,0.1805,3,0.1805,300,0.1805,2025-03-26 15:44:00+00:00
1743003900000,0.18,0.1805,0.18,15,0.1805,42698,0.180003,2025-03-26 15:45:00+00:00
1743003960000,0.18,0.18,0.18,1,0.18,900,0.18,2025-03-26 15:46:00+00:00
1743004080000,0.1818,0.1818,0.1806,2,0.1806,400,0.1812,2025-03-26 15:48:00+00:00
1743004140000,0.1818,0.1818,0.1818,17,0.1818,5000,0.1818,2025-03-26 15:49:00+00:00
1743004200000,0.18,0.1809,0.18,2,0.1809,10748,0.180469,2025-03-26 15:50:00+00:00
1743004500000,0.1809,0.1809,0.1809,2,0.1809,425,0.1809,2025-03-26 15:55:00+00:00
1743004740000,0.1834,0.1834,0.1817,8,0.1817,1244,0.183115,2025-03-26 15:59:00+00:00
1743005160000,0.1819,0.1819,0.1819,1,0.1819,210,0.1819,2025-03-26 16:06:00+00:00
1743005520000,0.1826,0.1826,0.1826,1,0.1826,500,0.1826,2025-03-26 16:12:00+00:00
1743005640000,0.1834,0.1834,0.1834,2,0.1834,200,0.1834,2025-03-26 16:14:00+00:00
1743006180000,0.1843,0.1843,0.1843,1,0.1843,250,0.1843,2025-03-26 16:23:00+00:00
1743006480000,0.1834,0.1834,0.1834,1,0.1834,301,0.1834,2025-03-26 16:28:00+00:00
1743006540000,0.1855,0.1855,0.1848,2,0.1848,600,0.185383,2025-03-26 16:29:00+00:00
1743006600000,0.1821,0.1821,0.1821,1,0.1821,301,0.1821,2025-03-26 16:30:00+00:00
1743006840000,0.1825,0.1825,0.1825,1,0.1825,584,0.1825,2025-03-26 16:34:00+00:00
1743007020000,0.1825,0.1825,0.1825,2,0.1825,200,0.1825,2025-03-26 16:37:00+00:00
1743007740000,0.1819,0.1819,0.18,10,0.1819,18388,0.181842,2025-03-26 16:49:00+00:00
1743007980000,0.1809,0.1809,0.1809,1,0.1809,1050,0.1809,2025-03-26 16:53:00+00:00
1743008040000,0.1809,0.1809,0.1809,1,0.1809,400,0.1809,2025-03-26 16:54:00+00:00
1743008340000,0.1747,0.1816,0.1747,17,0.18,100151,0.179992,2025-03-26 16:59:00+00:00
1743008580000,0.1757,0.1757,0.174,4,0.174,700,0.174486,2025-03-26 17:03:00+00:00
1743008640000,0.1762,0.1762,0.1762,1,0.1762,500,0.1762,2025-03-26 17:04:00+00:00
1743008820000,0.1735,0.1735,0.1735,2,0.1735,310,0.1735,2025-03-26 17:07:00+00:00
1743009060000,0.1782,0.1782,0.1782,1,0.1782,360,0.1782,2025-03-26 17:11:00+00:00
1743009300000,0.1771,0.1771,0.1771,1,0.1771,5000,0.1771,2025-03-26 17:15:00+00:00
1743009360000,0.1771,0.1771,0.1771,1,0.1771,200,0.1771,2025-03-26 17:16:00+00:00
1743009840000,0.1762,0.1762,0.1762,1,0.1762,405,0.1762,2025-03-26 17:24:00+00:00
1743010260000,0.1771,0.1771,0.1771,2,0.1771,109,0.1771,2025-03-26 17:31:00+00:00
1743010740000,0.1786,0.1786,0.1781,3,0.1781,335,0.178433,2025-03-26 17:39:00+00:00
1743010800000,0.1763,0.1763,0.1763,1,0.1763,10000,0.1763,2025-03-26 17:40:00+00:00
