timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756995420000,64.1983,64.1983,64.1983,10,64.1983,452,64.1983,2025-09-04 14:17:00+00:00
1756995540000,65.0,65.0,65.0,9,65.0,336,65.0,2025-09-04 14:19:00+00:00
1756995600000,65.05,65.05,65.05,10,65.05,368,65.05,2025-09-04 14:20:00+00:00
1756995660000,65.0969,65.11,65.0969,12,65.11,339,65.10345,2025-09-04 14:21:00+00:00
1756995780000,65.32,65.32,65.32,9,65.32,743,65.32,2025-09-04 14:23:00+00:00
1756995840000,66.0,66.0,65.3,16,65.3,690,65.766667,2025-09-04 14:24:00+00:00
1756995900000,66.05,66.05,65.9868,16,65.9868,840,66.037608,2025-09-04 14:25:00+00:00
1756996020000,65.69,65.69,65.41,11,65.59,968,65.535882,2025-09-04 14:27:00+00:00
1756996080000,66.11,66.11,65.965,10,66.0,680,66.009132,2025-09-04 14:28:00+00:00
1756996140000,66.2808,66.2808,66.2808,7,66.2808,213,66.2808,2025-09-04 14:29:00+00:00
1756996200000,66.5,66.5,66.3829,12,66.3829,553,66.44145,2025-09-04 14:30:00+00:00
1756996260000,66.54,66.54,66.54,11,66.54,870,66.54,2025-09-04 14:31:00+00:00
1756996320000,66.99,66.99,66.87,9,66.87,551,66.922521,2025-09-04 14:32:00+00:00
1756996380000,66.84,66.84,66.67,23,66.7,1655,66.731234,2025-09-04 14:33:00+00:00
1756996440000,66.2909,66.4196,66.2226,12,66.4196,910,66.297964,2025-09-04 14:34:00+00:00
1756996500000,66.585,66.585,66.585,13,66.585,373,66.585,2025-09-04 14:35:00+00:00
1756996560000,66.86,66.86,66.54,15,66.54,569,66.654118,2025-09-04 14:36:00+00:00
1756996680000,67.5,67.5,67.42,17,67.42,1105,67.482222,2025-09-04 14:38:00+00:00
1756996740000,67.6,67.6,67.38,33,67.495,1924,67.468392,2025-09-04 14:39:00+00:00
1756996800000,67.42,67.7255,67.42,30,67.67,1848,67.591482,2025-09-04 14:40:00+00:00
1756996860000,67.45,67.45,67.45,10,67.45,649,67.45,2025-09-04 14:41:00+00:00
1756996920000,66.68,66.72,66.29,19,66.63,2537,66.369898,2025-09-04 14:42:00+00:00
1756996980000,67.01,67.01,66.68,16,66.68,967,66.884286,2025-09-04 14:43:00+00:00
1756997040000,67.32,67.32,67.32,15,67.32,236,67.32,2025-09-04 14:44:00+00:00
1756997100000,67.525,67.525,67.3625,20,67.3625,1972,67.4925,2025-09-04 14:45:00+00:00
1756997220000,66.665,66.72,66.65,15,66.72,762,66.664167,2025-09-04 14:47:00+00:00
1756997280000,66.8799,66.8799,66.2934,6,66.2934,779,66.557986,2025-09-04 14:48:00+00:00
1756997400000,66.6236,66.6236,66.6236,9,66.6236,248,66.6236,2025-09-04 14:50:00+00:00
1756997460000,66.37,66.72,66.37,21,66.72,525,66.498676,2025-09-04 14:51:00+00:00
1756997520000,65.9401,65.9817,65.9401,10,65.9817,650,65.96506,2025-09-04 14:52:00+00:00
1756997700000,65.9407,66.19,65.9407,15,66.19,3524,65.948579,2025-09-04 14:55:00+00:00
1756997760000,65.58,65.675,65.58,6,65.675,597,65.599426,2025-09-04 14:56:00+00:00
1756997820000,65.2792,65.46,65.2792,9,65.46,734,65.377991,2025-09-04 14:57:00+00:00
1756997880000,65.33,65.33,65.33,9,65.33,223,65.33,2025-09-04 14:58:00+00:00
1756997940000,65.17,65.17,65.17,9,65.17,344,65.17,2025-09-04 14:59:00+00:00
1756998000000,65.44,65.6685,65.44,8,65.6685,513,65.611375,2025-09-04 15:00:00+00:00
1756998060000,65.0,65.0,65.0,7,65.0,305,65.0,2025-09-04 15:01:00+00:00
1756998180000,65.15,65.245,65.15,6,65.245,305,65.1975,2025-09-04 15:03:00+00:00
1756998300000,65.0665,65.1624,65.0665,5,65.1624,438,65.138425,2025-09-04 15:05:00+00:00
1756998360000,64.49,64.49,64.49,14,64.49,425,64.49,2025-09-04 15:06:00+00:00
1756998420000,64.41,64.41,64.41,6,64.41,231,64.41,2025-09-04 15:07:00+00:00
1756998480000,64.42,64.42,64.42,9,64.42,640,64.42,2025-09-04 15:08:00+00:00
1756998660000,63.99,64.1,63.9,26,64.1,1364,63.985405,2025-09-04 15:11:00+00:00
1756998720000,63.65,63.69,63.65,12,63.68,869,63.66,2025-09-04 15:12:00+00:00
1756998780000,63.59,63.59,63.59,13,63.59,329,63.59,2025-09-04 15:13:00+00:00
1756998900000,63.99,64.0,63.64,22,63.6745,1702,63.803314,2025-09-04 15:15:00+00:00
1756998960000,63.85,63.85,63.82,19,63.82,713,63.84,2025-09-04 15:16:00+00:00
1756999020000,63.47,63.6244,63.47,32,63.6244,1015,63.507385,2025-09-04 15:17:00+00:00
1756999080000,63.5416,63.5416,63.5416,4,63.5416,122,63.5416,2025-09-04 15:18:00+00:00
1756999140000,63.87,63.87,63.87,21,63.87,741,63.87,2025-09-04 15:19:00+00:00
1756999200000,63.5,63.665,63.5,19,63.665,2089,63.517664,2025-09-04 15:20:00+00:00
1756999320000,64.095,64.095,64.095,7,64.095,171,64.095,2025-09-04 15:22:00+00:00
