timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756476480000,7.32,7.3755,7.32,5,7.3755,228,7.350273,2025-08-29 14:08:00+00:00
1756476780000,7.3,7.3402,7.3,16,7.3402,395,7.3201,2025-08-29 14:13:00+00:00
1756476840000,7.3118,7.3118,7.3118,4,7.3118,828,7.3118,2025-08-29 14:14:00+00:00
1756476900000,7.31,7.31,7.31,2,7.31,550,7.31,2025-08-29 14:15:00+00:00
1756477260000,7.31,7.31,7.31,1,7.31,100,7.31,2025-08-29 14:21:00+00:00
1756477320000,7.2,7.285,6.79,570,7.26,60276,7.069036,2025-08-29 14:22:00+00:00
1756477380000,7.1649,7.25,7.12,36,7.24,7623,7.192179,2025-08-29 14:23:00+00:00
1756477440000,7.29,7.29,7.2181,12,7.2181,1352,7.281383,2025-08-29 14:24:00+00:00
1756477500000,7.02,7.155,7.01,63,7.145,12278,7.066641,2025-08-29 14:25:00+00:00
1756477560000,7.18,7.18,7.14,4,7.14,800,7.15375,2025-08-29 14:26:00+00:00
1756477620000,7.2404,7.2404,7.2404,2,7.2404,338,7.2404,2025-08-29 14:27:00+00:00
1756477680000,7.15,7.19,7.09,11,7.1,783,7.147857,2025-08-29 14:28:00+00:00
1756477740000,7.165,7.22,7.165,4,7.165,470,7.176702,2025-08-29 14:29:00+00:00
1756477800000,7.1117,7.1117,7.1117,3,7.1117,342,7.1117,2025-08-29 14:30:00+00:00
1756477920000,7.12,7.12,7.12,4,7.12,160,7.12,2025-08-29 14:32:00+00:00
1756477980000,7.11,7.12,7.11,3,7.12,201,7.115,2025-08-29 14:33:00+00:00
1756478040000,7.22,7.24,7.22,27,7.22,1605,7.23,2025-08-29 14:34:00+00:00
1756478100000,7.255,7.255,7.255,3,7.255,169,7.255,2025-08-29 14:35:00+00:00
1756478160000,7.2,7.26,7.2,12,7.26,662,7.23,2025-08-29 14:36:00+00:00
1756478220000,7.215,7.27,7.215,9,7.25,1002,7.240521,2025-08-29 14:37:00+00:00
1756478280000,7.27,7.29,7.27,13,7.28,1335,7.283077,2025-08-29 14:38:00+00:00
1756478340000,7.4,7.4,7.36,18,7.36,915,7.388561,2025-08-29 14:39:00+00:00
1756478400000,7.48,7.48,7.45,31,7.45,1242,7.472239,2025-08-29 14:40:00+00:00
1756478520000,7.43,7.45,7.4,10,7.4,962,7.442222,2025-08-29 14:42:00+00:00
1756478640000,7.46,7.49,7.44,34,7.48,1269,7.468889,2025-08-29 14:44:00+00:00
1756478700000,7.355,7.355,7.2494,3,7.2494,554,7.29164,2025-08-29 14:45:00+00:00
1756478760000,7.4644,7.49,7.44,15,7.44,1019,7.478267,2025-08-29 14:46:00+00:00
1756478820000,7.335,7.335,7.2126,7,7.2126,844,7.264611,2025-08-29 14:47:00+00:00
1756478880000,7.48,7.48,7.47,10,7.47,437,7.475,2025-08-29 14:48:00+00:00
1756478940000,7.415,7.5,7.415,8,7.5,1362,7.479762,2025-08-29 14:49:00+00:00
1756479000000,7.38,7.38,7.21,31,7.28,1540,7.280972,2025-08-29 14:50:00+00:00
1756479060000,7.5,7.5,7.4,6,7.4,1005,7.487603,2025-08-29 14:51:00+00:00
1756479180000,7.48,7.5,7.48,8,7.48,1049,7.494975,2025-08-29 14:53:00+00:00
1756479240000,7.45,7.45,7.45,5,7.45,136,7.45,2025-08-29 14:54:00+00:00
1756479300000,7.5,7.5,7.49,17,7.49,1300,7.495556,2025-08-29 14:55:00+00:00
1756479420000,7.5,7.5,7.49,107,7.5,18302,7.499815,2025-08-29 14:57:00+00:00
1756479480000,7.4998,7.5,7.4998,4,7.5,259,7.4999,2025-08-29 14:58:00+00:00
1756479540000,7.49,7.5,7.49,24,7.5,2810,7.498765,2025-08-29 14:59:00+00:00
1756479600000,7.4993,7.4993,7.49,4,7.49,351,7.496271,2025-08-29 15:00:00+00:00
1756479660000,7.47,7.515,7.47,46,7.5,5213,7.497525,2025-08-29 15:01:00+00:00
1756479720000,7.5,7.5,7.5,7,7.5,207,7.5,2025-08-29 15:02:00+00:00
1756479780000,7.5,7.5,7.4422,13,7.4422,3261,7.466886,2025-08-29 15:03:00+00:00
1756479840000,7.5,7.5,7.5,12,7.5,320,7.5,2025-08-29 15:04:00+00:00
1756479900000,7.5,7.5,7.5,11,7.5,959,7.5,2025-08-29 15:05:00+00:00
1756480020000,7.5,7.5,7.5,6,7.5,925,7.5,2025-08-29 15:07:00+00:00
1756480140000,7.73,7.73,7.5,34,7.5,7910,7.561518,2025-08-29 15:09:00+00:00
1756480200000,7.71,7.71,7.71,12,7.71,515,7.71,2025-08-29 15:10:00+00:00
1756480260000,7.5255,7.7375,7.5255,10,7.7375,1698,7.718276,2025-08-29 15:11:00+00:00
1756480380000,7.7273,7.7273,7.7273,13,7.7273,485,7.7273,2025-08-29 15:13:00+00:00
1756480440000,7.65,7.65,7.65,3,7.65,189,7.65,2025-08-29 15:14:00+00:00
1756480560000,7.5347,7.6,7.5347,29,7.58,2441,7.566965,2025-08-29 15:16:00+00:00
1756480620000,7.56,7.56,7.5,19,7.5,1221,7.54381,2025-08-29 15:17:00+00:00
1756480740000,7.6,7.6,7.515,6,7.515,334,7.543428,2025-08-29 15:19:00+00:00
1756480800000,7.4027,7.4027,7.4027,5,7.4027,670,7.4027,2025-08-29 15:20:00+00:00
1756481040000,7.63,7.63,7.6273,8,7.6273,522,7.6279,2025-08-29 15:24:00+00:00
1756481100000,7.6,7.63,7.6,5,7.63,922,7.610286,2025-08-29 15:25:00+00:00
1756481280000,7.54,7.54,7.5,38,7.54,2170,7.524167,2025-08-29 15:28:00+00:00
1756481400000,7.6,7.6,7.58,5,7.58,1402,7.597143,2025-08-29 15:30:00+00:00
1756481460000,7.64,7.64,7.6,9,7.6,2912,7.610526,2025-08-29 15:31:00+00:00
