timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756131420000,2.1,2.165,2.1,13,2.165,2697,2.150774,2025-08-25 14:17:00+00:00
1756131480000,2.1138,2.1157,2.1138,2,2.1157,210,2.114795,2025-08-25 14:18:00+00:00
1756131720000,2.16,2.16,2.16,1,2.16,225,2.16,2025-08-25 14:22:00+00:00
1756132200000,2.135,2.135,2.135,1,2.135,186,2.135,2025-08-25 14:30:00+00:00
1756132260000,2.135,2.135,2.135,1,2.135,100,2.135,2025-08-25 14:31:00+00:00
1756132980000,2.11,2.11,2.11,5,2.11,201,2.11,2025-08-25 14:43:00+00:00
1756133520000,2.1599,2.1599,2.1599,1,2.1599,200,2.1599,2025-08-25 14:52:00+00:00
1756134300000,2.12,2.1599,2.12,3,2.135,925,2.139435,2025-08-25 15:05:00+00:00
1756134900000,2.1,2.11,2.1,6,2.11,500,2.1075,2025-08-25 15:15:00+00:00
1756135140000,2.1,2.1,2.1,50,2.1,3205,2.1,2025-08-25 15:19:00+00:00
1756135200000,2.0804,2.0804,2.0804,3,2.0804,492,2.0804,2025-08-25 15:20:00+00:00
1756135620000,2.1,2.1,2.1,1,2.1,100,2.1,2025-08-25 15:27:00+00:00
1756135920000,2.1,2.1,2.1,2,2.1,141,2.1,2025-08-25 15:32:00+00:00
1756135980000,2.1,2.1,2.1,3,2.1,156,2.1,2025-08-25 15:33:00+00:00
1756136100000,2.1,2.1,2.1,9,2.1,1205,2.1,2025-08-25 15:35:00+00:00
1756136220000,2.08,2.08,2.08,17,2.08,306,2.08,2025-08-25 15:37:00+00:00
1756136400000,2.07,2.07,2.07,7,2.07,552,2.07,2025-08-25 15:40:00+00:00
1756137540000,2.065,2.065,2.065,1,2.065,105,2.065,2025-08-25 15:59:00+00:00
1756137660000,2.078,2.078,2.065,4,2.065,1075,2.068658,2025-08-25 16:01:00+00:00
1756137720000,2.08,2.09,2.065,112,2.078,3342,2.073935,2025-08-25 16:02:00+00:00
1756137780000,2.11,2.115,2.09,12,2.09,1243,2.10214,2025-08-25 16:03:00+00:00
1756137840000,2.095,2.13,2.095,6,2.12,1225,2.122704,2025-08-25 16:04:00+00:00
1756138020000,2.13,2.14,2.095,32,2.14,1310,2.127588,2025-08-25 16:07:00+00:00
1756138080000,2.13,2.14,2.095,27,2.14,2160,2.110369,2025-08-25 16:08:00+00:00
1756138140000,2.095,2.095,2.095,2,2.095,106,2.095,2025-08-25 16:09:00+00:00
1756139700000,2.12,2.12,2.12,7,2.12,1946,2.12,2025-08-25 16:35:00+00:00
1756139880000,2.14,2.14,2.1,3,2.1,700,2.1172,2025-08-25 16:38:00+00:00
1756139940000,2.14,2.14,2.14,1,2.14,200,2.14,2025-08-25 16:39:00+00:00
1756140420000,2.095,2.095,2.095,11,2.095,350,2.095,2025-08-25 16:47:00+00:00
1756140720000,2.095,2.095,2.095,4,2.095,550,2.095,2025-08-25 16:52:00+00:00
1756141200000,2.11,2.11,2.11,7,2.11,747,2.11,2025-08-25 17:00:00+00:00
1756144380000,2.135,2.139,2.125,9,2.1367,1111,2.129309,2025-08-25 17:53:00+00:00
1756144440000,2.1314,2.1397,2.125,7,2.125,1120,2.132811,2025-08-25 17:54:00+00:00
1756144860000,2.125,2.125,2.125,1,2.125,1000,2.125,2025-08-25 18:01:00+00:00
1756145520000,2.125,2.125,2.11,2,2.11,2600,2.110577,2025-08-25 18:12:00+00:00
1756145820000,2.1101,2.1101,2.1101,1,2.1101,1000,2.1101,2025-08-25 18:17:00+00:00
1756146540000,2.125,2.125,2.125,5,2.125,1085,2.125,2025-08-25 18:29:00+00:00
1756148040000,2.0804,2.0804,2.0804,1,2.0804,100,2.0804,2025-08-25 18:54:00+00:00
1756148400000,2.0908,2.0908,2.0908,3,2.0908,175,2.0908,2025-08-25 19:00:00+00:00
1756149000000,2.1,2.1,2.1,2,2.1,126,2.1,2025-08-25 19:10:00+00:00
