timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,43.64,43.852,42.5,181,42.5,9918,43.363024,2025-09-08 13:30:00+00:00
1757338260000,43.52,43.9,43.43,119,43.73,5329,43.639691,2025-09-08 13:31:00+00:00
1757338320000,42.41,43.05,42.41,70,43.05,4028,42.64723,2025-09-08 13:32:00+00:00
1757338380000,42.41,42.41,42.4,25,42.41,1356,42.40785,2025-09-08 13:33:00+00:00
1757338440000,42.64,42.64,42.41,31,42.41,2347,42.586466,2025-09-08 13:34:00+00:00
1757338500000,42.2,42.72,42.2,38,42.63,1643,42.514325,2025-09-08 13:35:00+00:00
1757338560000,42.08,42.35,42.08,37,42.1683,2215,42.252863,2025-09-08 13:36:00+00:00
1757338620000,42.32,42.5,42.25,32,42.25,2094,42.355469,2025-09-08 13:37:00+00:00
1757338680000,42.3547,42.64,42.32,38,42.41,2856,42.46476,2025-09-08 13:38:00+00:00
1757338740000,42.0,42.46,42.0,39,42.46,1456,42.171218,2025-09-08 13:39:00+00:00
1757338800000,42.4,42.4,42.0429,28,42.07,2654,42.141936,2025-09-08 13:40:00+00:00
1757338860000,41.6593,42.15,41.58,69,42.15,2830,41.781951,2025-09-08 13:41:00+00:00
1757338920000,41.74,41.83,41.6901,43,41.6901,2272,41.745753,2025-09-08 13:42:00+00:00
1757338980000,42.3,42.3,42.01,56,42.01,3484,42.248296,2025-09-08 13:43:00+00:00
1757339040000,42.45,42.51,42.36,64,42.365,5194,42.44616,2025-09-08 13:44:00+00:00
1757339100000,42.41,42.585,42.41,55,42.54,3350,42.529093,2025-09-08 13:45:00+00:00
1757339160000,42.56,42.8435,42.56,33,42.8435,2218,42.760963,2025-09-08 13:46:00+00:00
1757339220000,42.335,42.335,42.3,16,42.3,1345,42.303235,2025-09-08 13:47:00+00:00
1757339280000,42.36,42.42,42.0021,9,42.0021,1027,42.1153,2025-09-08 13:48:00+00:00
1757339340000,42.6546,42.67,42.2954,11,42.2954,1042,42.553265,2025-09-08 13:49:00+00:00
1757339400000,41.93,42.37,41.93,47,42.365,2339,42.132324,2025-09-08 13:50:00+00:00
1757339460000,42.58,42.58,42.0051,74,42.2,5731,42.268993,2025-09-08 13:51:00+00:00
1757339520000,42.4,42.4,42.2,12,42.2,440,42.3,2025-09-08 13:52:00+00:00
1757339580000,41.87,42.01,41.81,61,42.0,3456,41.965681,2025-09-08 13:53:00+00:00
1757339640000,41.78,41.91,41.78,27,41.91,874,41.80868,2025-09-08 13:54:00+00:00
1757339700000,41.73,41.78,41.59,51,41.78,2359,41.662371,2025-09-08 13:55:00+00:00
1757339760000,41.735,41.82,41.5,55,41.82,3087,41.566575,2025-09-08 13:56:00+00:00
1757339820000,41.51,41.69,41.45,29,41.69,2013,41.495714,2025-09-08 13:57:00+00:00
1757339880000,41.58,41.58,41.35,60,41.51,2601,41.448416,2025-09-08 13:58:00+00:00
1757339940000,41.57,41.62,41.45,36,41.61,6065,41.603256,2025-09-08 13:59:00+00:00
1757340000000,41.45,41.45,41.22,73,41.45,3304,41.373479,2025-09-08 14:00:00+00:00
1757340060000,41.435,41.435,41.435,25,41.435,543,41.435,2025-09-08 14:01:00+00:00
1757340120000,41.59,41.59,41.57,19,41.57,434,41.58,2025-09-08 14:02:00+00:00
1757340180000,41.56,41.61,41.56,14,41.59,837,41.571825,2025-09-08 14:03:00+00:00
1757340240000,41.79,41.79,41.79,15,41.79,1404,41.79,2025-09-08 14:04:00+00:00
1757340300000,42.025,42.06,41.71,20,41.71,2895,41.95239,2025-09-08 14:05:00+00:00
1757340360000,42.1,42.3,42.03,29,42.03,1336,42.134286,2025-09-08 14:06:00+00:00
1757340420000,42.01,42.2,42.01,32,42.09,2121,42.076248,2025-09-08 14:07:00+00:00
1757340480000,42.05,42.11,41.96,22,41.98,965,42.025714,2025-09-08 14:08:00+00:00
1757340540000,41.99,41.99,41.99,16,41.99,495,41.99,2025-09-08 14:09:00+00:00
1757340600000,41.96,41.96,41.96,10,41.96,186,41.96,2025-09-08 14:10:00+00:00
1757340660000,42.18,42.18,41.97,19,41.97,686,42.125,2025-09-08 14:11:00+00:00
1757340720000,42.15,42.22,42.15,17,42.18,599,42.189709,2025-09-08 14:12:00+00:00
1757340780000,41.5,42.01,41.43,56,42.01,2489,41.809868,2025-09-08 14:13:00+00:00
1757340840000,41.5895,41.67,41.52,18,41.52,840,41.614364,2025-09-08 14:14:00+00:00
1757340900000,41.77,41.77,41.77,4,41.77,317,41.77,2025-09-08 14:15:00+00:00
1757340960000,41.7,41.81,41.7,21,41.7673,1155,41.774055,2025-09-08 14:16:00+00:00
1757341020000,41.755,41.755,41.6719,10,41.6719,562,41.717957,2025-09-08 14:17:00+00:00
1757341080000,41.64,41.87,41.64,34,41.73,1842,41.749499,2025-09-08 14:18:00+00:00
1757341140000,41.47,41.6,41.47,30,41.6,1326,41.512318,2025-09-08 14:19:00+00:00
1757341200000,41.61,41.61,41.48,26,41.48,823,41.5125,2025-09-08 14:20:00+00:00
1757341260000,41.5422,41.5422,41.43,12,41.44,1110,41.493023,2025-09-08 14:21:00+00:00
1757341380000,42.2,42.2,42.015,14,42.015,1812,42.105176,2025-09-08 14:23:00+00:00
1757341440000,41.97,42.11,41.97,13,42.11,377,42.04,2025-09-08 14:24:00+00:00
1757341560000,42.2947,42.3399,42.0201,27,42.0201,6815,42.25477,2025-09-08 14:26:00+00:00
1757341620000,42.5,42.5,42.22,29,42.22,2480,42.324559,2025-09-08 14:27:00+00:00
1757341680000,42.39,42.45,42.39,21,42.45,805,42.405,2025-09-08 14:28:00+00:00
1757341740000,42.64,42.6946,42.5,24,42.5,1305,42.607727,2025-09-08 14:29:00+00:00
1757341800000,42.72,42.72,42.72,17,42.72,408,42.72,2025-09-08 14:30:00+00:00
1757341860000,42.6017,42.8,42.6017,46,42.72,4437,42.726637,2025-09-08 14:31:00+00:00
1757341920000,42.5209,42.81,42.5209,43,42.77,1849,42.706852,2025-09-08 14:32:00+00:00
1757341980000,42.48,42.64,42.48,20,42.64,1034,42.567842,2025-09-08 14:33:00+00:00
1757342040000,42.662,42.662,42.515,18,42.515,3084,42.555668,2025-09-08 14:34:00+00:00
1757342100000,42.94,42.95,42.73,178,42.75,31294,42.941895,2025-09-08 14:35:00+00:00
1757342160000,43.1,43.26,42.94,65,42.94,5879,43.175417,2025-09-08 14:36:00+00:00
1757342220000,43.12,43.2199,43.12,27,43.16,2462,43.192444,2025-09-08 14:37:00+00:00
1757342280000,43.0245,43.12,43.0245,19,43.12,657,43.060077,2025-09-08 14:38:00+00:00
1757342340000,42.98,42.98,42.95,19,42.955,850,42.962458,2025-09-08 14:39:00+00:00
1757342400000,43.19,43.19,43.16,35,43.17,1812,43.179227,2025-09-08 14:40:00+00:00
1757342460000,42.9739,43.1,42.9739,18,43.1,1449,42.988517,2025-09-08 14:41:00+00:00
1757342520000,42.87,42.87,42.87,11,42.87,255,42.87,2025-09-08 14:42:00+00:00
1757342580000,42.7,42.775,42.6141,17,42.775,1429,42.669149,2025-09-08 14:43:00+00:00
1757342640000,42.77,42.77,42.72,17,42.72,899,42.750392,2025-09-08 14:44:00+00:00
1757342700000,42.73,42.86,42.73,14,42.86,784,42.768235,2025-09-08 14:45:00+00:00
1757342820000,43.09,43.11,42.92,14,42.92,1024,43.007173,2025-09-08 14:47:00+00:00
1757342880000,43.25,43.25,43.15,41,43.16,2019,43.193611,2025-09-08 14:48:00+00:00
1757342940000,43.35,43.35,43.25,53,43.25,5598,43.320838,2025-09-08 14:49:00+00:00
1757343000000,43.525,43.65,43.305,47,43.305,3273,43.455358,2025-09-08 14:50:00+00:00
1757343060000,43.48,43.6836,43.48,35,43.52,1351,43.564838,2025-09-08 14:51:00+00:00
1757343120000,43.5,43.63,43.43,81,43.43,2976,43.554497,2025-09-08 14:52:00+00:00
1757343180000,43.36,43.425,43.36,8,43.425,394,43.381667,2025-09-08 14:53:00+00:00
1757343240000,43.41,43.4197,43.41,13,43.4197,851,43.414858,2025-09-08 14:54:00+00:00
1757343300000,43.35,43.35,43.35,4,43.35,254,43.35,2025-09-08 14:55:00+00:00
1757343360000,43.42,43.42,43.325,29,43.35,1275,43.365714,2025-09-08 14:56:00+00:00
1757343420000,43.42,43.42,43.33,27,43.33,653,43.39,2025-09-08 14:57:00+00:00
1757343480000,43.4,43.465,43.34,38,43.42,1862,43.41239,2025-09-08 14:58:00+00:00
1757343540000,43.5,43.5,43.5,22,43.5,1399,43.5,2025-09-08 14:59:00+00:00
1757343660000,43.89,43.95,43.75,70,43.75,2513,43.895727,2025-09-08 15:01:00+00:00
1757343720000,43.56,43.8778,43.56,21,43.72,1252,43.734831,2025-09-08 15:02:00+00:00
1757343780000,43.68,43.755,43.6618,17,43.71,980,43.700974,2025-09-08 15:03:00+00:00
1757343840000,43.65,43.65,43.65,14,43.65,425,43.65,2025-09-08 15:04:00+00:00
1757343900000,43.87,43.89,43.71,25,43.71,1128,43.808028,2025-09-08 15:05:00+00:00
1757343960000,43.9,43.9,43.87,24,43.87,592,43.885,2025-09-08 15:06:00+00:00
1757344020000,43.8099,43.95,43.6981,31,43.95,2126,43.816897,2025-09-08 15:07:00+00:00
1757344080000,43.8,43.8,43.74,25,43.74,804,43.77,2025-09-08 15:08:00+00:00
1757344140000,43.9046,43.9046,43.9046,7,43.9046,772,43.9046,2025-09-08 15:09:00+00:00
1757344200000,43.74,43.8999,43.74,10,43.78,683,43.817285,2025-09-08 15:10:00+00:00
1757344260000,43.83,43.9,43.78,40,43.8204,1756,43.832058,2025-09-08 15:11:00+00:00
1757344320000,43.83,43.89,43.83,16,43.87,1043,43.869259,2025-09-08 15:12:00+00:00
1757344380000,43.4,43.7412,43.4,32,43.7412,6163,43.643556,2025-09-08 15:13:00+00:00
1757344440000,43.3685,43.53,43.3685,26,43.42,1789,43.420555,2025-09-08 15:14:00+00:00
1757344560000,43.25,43.36,43.25,15,43.3,571,43.292529,2025-09-08 15:16:00+00:00
1757344620000,43.55,43.6,43.54,18,43.57,903,43.565,2025-09-08 15:17:00+00:00
1757344680000,43.36,43.36,43.36,9,43.36,197,43.36,2025-09-08 15:18:00+00:00
1757344740000,43.05,43.3457,43.05,23,43.3457,1101,43.173711,2025-09-08 15:19:00+00:00
1757344800000,43.015,43.05,43.0,26,43.03,2805,43.004224,2025-09-08 15:20:00+00:00
1757344860000,43.03,43.126,42.95,37,43.03,1987,43.023037,2025-09-08 15:21:00+00:00
1757344920000,43.08,43.08,43.04,21,43.04,1132,43.059162,2025-09-08 15:22:00+00:00
1757344980000,43.0,43.04,43.0,7,43.04,685,43.01188,2025-09-08 15:23:00+00:00
1757345100000,43.08,43.08,43.04,18,43.04,751,43.048869,2025-09-08 15:25:00+00:00
1757345160000,43.2,43.21,43.2,9,43.21,479,43.204413,2025-09-08 15:26:00+00:00
1757345220000,43.05,43.05,43.05,12,43.05,312,43.05,2025-09-08 15:27:00+00:00
1757345280000,42.87,42.89,42.84,21,42.85,1771,42.868571,2025-09-08 15:28:00+00:00
1757345340000,42.907,42.965,42.907,11,42.965,881,42.918031,2025-09-08 15:29:00+00:00
1757345400000,42.8,42.8,42.8,8,42.8,317,42.8,2025-09-08 15:30:00+00:00
1757345460000,42.8499,42.8499,42.75,13,42.79,2779,42.829926,2025-09-08 15:31:00+00:00
1757345520000,42.75,42.79,42.75,8,42.79,346,42.776667,2025-09-08 15:32:00+00:00
1757345580000,42.785,42.785,42.73,14,42.76,886,42.765,2025-09-08 15:33:00+00:00
1757345640000,42.84,42.84,42.84,7,42.84,248,42.84,2025-09-08 15:34:00+00:00
1757345700000,42.67,42.85,42.67,13,42.85,1708,42.718543,2025-09-08 15:35:00+00:00
1757345760000,42.8,42.8,42.8,5,42.8,171,42.8,2025-09-08 15:36:00+00:00
1757345820000,42.94,42.94,42.93,11,42.93,660,42.9375,2025-09-08 15:37:00+00:00
1757345880000,42.82,42.86,42.82,11,42.86,793,42.845294,2025-09-08 15:38:00+00:00
1757345940000,42.7,42.7,42.7,9,42.7,539,42.7,2025-09-08 15:39:00+00:00
1757346000000,42.45,42.75,42.3888,51,42.75,2145,42.478042,2025-09-08 15:40:00+00:00
1757346060000,42.12,42.515,42.12,65,42.48,6704,42.183245,2025-09-08 15:41:00+00:00
1757346120000,42.0,42.13,41.97,70,42.12,3890,42.070484,2025-09-08 15:42:00+00:00
1757346180000,42.01,42.1384,41.9167,17,41.9167,1338,42.068194,2025-09-08 15:43:00+00:00
