timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750776060000,1.3376,1.3376,1.3376,1,1.3376,224,1.3376,2025-06-24 14:41:00+00:00
1750776180000,1.355,1.355,1.355,1,1.355,100,1.355,2025-06-24 14:43:00+00:00
1750776600000,1.3842,1.3842,1.3842,1,1.3842,100,1.3842,2025-06-24 14:50:00+00:00
1750776780000,1.3299,1.3299,1.3299,1,1.3299,110,1.3299,2025-06-24 14:53:00+00:00
1750778340000,1.36,1.36,1.36,1,1.36,500,1.36,2025-06-24 15:19:00+00:00
1750778580000,1.3848,1.3848,1.3848,1,1.3848,120,1.3848,2025-06-24 15:23:00+00:00
1750779240000,1.37,1.37,1.365,3,1.37,300,1.368333,2025-06-24 15:34:00+00:00
1750779660000,1.39,1.39,1.39,1,1.39,100,1.39,2025-06-24 15:41:00+00:00
1750781220000,1.35,1.35,1.35,1,1.35,159,1.35,2025-06-24 16:07:00+00:00
1750784760000,1.35,1.35,1.35,1,1.35,1000,1.35,2025-06-24 17:06:00+00:00
1750785900000,1.37,1.37,1.37,3,1.37,136,1.37,2025-06-24 17:25:00+00:00
1750786080000,1.365,1.365,1.365,1,1.365,100,1.365,2025-06-24 17:28:00+00:00
1750786680000,1.37,1.375,1.37,8,1.37,5163,1.3701,2025-06-24 17:38:00+00:00
1750788540000,1.37,1.37,1.37,2,1.37,467,1.37,2025-06-24 18:09:00+00:00
1750788900000,1.36,1.36,1.36,2,1.36,106,1.36,2025-06-24 18:15:00+00:00
1750789080000,1.37,1.37,1.37,3,1.37,300,1.37,2025-06-24 18:18:00+00:00
1750789260000,1.38,1.38,1.38,10,1.38,3900,1.38,2025-06-24 18:21:00+00:00
1750789380000,1.38,1.38,1.38,4,1.38,296,1.38,2025-06-24 18:23:00+00:00
1750789860000,1.39,1.39,1.3899,10,1.39,5000,1.38999,2025-06-24 18:31:00+00:00
1750789920000,1.4,1.4,1.39,10,1.39,2796,1.39037,2025-06-24 18:32:00+00:00
1750790220000,1.44,1.44,1.44,2,1.44,213,1.44,2025-06-24 18:37:00+00:00
1750791360000,1.4124,1.4124,1.41,4,1.41,1187,1.412182,2025-06-24 18:56:00+00:00
1750792500000,1.44,1.44,1.44,8,1.44,413,1.44,2025-06-24 19:15:00+00:00
1750792800000,1.44,1.44,1.44,1,1.44,153,1.44,2025-06-24 19:20:00+00:00
1750795020000,1.43,1.44,1.415,7,1.44,442,1.428333,2025-06-24 19:57:00+00:00
1750795080000,1.435,1.435,1.435,1,1.435,100,1.435,2025-06-24 19:58:00+00:00
1750795200000,1.46,1.46,1.46,1,1.46,3573,1.46,2025-06-24 20:00:00+00:00
1750858200000,1.48,1.48,1.48,4,1.48,189,1.48,2025-06-25 13:30:00+00:00
1750858860000,1.41,1.41,1.41,2,1.41,200,1.41,2025-06-25 13:41:00+00:00
1750859160000,1.4665,1.4665,1.4665,1,1.4665,850,1.4665,2025-06-25 13:46:00+00:00
1750861620000,1.46,1.46,1.46,4,1.46,151,1.46,2025-06-25 14:27:00+00:00
1750861800000,1.435,1.435,1.435,2,1.435,105,1.435,2025-06-25 14:30:00+00:00
1750862820000,1.433,1.433,1.433,1,1.433,500,1.433,2025-06-25 14:47:00+00:00
1750863180000,1.43,1.43,1.43,2,1.43,1598,1.43,2025-06-25 14:53:00+00:00
1750863240000,1.45,1.45,1.45,3,1.45,588,1.45,2025-06-25 14:54:00+00:00
1750863300000,1.45,1.45,1.45,2,1.45,1412,1.45,2025-06-25 14:55:00+00:00
1750865160000,1.45,1.45,1.45,1,1.45,251,1.45,2025-06-25 15:26:00+00:00
1750865220000,1.43,1.43,1.43,1,1.43,100,1.43,2025-06-25 15:27:00+00:00
1750866360000,1.4192,1.4192,1.4192,1,1.4192,340,1.4192,2025-06-25 15:46:00+00:00
1750868940000,1.415,1.4162,1.415,4,1.4162,685,1.416,2025-06-25 16:29:00+00:00
1750870260000,1.415,1.415,1.415,5,1.415,215,1.415,2025-06-25 16:51:00+00:00
1750870380000,1.415,1.415,1.415,1,1.415,100,1.415,2025-06-25 16:53:00+00:00
1750875420000,1.41,1.41,1.41,1,1.41,100,1.41,2025-06-25 18:17:00+00:00
1750875660000,1.41,1.41,1.41,1,1.41,100,1.41,2025-06-25 18:21:00+00:00
1750875720000,1.41,1.41,1.41,1,1.41,1000,1.41,2025-06-25 18:22:00+00:00
1750876020000,1.4,1.4,1.4,6,1.4,330,1.4,2025-06-25 18:27:00+00:00
1750876860000,1.39,1.39,1.39,2,1.39,200,1.39,2025-06-25 18:41:00+00:00
1750877220000,1.39,1.39,1.39,7,1.39,540,1.39,2025-06-25 18:47:00+00:00
1750877580000,1.41,1.41,1.39,7,1.39,750,1.39304,2025-06-25 18:53:00+00:00
1750877760000,1.39,1.39,1.39,1,1.39,100,1.39,2025-06-25 18:56:00+00:00
1750878240000,1.39,1.39,1.39,1,1.39,100,1.39,2025-06-25 19:04:00+00:00
1750878300000,1.39,1.39,1.39,3,1.39,300,1.39,2025-06-25 19:05:00+00:00
1750879080000,1.41,1.41,1.41,5,1.41,475,1.41,2025-06-25 19:18:00+00:00
1750879740000,1.4,1.4,1.4,1,1.4,100,1.4,2025-06-25 19:29:00+00:00
1750880520000,1.385,1.385,1.385,1,1.385,221,1.385,2025-06-25 19:42:00+00:00
1750880580000,1.41,1.41,1.41,1,1.41,375,1.41,2025-06-25 19:43:00+00:00
1750881480000,1.4,1.4,1.4,1,1.4,100,1.4,2025-06-25 19:58:00+00:00
1750881540000,1.4,1.4,1.38,7,1.38,232,1.389302,2025-06-25 19:59:00+00:00
1750944600000,1.39,1.43,1.39,5,1.43,2116,1.428107,2025-06-26 13:30:00+00:00
1750945020000,1.3801,1.3801,1.3801,1,1.3801,1000,1.3801,2025-06-26 13:37:00+00:00
1750945320000,1.41,1.41,1.41,8,1.41,252,1.41,2025-06-26 13:42:00+00:00
1750945680000,1.41,1.43,1.4063,6,1.41,2720,1.410346,2025-06-26 13:48:00+00:00
1750946580000,1.43,1.4483,1.43,2,1.4483,1998,1.43915,2025-06-26 14:03:00+00:00
1750947000000,1.49,1.49,1.49,2,1.49,300,1.49,2025-06-26 14:10:00+00:00
1750947060000,1.49,1.49,1.49,2,1.49,2664,1.49,2025-06-26 14:11:00+00:00
1750949580000,1.4159,1.4159,1.4159,4,1.4159,1050,1.4159,2025-06-26 14:53:00+00:00
1750953840000,1.4201,1.4301,1.42,4,1.43,600,1.423383,2025-06-26 16:04:00+00:00
1750955100000,1.435,1.435,1.435,3,1.435,135,1.435,2025-06-26 16:25:00+00:00
1750956960000,1.43,1.43,1.43,1,1.43,100,1.43,2025-06-26 16:56:00+00:00
