timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757433000000,19.93,19.94,19.91,15,19.91,5300,19.913986,2025-09-09 15:50:00+00:00
1757433060000,19.94,19.94,19.94,2,19.94,215,19.94,2025-09-09 15:51:00+00:00
1757433120000,19.93,19.93,19.93,10,19.93,457,19.93,2025-09-09 15:52:00+00:00
1757433240000,20.16,20.16,20.07,28,20.07,3584,20.076729,2025-09-09 15:54:00+00:00
1757433300000,20.07,20.07,20.07,21,20.07,3324,20.07,2025-09-09 15:55:00+00:00
1757433360000,20.06,20.07,20.04,17,20.04,2706,20.060781,2025-09-09 15:56:00+00:00
1757433420000,20.0571,20.0571,20.0571,4,20.0571,184,20.0571,2025-09-09 15:57:00+00:00
1757433480000,20.0805,20.11,20.0805,4,20.11,759,20.094037,2025-09-09 15:58:00+00:00
1757433540000,20.04,20.109,20.04,6,20.109,1577,20.0998,2025-09-09 15:59:00+00:00
1757433600000,20.02,20.04,20.02,10,20.04,725,20.026667,2025-09-09 16:00:00+00:00
1757433660000,20.08,20.08,20.08,2,20.08,410,20.08,2025-09-09 16:01:00+00:00
1757433720000,20.04,20.04,20.04,13,20.04,806,20.04,2025-09-09 16:02:00+00:00
1757433780000,20.1,20.1,20.05,3,20.05,423,20.062107,2025-09-09 16:03:00+00:00
1757433900000,20.08,20.08,20.08,5,20.08,387,20.08,2025-09-09 16:05:00+00:00
1757434020000,19.9672,19.9672,19.9672,7,19.9672,179,19.9672,2025-09-09 16:07:00+00:00
1757434140000,19.97,20.03,19.97,17,20.03,3012,19.992037,2025-09-09 16:09:00+00:00
1757434200000,19.98,19.98,19.97,5,19.97,227,19.975,2025-09-09 16:10:00+00:00
1757434260000,19.99,19.99,19.93,12,19.93,4689,19.936386,2025-09-09 16:11:00+00:00
1757434320000,20.04,20.04,20.02,6,20.02,431,20.032771,2025-09-09 16:12:00+00:00
1757434380000,20.01,20.01,20.01,2,20.01,394,20.01,2025-09-09 16:13:00+00:00
1757434500000,20.16,20.1658,20.08,11,20.08,1168,20.143928,2025-09-09 16:15:00+00:00
1757434560000,20.12,20.1428,20.12,5,20.1428,505,20.13741,2025-09-09 16:16:00+00:00
1757434620000,20.14,20.14,20.1285,6,20.1285,340,20.132333,2025-09-09 16:17:00+00:00
1757434800000,19.95,20.0,19.95,4,20.0,976,19.983402,2025-09-09 16:20:00+00:00
1757434860000,19.93,20.12,19.93,25,20.1,2126,19.961851,2025-09-09 16:21:00+00:00
1757435040000,19.839,19.839,19.839,9,19.839,270,19.839,2025-09-09 16:24:00+00:00
1757435160000,19.8029,19.8029,19.8029,5,19.8029,334,19.8029,2025-09-09 16:26:00+00:00
1757435280000,19.83,19.83,19.83,1,19.83,100,19.83,2025-09-09 16:28:00+00:00
1757435340000,19.83,19.83,19.83,4,19.83,747,19.83,2025-09-09 16:29:00+00:00
1757435580000,19.83,19.83,19.83,4,19.83,425,19.83,2025-09-09 16:33:00+00:00
1757435640000,19.8,19.86,19.8,11,19.855,2195,19.828331,2025-09-09 16:34:00+00:00
1757435700000,19.93,19.93,19.92,5,19.92,453,19.9225,2025-09-09 16:35:00+00:00
1757435820000,19.92,19.938,19.92,2,19.938,650,19.933846,2025-09-09 16:37:00+00:00
1757435880000,19.92,19.92,19.92,3,19.92,611,19.92,2025-09-09 16:38:00+00:00
1757436060000,19.9,19.9,19.87,6,19.87,605,19.894,2025-09-09 16:41:00+00:00
1757436240000,19.82,19.82,19.82,6,19.82,407,19.82,2025-09-09 16:44:00+00:00
1757436300000,19.64,19.72,19.64,8,19.72,376,19.67,2025-09-09 16:45:00+00:00
1757436360000,19.65,19.65,19.6,6,19.6,229,19.625,2025-09-09 16:46:00+00:00
1757436420000,19.6171,19.66,19.6171,3,19.65,530,19.631402,2025-09-09 16:47:00+00:00
1757436540000,19.8229,19.86,19.8229,6,19.84,603,19.83779,2025-09-09 16:49:00+00:00
1757436780000,19.68,19.68,19.66,4,19.68,408,19.67,2025-09-09 16:53:00+00:00
1757436900000,19.72,19.72,19.68,10,19.69,1006,19.698858,2025-09-09 16:55:00+00:00
1757437020000,19.86,19.86,19.79,5,19.79,2849,19.794916,2025-09-09 16:57:00+00:00
1757437080000,19.6901,19.6901,19.6901,5,19.6901,5389,19.6901,2025-09-09 16:58:00+00:00
1757437140000,19.8,19.8,19.8,8,19.8,755,19.8,2025-09-09 16:59:00+00:00
1757437200000,19.83,19.83,19.83,3,19.83,154,19.83,2025-09-09 17:00:00+00:00
1757437500000,19.975,19.975,19.975,2,19.975,125,19.975,2025-09-09 17:05:00+00:00
1757437800000,20.1,20.1,20.0373,4,20.0373,581,20.078191,2025-09-09 17:10:00+00:00
1757437860000,20.16,20.16,20.09,11,20.11,1407,20.12118,2025-09-09 17:11:00+00:00
1757437920000,20.1114,20.14,20.1114,3,20.14,680,20.116167,2025-09-09 17:12:00+00:00
1757437980000,20.1328,20.1328,20.09,11,20.11,2750,20.127994,2025-09-09 17:13:00+00:00
1757438040000,20.1,20.1,20.1,5,20.1,214,20.1,2025-09-09 17:14:00+00:00
1757438100000,20.1,20.1,20.1,5,20.1,189,20.1,2025-09-09 17:15:00+00:00
1757438160000,20.16,20.1773,20.1573,9,20.1573,1848,20.16077,2025-09-09 17:16:00+00:00
1757438220000,20.18,20.18,20.13,4,20.13,608,20.171667,2025-09-09 17:17:00+00:00
1757438340000,20.3,20.3,20.25,22,20.25,1244,20.266267,2025-09-09 17:19:00+00:00
1757438400000,20.29,20.3,20.29,9,20.3,446,20.296667,2025-09-09 17:20:00+00:00
1757438460000,20.3507,20.3507,20.3507,3,20.3507,238,20.3507,2025-09-09 17:21:00+00:00
1757438520000,20.4,20.4,20.38,18,20.38,1877,20.391071,2025-09-09 17:22:00+00:00
1757438580000,20.2959,20.2959,20.2959,5,20.2959,287,20.2959,2025-09-09 17:23:00+00:00
1757438640000,20.21,20.25,20.21,3,20.25,325,20.234,2025-09-09 17:24:00+00:00
1757438880000,20.12,20.12,20.12,4,20.12,761,20.12,2025-09-09 17:28:00+00:00
1757438940000,20.059,20.0994,20.059,5,20.0994,667,20.065845,2025-09-09 17:29:00+00:00
1757439060000,20.0376,20.0376,20.0376,3,20.0376,506,20.0376,2025-09-09 17:31:00+00:00
1757439120000,20.11,20.11,20.11,3,20.11,403,20.11,2025-09-09 17:32:00+00:00
1757439300000,20.03,20.03,20.0,4,20.03,1362,20.013304,2025-09-09 17:35:00+00:00
1757439480000,20.0373,20.0373,20.0373,2,20.0373,106,20.0373,2025-09-09 17:38:00+00:00
1757439540000,20.13,20.13,20.1,5,20.1,535,20.111961,2025-09-09 17:39:00+00:00
1757439600000,20.17,20.225,20.16,8,20.22,915,20.196111,2025-09-09 17:40:00+00:00
1757439840000,20.14,20.2,20.13,5,20.2,600,20.178333,2025-09-09 17:44:00+00:00
1757440080000,20.2,20.2,20.2,4,20.2,394,20.2,2025-09-09 17:48:00+00:00
1757440200000,20.01,20.01,20.0,10,20.0,2724,20.000383,2025-09-09 17:50:00+00:00
1757440260000,20.0,20.0,20.0,4,20.0,200,20.0,2025-09-09 17:51:00+00:00
1757440320000,20.25,20.25,20.005,19,20.005,10810,20.245284,2025-09-09 17:52:00+00:00
1757440500000,20.16,20.16,20.16,2,20.16,120,20.16,2025-09-09 17:55:00+00:00
1757440620000,20.2,20.2,20.18,3,20.18,858,20.197669,2025-09-09 17:57:00+00:00
1757440680000,20.2,20.2,20.2,1,20.2,100,20.2,2025-09-09 17:58:00+00:00
1757440740000,20.2,20.2327,20.2,4,20.2327,704,20.214014,2025-09-09 17:59:00+00:00
1757441160000,20.06,20.06,20.06,2,20.06,176,20.06,2025-09-09 18:06:00+00:00
1757441340000,20.0883,20.0883,20.0883,2,20.0883,280,20.0883,2025-09-09 18:09:00+00:00
1757441400000,19.99,20.08,19.99,6,20.08,501,20.056,2025-09-09 18:10:00+00:00
1757441460000,19.9,19.9,19.9,7,19.9,196,19.9,2025-09-09 18:11:00+00:00
1757441520000,19.86,19.86,19.86,2,19.86,1001,19.86,2025-09-09 18:12:00+00:00
1757441880000,19.94,19.94,19.94,2,19.94,200,19.94,2025-09-09 18:18:00+00:00
1757441940000,19.99,19.99,19.99,3,19.99,220,19.99,2025-09-09 18:19:00+00:00
1757442060000,20.0,20.0,20.0,2,20.0,113,20.0,2025-09-09 18:21:00+00:00
1757442360000,20.0,20.0,19.96,5,19.96,971,19.995556,2025-09-09 18:26:00+00:00
1757442720000,20.2,20.2,20.2,3,20.2,1215,20.2,2025-09-09 18:32:00+00:00
1757442840000,20.25,20.25,20.25,19,20.25,4045,20.25,2025-09-09 18:34:00+00:00
1757442900000,20.25,20.25,20.25,1,20.25,128,20.25,2025-09-09 18:35:00+00:00
1757443020000,20.28,20.29,20.28,5,20.29,312,20.286667,2025-09-09 18:37:00+00:00
1757443080000,20.3038,20.3038,20.3038,1,20.3038,300,20.3038,2025-09-09 18:38:00+00:00
1757443260000,20.19,20.219,20.19,5,20.2,1100,20.212782,2025-09-09 18:41:00+00:00
1757443320000,20.18,20.18,20.18,4,20.18,339,20.18,2025-09-09 18:42:00+00:00
1757443500000,20.24,20.24,20.229,7,20.229,753,20.235005,2025-09-09 18:45:00+00:00
1757443620000,20.19,20.19,20.19,9,20.19,510,20.19,2025-09-09 18:47:00+00:00
1757443680000,20.21,20.21,20.21,11,20.21,575,20.21,2025-09-09 18:48:00+00:00
1757443740000,20.2329,20.2329,20.2329,1,20.2329,228,20.2329,2025-09-09 18:49:00+00:00
1757443920000,20.25,20.25,20.25,5,20.25,1592,20.25,2025-09-09 18:52:00+00:00
1757444040000,20.22,20.2229,20.22,3,20.2229,255,20.221582,2025-09-09 18:54:00+00:00
1757444160000,20.275,20.275,20.275,1,20.275,100,20.275,2025-09-09 18:56:00+00:00
1757444280000,20.19,20.23,20.19,4,20.23,2237,20.193252,2025-09-09 18:58:00+00:00
1757444340000,20.1744,20.1744,20.1744,2,20.1744,416,20.1744,2025-09-09 18:59:00+00:00
1757444400000,20.04,20.2382,20.04,11,20.21,1520,20.190697,2025-09-09 19:00:00+00:00
1757444580000,20.23,20.23,20.23,2,20.23,235,20.23,2025-09-09 19:03:00+00:00
1757444760000,20.17,20.17,20.17,3,20.17,340,20.17,2025-09-09 19:06:00+00:00
1757444820000,20.0701,20.0701,20.0701,1,20.0701,500,20.0701,2025-09-09 19:07:00+00:00
1757445000000,20.23,20.23,20.23,1,20.23,100,20.23,2025-09-09 19:10:00+00:00
1757445120000,20.25,20.255,20.25,11,20.255,711,20.25416,2025-09-09 19:12:00+00:00
1757445180000,20.3265,20.3265,20.3265,1,20.3265,100,20.3265,2025-09-09 19:13:00+00:00
1757445240000,20.33,20.35,20.33,10,20.35,657,20.34,2025-09-09 19:14:00+00:00
1757445300000,20.32,20.32,20.32,4,20.32,405,20.32,2025-09-09 19:15:00+00:00
1757445420000,20.34,20.34,20.34,5,20.34,303,20.34,2025-09-09 19:17:00+00:00
1757445480000,20.28,20.28,20.27,2,20.27,200,20.275,2025-09-09 19:18:00+00:00
1757445540000,20.144,20.27,20.144,12,20.27,1943,20.184363,2025-09-09 19:19:00+00:00
1757445600000,20.11,20.13,20.11,5,20.13,500,20.12,2025-09-09 19:20:00+00:00
1757445840000,20.11,20.11,20.11,2,20.11,179,20.11,2025-09-09 19:24:00+00:00
1757445960000,20.1948,20.1948,20.1948,2,20.1948,201,20.1948,2025-09-09 19:26:00+00:00
1757446140000,20.1214,20.1214,20.1214,2,20.1214,671,20.1214,2025-09-09 19:29:00+00:00
1757446260000,20.195,20.195,20.195,2,20.195,101,20.195,2025-09-09 19:31:00+00:00
1757446320000,20.19,20.19,20.19,2,20.19,163,20.19,2025-09-09 19:32:00+00:00
1757446440000,20.12,20.12,20.12,4,20.12,236,20.12,2025-09-09 19:34:00+00:00
1757446560000,20.06,20.07,20.06,8,20.07,2020,20.064987,2025-09-09 19:36:00+00:00
1757446620000,20.04,20.0673,20.04,10,20.05,876,20.047039,2025-09-09 19:37:00+00:00
1757446680000,19.98,19.98,19.98,4,19.98,239,19.98,2025-09-09 19:38:00+00:00
1757446740000,19.9818,19.9818,19.9818,4,19.9818,225,19.9818,2025-09-09 19:39:00+00:00
1757446920000,20.12,20.12,20.12,3,20.12,1539,20.12,2025-09-09 19:42:00+00:00
1757446980000,20.12,20.12,20.12,6,20.12,377,20.12,2025-09-09 19:43:00+00:00
1757447040000,20.215,20.215,20.215,2,20.215,101,20.215,2025-09-09 19:44:00+00:00
1757447220000,20.1985,20.24,20.1985,4,20.24,1020,20.2229,2025-09-09 19:47:00+00:00
1757447340000,20.3412,20.3412,20.24,15,20.319,6129,20.322581,2025-09-09 19:49:00+00:00
1757447460000,20.4,20.4,20.4,12,20.4,1256,20.4,2025-09-09 19:51:00+00:00
1757447640000,20.29,20.35,20.29,9,20.35,678,20.325143,2025-09-09 19:54:00+00:00
1757447760000,20.29,20.29,20.29,6,20.29,230,20.29,2025-09-09 19:56:00+00:00
1757447880000,20.5,20.5,20.39,51,20.42,2743,20.458333,2025-09-09 19:58:00+00:00
1757447940000,20.52,20.52,20.52,9,20.52,340,20.52,2025-09-09 19:59:00+00:00
1757448000000,20.55,20.55,20.47,13,20.47,958,20.491976,2025-09-09 20:00:00+00:00
1757511000000,21.8774,22.18,21.69,117,22.18,11847,21.975781,2025-09-10 13:30:00+00:00
1757511060000,21.3,21.88,21.234,249,21.66,12229,21.613199,2025-09-10 13:31:00+00:00
1757511120000,21.96,21.97,21.07,87,21.12,7168,21.486171,2025-09-10 13:32:00+00:00
1757511180000,21.72,22.06,21.7,94,21.95,6603,21.886113,2025-09-10 13:33:00+00:00
1757511240000,21.581,21.94,21.54,81,21.81,6491,21.67787,2025-09-10 13:34:00+00:00
1757511300000,21.72,21.8012,21.63,41,21.68,4631,21.712029,2025-09-10 13:35:00+00:00
1757511360000,21.9,22.02,21.8,20,21.8,1715,21.894614,2025-09-10 13:36:00+00:00
1757511420000,21.835,22.0,21.8,37,21.903,2995,21.887847,2025-09-10 13:37:00+00:00
1757511480000,21.735,21.7889,21.735,25,21.75,2305,21.756112,2025-09-10 13:38:00+00:00
1757511540000,21.7279,21.7279,21.58,42,21.7,8834,21.677188,2025-09-10 13:39:00+00:00
1757511600000,21.86,21.86,21.69,34,21.7821,4866,21.729197,2025-09-10 13:40:00+00:00
1757511660000,21.71,21.74,21.63,30,21.69,2701,21.696178,2025-09-10 13:41:00+00:00
1757511720000,21.61,21.7299,21.57,43,21.57,3937,21.61657,2025-09-10 13:42:00+00:00
1757511780000,21.68,21.765,21.68,21,21.7017,2169,21.713465,2025-09-10 13:43:00+00:00
1757511840000,21.47,21.72,21.47,50,21.72,3102,21.562118,2025-09-10 13:44:00+00:00
1757511900000,21.2676,21.49,21.21,81,21.47,4238,21.307634,2025-09-10 13:45:00+00:00
1757511960000,21.36,21.47,21.26,49,21.27,6232,21.399828,2025-09-10 13:46:00+00:00
1757512020000,21.3695,21.43,21.35,55,21.35,3425,21.38369,2025-09-10 13:47:00+00:00
1757512080000,21.29,21.43,21.29,46,21.3,2264,21.331474,2025-09-10 13:48:00+00:00
1757512140000,21.275,21.36,21.21,30,21.21,2149,21.300681,2025-09-10 13:49:00+00:00
1757512200000,21.11,21.27,21.11,68,21.27,2038,21.230208,2025-09-10 13:50:00+00:00
1757512260000,21.1,21.2172,21.0166,62,21.2172,8782,21.153139,2025-09-10 13:51:00+00:00
1757512320000,21.29,21.29,21.09,23,21.09,1101,21.203764,2025-09-10 13:52:00+00:00
1757512380000,21.21,21.2781,21.14,21,21.2781,2045,21.195311,2025-09-10 13:53:00+00:00
1757512440000,20.96,21.22,20.96,129,21.22,7542,21.005925,2025-09-10 13:54:00+00:00
1757512500000,20.85,20.98,20.85,86,20.92,3846,20.912019,2025-09-10 13:55:00+00:00
1757512560000,20.8,20.93,20.8,58,20.85,7210,20.836819,2025-09-10 13:56:00+00:00
1757512620000,20.95,20.95,20.81,24,20.82,1446,20.879236,2025-09-10 13:57:00+00:00
1757512680000,20.69,20.889,20.6465,64,20.889,7652,20.747569,2025-09-10 13:58:00+00:00
1757512740000,20.91,20.91,20.8,16,20.8,3729,20.833333,2025-09-10 13:59:00+00:00
1757512800000,21.0927,21.0927,20.75,49,20.8,8225,20.885401,2025-09-10 14:00:00+00:00
1757512860000,21.12,21.12,21.05,32,21.05,2283,21.094062,2025-09-10 14:01:00+00:00
1757512920000,21.26,21.26,21.15,20,21.1577,2757,21.20098,2025-09-10 14:02:00+00:00
1757512980000,21.16,21.21,21.1,20,21.21,2035,21.170136,2025-09-10 14:03:00+00:00
