timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753815120000,0.9742,1.01,0.9742,11,1.0001,5188,1.000312,2025-07-29 18:52:00+00:00
1753815180000,0.9737,0.9737,0.9737,5,0.9737,410,0.9737,2025-07-29 18:53:00+00:00
1753815300000,0.9737,0.9899,0.9737,2,0.9899,775,0.98781,2025-07-29 18:55:00+00:00
1753815420000,0.9737,0.9737,0.9737,2,0.9737,200,0.9737,2025-07-29 18:57:00+00:00
1753815480000,0.9737,0.9737,0.9737,2,0.9737,200,0.9737,2025-07-29 18:58:00+00:00
1753815600000,0.9775,0.9775,0.9755,5,0.9774,1000,0.977083,2025-07-29 19:00:00+00:00
1753816020000,0.9737,0.9737,0.9737,1,0.9737,100,0.9737,2025-07-29 19:07:00+00:00
1753816140000,0.9737,0.9737,0.9737,3,0.9737,214,0.9737,2025-07-29 19:09:00+00:00
1753816200000,0.9843,0.9843,0.9843,1,0.9843,200,0.9843,2025-07-29 19:10:00+00:00
1753816260000,0.9739,1.01,0.9739,6,1.01,1101,0.993591,2025-07-29 19:11:00+00:00
1753816320000,0.9738,0.9739,0.9738,2,0.9739,719,0.973883,2025-07-29 19:12:00+00:00
1753816380000,0.9738,0.9738,0.9738,1,0.9738,100,0.9738,2025-07-29 19:13:00+00:00
1753816500000,0.9739,0.9739,0.9739,2,0.9739,675,0.9739,2025-07-29 19:15:00+00:00
1753816800000,0.9654,0.9738,0.9653,20,0.9738,517,0.968167,2025-07-29 19:20:00+00:00
1753816860000,0.9695,0.9737,0.9654,26,0.9654,11315,0.969754,2025-07-29 19:21:00+00:00
1753816920000,0.9776,0.9776,0.9674,16,0.9695,6153,0.971022,2025-07-29 19:22:00+00:00
1753817100000,0.9908,0.9908,0.9908,1,0.9908,100,0.9908,2025-07-29 19:25:00+00:00
1753817700000,0.9701,0.98,0.9701,2,0.98,1757,0.979437,2025-07-29 19:35:00+00:00
1753817820000,0.9701,0.9701,0.9701,4,0.9701,342,0.9701,2025-07-29 19:37:00+00:00
1753817880000,0.975,0.975,0.975,2,0.975,125,0.975,2025-07-29 19:38:00+00:00
1753818000000,0.98,0.98,0.97,12,0.97,6658,0.976419,2025-07-29 19:40:00+00:00
1753818060000,0.9899,0.9899,0.9898,3,0.9898,400,0.989856,2025-07-29 19:41:00+00:00
1753818120000,0.975,0.99,0.97,7,0.99,1804,0.976136,2025-07-29 19:42:00+00:00
1753818240000,0.975,0.975,0.975,1,0.975,300,0.975,2025-07-29 19:44:00+00:00
1753818420000,0.9701,0.9701,0.9701,2,0.9701,200,0.9701,2025-07-29 19:47:00+00:00
1753818480000,0.975,0.975,0.975,1,0.975,100,0.975,2025-07-29 19:48:00+00:00
1753818540000,0.9701,0.9701,0.9701,7,0.9701,570,0.9701,2025-07-29 19:49:00+00:00
1753818600000,0.9701,0.9701,0.9701,1,0.9701,165,0.9701,2025-07-29 19:50:00+00:00
1753818660000,0.975,0.9888,0.9701,11,0.9701,2082,0.973743,2025-07-29 19:51:00+00:00
1753818720000,0.975,0.975,0.975,2,0.975,10000,0.975,2025-07-29 19:52:00+00:00
1753818960000,0.9878,0.9878,0.9877,7,0.9877,852,0.987775,2025-07-29 19:56:00+00:00
1753819020000,0.9751,0.9856,0.9751,9,0.9856,742,0.97685,2025-07-29 19:57:00+00:00
1753819080000,0.9899,0.9899,0.9787,11,0.985,4233,0.985462,2025-07-29 19:58:00+00:00
1753819140000,0.9883,0.9883,0.9883,3,0.9883,3717,0.9883,2025-07-29 19:59:00+00:00
