timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757094360000,11.17,11.17,11.17,3,11.17,510,11.17,2025-09-05 17:46:00+00:00
1757094480000,11.17,11.17,11.17,14,11.17,1329,11.17,2025-09-05 17:48:00+00:00
1757094540000,11.17,11.17,11.17,17,11.17,666,11.17,2025-09-05 17:49:00+00:00
1757094600000,11.17,11.17,11.16,18,11.17,1961,11.169417,2025-09-05 17:50:00+00:00
1757094660000,11.17,11.17,11.17,10,11.17,1134,11.17,2025-09-05 17:51:00+00:00
1757094720000,11.17,11.17,11.17,17,11.17,610,11.17,2025-09-05 17:52:00+00:00
1757094780000,11.2,11.2,11.17,59,11.18,3629,11.1844,2025-09-05 17:53:00+00:00
1757094840000,11.2,11.21,11.2,22,11.2,1991,11.200606,2025-09-05 17:54:00+00:00
1757094900000,11.21,11.21,11.2,32,11.2,2307,11.200599,2025-09-05 17:55:00+00:00
1757094960000,11.2,11.21,11.2,44,11.21,1511,11.201667,2025-09-05 17:56:00+00:00
1757095020000,11.185,11.21,11.185,90,11.21,7077,11.195498,2025-09-05 17:57:00+00:00
1757095080000,11.18,11.18,11.18,4,11.18,388,11.18,2025-09-05 17:58:00+00:00
1757095140000,11.19,11.19,11.19,16,11.19,797,11.19,2025-09-05 17:59:00+00:00
1757095200000,11.19,11.19,11.19,32,11.19,1389,11.19,2025-09-05 18:00:00+00:00
1757095320000,11.2,11.2,11.19,66,11.2,5479,11.198199,2025-09-05 18:02:00+00:00
1757095440000,11.2,11.2,11.2,27,11.2,1446,11.2,2025-09-05 18:04:00+00:00
1757095500000,11.2,11.2,11.2,60,11.2,3228,11.2,2025-09-05 18:05:00+00:00
1757095560000,11.2,11.2,11.19,27,11.2,2137,11.199495,2025-09-05 18:06:00+00:00
1757095740000,11.195,11.195,11.195,13,11.195,432,11.195,2025-09-05 18:09:00+00:00
1757095800000,11.19,11.19,11.19,12,11.19,473,11.19,2025-09-05 18:10:00+00:00
1757095920000,11.205,11.205,11.19,77,11.195,7356,11.197588,2025-09-05 18:12:00+00:00
1757095980000,11.21,11.21,11.21,16,11.21,632,11.21,2025-09-05 18:13:00+00:00
1757096040000,11.21,11.21,11.21,18,11.21,539,11.21,2025-09-05 18:14:00+00:00
1757096100000,11.22,11.22,11.215,16,11.215,1038,11.219187,2025-09-05 18:15:00+00:00
