timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,1.05,1.0684,1.05,71,1.05,15113,1.05049,2025-09-02 13:30:00+00:00
1756819860000,1.06,1.06,1.045,4,1.045,1203,1.05375,2025-09-02 13:31:00+00:00
1756820460000,1.05,1.05,1.05,2,1.05,200,1.05,2025-09-02 13:41:00+00:00
1756820700000,1.0605,1.0605,1.02,4,1.0421,1350,1.026004,2025-09-02 13:45:00+00:00
1756821060000,1.021,1.03,1.02,4,1.03,600,1.0225,2025-09-02 13:51:00+00:00
1756821120000,1.06,1.06,1.06,1,1.06,100,1.06,2025-09-02 13:52:00+00:00
1756821180000,1.0262,1.0262,1.0262,4,1.0262,245,1.0262,2025-09-02 13:53:00+00:00
1756821240000,1.06,1.06,1.06,2,1.06,199,1.06,2025-09-02 13:54:00+00:00
1756821660000,1.04,1.04,1.04,2,1.04,301,1.04,2025-09-02 14:01:00+00:00
1756822020000,1.0385,1.0385,1.03,2,1.03,300,1.032833,2025-09-02 14:07:00+00:00
1756822080000,1.04,1.04,1.04,2,1.04,362,1.04,2025-09-02 14:08:00+00:00
1756822860000,1.03,1.03,1.03,2,1.03,1001,1.03,2025-09-02 14:21:00+00:00
1756822980000,1.03,1.03,1.03,3,1.03,500,1.03,2025-09-02 14:23:00+00:00
1756823040000,1.034,1.034,1.02,8,1.02,2330,1.021081,2025-09-02 14:24:00+00:00
1756823160000,1.0299,1.0299,1.01,2,1.01,821,1.012424,2025-09-02 14:26:00+00:00
1756823280000,1.0285,1.0285,1.0111,4,1.0111,1118,1.012682,2025-09-02 14:28:00+00:00
1756823400000,1.0101,1.0101,1.0101,1,1.0101,420,1.0101,2025-09-02 14:30:00+00:00
1756823460000,1.01,1.01,1.01,2,1.01,2040,1.01,2025-09-02 14:31:00+00:00
1756823520000,1.0298,1.0299,1.01,6,1.0299,432,1.024533,2025-09-02 14:32:00+00:00
1756823580000,1.015,1.015,1.01,22,1.01,2559,1.013026,2025-09-02 14:33:00+00:00
1756823640000,1.0192,1.0192,1.01,10,1.015,2823,1.012607,2025-09-02 14:34:00+00:00
1756823700000,1.015,1.0199,1.015,7,1.0199,6537,1.019644,2025-09-02 14:35:00+00:00
1756823760000,1.01,1.01,1.01,1,1.01,1500,1.01,2025-09-02 14:36:00+00:00
1756823820000,1.0101,1.0142,1.0101,3,1.0142,2253,1.010556,2025-09-02 14:37:00+00:00
1756823880000,1.0192,1.0192,1.0192,3,1.0192,106,1.0192,2025-09-02 14:38:00+00:00
1756823940000,1.015,1.015,1.0101,5,1.0101,2233,1.01255,2025-09-02 14:39:00+00:00
1756824000000,1.0146,1.0146,1.0146,1,1.0146,900,1.0146,2025-09-02 14:40:00+00:00
1756824060000,1.0199,1.0199,1.0199,3,1.0199,802,1.0199,2025-09-02 14:41:00+00:00
1756824120000,1.0135,1.015,1.01,5,1.0108,1274,1.01336,2025-09-02 14:42:00+00:00
1756824180000,1.0199,1.0199,1.01,9,1.015,1019,1.01441,2025-09-02 14:43:00+00:00
1756824240000,1.0109,1.015,1.0109,3,1.015,687,1.013471,2025-09-02 14:44:00+00:00
1756824300000,1.01,1.01,1.01,2,1.01,2001,1.01,2025-09-02 14:45:00+00:00
1756824360000,1.0107,1.015,1.0107,5,1.015,1699,1.013666,2025-09-02 14:46:00+00:00
1756824420000,1.01,1.01,1.01,1,1.01,1000,1.01,2025-09-02 14:47:00+00:00
1756824540000,1.015,1.015,1.0101,2,1.0101,600,1.010917,2025-09-02 14:49:00+00:00
1756824600000,1.02,1.02,1.02,5,1.02,10000,1.02,2025-09-02 14:50:00+00:00
1756824720000,1.015,1.015,1.01,2,1.01,2200,1.010455,2025-09-02 14:52:00+00:00
1756824900000,1.0105,1.015,1.0105,3,1.015,5940,1.01348,2025-09-02 14:55:00+00:00
1756824960000,1.015,1.015,1.015,4,1.015,727,1.015,2025-09-02 14:56:00+00:00
1756825020000,1.0199,1.0199,1.0105,4,1.0105,2163,1.010948,2025-09-02 14:57:00+00:00
1756825140000,1.0199,1.0199,1.0101,2,1.0101,2100,1.010567,2025-09-02 14:59:00+00:00
