timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754410680000,2.495,2.51,2.495,15,2.51,1120,2.507222,2025-08-05 16:18:00+00:00
1754410800000,2.55,2.55,2.492,21,2.492,6411,2.515946,2025-08-05 16:20:00+00:00
1754411160000,2.51,2.5459,2.51,2,2.5459,350,2.535643,2025-08-05 16:26:00+00:00
1754412360000,2.5496,2.5496,2.5496,1,2.5496,120,2.5496,2025-08-05 16:46:00+00:00
1754412660000,2.55,2.55,2.5496,3,2.5496,1200,2.549667,2025-08-05 16:51:00+00:00
1754412840000,2.55,2.55,2.55,6,2.55,260,2.55,2025-08-05 16:54:00+00:00
1754413380000,2.55,2.55,2.55,3,2.55,494,2.55,2025-08-05 17:03:00+00:00
1754413500000,2.55,2.55,2.55,2,2.55,172,2.55,2025-08-05 17:05:00+00:00
1754414040000,2.5568,2.5568,2.5568,1,2.5568,250,2.5568,2025-08-05 17:14:00+00:00
1754414280000,2.56,2.56,2.56,2,2.56,101,2.56,2025-08-05 17:18:00+00:00
1754414700000,2.544,2.544,2.544,1,2.544,2000,2.544,2025-08-05 17:25:00+00:00
1754414760000,2.56,2.56,2.56,8,2.56,201,2.56,2025-08-05 17:26:00+00:00
1754415360000,2.535,2.535,2.535,1,2.535,100,2.535,2025-08-05 17:36:00+00:00
1754415720000,2.53,2.53,2.53,1,2.53,100,2.53,2025-08-05 17:42:00+00:00
1754416140000,2.5101,2.5101,2.5101,3,2.5101,112,2.5101,2025-08-05 17:49:00+00:00
1754416200000,2.5174,2.5174,2.5174,1,2.5174,225,2.5174,2025-08-05 17:50:00+00:00
1754416560000,2.51,2.51,2.51,1,2.51,100,2.51,2025-08-05 17:56:00+00:00
1754416620000,2.525,2.525,2.525,1,2.525,100,2.525,2025-08-05 17:57:00+00:00
1754416680000,2.5301,2.5301,2.5301,3,2.5301,198,2.5301,2025-08-05 17:58:00+00:00
1754416860000,2.53,2.53,2.53,6,2.53,733,2.53,2025-08-05 18:01:00+00:00
1754417460000,2.52,2.52,2.51,6,2.51,504,2.518,2025-08-05 18:11:00+00:00
1754418780000,2.5057,2.5057,2.5057,1,2.5057,100,2.5057,2025-08-05 18:33:00+00:00
1754419080000,2.515,2.515,2.515,2,2.515,110,2.515,2025-08-05 18:38:00+00:00
1754419260000,2.5089,2.5089,2.5089,2,2.5089,540,2.5089,2025-08-05 18:41:00+00:00
1754419440000,2.515,2.515,2.515,1,2.515,100,2.515,2025-08-05 18:44:00+00:00
1754420040000,2.53,2.53,2.53,2,2.53,114,2.53,2025-08-05 18:54:00+00:00
1754420160000,2.515,2.515,2.515,1,2.515,105,2.515,2025-08-05 18:56:00+00:00
1754420280000,2.515,2.515,2.515,1,2.515,100,2.515,2025-08-05 18:58:00+00:00
1754420340000,2.53,2.53,2.53,4,2.53,192,2.53,2025-08-05 18:59:00+00:00
1754420640000,2.52,2.52,2.52,1,2.52,100,2.52,2025-08-05 19:04:00+00:00
1754420940000,2.54,2.54,2.54,15,2.54,466,2.54,2025-08-05 19:09:00+00:00
1754421000000,2.54,2.54,2.54,4,2.54,258,2.54,2025-08-05 19:10:00+00:00
1754421120000,2.545,2.545,2.545,3,2.545,200,2.545,2025-08-05 19:12:00+00:00
1754421300000,2.545,2.545,2.545,1,2.545,100,2.545,2025-08-05 19:15:00+00:00
1754421540000,2.56,2.56,2.56,6,2.56,300,2.56,2025-08-05 19:19:00+00:00
1754421720000,2.545,2.545,2.545,1,2.545,100,2.545,2025-08-05 19:22:00+00:00
1754422080000,2.53,2.545,2.53,3,2.545,1000,2.5321,2025-08-05 19:28:00+00:00
1754422320000,2.52,2.56,2.52,13,2.56,898,2.538571,2025-08-05 19:32:00+00:00
1754422380000,2.515,2.515,2.515,1,2.515,100,2.515,2025-08-05 19:33:00+00:00
1754422680000,2.53,2.53,2.53,3,2.53,613,2.53,2025-08-05 19:38:00+00:00
1754422740000,2.54,2.54,2.53,6,2.53,324,2.535,2025-08-05 19:39:00+00:00
1754422860000,2.54,2.54,2.54,3,2.54,141,2.54,2025-08-05 19:41:00+00:00
1754422980000,2.55,2.55,2.55,7,2.55,348,2.55,2025-08-05 19:43:00+00:00
1754423160000,2.54,2.54,2.54,4,2.54,2157,2.54,2025-08-05 19:46:00+00:00
1754423220000,2.535,2.55,2.535,5,2.55,382,2.54,2025-08-05 19:47:00+00:00
1754423340000,2.55,2.55,2.55,9,2.55,783,2.55,2025-08-05 19:49:00+00:00
