timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756216680000,2.1901,2.21,2.1901,2,2.21,400,2.20005,2025-08-26 13:58:00+00:00
1756216740000,2.19,2.19,2.19,1,2.19,1000,2.19,2025-08-26 13:59:00+00:00
1756217100000,2.22,2.22,2.21,22,2.21,3443,2.216523,2025-08-26 14:05:00+00:00
1756217160000,2.22,2.22,2.22,1,2.22,200,2.22,2025-08-26 14:06:00+00:00
1756217340000,2.1799,2.22,2.1799,15,2.22,3628,2.192606,2025-08-26 14:09:00+00:00
1756217760000,2.1608,2.2399,2.1608,2,2.2399,1200,2.226717,2025-08-26 14:16:00+00:00
1756218240000,2.21,2.21,2.21,1,2.21,1000,2.21,2025-08-26 14:24:00+00:00
1756219620000,2.19,2.19,2.19,1,2.19,100,2.19,2025-08-26 14:47:00+00:00
1756219740000,2.18,2.18,2.18,2,2.18,526,2.18,2025-08-26 14:49:00+00:00
1756220040000,2.17,2.17,2.17,4,2.17,2630,2.17,2025-08-26 14:54:00+00:00
1756220280000,2.165,2.17,2.165,5,2.17,456,2.167853,2025-08-26 14:58:00+00:00
1756220460000,2.17,2.17,2.17,1,2.17,100,2.17,2025-08-26 15:01:00+00:00
1756220580000,2.14,2.16,2.14,7,2.16,929,2.148644,2025-08-26 15:03:00+00:00
1756220700000,2.1599,2.1599,2.1599,5,2.1599,412,2.1599,2025-08-26 15:05:00+00:00
1756220760000,2.1666,2.1666,2.15,9,2.15,2077,2.161643,2025-08-26 15:06:00+00:00
1756223040000,2.131,2.131,2.131,1,2.131,468,2.131,2025-08-26 15:44:00+00:00
1756223220000,2.1599,2.1599,2.1599,5,2.1599,195,2.1599,2025-08-26 15:47:00+00:00
1756223940000,2.156,2.156,2.156,1,2.156,200,2.156,2025-08-26 15:59:00+00:00
1756224420000,2.16,2.16,2.16,3,2.16,1099,2.16,2025-08-26 16:07:00+00:00
1756224600000,2.1993,2.1993,2.1993,1,2.1993,3000,2.1993,2025-08-26 16:10:00+00:00
1756224660000,2.17,2.1941,2.17,2,2.1941,1000,2.18205,2025-08-26 16:11:00+00:00
1756224780000,2.2,2.2,2.2,1,2.2,308,2.2,2025-08-26 16:13:00+00:00
1756225380000,2.22,2.22,2.1935,8,2.1935,5447,2.201954,2025-08-26 16:23:00+00:00
1756225440000,2.22,2.23,2.22,8,2.22,2930,2.228612,2025-08-26 16:24:00+00:00
1756225860000,2.2402,2.2402,2.2402,2,2.2402,205,2.2402,2025-08-26 16:31:00+00:00
1756225920000,2.27,2.29,2.2401,13,2.2401,1248,2.261632,2025-08-26 16:32:00+00:00
1756225980000,2.26,2.26,2.26,1,2.26,200,2.26,2025-08-26 16:33:00+00:00
1756226040000,2.2789,2.2789,2.2789,1,2.2789,1000,2.2789,2025-08-26 16:34:00+00:00
1756226100000,2.28,2.3,2.26,24,2.26,3300,2.276301,2025-08-26 16:35:00+00:00
1756226340000,2.28,2.28,2.28,1,2.28,174,2.28,2025-08-26 16:39:00+00:00
1756226700000,2.26,2.26,2.26,1,2.26,360,2.26,2025-08-26 16:45:00+00:00
1756226760000,2.26,2.26,2.26,1,2.26,200,2.26,2025-08-26 16:46:00+00:00
1756226880000,2.28,2.28,2.28,7,2.28,500,2.28,2025-08-26 16:48:00+00:00
1756227300000,2.28,2.28,2.28,2,2.28,500,2.28,2025-08-26 16:55:00+00:00
1756227360000,2.32,2.32,2.2501,19,2.2501,5059,2.281861,2025-08-26 16:56:00+00:00
1756227960000,2.2601,2.2601,2.26,3,2.2601,700,2.260057,2025-08-26 17:06:00+00:00
1756228140000,2.2604,2.2604,2.2604,2,2.2604,228,2.2604,2025-08-26 17:09:00+00:00
1756228380000,2.29,2.3199,2.29,7,2.3198,1000,2.314058,2025-08-26 17:13:00+00:00
1756230060000,2.28,2.28,2.28,5,2.28,364,2.28,2025-08-26 17:41:00+00:00
1756230840000,2.29,2.29,2.2898,11,2.2899,1840,2.289953,2025-08-26 17:54:00+00:00
1756230900000,2.2822,2.2822,2.2822,1,2.2822,100,2.2822,2025-08-26 17:55:00+00:00
1756230960000,2.2504,2.2504,2.2501,5,2.2502,1555,2.250313,2025-08-26 17:56:00+00:00
1756232100000,2.26,2.29,2.26,2,2.29,300,2.27,2025-08-26 18:15:00+00:00
1756232220000,2.33,2.33,2.29,12,2.29,10567,2.308583,2025-08-26 18:17:00+00:00
1756232280000,2.3499,2.35,2.305,29,2.305,17611,2.335689,2025-08-26 18:18:00+00:00
1756232340000,2.3709,2.48,2.35,44,2.35,20275,2.401648,2025-08-26 18:19:00+00:00
1756232400000,2.46,2.48,2.39,90,2.3909,32303,2.423612,2025-08-26 18:20:00+00:00
1756232460000,2.49,2.5,2.43,60,2.478,21131,2.46844,2025-08-26 18:21:00+00:00
1756232520000,2.6,2.6,2.47,62,2.475,23245,2.526418,2025-08-26 18:22:00+00:00
1756232580000,2.54,2.6,2.37,68,2.56,13757,2.462334,2025-08-26 18:23:00+00:00
1756232640000,2.4201,2.4586,2.37,54,2.42,16055,2.401715,2025-08-26 18:24:00+00:00
1756232700000,2.38,2.42,2.35,23,2.3979,5111,2.383694,2025-08-26 18:25:00+00:00
1756232820000,2.35,2.38,2.35,3,2.38,601,2.355,2025-08-26 18:27:00+00:00
1756232880000,2.4,2.4,2.4,2,2.4,1000,2.4,2025-08-26 18:28:00+00:00
1756232940000,2.36,2.4,2.36,4,2.4,1458,2.396932,2025-08-26 18:29:00+00:00
1756233000000,2.36,2.36,2.36,8,2.36,365,2.36,2025-08-26 18:30:00+00:00
1756233060000,2.37,2.37,2.37,4,2.37,2005,2.37,2025-08-26 18:31:00+00:00
1756233180000,2.3993,2.3993,2.3993,1,2.3993,150,2.3993,2025-08-26 18:33:00+00:00
1756233240000,2.395,2.4199,2.395,17,2.4,4830,2.40827,2025-08-26 18:34:00+00:00
1756233420000,2.41,2.41,2.41,2,2.41,1030,2.41,2025-08-26 18:37:00+00:00
1756233480000,2.4006,2.4006,2.4006,3,2.4006,136,2.4006,2025-08-26 18:38:00+00:00
1756233780000,2.4,2.4134,2.4,10,2.4134,3045,2.403095,2025-08-26 18:43:00+00:00
1756233960000,2.4699,2.47,2.39,35,2.39,11400,2.44564,2025-08-26 18:46:00+00:00
1756234020000,2.47,2.47,2.4699,13,2.47,8401,2.469958,2025-08-26 18:47:00+00:00
1756234200000,2.5201,2.54,2.4709,19,2.5,10613,2.49435,2025-08-26 18:50:00+00:00
1756234260000,2.55,2.57,2.51,13,2.54,7712,2.536412,2025-08-26 18:51:00+00:00
1756234380000,2.58,2.58,2.52,23,2.52,11943,2.547181,2025-08-26 18:53:00+00:00
1756234440000,2.56,2.61,2.56,47,2.59,14589,2.593044,2025-08-26 18:54:00+00:00
1756234500000,2.61,2.66,2.5999,32,2.6,8994,2.625186,2025-08-26 18:55:00+00:00
1756234560000,2.55,2.6,2.55,9,2.6,3023,2.569157,2025-08-26 18:56:00+00:00
1756234620000,2.61,2.646,2.61,4,2.646,631,2.634869,2025-08-26 18:57:00+00:00
1756234680000,2.63,2.6454,2.63,6,2.6454,1073,2.6377,2025-08-26 18:58:00+00:00
1756234740000,2.6,2.65,2.6,14,2.65,3670,2.620418,2025-08-26 18:59:00+00:00
1756234800000,2.6,2.6,2.6,4,2.6,1532,2.6,2025-08-26 19:00:00+00:00
1756234860000,2.63,2.63,2.6299,10,2.63,1455,2.629965,2025-08-26 19:01:00+00:00
1756234920000,2.616,2.63,2.59,8,2.63,2134,2.616486,2025-08-26 19:02:00+00:00
1756234980000,2.6112,2.6199,2.61,5,2.61,541,2.614017,2025-08-26 19:03:00+00:00
1756235040000,2.58,2.62,2.56,23,2.62,2918,2.602174,2025-08-26 19:04:00+00:00
1756235160000,2.578,2.578,2.578,1,2.578,391,2.578,2025-08-26 19:06:00+00:00
1756235220000,2.62,2.62,2.59,6,2.59,6600,2.596379,2025-08-26 19:07:00+00:00
1756235280000,2.7,2.71,2.62,79,2.62,16483,2.675031,2025-08-26 19:08:00+00:00
1756235340000,2.68,2.7,2.67,26,2.671,9020,2.683347,2025-08-26 19:09:00+00:00
1756235400000,2.69,2.7,2.67,11,2.67,2989,2.696182,2025-08-26 19:10:00+00:00
1756235460000,2.6898,2.6898,2.65,25,2.67,6040,2.65766,2025-08-26 19:11:00+00:00
1756235520000,2.65,2.69,2.65,13,2.6899,3207,2.667762,2025-08-26 19:12:00+00:00
1756235580000,2.602,2.602,2.59,14,2.6015,1444,2.595906,2025-08-26 19:13:00+00:00
1756235640000,2.55,2.551,2.55,17,2.5501,4786,2.550027,2025-08-26 19:14:00+00:00
1756235700000,2.5421,2.55,2.52,5,2.55,943,2.541037,2025-08-26 19:15:00+00:00
1756235760000,2.5202,2.5548,2.5202,7,2.5548,590,2.537778,2025-08-26 19:16:00+00:00
1756235940000,2.5576,2.61,2.5576,4,2.61,3601,2.579778,2025-08-26 19:19:00+00:00
1756236060000,2.58,2.64,2.5501,9,2.5502,1739,2.591026,2025-08-26 19:21:00+00:00
1756236180000,2.58,2.58,2.58,1,2.58,1000,2.58,2025-08-26 19:23:00+00:00
1756236660000,2.5865,2.5865,2.5865,1,2.5865,100,2.5865,2025-08-26 19:31:00+00:00
1756236720000,2.61,2.61,2.61,3,2.61,120,2.61,2025-08-26 19:32:00+00:00
1756236780000,2.59,2.59,2.59,1,2.59,100,2.59,2025-08-26 19:33:00+00:00
1756236840000,2.6291,2.6291,2.62,4,2.62,321,2.62455,2025-08-26 19:34:00+00:00
1756236900000,2.594,2.594,2.594,2,2.594,501,2.594,2025-08-26 19:35:00+00:00
1756236960000,2.6199,2.6199,2.6199,1,2.6199,100,2.6199,2025-08-26 19:36:00+00:00
1756237080000,2.5863,2.5863,2.5863,3,2.5863,185,2.5863,2025-08-26 19:38:00+00:00
1756237140000,2.58,2.58,2.58,5,2.58,299,2.58,2025-08-26 19:39:00+00:00
1756237320000,2.5877,2.5877,2.5877,6,2.5877,243,2.5877,2025-08-26 19:42:00+00:00
1756237380000,2.5801,2.581,2.58,12,2.58,3139,2.580081,2025-08-26 19:43:00+00:00
1756237440000,2.55,2.555,2.55,3,2.555,569,2.551055,2025-08-26 19:44:00+00:00
1756237500000,2.56,2.58,2.56,15,2.58,4397,2.577528,2025-08-26 19:45:00+00:00
1756237560000,2.5446,2.5463,2.5446,2,2.5463,880,2.544948,2025-08-26 19:46:00+00:00
1756237680000,2.58,2.58,2.577,3,2.577,2162,2.579691,2025-08-26 19:48:00+00:00
1756237740000,2.55,2.58,2.55,10,2.58,1502,2.559562,2025-08-26 19:49:00+00:00
1756237800000,2.54,2.54,2.54,2,2.54,1004,2.54,2025-08-26 19:50:00+00:00
1756237920000,2.57,2.57,2.56,6,2.5634,592,2.563345,2025-08-26 19:52:00+00:00
1756237980000,2.5799,2.58,2.5799,3,2.58,391,2.57995,2025-08-26 19:53:00+00:00
1756238040000,2.5763,2.5763,2.5763,6,2.5763,414,2.5763,2025-08-26 19:54:00+00:00
1756238100000,2.5999,2.605,2.585,8,2.59,1421,2.596461,2025-08-26 19:55:00+00:00
1756238160000,2.5999,2.6,2.5999,5,2.6,578,2.59996,2025-08-26 19:56:00+00:00
1756238220000,2.6,2.6,2.6,3,2.6,2601,2.6,2025-08-26 19:57:00+00:00
1756238280000,2.65,2.65,2.6175,5,2.6175,9292,2.617854,2025-08-26 19:58:00+00:00
1756238340000,2.6,2.64,2.6,8,2.64,727,2.619856,2025-08-26 19:59:00+00:00
1756238400000,2.52,2.6,2.52,2,2.6,2751,2.54908,2025-08-26 20:00:00+00:00
1756301400000,2.65,2.65,2.6,24,2.62,5654,2.624771,2025-08-27 13:30:00+00:00
