timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757014140000,17.86,17.86,17.86,4,17.86,186,17.86,2025-09-04 19:29:00+00:00
1757014200000,17.86,17.86,17.86,6,17.86,134,17.86,2025-09-04 19:30:00+00:00
1757014320000,17.87,17.87,17.86,13,17.86,546,17.8641,2025-09-04 19:32:00+00:00
1757014440000,17.76,17.76,17.74,20,17.74,891,17.753388,2025-09-04 19:34:00+00:00
1757014500000,17.87,17.87,17.77,38,17.77,1001,17.815714,2025-09-04 19:35:00+00:00
1757014560000,17.86,17.86,17.8175,10,17.8175,301,17.83875,2025-09-04 19:36:00+00:00
1757014620000,17.815,17.85,17.815,8,17.815,492,17.826667,2025-09-04 19:37:00+00:00
1757014680000,17.935,17.935,17.86,20,17.86,1245,17.8815,2025-09-04 19:38:00+00:00
1757014740000,17.945,17.945,17.945,8,17.945,181,17.945,2025-09-04 19:39:00+00:00
1757014800000,17.95,17.95,17.94,18,17.95,575,17.9475,2025-09-04 19:40:00+00:00
1757014860000,17.93,17.95,17.87,26,17.95,1122,17.91,2025-09-04 19:41:00+00:00
1757015040000,17.915,17.915,17.84,10,17.84,237,17.8775,2025-09-04 19:44:00+00:00
1757015100000,17.835,17.915,17.835,22,17.915,816,17.849167,2025-09-04 19:45:00+00:00
1757015160000,17.78,17.78,17.71,26,17.75,912,17.731751,2025-09-04 19:46:00+00:00
1757015220000,17.69,17.69,17.69,5,17.69,153,17.69,2025-09-04 19:47:00+00:00
1757015280000,17.72,17.75,17.72,15,17.75,646,17.727228,2025-09-04 19:48:00+00:00
1757015340000,17.72,17.72,17.72,2,17.72,101,17.72,2025-09-04 19:49:00+00:00
1757015400000,17.795,17.845,17.72,53,17.72,4797,17.80152,2025-09-04 19:50:00+00:00
1757015460000,17.56,17.78,17.55,88,17.78,14728,17.613968,2025-09-04 19:51:00+00:00
1757015520000,17.5,17.58,17.5,82,17.57,9395,17.54274,2025-09-04 19:52:00+00:00
1757015580000,17.45,17.52,17.45,74,17.515,3879,17.487218,2025-09-04 19:53:00+00:00
1757015640000,17.43,17.46,17.43,35,17.45,2313,17.449659,2025-09-04 19:54:00+00:00
1757015700000,17.46,17.46,17.42,62,17.46,3240,17.438375,2025-09-04 19:55:00+00:00
1757015760000,17.47,17.5,17.44,71,17.44,4028,17.495179,2025-09-04 19:56:00+00:00
1757015820000,17.5,17.55,17.43,81,17.49,4731,17.475183,2025-09-04 19:57:00+00:00
1757015880000,17.44,17.5,17.44,75,17.47,3415,17.474624,2025-09-04 19:58:00+00:00
1757015940000,17.43,17.5499,17.41,125,17.47,7292,17.448917,2025-09-04 19:59:00+00:00
1757016000000,17.43,17.43,17.43,5,17.43,10193,17.43,2025-09-04 20:00:00+00:00
1757079000000,18.0,18.1871,17.5,25,17.71,3658,17.72476,2025-09-05 13:30:00+00:00
1757079060000,17.855,17.855,17.855,2,17.855,101,17.855,2025-09-05 13:31:00+00:00
1757079240000,17.86,17.92,17.86,9,17.92,750,17.884194,2025-09-05 13:34:00+00:00
1757079300000,17.7546,18.125,17.7546,23,18.125,2942,17.880636,2025-09-05 13:35:00+00:00
1757079420000,18.17,18.17,17.75,33,17.86,2689,17.834553,2025-09-05 13:37:00+00:00
1757079600000,17.905,17.905,17.905,4,17.905,165,17.905,2025-09-05 13:40:00+00:00
1757079660000,17.9,17.9,17.9,1,17.9,100,17.9,2025-09-05 13:41:00+00:00
1757079720000,17.865,18.0,17.865,34,18.0,3648,17.973338,2025-09-05 13:42:00+00:00
1757079780000,17.7194,17.7194,17.7194,3,17.7194,2001,17.7194,2025-09-05 13:43:00+00:00
1757079840000,17.805,17.805,17.805,1,17.805,200,17.805,2025-09-05 13:44:00+00:00
1757079900000,18.0,18.0,17.9,10,17.9,384,17.933333,2025-09-05 13:45:00+00:00
1757079960000,17.85,17.87,17.82,14,17.86,2305,17.831,2025-09-05 13:46:00+00:00
1757080080000,17.85,17.9,17.85,4,17.9,1230,17.890213,2025-09-05 13:48:00+00:00
1757080260000,17.93,17.93,17.93,4,17.93,112,17.93,2025-09-05 13:51:00+00:00
1757080500000,17.85,17.86,17.85,2,17.86,200,17.855,2025-09-05 13:55:00+00:00
1757080560000,17.993,17.993,17.993,3,17.993,280,17.993,2025-09-05 13:56:00+00:00
1757080620000,17.993,17.993,17.993,2,17.993,105,17.993,2025-09-05 13:57:00+00:00
1757080860000,18.0934,18.0934,18.0934,2,18.0934,210,18.0934,2025-09-05 14:01:00+00:00
1757080920000,18.15,18.15,18.15,7,18.15,758,18.15,2025-09-05 14:02:00+00:00
1757081040000,17.9931,17.9931,17.9931,2,17.9931,102,17.9931,2025-09-05 14:04:00+00:00
1757081100000,18.11,18.11,18.0218,8,18.0218,1762,18.089002,2025-09-05 14:05:00+00:00
1757081160000,17.95,18.025,17.94,28,18.025,746,17.96375,2025-09-05 14:06:00+00:00
1757081220000,17.89,17.89,17.89,3,17.89,102,17.89,2025-09-05 14:07:00+00:00
1757081280000,17.82,17.85,17.82,10,17.85,427,17.835,2025-09-05 14:08:00+00:00
1757081400000,17.82,17.82,17.82,3,17.82,406,17.82,2025-09-05 14:10:00+00:00
1757081460000,17.82,17.82,17.75,8,17.75,480,17.8025,2025-09-05 14:11:00+00:00
1757081520000,17.86,17.8894,17.7626,7,17.7626,552,17.81865,2025-09-05 14:12:00+00:00
1757081580000,17.82,17.82,17.82,12,17.82,223,17.82,2025-09-05 14:13:00+00:00
1757081640000,17.82,17.8846,17.82,3,17.8846,376,17.867373,2025-09-05 14:14:00+00:00
1757081700000,17.755,17.85,17.71,18,17.85,1791,17.741127,2025-09-05 14:15:00+00:00
1757081760000,17.78,17.78,17.78,1,17.78,100,17.78,2025-09-05 14:16:00+00:00
1757081880000,17.66,17.71,17.66,13,17.71,4379,17.708762,2025-09-05 14:18:00+00:00
1757082000000,17.6308,17.6308,17.6308,10,17.6308,391,17.6308,2025-09-05 14:20:00+00:00
1757082240000,17.5,17.6,17.49,40,17.6,1523,17.513746,2025-09-05 14:24:00+00:00
1757082420000,17.5987,17.5987,17.5987,6,17.5987,599,17.5987,2025-09-05 14:27:00+00:00
1757082480000,17.515,17.515,17.515,6,17.515,307,17.515,2025-09-05 14:28:00+00:00
