timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754070000000,2.885,2.885,2.885,7,2.885,900,2.885,2025-08-01 17:40:00+00:00
1754070900000,2.88,2.88,2.8,15,2.81,2300,2.862609,2025-08-01 17:55:00+00:00
1754072460000,2.8368,2.8368,2.8368,1,2.8368,100,2.8368,2025-08-01 18:21:00+00:00
1754072520000,2.89,2.89,2.89,1,2.89,500,2.89,2025-08-01 18:22:00+00:00
1754072700000,2.855,2.855,2.855,1,2.855,100,2.855,2025-08-01 18:25:00+00:00
1754073480000,2.86,2.86,2.86,1,2.86,100,2.86,2025-08-01 18:38:00+00:00
1754074020000,2.87,2.888,2.87,4,2.888,1100,2.878182,2025-08-01 18:47:00+00:00
1754075040000,2.85,2.85,2.85,1,2.85,100,2.85,2025-08-01 19:04:00+00:00
1754075220000,2.87,2.87,2.87,3,2.87,154,2.87,2025-08-01 19:07:00+00:00
1754075340000,2.8605,2.8605,2.8605,1,2.8605,500,2.8605,2025-08-01 19:09:00+00:00
1754075520000,2.8579,2.8579,2.855,6,2.855,682,2.857417,2025-08-01 19:12:00+00:00
1754076420000,2.85,2.85,2.85,3,2.85,507,2.85,2025-08-01 19:27:00+00:00
1754076540000,2.82,2.84,2.82,10,2.83,2809,2.8382,2025-08-01 19:29:00+00:00
1754077020000,2.8323,2.8323,2.8323,1,2.8323,800,2.8323,2025-08-01 19:37:00+00:00
1754077140000,2.8304,2.8304,2.8304,1,2.8304,340,2.8304,2025-08-01 19:39:00+00:00
1754077200000,2.835,2.8553,2.815,21,2.8553,1813,2.83685,2025-08-01 19:40:00+00:00
1754077260000,2.84,2.85,2.84,11,2.85,481,2.846667,2025-08-01 19:41:00+00:00
1754077500000,2.835,2.835,2.835,1,2.835,200,2.835,2025-08-01 19:45:00+00:00
1754077620000,2.84,2.84,2.84,3,2.84,404,2.84,2025-08-01 19:47:00+00:00
1754077740000,2.845,2.845,2.845,1,2.845,180,2.845,2025-08-01 19:49:00+00:00
1754077800000,2.86,2.86,2.845,7,2.845,541,2.857,2025-08-01 19:50:00+00:00
1754077980000,2.84,2.84,2.84,4,2.84,281,2.84,2025-08-01 19:53:00+00:00
1754078040000,2.81,2.81,2.81,1,2.81,100,2.81,2025-08-01 19:54:00+00:00
1754078220000,2.84,2.84,2.81,15,2.84,2955,2.837853,2025-08-01 19:57:00+00:00
1754078340000,2.85,2.85,2.83,14,2.83,824,2.834124,2025-08-01 19:59:00+00:00
1754078400000,2.83,2.83,2.83,2,2.83,2463,2.83,2025-08-01 20:00:00+00:00
1754314200000,2.89,2.89,2.88,13,2.88,3436,2.880377,2025-08-04 13:30:00+00:00
1754314320000,2.88,2.88,2.88,3,2.88,452,2.88,2025-08-04 13:32:00+00:00
1754314800000,2.8364,2.8364,2.8364,1,2.8364,1274,2.8364,2025-08-04 13:40:00+00:00
1754314920000,2.84,2.84,2.84,2,2.84,120,2.84,2025-08-04 13:42:00+00:00
1754315580000,2.79,2.79,2.79,1,2.79,858,2.79,2025-08-04 13:53:00+00:00
1754315820000,2.775,2.775,2.775,1,2.775,210,2.775,2025-08-04 13:57:00+00:00
1754316660000,2.7748,2.7748,2.7748,1,2.7748,500,2.7748,2025-08-04 14:11:00+00:00
1754316780000,2.83,2.83,2.83,1,2.83,190,2.83,2025-08-04 14:13:00+00:00
1754317020000,2.83,2.83,2.79,18,2.83,2474,2.807281,2025-08-04 14:17:00+00:00
1754317140000,2.8783,2.8783,2.8783,1,2.8783,1736,2.8783,2025-08-04 14:19:00+00:00
1754317200000,2.865,2.865,2.865,3,2.865,234,2.865,2025-08-04 14:20:00+00:00
1754317380000,2.87,2.87,2.87,5,2.87,400,2.87,2025-08-04 14:23:00+00:00
1754317440000,2.905,2.905,2.88,15,2.88,3201,2.880839,2025-08-04 14:24:00+00:00
1754317500000,2.925,2.925,2.925,5,2.925,263,2.925,2025-08-04 14:25:00+00:00
1754317560000,2.9691,2.9691,2.9691,1,2.9691,200,2.9691,2025-08-04 14:26:00+00:00
1754317740000,2.822,2.95,2.822,6,2.95,1599,2.897567,2025-08-04 14:29:00+00:00
1754318700000,2.83,2.83,2.83,1,2.83,1950,2.83,2025-08-04 14:45:00+00:00
1754318820000,2.91,2.9215,2.91,4,2.9215,1116,2.919465,2025-08-04 14:47:00+00:00
1754319240000,2.91,2.91,2.91,1,2.91,250,2.91,2025-08-04 14:54:00+00:00
1754319300000,2.91,2.91,2.91,8,2.91,470,2.91,2025-08-04 14:55:00+00:00
1754319600000,2.89,2.89,2.89,3,2.89,126,2.89,2025-08-04 15:00:00+00:00
1754319660000,2.91,2.91,2.91,1,2.91,900,2.91,2025-08-04 15:01:00+00:00
1754319960000,2.81,2.854,2.8,14,2.854,1210,2.841477,2025-08-04 15:06:00+00:00
1754320020000,2.9105,2.92,2.83,54,2.83,15916,2.863937,2025-08-04 15:07:00+00:00
1754320080000,2.99,2.99,2.95,45,2.96,15431,2.96279,2025-08-04 15:08:00+00:00
1754322180000,2.9549,2.9549,2.925,13,2.94,1165,2.941617,2025-08-04 15:43:00+00:00
1754323560000,2.9582,2.9582,2.9582,1,2.9582,5000,2.9582,2025-08-04 16:06:00+00:00
1754324040000,2.98,2.98,2.97,21,2.97,1167,2.9775,2025-08-04 16:14:00+00:00
1754324100000,2.97,2.98,2.97,11,2.98,1174,2.976166,2025-08-04 16:15:00+00:00
1754324280000,2.96,2.97,2.96,7,2.97,548,2.964689,2025-08-04 16:18:00+00:00
1754324340000,2.97,2.97,2.97,1,2.97,100,2.97,2025-08-04 16:19:00+00:00
1754324400000,2.98,2.98,2.97,2,2.97,200,2.975,2025-08-04 16:20:00+00:00
1754324820000,2.98,2.98,2.98,1,2.98,100,2.98,2025-08-04 16:27:00+00:00
1754325480000,2.98,2.98,2.98,7,2.98,180,2.98,2025-08-04 16:38:00+00:00
1754325660000,2.98,2.98,2.98,1,2.98,100,2.98,2025-08-04 16:41:00+00:00
1754325720000,2.97,2.97,2.97,1,2.97,500,2.97,2025-08-04 16:42:00+00:00
1754326020000,3.05,3.05,2.9799,36,2.9799,4097,3.001885,2025-08-04 16:47:00+00:00
1754326260000,3.125,3.125,3.1,6,3.1,440,3.113095,2025-08-04 16:51:00+00:00
1754326320000,3.135,3.135,3.135,1,3.135,100,3.135,2025-08-04 16:52:00+00:00
1754326380000,3.14,3.14,3.14,2,3.14,150,3.14,2025-08-04 16:53:00+00:00
1754327040000,3.15,3.15,3.14,4,3.14,720,3.148472,2025-08-04 17:04:00+00:00
1754327160000,3.108,3.108,3.108,1,3.108,314,3.108,2025-08-04 17:06:00+00:00
1754327220000,3.08,3.1,3.08,10,3.1,806,3.096639,2025-08-04 17:07:00+00:00
1754327640000,3.06,3.07,3.06,4,3.07,260,3.065,2025-08-04 17:14:00+00:00
1754327760000,3.1084,3.1084,3.1084,1,3.1084,250,3.1084,2025-08-04 17:16:00+00:00
1754327880000,3.07,3.07,3.07,2,3.07,475,3.07,2025-08-04 17:18:00+00:00
1754328000000,3.07,3.1,3.07,5,3.1,737,3.094958,2025-08-04 17:20:00+00:00
1754328240000,3.0555,3.06,3.0555,2,3.06,1200,3.058125,2025-08-04 17:24:00+00:00
1754329200000,3.0438,3.0438,3.0438,1,3.0438,196,3.0438,2025-08-04 17:40:00+00:00
1754329680000,3.0,3.025,3.0,4,3.025,400,3.0125,2025-08-04 17:48:00+00:00
1754330040000,3.02,3.05,3.02,4,3.05,4724,3.049225,2025-08-04 17:54:00+00:00
1754330580000,3.02,3.03,3.02,8,3.02,800,3.025378,2025-08-04 18:03:00+00:00
1754331000000,3.06,3.06,3.06,2,3.06,580,3.06,2025-08-04 18:10:00+00:00
1754331420000,3.06,3.06,3.06,1,3.06,100,3.06,2025-08-04 18:17:00+00:00
1754332260000,3.025,3.025,3.025,3,3.025,300,3.025,2025-08-04 18:31:00+00:00
1754333460000,3.05,3.05,3.05,1,3.05,100,3.05,2025-08-04 18:51:00+00:00
1754333580000,3.05,3.05,3.03,3,3.05,335,3.04403,2025-08-04 18:53:00+00:00
1754333820000,3.04,3.04,3.04,1,3.04,480,3.04,2025-08-04 18:57:00+00:00
1754333940000,3.06,3.06,3.06,6,3.06,221,3.06,2025-08-04 18:59:00+00:00
1754334060000,3.06,3.06,3.06,5,3.06,1020,3.06,2025-08-04 19:01:00+00:00
1754334120000,3.1,3.1,3.07,10,3.07,2246,3.080588,2025-08-04 19:02:00+00:00
1754334420000,3.12,3.12,3.11,3,3.11,280,3.115,2025-08-04 19:07:00+00:00
1754334480000,3.11,3.11,3.11,2,3.11,146,3.11,2025-08-04 19:08:00+00:00
1754335020000,3.0898,3.0898,3.0898,1,3.0898,700,3.0898,2025-08-04 19:17:00+00:00
1754335320000,3.11,3.11,3.11,7,3.11,812,3.11,2025-08-04 19:22:00+00:00
1754336160000,3.1,3.1,3.1,1,3.1,100,3.1,2025-08-04 19:36:00+00:00
1754336880000,3.07,3.07,3.07,1,3.07,100,3.07,2025-08-04 19:48:00+00:00
1754337000000,3.07,3.07,3.07,4,3.07,470,3.07,2025-08-04 19:50:00+00:00
