timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,43.22,43.69,43.22,39,43.3,7485,43.313752,2025-09-08 13:30:00+00:00
1757338320000,42.97,43.455,42.95,81,43.455,3994,43.101226,2025-09-08 13:32:00+00:00
1757338500000,42.95,42.95,42.8,45,42.92,3540,42.862445,2025-09-08 13:35:00+00:00
1757338680000,42.77,42.77,42.71,44,42.74,1975,42.740936,2025-09-08 13:38:00+00:00
1757338740000,42.73,42.75,42.73,17,42.75,429,42.74,2025-09-08 13:39:00+00:00
1757338800000,42.51,42.6,42.51,17,42.6,635,42.543333,2025-09-08 13:40:00+00:00
1757338860000,42.35,42.35,42.35,2,42.35,101,42.35,2025-09-08 13:41:00+00:00
1757338920000,42.3,42.5,42.26,20,42.5,2380,42.318492,2025-09-08 13:42:00+00:00
1757338980000,42.485,42.485,42.485,7,42.485,244,42.485,2025-09-08 13:43:00+00:00
1757339040000,42.32,42.32,42.3,46,42.31,1761,42.305316,2025-09-08 13:44:00+00:00
1757339100000,42.2,42.39,42.2,108,42.39,7783,42.339535,2025-09-08 13:45:00+00:00
1757339160000,42.21,42.21,42.11,16,42.11,923,42.135952,2025-09-08 13:46:00+00:00
1757339280000,42.355,42.43,42.2,121,42.205,11294,42.318777,2025-09-08 13:48:00+00:00
1757339340000,42.3551,42.3551,42.355,11,42.355,426,42.355033,2025-09-08 13:49:00+00:00
1757339400000,42.365,42.365,42.365,9,42.365,498,42.365,2025-09-08 13:50:00+00:00
1757339460000,42.255,42.28,42.18,33,42.28,1466,42.240714,2025-09-08 13:51:00+00:00
1757339580000,42.145,42.16,42.11,47,42.16,2121,42.140638,2025-09-08 13:53:00+00:00
1757339640000,42.32,42.32,42.19,125,42.22,8344,42.230866,2025-09-08 13:54:00+00:00
1757339700000,42.37,42.37,42.3185,32,42.3185,1544,42.355708,2025-09-08 13:55:00+00:00
1757339880000,42.24,42.24,42.24,31,42.24,985,42.24,2025-09-08 13:58:00+00:00
1757339940000,42.295,42.295,42.2465,15,42.275,5201,42.272703,2025-09-08 13:59:00+00:00
1757340000000,42.24,42.24,42.24,25,42.24,656,42.24,2025-09-08 14:00:00+00:00
1757340060000,42.2325,42.2325,42.17,6,42.17,233,42.20125,2025-09-08 14:01:00+00:00
