timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756220580000,0.1919,0.1919,0.1919,2,0.1919,353,0.1919,2025-08-26 15:03:00+00:00
1756220640000,0.1918,0.1918,0.1918,1,0.1918,5000,0.1918,2025-08-26 15:04:00+00:00
1756220820000,0.1899,0.19,0.1899,19,0.19,8300,0.189993,2025-08-26 15:07:00+00:00
1756220880000,0.19,0.19,0.19,4,0.19,20198,0.19,2025-08-26 15:08:00+00:00
1756221060000,0.1909,0.1909,0.1855,49,0.1886,62728,0.187254,2025-08-26 15:11:00+00:00
1756221180000,0.1908,0.1908,0.1908,1,0.1908,5000,0.1908,2025-08-26 15:13:00+00:00
1756221420000,0.1909,0.1909,0.1909,4,0.1909,1007,0.1909,2025-08-26 15:17:00+00:00
1756222320000,0.1856,0.1856,0.1856,3,0.1856,1213,0.1856,2025-08-26 15:32:00+00:00
1756222440000,0.19,0.19,0.19,1,0.19,200,0.19,2025-08-26 15:34:00+00:00
1756222500000,0.1896,0.1909,0.1896,3,0.1908,3000,0.190087,2025-08-26 15:35:00+00:00
1756222560000,0.1899,0.1899,0.1899,2,0.1899,10001,0.1899,2025-08-26 15:36:00+00:00
1756222740000,0.188,0.189,0.188,2,0.189,2000,0.1885,2025-08-26 15:39:00+00:00
1756222800000,0.1876,0.1879,0.1875,3,0.1879,3398,0.187659,2025-08-26 15:40:00+00:00
1756223040000,0.1879,0.19,0.1879,3,0.19,746,0.189474,2025-08-26 15:44:00+00:00
1756223100000,0.19,0.19,0.19,1,0.19,500,0.19,2025-08-26 15:45:00+00:00
1756223400000,0.1899,0.1899,0.1899,1,0.1899,3350,0.1899,2025-08-26 15:50:00+00:00
1756223460000,0.19,0.19,0.19,1,0.19,100,0.19,2025-08-26 15:51:00+00:00
1756223520000,0.1918,0.1918,0.1901,2,0.1901,28294,0.191776,2025-08-26 15:52:00+00:00
1756223700000,0.1899,0.1907,0.1899,5,0.1907,14000,0.189942,2025-08-26 15:55:00+00:00
1756223880000,0.19,0.19,0.19,1,0.19,1000,0.19,2025-08-26 15:58:00+00:00
1756224060000,0.19,0.19,0.19,19,0.19,13190,0.19,2025-08-26 16:01:00+00:00
1756224180000,0.19,0.19,0.19,2,0.19,2972,0.19,2025-08-26 16:03:00+00:00
1756224420000,0.1899,0.1899,0.1899,5,0.1899,588,0.1899,2025-08-26 16:07:00+00:00
1756224480000,0.19,0.19,0.19,1,0.19,5000,0.19,2025-08-26 16:08:00+00:00
1756224780000,0.19,0.19,0.19,2,0.19,3525,0.19,2025-08-26 16:13:00+00:00
1756224840000,0.1899,0.1899,0.1899,2,0.1899,140,0.1899,2025-08-26 16:14:00+00:00
1756225080000,0.1899,0.19,0.1899,3,0.19,201,0.18995,2025-08-26 16:18:00+00:00
1756225140000,0.19,0.19,0.19,1,0.19,1398,0.19,2025-08-26 16:19:00+00:00
1756225440000,0.1899,0.1912,0.1899,6,0.1912,9787,0.19083,2025-08-26 16:24:00+00:00
1756225500000,0.19,0.19,0.19,1,0.19,1000,0.19,2025-08-26 16:25:00+00:00
1756225860000,0.185,0.19,0.185,29,0.1899,55891,0.187905,2025-08-26 16:31:00+00:00
1756225920000,0.1899,0.1899,0.1899,1,0.1899,11000,0.1899,2025-08-26 16:32:00+00:00
1756226460000,0.1875,0.188,0.1875,5,0.188,4070,0.18775,2025-08-26 16:41:00+00:00
1756226640000,0.1899,0.1899,0.1899,1,0.1899,1000,0.1899,2025-08-26 16:44:00+00:00
1756226700000,0.1875,0.1875,0.1875,1,0.1875,632,0.1875,2025-08-26 16:45:00+00:00
1756226760000,0.1898,0.1898,0.1897,2,0.1897,5000,0.18975,2025-08-26 16:46:00+00:00
1756226820000,0.1875,0.1875,0.1875,6,0.1875,20020,0.1875,2025-08-26 16:47:00+00:00
1756227180000,0.188,0.188,0.188,1,0.188,1000,0.188,2025-08-26 16:53:00+00:00
1756227240000,0.185,0.1875,0.185,16,0.1875,35200,0.186931,2025-08-26 16:54:00+00:00
1756227600000,0.188,0.188,0.1879,6,0.1879,601,0.187917,2025-08-26 17:00:00+00:00
1756227960000,0.1879,0.1879,0.1879,1,0.1879,110,0.1879,2025-08-26 17:06:00+00:00
1756228080000,0.1884,0.189,0.187,7,0.1879,6101,0.187705,2025-08-26 17:08:00+00:00
1756228320000,0.1894,0.1894,0.1893,2,0.1893,10000,0.18935,2025-08-26 17:12:00+00:00
1756228560000,0.188,0.188,0.188,1,0.188,400,0.188,2025-08-26 17:16:00+00:00
1756228620000,0.1879,0.1879,0.1878,5,0.1878,25000,0.187897,2025-08-26 17:17:00+00:00
1756228980000,0.185,0.1858,0.185,39,0.1858,35081,0.185172,2025-08-26 17:23:00+00:00
1756229040000,0.1871,0.1871,0.185,2,0.185,2050,0.186127,2025-08-26 17:24:00+00:00
1756229100000,0.186,0.1866,0.186,5,0.186,5825,0.18601,2025-08-26 17:25:00+00:00
1756229160000,0.187,0.187,0.187,2,0.187,490,0.187,2025-08-26 17:26:00+00:00
1756229220000,0.1869,0.1879,0.1869,3,0.1879,1309,0.187129,2025-08-26 17:27:00+00:00
1756229280000,0.1862,0.1862,0.1862,4,0.1862,2645,0.1862,2025-08-26 17:28:00+00:00
1756229340000,0.1879,0.1879,0.1878,6,0.1878,10000,0.187861,2025-08-26 17:29:00+00:00
1756229580000,0.1879,0.1879,0.1879,3,0.1879,700,0.1879,2025-08-26 17:33:00+00:00
1756229940000,0.188,0.188,0.188,2,0.188,102,0.188,2025-08-26 17:39:00+00:00
1756230360000,0.1895,0.1895,0.1893,7,0.1893,11103,0.189343,2025-08-26 17:46:00+00:00
1756230420000,0.1903,0.1903,0.1897,7,0.1903,536,0.19,2025-08-26 17:47:00+00:00
1756230540000,0.188,0.188,0.188,3,0.188,449,0.188,2025-08-26 17:49:00+00:00
1756230600000,0.1904,0.1904,0.1904,1,0.1904,1000,0.1904,2025-08-26 17:50:00+00:00
1756230840000,0.1893,0.1905,0.1893,4,0.1905,11200,0.190489,2025-08-26 17:54:00+00:00
1756231560000,0.1886,0.1886,0.1866,4,0.1866,50200,0.186604,2025-08-26 18:06:00+00:00
1756231620000,0.1875,0.1875,0.185,21,0.1866,84000,0.185769,2025-08-26 18:07:00+00:00
1756231680000,0.1901,0.1901,0.1877,4,0.1878,14200,0.188279,2025-08-26 18:08:00+00:00
1756231800000,0.1878,0.1878,0.1878,1,0.1878,7500,0.1878,2025-08-26 18:10:00+00:00
1756232040000,0.19,0.19,0.19,1,0.19,100,0.19,2025-08-26 18:14:00+00:00
1756232220000,0.1883,0.1883,0.1883,2,0.1883,1053,0.1883,2025-08-26 18:17:00+00:00
1756232520000,0.1884,0.1884,0.1884,1,0.1884,112,0.1884,2025-08-26 18:22:00+00:00
1756232760000,0.1866,0.1866,0.1866,1,0.1866,100,0.1866,2025-08-26 18:26:00+00:00
1756232940000,0.1898,0.1898,0.1898,1,0.1898,1000,0.1898,2025-08-26 18:29:00+00:00
1756233780000,0.1898,0.1898,0.1897,7,0.1897,20200,0.189795,2025-08-26 18:43:00+00:00
1756234080000,0.1866,0.1905,0.1866,5,0.1905,21952,0.189528,2025-08-26 18:48:00+00:00
1756234140000,0.1866,0.1866,0.1866,1,0.1866,50000,0.1866,2025-08-26 18:49:00+00:00
1756234200000,0.1866,0.1884,0.1866,37,0.1866,69355,0.186606,2025-08-26 18:50:00+00:00
1756234260000,0.1866,0.1886,0.1857,9,0.1886,17034,0.186596,2025-08-26 18:51:00+00:00
1756234320000,0.1865,0.1885,0.1855,11,0.1885,40491,0.186772,2025-08-26 18:52:00+00:00
1756234380000,0.1903,0.1903,0.188,3,0.188,21000,0.18811,2025-08-26 18:53:00+00:00
1756234440000,0.1855,0.1867,0.1855,10,0.1866,134579,0.18613,2025-08-26 18:54:00+00:00
1756234500000,0.1901,0.1901,0.1901,1,0.1901,1000,0.1901,2025-08-26 18:55:00+00:00
1756234560000,0.192,0.192,0.1885,39,0.19,188299,0.190006,2025-08-26 18:56:00+00:00
1756234620000,0.1909,0.192,0.1909,37,0.1916,93101,0.191231,2025-08-26 18:57:00+00:00
1756234680000,0.1886,0.1909,0.188,53,0.1909,78789,0.189382,2025-08-26 18:58:00+00:00
1756234740000,0.19,0.191,0.19,6,0.191,16601,0.190738,2025-08-26 18:59:00+00:00
1756234800000,0.1909,0.1909,0.1897,3,0.1897,735,0.189863,2025-08-26 19:00:00+00:00
1756234920000,0.1894,0.19,0.1891,5,0.1891,41500,0.189331,2025-08-26 19:02:00+00:00
1756235040000,0.1897,0.1908,0.1889,48,0.1903,74936,0.189594,2025-08-26 19:04:00+00:00
1756235100000,0.188,0.1898,0.1877,53,0.1897,67554,0.188569,2025-08-26 19:05:00+00:00
1756235160000,0.1873,0.188,0.1867,38,0.1879,70663,0.187077,2025-08-26 19:06:00+00:00
1756235220000,0.1874,0.1876,0.1873,4,0.1876,13200,0.187459,2025-08-26 19:07:00+00:00
1756235280000,0.1896,0.1896,0.188,4,0.188,2440,0.188661,2025-08-26 19:08:00+00:00
1756235400000,0.1885,0.1897,0.1885,2,0.1897,1251,0.189363,2025-08-26 19:10:00+00:00
1756235460000,0.189,0.189,0.189,2,0.189,34818,0.189,2025-08-26 19:11:00+00:00
1756235520000,0.1875,0.1875,0.1875,1,0.1875,1000,0.1875,2025-08-26 19:12:00+00:00
1756235580000,0.1874,0.1884,0.1874,37,0.1874,88690,0.188152,2025-08-26 19:13:00+00:00
