timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756219020000,0.4354,0.4355,0.4335,9,0.4355,2957,0.435297,2025-08-26 14:37:00+00:00
1756219140000,0.4399,0.44,0.4369,41,0.438,5772,0.439121,2025-08-26 14:39:00+00:00
1756219200000,0.44,0.44,0.4381,70,0.4399,11648,0.439959,2025-08-26 14:40:00+00:00
1756219320000,0.4351,0.44,0.4351,19,0.4391,21724,0.439646,2025-08-26 14:42:00+00:00
1756219440000,0.4353,0.4356,0.4344,8,0.4354,1763,0.434802,2025-08-26 14:44:00+00:00
1756219500000,0.4355,0.4355,0.4355,3,0.4355,102,0.4355,2025-08-26 14:45:00+00:00
1756219620000,0.4353,0.4353,0.4352,3,0.4352,312,0.435233,2025-08-26 14:47:00+00:00
1756219680000,0.4348,0.435,0.4348,6,0.435,318,0.4349,2025-08-26 14:48:00+00:00
1756219800000,0.4347,0.4347,0.4347,4,0.4347,311,0.4347,2025-08-26 14:50:00+00:00
1756219860000,0.4348,0.4348,0.4348,3,0.4348,280,0.4348,2025-08-26 14:51:00+00:00
1756219920000,0.4335,0.4341,0.4335,3,0.4341,450,0.433833,2025-08-26 14:52:00+00:00
1756219980000,0.4321,0.4335,0.4318,11,0.4335,6430,0.433427,2025-08-26 14:53:00+00:00
1756220040000,0.4321,0.434,0.4321,2,0.434,1100,0.433827,2025-08-26 14:54:00+00:00
1756220160000,0.4321,0.4321,0.4302,3,0.4302,4100,0.430246,2025-08-26 14:56:00+00:00
1756220400000,0.4302,0.4302,0.4302,1,0.4302,2230,0.4302,2025-08-26 15:00:00+00:00
1756220460000,0.4341,0.4341,0.4341,2,0.4341,149,0.4341,2025-08-26 15:01:00+00:00
1756220760000,0.4348,0.435,0.4341,38,0.4341,10176,0.434645,2025-08-26 15:06:00+00:00
1756220940000,0.4342,0.4342,0.4342,1,0.4342,100,0.4342,2025-08-26 15:09:00+00:00
1756221060000,0.435,0.4366,0.4342,30,0.4349,13840,0.434955,2025-08-26 15:11:00+00:00
1756221240000,0.4365,0.4365,0.4365,1,0.4365,100,0.4365,2025-08-26 15:14:00+00:00
1756221300000,0.4418,0.4418,0.4366,11,0.4366,1706,0.438412,2025-08-26 15:15:00+00:00
1756221360000,0.4393,0.4394,0.4393,3,0.4394,242,0.43935,2025-08-26 15:16:00+00:00
1756221900000,0.4383,0.4383,0.4383,2,0.4383,700,0.4383,2025-08-26 15:25:00+00:00
1756221960000,0.4401,0.4402,0.4383,16,0.44,7907,0.43958,2025-08-26 15:26:00+00:00
1756222080000,0.4375,0.439,0.4375,5,0.439,2600,0.438133,2025-08-26 15:28:00+00:00
1756222140000,0.4375,0.4385,0.4375,5,0.4385,501,0.43785,2025-08-26 15:29:00+00:00
1756222380000,0.4301,0.4355,0.4301,11,0.4355,30167,0.430514,2025-08-26 15:33:00+00:00
1756222440000,0.4303,0.4303,0.4302,4,0.4302,9010,0.43025,2025-08-26 15:34:00+00:00
1756222620000,0.4302,0.4302,0.4302,1,0.4302,4500,0.4302,2025-08-26 15:37:00+00:00
1756222920000,0.431,0.431,0.431,1,0.431,13000,0.431,2025-08-26 15:42:00+00:00
1756223400000,0.4311,0.4311,0.4311,1,0.4311,312,0.4311,2025-08-26 15:50:00+00:00
1756223460000,0.4383,0.4383,0.4347,14,0.4347,9909,0.43618,2025-08-26 15:51:00+00:00
1756223520000,0.4347,0.4384,0.4347,9,0.4384,1970,0.437595,2025-08-26 15:52:00+00:00
1756223580000,0.4345,0.4345,0.4345,1,0.4345,150,0.4345,2025-08-26 15:53:00+00:00
1756223700000,0.445,0.445,0.4376,27,0.4376,5264,0.438099,2025-08-26 15:55:00+00:00
1756223820000,0.4369,0.4369,0.4362,3,0.4362,601,0.436783,2025-08-26 15:57:00+00:00
1756224060000,0.4364,0.4364,0.436,2,0.436,200,0.4362,2025-08-26 16:01:00+00:00
1756224240000,0.4335,0.4362,0.4335,40,0.4361,14483,0.435574,2025-08-26 16:04:00+00:00
1756224360000,0.4335,0.4335,0.4327,2,0.4327,1100,0.432773,2025-08-26 16:06:00+00:00
1756224600000,0.4334,0.4334,0.4334,2,0.4334,135,0.4334,2025-08-26 16:10:00+00:00
1756224720000,0.4358,0.4358,0.4358,1,0.4358,500,0.4358,2025-08-26 16:12:00+00:00
1756224900000,0.4334,0.4334,0.4334,1,0.4334,500,0.4334,2025-08-26 16:15:00+00:00
1756225020000,0.4307,0.4359,0.4307,10,0.4312,18193,0.431503,2025-08-26 16:17:00+00:00
1756225620000,0.4332,0.4332,0.4332,1,0.4332,400,0.4332,2025-08-26 16:27:00+00:00
1756226160000,0.4316,0.4318,0.4307,7,0.4307,6415,0.430761,2025-08-26 16:36:00+00:00
1756226220000,0.4309,0.4315,0.4308,9,0.4315,1068,0.431115,2025-08-26 16:37:00+00:00
1756226760000,0.4307,0.4315,0.4302,6,0.4315,6200,0.430635,2025-08-26 16:46:00+00:00
1756227060000,0.4303,0.4303,0.4303,2,0.4303,131,0.4303,2025-08-26 16:51:00+00:00
1756227180000,0.4302,0.4308,0.4302,2,0.4308,1000,0.43074,2025-08-26 16:53:00+00:00
1756227300000,0.4304,0.4304,0.4304,3,0.4304,107,0.4304,2025-08-26 16:55:00+00:00
1756227540000,0.4312,0.4312,0.4312,3,0.4312,654,0.4312,2025-08-26 16:59:00+00:00
1756227600000,0.4302,0.4302,0.4301,6,0.4301,6120,0.430149,2025-08-26 17:00:00+00:00
1756227660000,0.4302,0.4302,0.4302,4,0.4302,515,0.4302,2025-08-26 17:01:00+00:00
1756227720000,0.4302,0.4302,0.4302,1,0.4302,1000,0.4302,2025-08-26 17:02:00+00:00
1756227780000,0.4302,0.4302,0.4302,3,0.4302,113,0.4302,2025-08-26 17:03:00+00:00
1756227960000,0.4301,0.4301,0.4301,1,0.4301,565,0.4301,2025-08-26 17:06:00+00:00
1756228440000,0.4302,0.4302,0.4302,1,0.4302,2000,0.4302,2025-08-26 17:14:00+00:00
1756228500000,0.4315,0.4315,0.4299,69,0.4301,40446,0.430053,2025-08-26 17:15:00+00:00
1756228860000,0.4302,0.4302,0.4302,1,0.4302,783,0.4302,2025-08-26 17:21:00+00:00
1756229220000,0.4301,0.4329,0.4301,3,0.4329,1066,0.430363,2025-08-26 17:27:00+00:00
1756229280000,0.4322,0.4322,0.4322,1,0.4322,1500,0.4322,2025-08-26 17:28:00+00:00
1756229880000,0.43,0.431,0.43,2,0.431,500,0.4306,2025-08-26 17:38:00+00:00
1756230000000,0.4334,0.4334,0.4334,1,0.4334,1000,0.4334,2025-08-26 17:40:00+00:00
1756230060000,0.431,0.4319,0.431,3,0.4319,1801,0.43125,2025-08-26 17:41:00+00:00
1756230120000,0.43,0.4301,0.43,11,0.43,4772,0.43001,2025-08-26 17:42:00+00:00
1756230360000,0.43,0.43,0.43,2,0.43,4751,0.43,2025-08-26 17:46:00+00:00
1756230420000,0.43,0.43,0.43,6,0.43,4022,0.43,2025-08-26 17:47:00+00:00
1756230480000,0.43,0.4301,0.43,2,0.4301,1981,0.430071,2025-08-26 17:48:00+00:00
1756230600000,0.43,0.4301,0.43,5,0.43,2340,0.430013,2025-08-26 17:50:00+00:00
1756230720000,0.43,0.43,0.43,6,0.43,1400,0.43,2025-08-26 17:52:00+00:00
1756230840000,0.43,0.43,0.43,3,0.43,6000,0.43,2025-08-26 17:54:00+00:00
1756230900000,0.43,0.4301,0.43,6,0.4301,4251,0.430076,2025-08-26 17:55:00+00:00
1756231020000,0.43,0.43,0.43,2,0.43,1000,0.43,2025-08-26 17:57:00+00:00
1756231080000,0.43,0.43,0.43,1,0.43,1000,0.43,2025-08-26 17:58:00+00:00
1756231200000,0.43,0.43,0.43,4,0.43,1000,0.43,2025-08-26 18:00:00+00:00
1756231260000,0.43,0.43,0.43,5,0.43,1400,0.43,2025-08-26 18:01:00+00:00
1756231380000,0.43,0.43,0.43,6,0.43,700,0.43,2025-08-26 18:03:00+00:00
1756231440000,0.43,0.43,0.43,4,0.43,1400,0.43,2025-08-26 18:04:00+00:00
1756231560000,0.43,0.4301,0.43,16,0.43,6660,0.430032,2025-08-26 18:06:00+00:00
1756231620000,0.43,0.43,0.43,3,0.43,4100,0.43,2025-08-26 18:07:00+00:00
1756231740000,0.4301,0.4301,0.4301,2,0.4301,2120,0.4301,2025-08-26 18:09:00+00:00
1756231920000,0.43,0.4301,0.43,13,0.4301,5290,0.430097,2025-08-26 18:12:00+00:00
1756231980000,0.43,0.43,0.43,7,0.43,3017,0.43,2025-08-26 18:13:00+00:00
1756232040000,0.43,0.43,0.43,1,0.43,2000,0.43,2025-08-26 18:14:00+00:00
1756232100000,0.4301,0.4301,0.4301,3,0.4301,24255,0.4301,2025-08-26 18:15:00+00:00
1756232280000,0.43,0.4301,0.43,20,0.4301,20000,0.43005,2025-08-26 18:18:00+00:00
1756232340000,0.4301,0.4301,0.43,3,0.4301,15000,0.430067,2025-08-26 18:19:00+00:00
1756232820000,0.43,0.43,0.43,1,0.43,600,0.43,2025-08-26 18:27:00+00:00
1756232880000,0.43,0.43,0.43,1,0.43,3500,0.43,2025-08-26 18:28:00+00:00
1756232940000,0.43,0.43,0.43,13,0.43,3822,0.43,2025-08-26 18:29:00+00:00
1756233300000,0.43,0.43,0.43,5,0.43,516,0.43,2025-08-26 18:35:00+00:00
1756233420000,0.43,0.43,0.43,1,0.43,5000,0.43,2025-08-26 18:37:00+00:00
1756233480000,0.43,0.43,0.43,1,0.43,5000,0.43,2025-08-26 18:38:00+00:00
1756234200000,0.4301,0.4301,0.4301,1,0.4301,5000,0.4301,2025-08-26 18:50:00+00:00
1756234440000,0.4301,0.4301,0.4301,1,0.4301,190,0.4301,2025-08-26 18:54:00+00:00
1756234560000,0.4301,0.4301,0.4301,7,0.4301,5905,0.4301,2025-08-26 18:56:00+00:00
