timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742396160000,4.11,4.11,4.11,9,4.11,279,4.11,2025-03-19 14:56:00+00:00
1742396400000,4.05,4.05,4.05,4,4.05,235,4.05,2025-03-19 15:00:00+00:00
1742397120000,4.2,4.2,4.2,3,4.2,112,4.2,2025-03-19 15:12:00+00:00
1742397420000,4.02,4.05,4.02,8,4.05,732,4.028515,2025-03-19 15:17:00+00:00
1742399640000,3.85,3.85,3.85,5,3.85,441,3.85,2025-03-19 15:54:00+00:00
1742400600000,3.91,3.91,3.9,42,3.9,1313,3.900833,2025-03-19 16:10:00+00:00
1742400720000,4.0,4.0,4.0,19,4.0,1268,4.0,2025-03-19 16:12:00+00:00
1742400780000,4.15,4.15,4.15,65,4.15,164,4.15,2025-03-19 16:13:00+00:00
1742400900000,4.25,4.25,4.25,37,4.25,290,4.25,2025-03-19 16:15:00+00:00
1742400960000,4.31,4.32,4.31,85,4.32,677,4.313333,2025-03-19 16:16:00+00:00
1742401020000,4.19,4.27,4.19,32,4.27,2582,4.2472,2025-03-19 16:17:00+00:00
1742401080000,4.13,4.18,4.13,12,4.18,807,4.16125,2025-03-19 16:18:00+00:00
1742401140000,4.0,4.0,3.98,25,3.99,428,3.99,2025-03-19 16:19:00+00:00
1742401260000,3.94,3.99,3.92,18,3.99,821,3.93875,2025-03-19 16:21:00+00:00
1742401320000,4.02,4.02,4.01,35,4.01,638,4.013333,2025-03-19 16:22:00+00:00
1742401380000,4.0,4.0,4.0,1,4.0,100,4.0,2025-03-19 16:23:00+00:00
1742401440000,4.0,4.0,4.0,40,4.0,147,4.0,2025-03-19 16:24:00+00:00
1742401500000,4.1,4.1,4.1,50,4.1,316,4.1,2025-03-19 16:25:00+00:00
1742401620000,4.08,4.19,4.08,37,4.19,1824,4.129412,2025-03-19 16:27:00+00:00
1742401680000,4.2992,4.2992,4.1,7,4.1,926,4.277571,2025-03-19 16:28:00+00:00
1742401740000,3.95,3.95,3.93,18,3.94,590,3.94,2025-03-19 16:29:00+00:00
1742401800000,4.0,4.0,4.0,35,4.0,1372,4.0,2025-03-19 16:30:00+00:00
1742402220000,4.1,4.1,4.1,26,4.1,1213,4.1,2025-03-19 16:37:00+00:00
1742402940000,4.1402,4.1402,3.83,7,3.83,680,4.073868,2025-03-19 16:49:00+00:00
1742403000000,4.14,4.14,4.14,4,4.14,549,4.14,2025-03-19 16:50:00+00:00
1742403540000,4.0,4.0,4.0,3,4.0,217,4.0,2025-03-19 16:59:00+00:00
1742404620000,4.1336,4.1336,4.1336,31,4.1336,337,4.1336,2025-03-19 17:17:00+00:00
1742404680000,4.16,4.16,4.16,63,4.16,317,4.16,2025-03-19 17:18:00+00:00
1742404740000,4.14,4.14,4.14,23,4.14,209,4.14,2025-03-19 17:19:00+00:00
1742404860000,4.25,4.25,4.25,28,4.25,588,4.25,2025-03-19 17:21:00+00:00
1742404980000,4.32,4.32,4.32,89,4.32,360,4.32,2025-03-19 17:23:00+00:00
1742405160000,4.31,4.31,4.2,13,4.2,408,4.236667,2025-03-19 17:26:00+00:00
1742405220000,4.19,4.19,4.19,8,4.19,306,4.19,2025-03-19 17:27:00+00:00
1742407500000,4.18,4.2,4.18,46,4.2,1701,4.195,2025-03-19 18:05:00+00:00
1742407560000,4.2,4.2,4.01,37,4.02,4231,4.096262,2025-03-19 18:06:00+00:00
1742407740000,4.01,4.01,4.01,23,4.01,298,4.01,2025-03-19 18:09:00+00:00
1742408100000,4.32,4.32,4.32,31,4.32,130,4.32,2025-03-19 18:15:00+00:00
1742408160000,4.41,4.41,4.41,51,4.41,249,4.41,2025-03-19 18:16:00+00:00
1742408400000,4.56,4.56,4.56,27,4.56,1125,4.56,2025-03-19 18:20:00+00:00
1742408580000,4.33,4.33,4.33,13,4.33,276,4.33,2025-03-19 18:23:00+00:00
1742410500000,4.2,4.27,4.2,3,4.27,600,4.241667,2025-03-19 18:55:00+00:00
1742414160000,4.1,4.1,4.1,5,4.1,145,4.1,2025-03-19 19:56:00+00:00
1742414280000,4.0,4.0,4.0,6,4.0,280,4.0,2025-03-19 19:58:00+00:00
1742414400000,3.85,3.85,3.85,3,3.85,744,3.85,2025-03-19 20:00:00+00:00
1742477460000,3.8,4.0,3.8,3,4.0,247,3.910714,2025-03-20 13:31:00+00:00
1742478240000,3.92,3.92,3.92,3,3.92,170,3.92,2025-03-20 13:44:00+00:00
1742478300000,3.92,3.92,3.92,2,3.92,150,3.92,2025-03-20 13:45:00+00:00
1742478840000,3.91,3.91,3.9,7,3.9,1904,3.900526,2025-03-20 13:54:00+00:00
1742478900000,4.08,4.08,4.08,43,4.08,363,4.08,2025-03-20 13:55:00+00:00
1742478960000,4.2,4.2,4.2,31,4.2,299,4.2,2025-03-20 13:56:00+00:00
1742479800000,4.28,4.28,4.28,10,4.28,190,4.28,2025-03-20 14:10:00+00:00
1742479860000,4.38,4.38,4.245,21,4.245,621,4.3334,2025-03-20 14:11:00+00:00
1742480460000,4.3394,4.3394,4.3394,4,4.3394,500,4.3394,2025-03-20 14:21:00+00:00
1742480940000,4.16,4.31,4.16,4,4.31,538,4.28,2025-03-20 14:29:00+00:00
1742481600000,4.25,4.3,4.11,6,4.3,496,4.195,2025-03-20 14:40:00+00:00
1742482620000,4.06,4.2,4.06,19,4.17,2314,4.138983,2025-03-20 14:57:00+00:00
1742485080000,3.9,3.9,3.86,7,3.9,601,3.880873,2025-03-20 15:38:00+00:00
1742494500000,4.01,4.01,4.01,1,4.01,100,4.01,2025-03-20 18:15:00+00:00
1742494620000,4.01,4.01,4.01,2,4.01,137,4.01,2025-03-20 18:17:00+00:00
1742494860000,4.01,4.01,4.01,1,4.01,100,4.01,2025-03-20 18:21:00+00:00
1742494980000,4.0,4.0,4.0,1,4.0,100,4.0,2025-03-20 18:23:00+00:00
1742500440000,3.91,3.91,3.91,2,3.91,113,3.91,2025-03-20 19:54:00+00:00
1742500800000,3.9,3.9,3.9,1,3.9,149,3.9,2025-03-20 20:00:00+00:00
1742563860000,3.99,3.99,3.99,3,3.99,120,3.99,2025-03-21 13:31:00+00:00
1742564040000,4.18,4.18,4.18,17,4.18,516,4.18,2025-03-21 13:34:00+00:00
1742574480000,3.96,3.96,3.96,1,3.96,145,3.96,2025-03-21 16:28:00+00:00
1742575560000,3.96,3.96,3.95,4,3.95,400,3.9575,2025-03-21 16:46:00+00:00
1742577840000,4.0,4.0,4.0,2,4.0,122,4.0,2025-03-21 17:24:00+00:00
1742577960000,3.97,4.0,3.97,12,4.0,1105,3.991,2025-03-21 17:26:00+00:00
1742578020000,3.8,3.96,3.8,32,3.96,2525,3.837826,2025-03-21 17:27:00+00:00
1742578080000,3.83,3.83,3.83,37,3.83,1219,3.83,2025-03-21 17:28:00+00:00
1742584560000,3.83,3.83,3.83,1,3.83,685,3.83,2025-03-21 19:16:00+00:00
1742585820000,3.83,3.83,3.83,3,3.83,341,3.83,2025-03-21 19:37:00+00:00
1742823000000,3.83,3.83,3.83,1,3.83,100,3.83,2025-03-24 13:30:00+00:00
1742824980000,3.96,4.0868,3.96,2,4.0868,434,4.057583,2025-03-24 14:03:00+00:00
1742825160000,3.97,3.97,3.97,1,3.97,100,3.97,2025-03-24 14:06:00+00:00
1742825280000,4.09,4.09,4.09,1,4.09,100,4.09,2025-03-24 14:08:00+00:00
1742826360000,3.93,3.97,3.93,20,3.97,1274,3.950833,2025-03-24 14:26:00+00:00
1742827320000,3.9,3.9,3.9,2,3.9,152,3.9,2025-03-24 14:42:00+00:00
1742909400000,4.08,4.08,4.08,1,4.08,100,4.08,2025-03-25 13:30:00+00:00
1742910540000,3.9,3.9,3.9,23,3.9,423,3.9,2025-03-25 13:49:00+00:00
1742914860000,4.05,4.05,4.05,21,4.05,327,4.05,2025-03-25 15:01:00+00:00
1742919720000,3.96,3.96,3.96,2,3.96,367,3.96,2025-03-25 16:22:00+00:00
1742921040000,3.98,3.98,3.98,14,3.98,1460,3.98,2025-03-25 16:44:00+00:00
1742921100000,4.15,4.15,4.04,40,4.04,676,4.066514,2025-03-25 16:45:00+00:00
1742921280000,4.14,4.14,4.14,31,4.14,144,4.14,2025-03-25 16:48:00+00:00
1742921340000,4.1,4.14,4.1,16,4.14,243,4.12,2025-03-25 16:49:00+00:00
1742921580000,4.3,4.3,4.3,14,4.3,219,4.3,2025-03-25 16:53:00+00:00
1742922600000,4.06,4.09,4.06,21,4.09,1413,4.073661,2025-03-25 17:10:00+00:00
1742923560000,4.05,4.05,4.05,2,4.05,279,4.05,2025-03-25 17:26:00+00:00
1742923680000,4.05,4.05,4.05,5,4.05,821,4.05,2025-03-25 17:28:00+00:00
1742926380000,4.1,4.1,4.1,29,4.1,128,4.1,2025-03-25 18:13:00+00:00
1742926440000,4.1,4.11,4.1,10,4.11,208,4.105,2025-03-25 18:14:00+00:00
1742931000000,4.1,4.1,4.1,8,4.1,207,4.1,2025-03-25 19:30:00+00:00
1742931960000,4.0,4.0,4.0,11,4.0,407,4.0,2025-03-25 19:46:00+00:00
