timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752069420000,0.99,0.99,0.99,2,0.99,109,0.99,2025-07-09 13:57:00+00:00
1752069600000,0.99,0.99,0.99,1,0.99,1000,0.99,2025-07-09 14:00:00+00:00
1752069900000,1.0028,1.0028,0.99,7,0.99,320,0.998737,2025-07-09 14:05:00+00:00
1752070020000,1.0099,1.0099,0.99,3,0.99,4544,0.994531,2025-07-09 14:07:00+00:00
1752070260000,0.995,0.995,0.995,1,0.995,202,0.995,2025-07-09 14:11:00+00:00
1752070320000,0.995,1.0,0.995,5,0.995,1700,0.995294,2025-07-09 14:12:00+00:00
1752070380000,1.0,1.0,1.0,6,1.0,1515,1.0,2025-07-09 14:13:00+00:00
1752070440000,1.0,1.0,1.0,1,1.0,237,1.0,2025-07-09 14:14:00+00:00
1752070500000,1.0047,1.0047,1.0047,2,1.0047,125,1.0047,2025-07-09 14:15:00+00:00
1752070560000,0.9952,0.9952,0.9952,3,0.9952,263,0.9952,2025-07-09 14:16:00+00:00
1752070680000,1.01,1.01,1.01,3,1.01,1486,1.01,2025-07-09 14:18:00+00:00
1752070800000,1.02,1.02,1.02,2,1.02,132,1.02,2025-07-09 14:20:00+00:00
1752070860000,1.02,1.02,1.02,5,1.02,131,1.02,2025-07-09 14:21:00+00:00
1752071160000,1.01,1.01,1.0025,2,1.0025,1100,1.009318,2025-07-09 14:26:00+00:00
1752071220000,1.0075,1.01,1.0075,7,1.01,4486,1.009773,2025-07-09 14:27:00+00:00
1752071280000,1.01,1.01,1.01,2,1.01,3349,1.01,2025-07-09 14:28:00+00:00
1752071460000,1.02,1.02,0.995,2,0.995,599,1.003347,2025-07-09 14:31:00+00:00
1752071520000,1.0075,1.0075,1.0075,2,1.0075,600,1.0075,2025-07-09 14:32:00+00:00
1752071580000,1.0075,1.0075,1.0075,2,1.0075,570,1.0075,2025-07-09 14:33:00+00:00
1752071820000,1.0075,1.0075,1.0075,3,1.0075,420,1.0075,2025-07-09 14:37:00+00:00
1752071880000,1.0134,1.0134,1.0134,2,1.0134,721,1.0134,2025-07-09 14:38:00+00:00
1752072420000,1.01,1.01,1.01,2,1.01,203,1.01,2025-07-09 14:47:00+00:00
1752072600000,1.0043,1.0043,1.0043,2,1.0043,125,1.0043,2025-07-09 14:50:00+00:00
1752072660000,1.02,1.02,1.02,1,1.02,200,1.02,2025-07-09 14:51:00+00:00
1752072720000,1.02,1.02,0.9948,4,0.9948,345,1.0116,2025-07-09 14:52:00+00:00
1752073020000,1.02,1.02,1.02,1,1.02,200,1.02,2025-07-09 14:57:00+00:00
1752073080000,1.02,1.02,1.02,1,1.02,100,1.02,2025-07-09 14:58:00+00:00
1752073200000,1.02,1.02,1.02,1,1.02,210,1.02,2025-07-09 15:00:00+00:00
1752073500000,1.0074,1.0074,1.0074,2,1.0074,110,1.0074,2025-07-09 15:05:00+00:00
1752073740000,1.02,1.02,1.02,1,1.02,200,1.02,2025-07-09 15:09:00+00:00
1752073920000,1.01,1.01,1.01,1,1.01,299,1.01,2025-07-09 15:12:00+00:00
1752074160000,1.01,1.01,1.01,1,1.01,100,1.01,2025-07-09 15:16:00+00:00
1752074640000,1.001,1.001,1.0,3,1.0,500,1.0004,2025-07-09 15:24:00+00:00
1752074700000,1.0,1.0094,1.0,3,1.0094,225,1.0047,2025-07-09 15:25:00+00:00
1752074940000,1.0006,1.0006,1.0006,1,1.0006,300,1.0006,2025-07-09 15:29:00+00:00
1752075000000,1.0,1.0011,1.0,4,1.0011,2610,1.001058,2025-07-09 15:30:00+00:00
1752075120000,1.0006,1.0006,1.0,3,1.0,444,1.000195,2025-07-09 15:32:00+00:00
1752075300000,1.0,1.0,1.0,5,1.0,2249,1.0,2025-07-09 15:35:00+00:00
1752075480000,0.9948,0.9948,0.9948,1,0.9948,100,0.9948,2025-07-09 15:38:00+00:00
1752075540000,0.9948,0.9948,0.9948,2,0.9948,201,0.9948,2025-07-09 15:39:00+00:00
1752075780000,1.0,1.0,1.0,2,1.0,110,1.0,2025-07-09 15:43:00+00:00
1752075840000,0.9948,0.9948,0.9948,3,0.9948,1025,0.9948,2025-07-09 15:44:00+00:00
1752076020000,1.0045,1.0045,1.0045,1,1.0045,175,1.0045,2025-07-09 15:47:00+00:00
1752076080000,0.9948,0.9948,0.9948,1,0.9948,200,0.9948,2025-07-09 15:48:00+00:00
1752076200000,1.01,1.01,1.01,2,1.01,2199,1.01,2025-07-09 15:50:00+00:00
1752076260000,1.008,1.008,1.008,1,1.008,380,1.008,2025-07-09 15:51:00+00:00
1752076380000,1.0,1.0,1.0,5,1.0,1101,1.0,2025-07-09 15:53:00+00:00
1752076440000,1.0,1.0,1.0,2,1.0,268,1.0,2025-07-09 15:54:00+00:00
1752076620000,1.008,1.008,1.008,1,1.008,600,1.008,2025-07-09 15:57:00+00:00
1752076800000,1.0112,1.0112,1.0112,2,1.0112,991,1.0112,2025-07-09 16:00:00+00:00
1752076860000,0.9948,0.9948,0.9948,1,0.9948,100,0.9948,2025-07-09 16:01:00+00:00
1752077220000,0.9948,0.9948,0.9948,1,0.9948,100,0.9948,2025-07-09 16:07:00+00:00
1752077340000,1.0199,1.0199,1.0199,1,1.0199,100,1.0199,2025-07-09 16:09:00+00:00
1752077700000,1.0074,1.0074,1.0074,1,1.0074,100,1.0074,2025-07-09 16:15:00+00:00
1752078120000,1.02,1.02,1.02,2,1.02,101,1.02,2025-07-09 16:22:00+00:00
1752078300000,1.0199,1.0199,1.0199,1,1.0199,100,1.0199,2025-07-09 16:25:00+00:00
1752078840000,1.011,1.011,1.011,1,1.011,106,1.011,2025-07-09 16:34:00+00:00
