timeStamp,close,high,low,trade_count,open,volume,vwap,date
1748455620000,10.5,10.5,10.43,7,10.43,4066,10.496,2025-05-28 18:07:00+00:00
1748455740000,10.4995,10.4995,10.49,7,10.49,383,10.49475,2025-05-28 18:09:00+00:00
1748456040000,10.49,10.49,10.49,8,10.49,686,10.49,2025-05-28 18:14:00+00:00
1748456160000,10.73,10.73,10.4999,9,10.5,1050,10.530503,2025-05-28 18:16:00+00:00
1748456220000,10.73,10.73,10.73,6,10.73,1162,10.73,2025-05-28 18:17:00+00:00
1748456340000,10.73,10.73,10.73,5,10.73,483,10.73,2025-05-28 18:19:00+00:00
1748456460000,10.73,10.73,10.73,2,10.73,111,10.73,2025-05-28 18:21:00+00:00
1748456640000,10.705,10.73,10.705,4,10.73,2676,10.720658,2025-05-28 18:24:00+00:00
1748457360000,10.705,10.705,10.705,1,10.705,100,10.705,2025-05-28 18:36:00+00:00
1748457540000,10.5138,10.5138,10.5138,1,10.5138,1350,10.5138,2025-05-28 18:39:00+00:00
1748458020000,10.8012,10.8012,10.8012,3,10.8012,373,10.8012,2025-05-28 18:47:00+00:00
1748458320000,10.51,10.71,10.51,13,10.56,1068,10.57,2025-05-28 18:52:00+00:00
1748458380000,10.7024,10.7024,10.7024,1,10.7024,500,10.7024,2025-05-28 18:53:00+00:00
1748458500000,10.53,10.53,10.49,6,10.49,241,10.51,2025-05-28 18:55:00+00:00
1748458800000,10.5763,10.6399,10.51,18,10.63,1545,10.567047,2025-05-28 19:00:00+00:00
1748458860000,10.6,10.8,10.6,17,10.6,2000,10.6814,2025-05-28 19:01:00+00:00
1748460480000,10.77,10.77,10.77,1,10.77,100,10.77,2025-05-28 19:28:00+00:00
1748460660000,10.77,10.77,10.77,1,10.77,925,10.77,2025-05-28 19:31:00+00:00
1748460960000,10.77,10.77,10.77,1,10.77,178,10.77,2025-05-28 19:36:00+00:00
1748461140000,10.76,10.76,10.76,1,10.76,100,10.76,2025-05-28 19:39:00+00:00
1748461500000,10.77,10.77,10.77,1,10.77,100,10.77,2025-05-28 19:45:00+00:00
1748461560000,10.75,10.75,10.75,3,10.75,2074,10.75,2025-05-28 19:46:00+00:00
1748461800000,10.69,10.69,10.69,6,10.69,117,10.69,2025-05-28 19:50:00+00:00
1748461860000,10.94,10.94,10.94,3,10.94,503,10.94,2025-05-28 19:51:00+00:00
1748462040000,10.77,10.77,10.77,8,10.77,128,10.77,2025-05-28 19:54:00+00:00
