timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757002440000,3.53,3.55,3.53,8,3.54,686,3.543846,2025-09-04 16:14:00+00:00
1757002500000,3.52,3.54,3.5,43,3.54,4871,3.5295,2025-09-04 16:15:00+00:00
1757002560000,3.52,3.52,3.5,6,3.52,600,3.516667,2025-09-04 16:16:00+00:00
1757002620000,3.52,3.52,3.52,1,3.52,100,3.52,2025-09-04 16:17:00+00:00
1757002680000,3.52,3.52,3.52,3,3.52,300,3.52,2025-09-04 16:18:00+00:00
1757002740000,3.52,3.52,3.52,5,3.52,412,3.52,2025-09-04 16:19:00+00:00
1757002800000,3.52,3.52,3.52,3,3.52,300,3.52,2025-09-04 16:20:00+00:00
1757002860000,3.52,3.52,3.52,3,3.52,260,3.52,2025-09-04 16:21:00+00:00
1757002920000,3.515,3.515,3.515,11,3.515,1710,3.515,2025-09-04 16:22:00+00:00
1757003040000,3.53,3.53,3.515,8,3.515,608,3.522941,2025-09-04 16:24:00+00:00
1757003100000,3.515,3.53,3.515,12,3.53,1091,3.516875,2025-09-04 16:25:00+00:00
1757003160000,3.515,3.515,3.515,3,3.515,297,3.515,2025-09-04 16:26:00+00:00
1757003220000,3.53,3.53,3.515,11,3.53,985,3.527283,2025-09-04 16:27:00+00:00
1757003280000,3.515,3.53,3.515,11,3.53,1113,3.520099,2025-09-04 16:28:00+00:00
1757003340000,3.515,3.515,3.515,3,3.515,300,3.515,2025-09-04 16:29:00+00:00
1757003400000,3.53,3.53,3.515,6,3.53,635,3.526994,2025-09-04 16:30:00+00:00
1757003460000,3.53,3.53,3.515,6,3.53,818,3.526612,2025-09-04 16:31:00+00:00
1757003520000,3.515,3.53,3.515,15,3.53,1306,3.524851,2025-09-04 16:32:00+00:00
1757003580000,3.53,3.53,3.515,7,3.515,796,3.52537,2025-09-04 16:33:00+00:00
1757003640000,3.53,3.53,3.53,4,3.53,557,3.53,2025-09-04 16:34:00+00:00
1757003700000,3.515,3.53,3.515,6,3.53,712,3.524755,2025-09-04 16:35:00+00:00
1757003760000,3.53,3.53,3.515,20,3.53,1803,3.523681,2025-09-04 16:36:00+00:00
1757003820000,3.515,3.53,3.515,13,3.53,1669,3.520669,2025-09-04 16:37:00+00:00
1757003880000,3.515,3.53,3.515,5,3.53,762,3.527768,2025-09-04 16:38:00+00:00
1757003940000,3.53,3.53,3.515,6,3.53,638,3.527207,2025-09-04 16:39:00+00:00
1757004000000,3.52,3.53,3.5,22,3.53,2132,3.51761,2025-09-04 16:40:00+00:00
1757004060000,3.53,3.53,3.515,20,3.52,1825,3.521441,2025-09-04 16:41:00+00:00
1757004120000,3.52,3.53,3.52,6,3.53,613,3.525082,2025-09-04 16:42:00+00:00
1757004180000,3.53,3.53,3.52,5,3.52,661,3.528339,2025-09-04 16:43:00+00:00
1757004240000,3.53,3.53,3.53,8,3.53,824,3.53,2025-09-04 16:44:00+00:00
1757004300000,3.53,3.53,3.525,10,3.53,851,3.528076,2025-09-04 16:45:00+00:00
1757004360000,3.535,3.535,3.53,15,3.53,1340,3.534583,2025-09-04 16:46:00+00:00
1757004420000,3.535,3.535,3.535,17,3.535,1610,3.535,2025-09-04 16:47:00+00:00
1757004480000,3.535,3.535,3.535,2,3.535,200,3.535,2025-09-04 16:48:00+00:00
1757004540000,3.535,3.535,3.5235,2,3.5235,374,3.526575,2025-09-04 16:49:00+00:00
1757004600000,3.535,3.535,3.535,3,3.535,211,3.535,2025-09-04 16:50:00+00:00
1757004660000,3.535,3.535,3.535,1,3.535,100,3.535,2025-09-04 16:51:00+00:00
1757004720000,3.535,3.535,3.535,8,3.535,800,3.535,2025-09-04 16:52:00+00:00
1757004780000,3.535,3.535,3.535,4,3.535,352,3.535,2025-09-04 16:53:00+00:00
1757004840000,3.55,3.55,3.55,1,3.55,100,3.55,2025-09-04 16:54:00+00:00
1757004900000,3.55,3.55,3.55,3,3.55,549,3.55,2025-09-04 16:55:00+00:00
1757004960000,3.53,3.55,3.53,12,3.55,1183,3.540429,2025-09-04 16:56:00+00:00
1757005020000,3.54,3.54,3.53,19,3.54,1767,3.536089,2025-09-04 16:57:00+00:00
1757005080000,3.55,3.55,3.55,4,3.55,622,3.55,2025-09-04 16:58:00+00:00
1757005140000,3.55,3.55,3.55,3,3.55,477,3.55,2025-09-04 16:59:00+00:00
1757005200000,3.55,3.55,3.55,5,3.55,583,3.55,2025-09-04 17:00:00+00:00
1757005260000,3.55,3.55,3.54,7,3.55,833,3.547312,2025-09-04 17:01:00+00:00
1757005320000,3.55,3.55,3.54,5,3.54,626,3.546805,2025-09-04 17:02:00+00:00
1757005380000,3.55,3.55,3.54,4,3.55,714,3.546667,2025-09-04 17:03:00+00:00
1757005440000,3.55,3.55,3.55,6,3.55,604,3.55,2025-09-04 17:04:00+00:00
1757005500000,3.54,3.55,3.54,6,3.55,662,3.548214,2025-09-04 17:05:00+00:00
1757005560000,3.55,3.55,3.545,12,3.55,1287,3.547226,2025-09-04 17:06:00+00:00
1757005620000,3.55,3.55,3.55,15,3.55,1519,3.55,2025-09-04 17:07:00+00:00
1757005680000,3.55,3.55,3.55,5,3.55,663,3.55,2025-09-04 17:08:00+00:00
1757005740000,3.55,3.55,3.55,6,3.55,469,3.55,2025-09-04 17:09:00+00:00
1757005800000,3.55,3.55,3.55,4,3.55,501,3.55,2025-09-04 17:10:00+00:00
1757005860000,3.545,3.55,3.545,8,3.55,694,3.546035,2025-09-04 17:11:00+00:00
1757005920000,3.545,3.545,3.545,8,3.545,666,3.545,2025-09-04 17:12:00+00:00
1757005980000,3.55,3.55,3.55,2,3.55,387,3.55,2025-09-04 17:13:00+00:00
1757006040000,3.55,3.55,3.55,3,3.55,564,3.55,2025-09-04 17:14:00+00:00
1757006100000,3.55,3.55,3.55,45,3.55,5266,3.55,2025-09-04 17:15:00+00:00
1757006160000,3.55,3.55,3.55,3,3.55,300,3.55,2025-09-04 17:16:00+00:00
1757006220000,3.54,3.54,3.54,7,3.54,626,3.54,2025-09-04 17:17:00+00:00
1757006280000,3.53,3.53,3.53,1,3.53,100,3.53,2025-09-04 17:18:00+00:00
1757006340000,3.53,3.53,3.53,3,3.53,109,3.53,2025-09-04 17:19:00+00:00
1757006400000,3.53,3.53,3.53,1,3.53,100,3.53,2025-09-04 17:20:00+00:00
1757006460000,3.55,3.55,3.53,2,3.53,200,3.54,2025-09-04 17:21:00+00:00
1757006520000,3.55,3.55,3.53,3,3.53,371,3.539218,2025-09-04 17:22:00+00:00
1757006580000,3.55,3.55,3.55,3,3.55,585,3.55,2025-09-04 17:23:00+00:00
1757006640000,3.55,3.55,3.54,4,3.55,679,3.547054,2025-09-04 17:24:00+00:00
1757006700000,3.55,3.55,3.55,13,3.55,1030,3.55,2025-09-04 17:25:00+00:00
1757006760000,3.55,3.55,3.54,29,3.55,2203,3.54726,2025-09-04 17:26:00+00:00
1757006820000,3.56,3.56,3.56,3,3.56,547,3.56,2025-09-04 17:27:00+00:00
1757006880000,3.56,3.56,3.56,11,3.56,1139,3.56,2025-09-04 17:28:00+00:00
1757006940000,3.58,3.58,3.58,12,3.58,933,3.58,2025-09-04 17:29:00+00:00
1757007000000,3.58,3.58,3.58,28,3.58,2587,3.58,2025-09-04 17:30:00+00:00
1757007060000,3.58,3.58,3.58,2,3.58,200,3.58,2025-09-04 17:31:00+00:00
1757007120000,3.56,3.57,3.56,10,3.57,1148,3.568964,2025-09-04 17:32:00+00:00
1757007180000,3.56,3.56,3.56,1,3.56,100,3.56,2025-09-04 17:33:00+00:00
1757007300000,3.56,3.56,3.56,1,3.56,100,3.56,2025-09-04 17:35:00+00:00
1757007360000,3.5695,3.5695,3.56,3,3.56,300,3.563167,2025-09-04 17:36:00+00:00
1757007420000,3.56,3.58,3.56,8,3.58,1105,3.569091,2025-09-04 17:37:00+00:00
1757007480000,3.56,3.56,3.56,3,3.56,214,3.56,2025-09-04 17:38:00+00:00
1757007540000,3.56,3.56,3.56,4,3.56,250,3.56,2025-09-04 17:39:00+00:00
1757007720000,3.58,3.58,3.56,19,3.58,2238,3.578021,2025-09-04 17:42:00+00:00
1757007780000,3.575,3.575,3.575,3,3.575,160,3.575,2025-09-04 17:43:00+00:00
1757007900000,3.575,3.575,3.575,2,3.575,270,3.575,2025-09-04 17:45:00+00:00
1757007960000,3.575,3.575,3.575,1,3.575,100,3.575,2025-09-04 17:46:00+00:00
1757008020000,3.5925,3.6,3.575,39,3.575,4144,3.594624,2025-09-04 17:47:00+00:00
1757008080000,3.595,3.595,3.595,2,3.595,150,3.595,2025-09-04 17:48:00+00:00
1757008140000,3.595,3.595,3.595,1,3.595,100,3.595,2025-09-04 17:49:00+00:00
1757008200000,3.595,3.595,3.595,12,3.595,427,3.595,2025-09-04 17:50:00+00:00
1757008260000,3.59,3.5962,3.59,6,3.5962,505,3.59424,2025-09-04 17:51:00+00:00
