timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753286160000,3.57,3.58,3.57,13,3.58,1809,3.574111,2025-07-23 15:56:00+00:00
1753287840000,3.56,3.56,3.56,7,3.56,986,3.56,2025-07-23 16:24:00+00:00
1753288080000,3.594,3.594,3.594,1,3.594,100,3.594,2025-07-23 16:28:00+00:00
1753297380000,3.58,3.58,3.58,2,3.58,194,3.58,2025-07-23 19:03:00+00:00
1753297500000,3.5963,3.5963,3.5963,2,3.5963,501,3.5963,2025-07-23 19:05:00+00:00
1753298700000,3.59,3.59,3.59,2,3.59,196,3.59,2025-07-23 19:25:00+00:00
1753300320000,3.58,3.58,3.58,1,3.58,100,3.58,2025-07-23 19:52:00+00:00
1753300620000,3.59,3.59,3.59,4,3.59,151,3.59,2025-07-23 19:57:00+00:00
1753300680000,3.585,3.585,3.585,1,3.585,100,3.585,2025-07-23 19:58:00+00:00
1753300740000,3.6,3.6,3.585,24,3.585,1139,3.597646,2025-07-23 19:59:00+00:00
1753300800000,3.59,3.59,3.59,1,3.59,107,3.59,2025-07-23 20:00:00+00:00
1753365000000,3.61,3.61,3.61,8,3.61,1000,3.61,2025-07-24 13:50:00+00:00
1753365060000,3.62,3.62,3.62,7,3.62,738,3.62,2025-07-24 13:51:00+00:00
1753365660000,3.61,3.61,3.6,2,3.6,200,3.605,2025-07-24 14:01:00+00:00
1753365780000,3.6,3.6,3.6,4,3.6,250,3.6,2025-07-24 14:03:00+00:00
1753365960000,3.6,3.6,3.6,1,3.6,100,3.6,2025-07-24 14:06:00+00:00
1753366620000,3.61,3.61,3.6,13,3.61,861,3.608571,2025-07-24 14:17:00+00:00
1753368600000,3.6152,3.6152,3.6152,2,3.6152,105,3.6152,2025-07-24 14:50:00+00:00
1753368660000,3.65,3.65,3.65,5,3.65,132,3.65,2025-07-24 14:51:00+00:00
1753369800000,3.62,3.62,3.62,1,3.62,100,3.62,2025-07-24 15:10:00+00:00
1753370640000,3.62,3.62,3.62,1,3.62,100,3.62,2025-07-24 15:24:00+00:00
1753370760000,3.62,3.62,3.62,4,3.62,234,3.62,2025-07-24 15:26:00+00:00
1753371360000,3.6103,3.6103,3.6103,1,3.6103,100,3.6103,2025-07-24 15:36:00+00:00
1753371480000,3.6102,3.6102,3.6102,1,3.6102,230,3.6102,2025-07-24 15:38:00+00:00
1753371540000,3.61,3.61,3.61,3,3.61,205,3.61,2025-07-24 15:39:00+00:00
1753371900000,3.6095,3.6095,3.6095,2,3.6095,503,3.6095,2025-07-24 15:45:00+00:00
1753372500000,3.64,3.64,3.61,20,3.61,7068,3.621343,2025-07-24 15:55:00+00:00
1753372980000,3.63,3.63,3.62,3,3.62,5142,3.620196,2025-07-24 16:03:00+00:00
1753373100000,3.63,3.63,3.63,1,3.63,100,3.63,2025-07-24 16:05:00+00:00
1753373940000,3.63,3.63,3.63,1,3.63,594,3.63,2025-07-24 16:19:00+00:00
1753375560000,3.64,3.64,3.64,2,3.64,145,3.64,2025-07-24 16:46:00+00:00
1753376040000,3.65,3.65,3.65,2,3.65,300,3.65,2025-07-24 16:54:00+00:00
1753376220000,3.6596,3.6596,3.6596,2,3.6596,150,3.6596,2025-07-24 16:57:00+00:00
1753377000000,3.655,3.66,3.655,12,3.66,801,3.657463,2025-07-24 17:10:00+00:00
1753377780000,3.66,3.66,3.65,5,3.65,1100,3.654545,2025-07-24 17:23:00+00:00
1753377840000,3.685,3.7,3.655,69,3.66,15347,3.665979,2025-07-24 17:24:00+00:00
1753377900000,3.7,3.7,3.7,13,3.7,5537,3.7,2025-07-24 17:25:00+00:00
1753378140000,3.73,3.73,3.72,3,3.72,320,3.723333,2025-07-24 17:29:00+00:00
1753378260000,3.71,3.74,3.71,4,3.73,310,3.726667,2025-07-24 17:31:00+00:00
1753378320000,3.73,3.73,3.73,1,3.73,100,3.73,2025-07-24 17:32:00+00:00
1753378560000,3.74,3.75,3.74,9,3.75,340,3.746667,2025-07-24 17:36:00+00:00
1753379340000,3.76,3.76,3.75,6,3.75,1294,3.750773,2025-07-24 17:49:00+00:00
1753379400000,3.768,3.768,3.768,1,3.768,300,3.768,2025-07-24 17:50:00+00:00
1753379460000,3.78,3.78,3.778,4,3.778,420,3.779,2025-07-24 17:51:00+00:00
1753379520000,3.78,3.78,3.78,4,3.78,401,3.78,2025-07-24 17:52:00+00:00
1753379580000,3.8,3.8,3.8,1,3.8,100,3.8,2025-07-24 17:53:00+00:00
1753380060000,3.77,3.8,3.77,19,3.79,2728,3.787939,2025-07-24 18:01:00+00:00
1753380120000,3.75,3.75,3.75,2,3.75,105,3.75,2025-07-24 18:02:00+00:00
1753380240000,3.7949,3.7949,3.7949,1,3.7949,100,3.7949,2025-07-24 18:04:00+00:00
1753380600000,3.79,3.79,3.79,2,3.79,1005,3.79,2025-07-24 18:10:00+00:00
1753380660000,3.78,3.78,3.78,1,3.78,100,3.78,2025-07-24 18:11:00+00:00
1753381140000,3.795,3.795,3.795,2,3.795,166,3.795,2025-07-24 18:19:00+00:00
1753381500000,3.8,3.8,3.795,31,3.7999,5337,3.799674,2025-07-24 18:25:00+00:00
1753381560000,3.81,3.85,3.81,10,3.83,3830,3.843911,2025-07-24 18:26:00+00:00
1753381620000,3.81,3.83,3.81,4,3.83,2150,3.820233,2025-07-24 18:27:00+00:00
1753383000000,3.82,3.82,3.82,1,3.82,230,3.82,2025-07-24 18:50:00+00:00
1753383180000,3.82,3.8292,3.82,9,3.8292,866,3.82139,2025-07-24 18:53:00+00:00
1753383240000,3.8288,3.8288,3.82,2,3.82,200,3.8244,2025-07-24 18:54:00+00:00
1753383300000,3.83,3.83,3.83,5,3.83,805,3.83,2025-07-24 18:55:00+00:00
1753383360000,3.83,3.84,3.83,28,3.83,5322,3.830757,2025-07-24 18:56:00+00:00
1753383480000,3.845,3.85,3.84,21,3.84,2285,3.848985,2025-07-24 18:58:00+00:00
1753383540000,3.83,3.84,3.83,3,3.84,205,3.835,2025-07-24 18:59:00+00:00
1753383840000,3.79,3.83,3.79,29,3.82,7564,3.811301,2025-07-24 19:04:00+00:00
1753383900000,3.79,3.87,3.79,19,3.835,1514,3.801962,2025-07-24 19:05:00+00:00
1753383960000,3.75,3.75,3.75,1,3.75,100,3.75,2025-07-24 19:06:00+00:00
1753384200000,3.8,3.8,3.8,2,3.8,125,3.8,2025-07-24 19:10:00+00:00
1753384380000,3.78,3.78,3.78,1,3.78,384,3.78,2025-07-24 19:13:00+00:00
1753384500000,3.75,3.775,3.75,7,3.755,2700,3.756222,2025-07-24 19:15:00+00:00
1753384560000,3.75,3.775,3.75,5,3.775,600,3.760583,2025-07-24 19:16:00+00:00
1753387140000,3.8,3.8,3.76,21,3.78,1332,3.782217,2025-07-24 19:59:00+00:00
1753387200000,3.76,3.76,3.76,1,3.76,330,3.76,2025-07-24 20:00:00+00:00
1753450200000,3.75,3.75,3.75,8,3.75,496,3.75,2025-07-25 13:30:00+00:00
1753450560000,3.7947,3.7947,3.7947,2,3.7947,1316,3.7947,2025-07-25 13:36:00+00:00
1753450680000,3.79,3.79,3.79,1,3.79,12760,3.79,2025-07-25 13:38:00+00:00
1753450860000,3.7122,3.755,3.7122,3,3.755,274,3.7336,2025-07-25 13:41:00+00:00
1753451100000,3.74,3.74,3.74,1,3.74,100,3.74,2025-07-25 13:45:00+00:00
1753451220000,3.79,3.8,3.77,38,3.77,6008,3.798575,2025-07-25 13:47:00+00:00
1753451460000,3.8,3.82,3.8,2,3.82,1000,3.806,2025-07-25 13:51:00+00:00
1753451520000,3.8033,3.8033,3.8033,2,3.8033,290,3.8033,2025-07-25 13:52:00+00:00
1753451760000,3.82,3.8238,3.82,3,3.8238,679,3.821462,2025-07-25 13:56:00+00:00
1753452000000,3.93,3.93,3.84,36,3.84,6116,3.877563,2025-07-25 14:00:00+00:00
1753452060000,3.93,3.93,3.93,2,3.93,1020,3.93,2025-07-25 14:01:00+00:00
1753452120000,3.9697,3.9697,3.9697,2,3.9697,5000,3.9697,2025-07-25 14:02:00+00:00
1753452240000,3.9593,3.97,3.9593,3,3.97,700,3.966987,2025-07-25 14:04:00+00:00
1753452300000,3.97,3.97,3.9,26,3.9,6700,3.917065,2025-07-25 14:05:00+00:00
1753452420000,4.0,4.01,3.9698,112,3.9698,36957,3.995292,2025-07-25 14:07:00+00:00
1753452480000,3.98,4.0,3.98,6,4.0,1550,3.994286,2025-07-25 14:08:00+00:00
1753452840000,3.98,3.98,3.98,2,3.98,1476,3.98,2025-07-25 14:14:00+00:00
1753452900000,3.99,4.02,3.99,24,3.9944,2633,4.010976,2025-07-25 14:15:00+00:00
1753452960000,4.04,4.04,4.02,6,4.02,1599,4.034771,2025-07-25 14:16:00+00:00
1753453020000,3.98,3.98,3.98,3,3.98,1015,3.98,2025-07-25 14:17:00+00:00
1753453080000,4.04,4.04,4.04,1,4.04,100,4.04,2025-07-25 14:18:00+00:00
1753453140000,4.04,4.04,4.04,8,4.04,1600,4.04,2025-07-25 14:19:00+00:00
1753453200000,4.0,4.06,4.0,23,4.06,3890,4.042534,2025-07-25 14:20:00+00:00
1753453260000,4.04,4.04,4.0,9,4.0,3159,4.001314,2025-07-25 14:21:00+00:00
1753453320000,4.05,4.06,4.0465,11,4.0465,1915,4.054613,2025-07-25 14:22:00+00:00
1753453380000,4.07,4.07,4.06,4,4.06,1033,4.060971,2025-07-25 14:23:00+00:00
1753453440000,4.08,4.08,4.07,10,4.07,1542,4.075987,2025-07-25 14:24:00+00:00
1753453500000,4.07,4.078,4.07,6,4.078,472,4.076,2025-07-25 14:25:00+00:00
1753453920000,4.07,4.07,4.07,8,4.07,996,4.07,2025-07-25 14:32:00+00:00
1753454040000,4.08,4.08,4.08,5,4.08,208,4.08,2025-07-25 14:34:00+00:00
1753454280000,4.06,4.0999,4.0518,9,4.0997,4031,4.087614,2025-07-25 14:38:00+00:00
1753454340000,4.1,4.1,4.08,3,4.1,800,4.0875,2025-07-25 14:39:00+00:00
1753454400000,4.0961,4.1,4.08,25,4.1,4575,4.099108,2025-07-25 14:40:00+00:00
1753454460000,4.1,4.1,4.1,9,4.1,1300,4.1,2025-07-25 14:41:00+00:00
1753454520000,4.1,4.1,4.08,16,4.08,1527,4.096154,2025-07-25 14:42:00+00:00
1753454580000,4.13,4.15,4.1,34,4.1,3731,4.129956,2025-07-25 14:43:00+00:00
1753454640000,4.15,4.15,4.15,7,4.15,801,4.15,2025-07-25 14:44:00+00:00
1753454700000,4.11,4.14,4.1,25,4.12,7149,4.1071,2025-07-25 14:45:00+00:00
1753454760000,4.11,4.11,4.11,3,4.11,301,4.11,2025-07-25 14:46:00+00:00
1753454820000,4.1485,4.15,4.1485,3,4.15,1200,4.14865,2025-07-25 14:47:00+00:00
1753454880000,4.15,4.15,4.11,11,4.11,4096,4.146304,2025-07-25 14:48:00+00:00
1753454940000,4.15,4.15,4.15,1,4.15,200,4.15,2025-07-25 14:49:00+00:00
1753455000000,4.1394,4.1394,4.11,2,4.11,500,4.12764,2025-07-25 14:50:00+00:00
1753455060000,4.11,4.126,4.11,10,4.126,3187,4.11766,2025-07-25 14:51:00+00:00
1753455120000,4.12,4.12,4.1,35,4.1044,9500,4.100721,2025-07-25 14:52:00+00:00
1753455180000,4.0953,4.1,4.0953,12,4.1,1713,4.09765,2025-07-25 14:53:00+00:00
1753455240000,3.93,4.06,3.92,35,4.03,6027,4.001719,2025-07-25 14:54:00+00:00
1753455300000,4.0784,4.0784,3.9237,3,3.9237,1125,3.937764,2025-07-25 14:55:00+00:00
1753455360000,3.99,3.9906,3.99,2,3.9906,1300,3.990462,2025-07-25 14:56:00+00:00
1753455480000,4.0595,4.0595,4.0595,1,4.0595,100,4.0595,2025-07-25 14:58:00+00:00
1753455720000,3.99,3.99,3.94,12,3.95,7397,3.941149,2025-07-25 15:02:00+00:00
1753456080000,4.03,4.04,3.995,5,4.04,1101,4.014545,2025-07-25 15:08:00+00:00
1753456140000,4.05,4.1,3.995,17,4.06,9350,4.073389,2025-07-25 15:09:00+00:00
1753456200000,4.15,4.15,4.05,15,4.11,4054,4.118855,2025-07-25 15:10:00+00:00
1753456260000,4.16,4.16,4.16,14,4.16,3357,4.16,2025-07-25 15:11:00+00:00
1753456320000,4.05,4.105,4.05,3,4.105,401,4.06375,2025-07-25 15:12:00+00:00
1753457460000,4.09,4.09,4.09,1,4.09,100,4.09,2025-07-25 15:31:00+00:00
1753457640000,4.09,4.09,4.09,1,4.09,100,4.09,2025-07-25 15:34:00+00:00
1753457880000,4.08,4.09,4.07,10,4.07,1700,4.079412,2025-07-25 15:38:00+00:00
1753457940000,4.08,4.08,4.08,2,4.08,106,4.08,2025-07-25 15:39:00+00:00
1753458300000,4.07,4.07,4.07,1,4.07,500,4.07,2025-07-25 15:45:00+00:00
