timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750861320000,2.29,2.29,2.29,2,2.29,300,2.29,2025-06-25 14:22:00+00:00
1750861380000,2.3434,2.3434,2.2214,5,2.2214,2211,2.229912,2025-06-25 14:23:00+00:00
1750861860000,2.29,2.32,2.29,3,2.32,1355,2.317645,2025-06-25 14:31:00+00:00
1750861980000,2.29,2.29,2.2239,2,2.2239,2100,2.227048,2025-06-25 14:33:00+00:00
1750862100000,2.29,2.29,2.29,1,2.29,100,2.29,2025-06-25 14:35:00+00:00
1750862340000,2.29,2.29,2.29,1,2.29,300,2.29,2025-06-25 14:39:00+00:00
1750862580000,2.295,2.295,2.295,1,2.295,120,2.295,2025-06-25 14:43:00+00:00
1750863360000,2.29,2.29,2.29,2,2.29,1001,2.29,2025-06-25 14:56:00+00:00
1750863480000,2.35,2.35,2.35,2,2.35,337,2.35,2025-06-25 14:58:00+00:00
1750863540000,2.3192,2.3192,2.3192,2,2.3192,2032,2.3192,2025-06-25 14:59:00+00:00
1750863660000,2.2811,2.2811,2.2811,1,2.2811,100,2.2811,2025-06-25 15:01:00+00:00
1750863900000,2.29,2.29,2.29,2,2.29,506,2.29,2025-06-25 15:05:00+00:00
1750864320000,2.372,2.372,2.285,25,2.324,6113,2.341903,2025-06-25 15:12:00+00:00
1750865580000,2.365,2.365,2.365,1,2.365,289,2.365,2025-06-25 15:33:00+00:00
1750866240000,2.4,2.41,2.4,8,2.4,2073,2.4005,2025-06-25 15:44:00+00:00
1750866300000,2.4299,2.4299,2.4,7,2.4,445,2.412505,2025-06-25 15:45:00+00:00
1750866780000,2.4,2.4297,2.4,32,2.424,3320,2.421239,2025-06-25 15:53:00+00:00
1750866840000,2.43,2.43,2.43,7,2.43,275,2.43,2025-06-25 15:54:00+00:00
1750866960000,2.4306,2.4306,2.4306,2,2.4306,105,2.4306,2025-06-25 15:56:00+00:00
1750867080000,2.451,2.451,2.451,5,2.451,282,2.451,2025-06-25 15:58:00+00:00
1750867200000,2.4903,2.5,2.4364,29,2.4364,7444,2.468281,2025-06-25 16:00:00+00:00
1750867320000,2.5796,2.5796,2.495,18,2.495,7669,2.53306,2025-06-25 16:02:00+00:00
