timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750966380000,4.25,4.26,4.25,4,4.25,301,4.253333,2025-06-26 19:33:00+00:00
1750966440000,4.33,4.34,4.25,9,4.25,979,4.315064,2025-06-26 19:34:00+00:00
1750966500000,4.33,4.33,4.33,2,4.33,200,4.33,2025-06-26 19:35:00+00:00
1750966560000,4.33,4.33,4.26,4,4.33,650,4.292308,2025-06-26 19:36:00+00:00
1750966620000,4.33,4.33,4.33,1,4.33,100,4.33,2025-06-26 19:37:00+00:00
1750966680000,4.33,4.33,4.33,2,4.33,200,4.33,2025-06-26 19:38:00+00:00
1750966740000,4.29,4.29,4.275,5,4.275,340,4.2825,2025-06-26 19:39:00+00:00
1750966800000,4.28,4.285,4.28,4,4.285,212,4.2825,2025-06-26 19:40:00+00:00
1750966860000,4.2801,4.3531,4.28,8,4.28,3660,4.302015,2025-06-26 19:41:00+00:00
1750966920000,4.34,4.34,4.28,9,4.28,917,4.314775,2025-06-26 19:42:00+00:00
1750966980000,4.29,4.29,4.285,3,4.285,300,4.288333,2025-06-26 19:43:00+00:00
1750967040000,4.28,4.345,4.28,7,4.29,471,4.305,2025-06-26 19:44:00+00:00
1750967100000,4.28,4.34,4.28,2,4.34,200,4.31,2025-06-26 19:45:00+00:00
1750967160000,4.28,4.28,4.28,3,4.28,300,4.28,2025-06-26 19:46:00+00:00
1750967220000,4.28,4.28,4.28,2,4.28,200,4.28,2025-06-26 19:47:00+00:00
1750967280000,4.28,4.28,4.28,2,4.28,200,4.28,2025-06-26 19:48:00+00:00
1750967340000,4.35,4.35,4.31,11,4.31,650,4.33,2025-06-26 19:49:00+00:00
1750967400000,4.34,4.34,4.324,2,4.324,200,4.332,2025-06-26 19:50:00+00:00
1750967460000,4.3675,4.38,4.3002,14,4.31,949,4.329484,2025-06-26 19:51:00+00:00
1750967520000,4.39,4.4,4.3815,3,4.4,500,4.3903,2025-06-26 19:52:00+00:00
1750967640000,4.3904,4.3904,4.3904,1,4.3904,200,4.3904,2025-06-26 19:54:00+00:00
1750967700000,4.4,4.4,4.3647,10,4.38,1017,4.38232,2025-06-26 19:55:00+00:00
1750967760000,4.4,4.4,4.4,6,4.4,254,4.4,2025-06-26 19:56:00+00:00
1750967820000,4.4,4.4,4.3999,14,4.4,832,4.39996,2025-06-26 19:57:00+00:00
1750967880000,4.4,4.4,4.3801,9,4.3817,510,4.387267,2025-06-26 19:58:00+00:00
1750967940000,4.38,4.41,4.38,29,4.4,9307,4.399537,2025-06-26 19:59:00+00:00
1750968000000,4.4,4.4,4.4,1,4.4,270,4.4,2025-06-26 20:00:00+00:00
1751031000000,4.645,4.645,4.52,15,4.52,875,4.544347,2025-06-27 13:30:00+00:00
1751031060000,4.7294,4.7294,4.7294,6,4.7294,214,4.7294,2025-06-27 13:31:00+00:00
1751031180000,4.53,4.6,4.52,14,4.6,1815,4.573408,2025-06-27 13:33:00+00:00
1751031300000,4.53,4.53,4.51,3,4.51,510,4.513922,2025-06-27 13:35:00+00:00
1751031420000,4.28,4.7368,4.28,36,4.51,24166,4.543486,2025-06-27 13:37:00+00:00
1751031540000,4.35,4.35,4.295,4,4.295,5123,4.348922,2025-06-27 13:39:00+00:00
1751031780000,4.4,4.4,4.4,1,4.4,800,4.4,2025-06-27 13:43:00+00:00
1751031840000,4.295,4.295,4.295,1,4.295,100,4.295,2025-06-27 13:44:00+00:00
1751032020000,4.35,4.35,4.35,2,4.35,201,4.35,2025-06-27 13:47:00+00:00
1751032200000,4.295,4.295,4.295,1,4.295,100,4.295,2025-06-27 13:50:00+00:00
1751032440000,4.29,4.29,4.29,2,4.29,118,4.29,2025-06-27 13:54:00+00:00
1751032500000,4.5,4.5,4.5,1,4.5,1500,4.5,2025-06-27 13:55:00+00:00
1751032560000,4.25,4.3422,4.25,21,4.29,5460,4.310648,2025-06-27 13:56:00+00:00
1751032620000,4.25,4.25,4.25,5,4.25,289,4.25,2025-06-27 13:57:00+00:00
1751032800000,4.262,4.262,4.262,1,4.262,100,4.262,2025-06-27 14:00:00+00:00
1751032980000,4.35,4.35,4.35,1,4.35,100,4.35,2025-06-27 14:03:00+00:00
1751033040000,4.18,4.18,4.18,1,4.18,100,4.18,2025-06-27 14:04:00+00:00
1751033220000,4.2001,4.2001,4.2,2,4.2,1040,4.200077,2025-06-27 14:07:00+00:00
1751033460000,4.26,4.31,4.26,6,4.26,3000,4.271333,2025-06-27 14:11:00+00:00
1751033520000,4.17,4.17,4.17,1,4.17,100,4.17,2025-06-27 14:12:00+00:00
1751033580000,4.26,4.3438,4.26,4,4.3438,791,4.287474,2025-06-27 14:13:00+00:00
1751033760000,4.2092,4.2092,4.2092,2,4.2092,471,4.2092,2025-06-27 14:16:00+00:00
1751034000000,4.21,4.21,4.21,3,4.21,104,4.21,2025-06-27 14:20:00+00:00
1751034180000,4.2281,4.2281,4.2281,1,4.2281,100,4.2281,2025-06-27 14:23:00+00:00
1751034360000,4.21,4.21,4.21,4,4.21,1020,4.21,2025-06-27 14:26:00+00:00
1751034600000,4.29,4.29,4.21,4,4.21,2349,4.271933,2025-06-27 14:30:00+00:00
1751035020000,4.22,4.255,4.22,10,4.25,1460,4.228156,2025-06-27 14:37:00+00:00
1751035440000,4.21,4.235,4.21,4,4.235,1047,4.219322,2025-06-27 14:44:00+00:00
1751035740000,4.21,4.21,4.21,6,4.21,1122,4.21,2025-06-27 14:49:00+00:00
1751035860000,4.21,4.21,4.21,3,4.21,112,4.21,2025-06-27 14:51:00+00:00
1751036280000,4.32,4.32,4.32,8,4.32,720,4.32,2025-06-27 14:58:00+00:00
1751036460000,4.21,4.22,4.21,13,4.21,1180,4.211705,2025-06-27 15:01:00+00:00
1751036640000,4.27,4.27,4.27,1,4.27,600,4.27,2025-06-27 15:04:00+00:00
1751036820000,4.24,4.24,4.21,7,4.21,3228,4.228657,2025-06-27 15:07:00+00:00
1751037120000,4.2,4.2,4.2,2,4.2,105,4.2,2025-06-27 15:12:00+00:00
1751037180000,4.2,4.2149,4.2,4,4.2149,509,4.203394,2025-06-27 15:13:00+00:00
1751037360000,4.18,4.18,4.18,2,4.18,280,4.18,2025-06-27 15:16:00+00:00
1751037420000,4.17,4.17,4.17,1,4.17,100,4.17,2025-06-27 15:17:00+00:00
1751037600000,4.15,4.15,4.15,5,4.15,266,4.15,2025-06-27 15:20:00+00:00
1751037780000,4.11,4.17,4.11,8,4.14,716,4.155714,2025-06-27 15:23:00+00:00
1751037900000,4.11,4.11,4.11,7,4.11,993,4.11,2025-06-27 15:25:00+00:00
1751037960000,4.15,4.15,4.125,4,4.125,500,4.14496,2025-06-27 15:26:00+00:00
1751038020000,4.1548,4.19,4.1501,9,4.155,4552,4.163869,2025-06-27 15:27:00+00:00
1751038500000,4.17,4.17,4.17,3,4.17,322,4.17,2025-06-27 15:35:00+00:00
1751038680000,4.145,4.15,4.145,7,4.15,2025,4.14974,2025-06-27 15:38:00+00:00
1751038740000,4.14,4.14,4.14,1,4.14,100,4.14,2025-06-27 15:39:00+00:00
1751038980000,4.18,4.18,4.14,4,4.14,869,4.156959,2025-06-27 15:43:00+00:00
1751039100000,4.18,4.18,4.17,7,4.18,813,4.1775,2025-06-27 15:45:00+00:00
1751039220000,4.2414,4.245,4.2414,2,4.245,1000,4.24176,2025-06-27 15:47:00+00:00
1751039940000,4.17,4.17,4.17,3,4.17,168,4.17,2025-06-27 15:59:00+00:00
1751040060000,4.16,4.16,4.16,4,4.16,1040,4.16,2025-06-27 16:01:00+00:00
1751040480000,4.23,4.23,4.23,1,4.23,1000,4.23,2025-06-27 16:08:00+00:00
1751040720000,4.17,4.17,4.17,4,4.17,739,4.17,2025-06-27 16:12:00+00:00
1751041200000,4.18,4.18,4.18,2,4.18,1073,4.18,2025-06-27 16:20:00+00:00
1751041560000,4.3,4.3,4.24,13,4.24,2781,4.278091,2025-06-27 16:26:00+00:00
1751042340000,4.26,4.26,4.26,1,4.26,511,4.26,2025-06-27 16:39:00+00:00
1751042460000,4.18,4.18,4.18,1,4.18,100,4.18,2025-06-27 16:41:00+00:00
1751042820000,4.1,4.18,4.1,14,4.18,3221,4.154396,2025-06-27 16:47:00+00:00
1751043060000,4.195,4.195,4.195,1,4.195,120,4.195,2025-06-27 16:51:00+00:00
1751043180000,4.1001,4.1001,4.1001,2,4.1001,2300,4.1001,2025-06-27 16:53:00+00:00
1751043420000,4.16,4.16,4.16,1,4.16,100,4.16,2025-06-27 16:57:00+00:00
1751043540000,4.15,4.16,4.15,4,4.16,1051,4.15201,2025-06-27 16:59:00+00:00
1751043600000,4.19,4.19,4.19,1,4.19,180,4.19,2025-06-27 17:00:00+00:00
1751044200000,4.19,4.19,4.19,1,4.19,3000,4.19,2025-06-27 17:10:00+00:00
1751044260000,4.16,4.16,4.16,4,4.16,766,4.16,2025-06-27 17:11:00+00:00
1751044320000,4.15,4.15,4.15,1,4.15,100,4.15,2025-06-27 17:12:00+00:00
1751044500000,4.19,4.19,4.19,1,4.19,1000,4.19,2025-06-27 17:15:00+00:00
1751044560000,4.1916,4.1916,4.1916,1,4.1916,300,4.1916,2025-06-27 17:16:00+00:00
1751044620000,4.19,4.19,4.19,5,4.19,392,4.19,2025-06-27 17:17:00+00:00
1751044800000,4.16,4.16,4.16,4,4.16,739,4.16,2025-06-27 17:20:00+00:00
1751044980000,4.19,4.19,4.19,3,4.19,260,4.19,2025-06-27 17:23:00+00:00
1751045160000,4.165,4.165,4.165,1,4.165,100,4.165,2025-06-27 17:26:00+00:00
1751045340000,4.16,4.16,4.16,6,4.16,1033,4.16,2025-06-27 17:29:00+00:00
1751046000000,4.21,4.21,4.21,1,4.21,100,4.21,2025-06-27 17:40:00+00:00
1751046120000,4.15,4.16,4.15,12,4.16,1138,4.151029,2025-06-27 17:42:00+00:00
1751046840000,4.2,4.2,4.2,3,4.2,1013,4.2,2025-06-27 17:54:00+00:00
1751047020000,4.2,4.235,4.2,3,4.235,220,4.218721,2025-06-27 17:57:00+00:00
1751047380000,4.255,4.255,4.255,1,4.255,1014,4.255,2025-06-27 18:03:00+00:00
1751047620000,4.2,4.2,4.2,5,4.2,1015,4.2,2025-06-27 18:07:00+00:00
1751047740000,4.245,4.245,4.245,2,4.245,111,4.245,2025-06-27 18:09:00+00:00
1751047860000,4.19,4.19,4.19,1,4.19,100,4.19,2025-06-27 18:11:00+00:00
1751048400000,4.19,4.19,4.19,4,4.19,1003,4.19,2025-06-27 18:20:00+00:00
1751048760000,4.15,4.15,4.15,1,4.15,100,4.15,2025-06-27 18:26:00+00:00
1751049120000,4.15,4.15,4.15,3,4.15,192,4.15,2025-06-27 18:32:00+00:00
1751049180000,4.15,4.15,4.15,8,4.15,3048,4.15,2025-06-27 18:33:00+00:00
1751049240000,4.145,4.15,4.145,8,4.15,1241,4.14918,2025-06-27 18:34:00+00:00
1751049300000,4.15,4.15,4.15,1,4.15,160,4.15,2025-06-27 18:35:00+00:00
1751049420000,4.189,4.189,4.15,8,4.15,730,4.17925,2025-06-27 18:37:00+00:00
1751049480000,4.15,4.15,4.15,2,4.15,200,4.15,2025-06-27 18:38:00+00:00
1751049720000,4.1899,4.1899,4.15,2,4.15,500,4.18192,2025-06-27 18:42:00+00:00
1751050440000,4.12,4.12,4.11,6,4.11,1044,4.111586,2025-06-27 18:54:00+00:00
1751050860000,4.1546,4.1625,4.1546,5,4.1625,876,4.155638,2025-06-27 19:01:00+00:00
1751051100000,4.18,4.18,4.18,11,4.18,582,4.18,2025-06-27 19:05:00+00:00
1751051400000,4.16,4.16,4.16,4,4.16,1041,4.16,2025-06-27 19:10:00+00:00
1751051820000,4.17,4.17,4.17,1,4.17,100,4.17,2025-06-27 19:17:00+00:00
1751052180000,4.17,4.17,4.17,2,4.17,165,4.17,2025-06-27 19:23:00+00:00
1751052300000,4.165,4.22,4.165,6,4.22,337,4.1925,2025-06-27 19:25:00+00:00
1751052360000,4.165,4.165,4.16,8,4.16,617,4.162857,2025-06-27 19:26:00+00:00
1751052660000,4.19,4.19,4.19,3,4.19,218,4.19,2025-06-27 19:31:00+00:00
1751052720000,4.18,4.18,4.18,4,4.18,379,4.18,2025-06-27 19:32:00+00:00
1751052840000,4.2241,4.2241,4.2241,1,4.2241,575,4.2241,2025-06-27 19:34:00+00:00
1751052960000,4.23,4.23,4.19,12,4.19,2947,4.228447,2025-06-27 19:36:00+00:00
1751053140000,4.2816,4.2816,4.2816,1,4.2816,1000,4.2816,2025-06-27 19:39:00+00:00
1751053200000,4.3193,4.3193,4.3193,1,4.3193,100,4.3193,2025-06-27 19:40:00+00:00
1751053260000,4.319,4.319,4.25,9,4.285,518,4.28475,2025-06-27 19:41:00+00:00
1751053500000,4.285,4.285,4.285,1,4.285,300,4.285,2025-06-27 19:45:00+00:00
1751053860000,4.395,4.395,4.395,2,4.395,303,4.395,2025-06-27 19:51:00+00:00
1751053920000,4.33,4.395,4.33,10,4.395,1219,4.345,2025-06-27 19:52:00+00:00
1751053980000,4.33,4.33,4.29,8,4.29,1031,4.294396,2025-06-27 19:53:00+00:00
1751054040000,4.37,4.37,4.33,2,4.33,4100,4.369024,2025-06-27 19:54:00+00:00
1751054100000,4.33,4.33,4.33,4,4.33,128,4.33,2025-06-27 19:55:00+00:00
1751054280000,4.34,4.34,4.33,7,4.33,1191,4.337,2025-06-27 19:58:00+00:00
1751054340000,4.33,4.35,4.32,33,4.32,1858,4.328834,2025-06-27 19:59:00+00:00
1751054400000,4.46,4.46,4.46,1,4.46,2214,4.46,2025-06-27 20:00:00+00:00
1751290200000,4.47,4.47,4.47,6,4.47,1487,4.47,2025-06-30 13:30:00+00:00
1751290440000,4.6,4.6,4.46,14,4.46,4503,4.570228,2025-06-30 13:34:00+00:00
1751290500000,4.4795,4.4795,4.4795,1,4.4795,250,4.4795,2025-06-30 13:35:00+00:00
1751290560000,4.5,4.5,4.5,3,4.5,703,4.5,2025-06-30 13:36:00+00:00
