timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757424840000,26.05,26.05,26.05,5,26.05,108,26.05,2025-09-09 13:34:00+00:00
1757424900000,25.5,25.5,25.5,10,25.5,303,25.5,2025-09-09 13:35:00+00:00
1757424960000,25.48,25.48,25.48,11,25.48,425,25.48,2025-09-09 13:36:00+00:00
1757425020000,25.5,25.5,25.5,12,25.5,148,25.5,2025-09-09 13:37:00+00:00
1757425200000,25.0,25.0,25.0,18,25.0,170,25.0,2025-09-09 13:40:00+00:00
1757425260000,24.655,24.655,24.655,13,24.655,151,24.655,2025-09-09 13:41:00+00:00
1757425500000,25.14,25.14,25.14,3,25.14,225,25.14,2025-09-09 13:45:00+00:00
1757425560000,24.65,24.65,24.65,22,24.65,239,24.65,2025-09-09 13:46:00+00:00
1757425620000,25.17,25.17,25.1,8,25.1,2667,25.131293,2025-09-09 13:47:00+00:00
1757425680000,24.6,24.6,24.6,6,24.6,150,24.6,2025-09-09 13:48:00+00:00
1757425860000,24.55,24.65,24.55,9,24.65,263,24.6,2025-09-09 13:51:00+00:00
1757425920000,24.6,24.66,24.6,5,24.66,241,24.634576,2025-09-09 13:52:00+00:00
1757425980000,24.6,24.6,24.6,3,24.6,139,24.6,2025-09-09 13:53:00+00:00
1757426040000,24.75,24.75,24.7,13,24.7,3300,24.74168,2025-09-09 13:54:00+00:00
1757426100000,24.71,24.71,24.6,17,24.6,1434,24.691667,2025-09-09 13:55:00+00:00
1757426160000,24.7,24.7,24.7,3,24.7,104,24.7,2025-09-09 13:56:00+00:00
1757426280000,24.6,24.6,24.6,17,24.6,1977,24.6,2025-09-09 13:58:00+00:00
1757426460000,24.4994,24.4994,24.4994,4,24.4994,315,24.4994,2025-09-09 14:01:00+00:00
1757426640000,24.32,24.32,24.32,8,24.32,189,24.32,2025-09-09 14:04:00+00:00
1757426760000,24.31,24.31,24.31,23,24.31,188,24.31,2025-09-09 14:06:00+00:00
1757427060000,24.33,24.8,24.33,4,24.79,400,24.6775,2025-09-09 14:11:00+00:00
1757427360000,24.4994,24.4994,24.4994,3,24.4994,413,24.4994,2025-09-09 14:16:00+00:00
1757427660000,24.49,24.49,24.49,4,24.49,656,24.49,2025-09-09 14:21:00+00:00
1757427720000,24.32,24.32,24.32,18,24.32,236,24.32,2025-09-09 14:22:00+00:00
1757428260000,24.275,24.275,24.275,7,24.275,576,24.275,2025-09-09 14:31:00+00:00
1757428440000,24.24,24.24,24.24,2,24.24,102,24.24,2025-09-09 14:34:00+00:00
1757430300000,24.4,24.65,24.4,7,24.65,1076,24.459524,2025-09-09 15:05:00+00:00
1757430840000,24.71,24.71,24.71,5,24.71,372,24.71,2025-09-09 15:14:00+00:00
1757430900000,24.71,24.71,24.71,2,24.71,111,24.71,2025-09-09 15:15:00+00:00
1757431020000,24.71,24.71,24.71,1,24.71,100,24.71,2025-09-09 15:17:00+00:00
1757434020000,24.7,24.7,24.7,3,24.7,294,24.7,2025-09-09 16:07:00+00:00
1757442120000,25.0,25.0,24.95,3,24.95,676,24.981509,2025-09-09 18:22:00+00:00
1757445000000,25.185,25.185,25.185,3,25.185,285,25.185,2025-09-09 19:10:00+00:00
1757446200000,25.105,25.105,25.105,3,25.105,102,25.105,2025-09-09 19:30:00+00:00
1757447160000,24.91,24.91,24.91,3,24.91,144,24.91,2025-09-09 19:46:00+00:00
1757511000000,27.31,28.0,27.31,35,28.0,2263,27.454389,2025-09-10 13:30:00+00:00
1757511060000,27.0,27.0,27.0,30,27.0,721,27.0,2025-09-10 13:31:00+00:00
1757511120000,27.68,27.68,26.98,24,26.98,882,27.38321,2025-09-10 13:32:00+00:00
1757511180000,27.05,27.05,27.05,31,27.05,966,27.05,2025-09-10 13:33:00+00:00
1757511240000,26.56,26.56,26.21,34,26.375,1788,26.376548,2025-09-10 13:34:00+00:00
1757511300000,26.83,26.83,26.83,11,26.83,421,26.83,2025-09-10 13:35:00+00:00
1757511360000,26.91,27.249,26.91,28,27.06,1872,27.146558,2025-09-10 13:36:00+00:00
1757511420000,26.95,26.95,26.95,11,26.95,197,26.95,2025-09-10 13:37:00+00:00
1757511480000,26.65,26.9099,26.65,19,26.9099,1628,26.834289,2025-09-10 13:38:00+00:00
1757511600000,26.86,26.86,26.86,18,26.86,293,26.86,2025-09-10 13:40:00+00:00
1757511660000,26.63,26.87,26.63,8,26.859,3122,26.840798,2025-09-10 13:41:00+00:00
1757511720000,26.65,26.65,26.4,7,26.4033,852,26.464563,2025-09-10 13:42:00+00:00
1757511780000,26.885,26.885,26.885,3,26.885,161,26.885,2025-09-10 13:43:00+00:00
1757511840000,26.89,26.89,26.89,10,26.89,422,26.89,2025-09-10 13:44:00+00:00
1757511900000,26.71,26.71,26.71,21,26.71,1878,26.71,2025-09-10 13:45:00+00:00
1757511960000,26.53,26.53,26.53,5,26.53,239,26.53,2025-09-10 13:46:00+00:00
1757512020000,26.6,26.6,26.6,4,26.6,239,26.6,2025-09-10 13:47:00+00:00
1757512080000,26.7188,26.7188,26.6,9,26.6,2106,26.610598,2025-09-10 13:48:00+00:00
1757512200000,26.62,26.75,26.62,22,26.63,2927,26.664992,2025-09-10 13:50:00+00:00
1757512500000,26.53,26.63,26.53,20,26.63,1717,26.542411,2025-09-10 13:55:00+00:00
1757512560000,26.6299,26.6299,26.6299,7,26.6299,300,26.6299,2025-09-10 13:56:00+00:00
1757512620000,26.77,26.77,26.421,37,26.421,7437,26.760883,2025-09-10 13:57:00+00:00
1757512680000,26.77,26.77,26.77,59,26.77,11200,26.77,2025-09-10 13:58:00+00:00
1757512740000,26.56,26.77,26.56,6,26.77,1854,26.753286,2025-09-10 13:59:00+00:00
1757512860000,27.04,27.04,26.93,11,26.93,2673,27.032065,2025-09-10 14:01:00+00:00
1757512980000,27.1374,27.1374,27.1374,4,27.1374,194,27.1374,2025-09-10 14:03:00+00:00
1757513100000,27.42,27.42,27.42,2,27.42,1003,27.42,2025-09-10 14:05:00+00:00
1757513160000,27.38,27.38,27.38,3,27.38,152,27.38,2025-09-10 14:06:00+00:00
1757513220000,27.38,27.38,27.37,8,27.37,379,27.375,2025-09-10 14:07:00+00:00
1757513280000,27.5466,27.5466,27.5466,5,27.5466,591,27.5466,2025-09-10 14:08:00+00:00
1757513340000,27.27,27.27,27.27,9,27.27,1674,27.27,2025-09-10 14:09:00+00:00
1757513400000,27.26,27.26,27.25,18,27.25,1481,27.253451,2025-09-10 14:10:00+00:00
1757513520000,27.69,27.69,27.68,17,27.68,1396,27.686094,2025-09-10 14:12:00+00:00
1757513580000,27.4022,27.4022,27.4022,8,27.4022,820,27.4022,2025-09-10 14:13:00+00:00
1757513700000,27.69,27.69,27.69,18,27.69,5685,27.69,2025-09-10 14:15:00+00:00
1757513760000,27.41,27.53,27.4,50,27.53,20064,27.439909,2025-09-10 14:16:00+00:00
1757513820000,27.47,27.55,27.36,15,27.55,1134,27.432727,2025-09-10 14:17:00+00:00
1757513880000,27.49,27.49,27.49,4,27.49,511,27.49,2025-09-10 14:18:00+00:00
1757513940000,27.42,27.42,27.35,9,27.35,778,27.41,2025-09-10 14:19:00+00:00
1757514060000,27.3,27.3,27.3,6,27.3,1083,27.3,2025-09-10 14:21:00+00:00
1757514300000,27.31,27.31,27.31,5,27.31,291,27.31,2025-09-10 14:25:00+00:00
1757514420000,27.49,27.49,27.49,2,27.49,197,27.49,2025-09-10 14:27:00+00:00
1757514780000,27.27,27.27,27.27,9,27.27,191,27.27,2025-09-10 14:33:00+00:00
1757515140000,27.1026,27.1026,27.1,3,27.1026,2750,27.101891,2025-09-10 14:39:00+00:00
1757515260000,27.3199,27.3199,27.3199,1,27.3199,100,27.3199,2025-09-10 14:41:00+00:00
1757515320000,27.21,27.21,27.21,8,27.21,527,27.21,2025-09-10 14:42:00+00:00
1757515500000,27.11,27.21,27.11,6,27.21,402,27.180149,2025-09-10 14:45:00+00:00
1757515560000,27.08,27.145,27.08,8,27.1,411,27.108934,2025-09-10 14:46:00+00:00
1757515620000,27.08,27.08,27.08,8,27.08,408,27.08,2025-09-10 14:47:00+00:00
1757515680000,27.0799,27.0799,27.0799,2,27.0799,219,27.0799,2025-09-10 14:48:00+00:00
1757515860000,27.49,27.49,27.345,7,27.345,531,27.384161,2025-09-10 14:51:00+00:00
1757516340000,27.0,27.0,27.0,14,27.0,741,27.0,2025-09-10 14:59:00+00:00
1757516460000,26.78,27.06,26.78,8,27.06,398,26.907826,2025-09-10 15:01:00+00:00
1757516520000,26.68,26.69,26.68,24,26.68,2621,26.6816,2025-09-10 15:02:00+00:00
1757516580000,26.68,26.68,26.68,3,26.68,135,26.68,2025-09-10 15:03:00+00:00
1757516640000,26.53,26.53,26.53,1,26.53,135,26.53,2025-09-10 15:04:00+00:00
1757516880000,26.69,26.69,26.69,2,26.69,515,26.69,2025-09-10 15:08:00+00:00
1757517000000,27.0,27.0,26.99,3,26.99,500,26.994,2025-09-10 15:10:00+00:00
1757517180000,26.86,26.86,26.86,4,26.86,337,26.86,2025-09-10 15:13:00+00:00
1757517300000,26.74,26.74,26.74,2,26.74,133,26.74,2025-09-10 15:15:00+00:00
1757517480000,26.62,26.84,26.62,12,26.84,1438,26.696651,2025-09-10 15:18:00+00:00
1757517660000,26.55,26.55,26.55,2,26.55,204,26.55,2025-09-10 15:21:00+00:00
1757517960000,26.74,26.74,26.74,4,26.74,363,26.74,2025-09-10 15:26:00+00:00
1757518320000,26.55,26.6,26.55,10,26.6,341,26.575,2025-09-10 15:32:00+00:00
1757518440000,26.67,26.67,26.595,15,26.595,1211,26.609624,2025-09-10 15:34:00+00:00
1757518980000,26.67,26.67,26.67,3,26.67,401,26.67,2025-09-10 15:43:00+00:00
1757519220000,26.7278,26.7278,26.7278,3,26.7278,301,26.7278,2025-09-10 15:47:00+00:00
1757519280000,26.5,26.51,26.5,27,26.51,860,26.505,2025-09-10 15:48:00+00:00
1757519700000,26.0,26.0,26.0,16,26.0,612,26.0,2025-09-10 15:55:00+00:00
1757519880000,25.99,25.99,25.99,10,25.99,320,25.99,2025-09-10 15:58:00+00:00
1757519940000,25.95,25.95,25.95,11,25.95,213,25.95,2025-09-10 15:59:00+00:00
1757520000000,25.88,25.88,25.88,10,25.88,222,25.88,2025-09-10 16:00:00+00:00
1757520060000,25.83,25.83,25.83,2,25.83,178,25.83,2025-09-10 16:01:00+00:00
1757520240000,26.07,26.07,26.07,2,26.07,131,26.07,2025-09-10 16:04:00+00:00
1757520840000,25.95,25.95,25.95,1,25.95,100,25.95,2025-09-10 16:14:00+00:00
1757521020000,25.95,25.95,25.95,5,25.95,475,25.95,2025-09-10 16:17:00+00:00
1757521320000,25.83,25.83,25.83,9,25.83,554,25.83,2025-09-10 16:22:00+00:00
1757521560000,25.53,25.6,25.53,10,25.6,350,25.578125,2025-09-10 16:26:00+00:00
1757521680000,25.36,25.36,25.36,6,25.36,146,25.36,2025-09-10 16:28:00+00:00
1757521740000,25.4,25.4,25.4,1,25.4,400,25.4,2025-09-10 16:29:00+00:00
1757521860000,25.4144,25.4144,25.4144,2,25.4144,105,25.4144,2025-09-10 16:31:00+00:00
1757521920000,25.49,25.49,25.49,3,25.49,1192,25.49,2025-09-10 16:32:00+00:00
1757522100000,25.75,25.75,25.75,4,25.75,1547,25.75,2025-09-10 16:35:00+00:00
1757522220000,25.81,25.81,25.81,3,25.81,519,25.81,2025-09-10 16:37:00+00:00
1757522340000,25.55,25.55,25.55,2,25.55,117,25.55,2025-09-10 16:39:00+00:00
1757522640000,25.46,25.46,25.46,2,25.46,202,25.46,2025-09-10 16:44:00+00:00
1757522700000,25.39,25.39,25.39,12,25.39,271,25.39,2025-09-10 16:45:00+00:00
1757522760000,25.25,25.25,25.25,5,25.25,2721,25.25,2025-09-10 16:46:00+00:00
1757522880000,25.4899,25.4899,25.4899,3,25.4899,213,25.4899,2025-09-10 16:48:00+00:00
1757523180000,25.47,25.47,25.47,4,25.47,1120,25.47,2025-09-10 16:53:00+00:00
1757523420000,25.35,25.35,25.35,1,25.35,151,25.35,2025-09-10 16:57:00+00:00
1757523540000,25.21,25.26,25.21,10,25.26,556,25.219363,2025-09-10 16:59:00+00:00
1757524080000,25.3,25.3,25.3,6,25.3,946,25.3,2025-09-10 17:08:00+00:00
1757524140000,25.32,25.32,25.25,5,25.25,319,25.287742,2025-09-10 17:09:00+00:00
1757524380000,25.135,25.135,25.135,2,25.135,328,25.135,2025-09-10 17:13:00+00:00
1757524440000,25.1,25.1,25.1,24,25.1,762,25.1,2025-09-10 17:14:00+00:00
1757524620000,25.1,25.1,25.1,2,25.1,188,25.1,2025-09-10 17:17:00+00:00
1757524680000,25.1,25.1,25.1,2,25.1,1378,25.1,2025-09-10 17:18:00+00:00
1757524920000,25.2979,25.2979,25.2979,1,25.2979,200,25.2979,2025-09-10 17:22:00+00:00
