timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750259580000,1.18,1.18,1.14,32,1.145,7080,1.159438,2025-06-18 15:13:00+00:00
1750259640000,1.175,1.18,1.16,12,1.18,1951,1.168529,2025-06-18 15:14:00+00:00
1750259700000,1.1533,1.1853,1.1533,27,1.1702,6404,1.169713,2025-06-18 15:15:00+00:00
1750259760000,1.13,1.16,1.13,29,1.16,14107,1.142957,2025-06-18 15:16:00+00:00
1750259820000,1.1334,1.14,1.13,24,1.135,7864,1.133089,2025-06-18 15:17:00+00:00
1750260000000,1.153,1.153,1.153,2,1.153,204,1.153,2025-06-18 15:20:00+00:00
1750260060000,1.1501,1.1501,1.1501,2,1.1501,260,1.1501,2025-06-18 15:21:00+00:00
1750260120000,1.15,1.16,1.15,7,1.16,414,1.153333,2025-06-18 15:22:00+00:00
1750260180000,1.09,1.15,1.09,57,1.15,16492,1.116578,2025-06-18 15:23:00+00:00
1750260240000,1.08,1.08,1.07,8,1.08,1151,1.074416,2025-06-18 15:24:00+00:00
1750260300000,1.1002,1.1002,1.08,6,1.08,1071,1.092689,2025-06-18 15:25:00+00:00
1750260360000,1.09,1.1,1.09,9,1.1,2081,1.097842,2025-06-18 15:26:00+00:00
1750260660000,1.09,1.105,1.09,6,1.105,798,1.095731,2025-06-18 15:31:00+00:00
1750260720000,1.08,1.09,1.08,8,1.09,1450,1.084689,2025-06-18 15:32:00+00:00
1750260840000,1.085,1.085,1.085,1,1.085,100,1.085,2025-06-18 15:34:00+00:00
1750260960000,1.0805,1.09,1.0805,5,1.09,268,1.08525,2025-06-18 15:36:00+00:00
1750261020000,1.085,1.085,1.08,3,1.08,201,1.0825,2025-06-18 15:37:00+00:00
1750261260000,1.085,1.085,1.085,2,1.085,146,1.085,2025-06-18 15:41:00+00:00
1750261320000,1.075,1.08,1.075,5,1.075,1007,1.07637,2025-06-18 15:42:00+00:00
1750261380000,1.08,1.08,1.08,1,1.08,304,1.08,2025-06-18 15:43:00+00:00
1750261440000,1.08,1.08,1.08,4,1.08,418,1.08,2025-06-18 15:44:00+00:00
1750261500000,1.09,1.09,1.08,16,1.08,3948,1.089232,2025-06-18 15:45:00+00:00
1750261560000,1.11,1.11,1.09,5,1.09,524,1.101203,2025-06-18 15:46:00+00:00
1750261620000,1.11,1.11,1.1,5,1.1,541,1.104,2025-06-18 15:47:00+00:00
1750261680000,1.1,1.11,1.1,5,1.1,405,1.1025,2025-06-18 15:48:00+00:00
1750261740000,1.115,1.115,1.1,5,1.1,503,1.109,2025-06-18 15:49:00+00:00
1750261800000,1.12,1.13,1.12,6,1.13,601,1.124,2025-06-18 15:50:00+00:00
1750261860000,1.14,1.14,1.11,9,1.115,906,1.129286,2025-06-18 15:51:00+00:00
1750261920000,1.13,1.14,1.12,12,1.13,2549,1.133635,2025-06-18 15:52:00+00:00
1750261980000,1.14,1.14,1.115,3,1.115,400,1.12875,2025-06-18 15:53:00+00:00
1750262040000,1.12,1.12,1.12,1,1.12,300,1.12,2025-06-18 15:54:00+00:00
1750262100000,1.12,1.14,1.12,7,1.12,805,1.13,2025-06-18 15:55:00+00:00
1750262160000,1.12,1.12,1.12,2,1.12,201,1.12,2025-06-18 15:56:00+00:00
1750262220000,1.03,1.11,1.03,31,1.11,9968,1.056215,2025-06-18 15:57:00+00:00
1750262400000,1.06,1.06,1.06,3,1.06,1101,1.06,2025-06-18 16:00:00+00:00
1750262460000,1.07,1.07,1.06,12,1.06,5900,1.067627,2025-06-18 16:01:00+00:00
1750262520000,1.07,1.07,1.06,8,1.06,10578,1.069348,2025-06-18 16:02:00+00:00
1750262580000,1.06,1.06,1.06,2,1.06,320,1.06,2025-06-18 16:03:00+00:00
1750262640000,1.07,1.07,1.07,2,1.07,500,1.07,2025-06-18 16:04:00+00:00
1750262700000,1.09,1.1,1.09,5,1.09,610,1.093333,2025-06-18 16:05:00+00:00
1750262760000,1.0101,1.1,1.0101,34,1.1,7615,1.036194,2025-06-18 16:06:00+00:00
1750262820000,1.0293,1.0293,1.0,21,1.01,7041,1.000864,2025-06-18 16:07:00+00:00
1750262880000,1.0,1.005,1.0,2,1.005,815,1.002454,2025-06-18 16:08:00+00:00
1750262940000,1.0297,1.03,1.0297,4,1.03,706,1.029799,2025-06-18 16:09:00+00:00
1750263000000,1.0101,1.03,1.0101,5,1.015,1550,1.015733,2025-06-18 16:10:00+00:00
1750263060000,1.03,1.03,1.015,9,1.015,1208,1.023342,2025-06-18 16:11:00+00:00
1750263120000,1.0299,1.0299,1.0184,7,1.0184,701,1.021383,2025-06-18 16:12:00+00:00
1750263180000,1.03,1.03,1.03,3,1.03,510,1.03,2025-06-18 16:13:00+00:00
1750263240000,1.03,1.03,1.03,2,1.03,300,1.03,2025-06-18 16:14:00+00:00
1750263300000,0.9748,1.03,0.9748,38,1.03,8239,0.9919,2025-06-18 16:15:00+00:00
1750263360000,0.95,1.0,0.95,34,0.9748,21733,0.967354,2025-06-18 16:16:00+00:00
1750263420000,0.9827,0.9827,0.9827,2,0.9827,165,0.9827,2025-06-18 16:17:00+00:00
1750263540000,0.9915,1.0,0.9915,5,1.0,2570,0.995557,2025-06-18 16:19:00+00:00
1750263600000,0.9999,1.0,0.9999,7,1.0,891,0.999963,2025-06-18 16:20:00+00:00
1750263660000,1.0,1.0,0.9999,9,0.9999,719,0.999914,2025-06-18 16:21:00+00:00
1750263720000,0.9665,1.0,0.9665,12,0.9915,2325,0.976617,2025-06-18 16:22:00+00:00
1750263780000,0.97,0.97,0.97,4,0.97,4189,0.97,2025-06-18 16:23:00+00:00
1750263960000,0.9741,0.9741,0.9741,5,0.9741,400,0.9741,2025-06-18 16:26:00+00:00
1750264020000,0.9741,0.9741,0.9741,3,0.9741,127,0.9741,2025-06-18 16:27:00+00:00
1750264080000,0.9786,0.98,0.9741,21,0.98,5992,0.979729,2025-06-18 16:28:00+00:00
1750264140000,0.98,0.98,0.98,4,0.98,2022,0.98,2025-06-18 16:29:00+00:00
1750264200000,0.98,0.98,0.9799,10,0.9799,8060,0.979988,2025-06-18 16:30:00+00:00
