timeStamp,close,high,low,trade_count,open,volume,vwap,date
1747251240000,0.885,0.885,0.885,2,0.885,200,0.885,2025-05-14 19:34:00+00:00
1747251420000,0.87,0.88,0.87,3,0.88,343,0.875831,2025-05-14 19:37:00+00:00
1747251600000,0.87,0.8705,0.87,13,0.8705,1929,0.870103,2025-05-14 19:40:00+00:00
1747251780000,0.91,0.91,0.91,4,0.91,697,0.91,2025-05-14 19:43:00+00:00
1747251900000,0.91,0.91,0.91,2,0.91,123,0.91,2025-05-14 19:45:00+00:00
1747251960000,0.881,0.881,0.881,1,0.881,330,0.881,2025-05-14 19:46:00+00:00
1747252140000,0.89,0.89,0.88,2,0.88,300,0.886667,2025-05-14 19:49:00+00:00
1747252320000,0.86,0.87,0.86,5,0.87,3024,0.860653,2025-05-14 19:52:00+00:00
1747252380000,0.89,0.89,0.86,10,0.86,2551,0.8624,2025-05-14 19:53:00+00:00
1747252620000,0.8664,0.9312,0.86,15,0.9312,10510,0.866875,2025-05-14 19:57:00+00:00
1747252680000,0.8558,0.8558,0.8558,1,0.8558,906,0.8558,2025-05-14 19:58:00+00:00
1747315800000,0.908,0.908,0.8678,4,0.8678,1793,0.88597,2025-05-15 13:30:00+00:00
1747316220000,0.85,0.85,0.85,1,0.85,170,0.85,2025-05-15 13:37:00+00:00
1747316340000,0.848,0.873,0.848,5,0.873,423,0.861514,2025-05-15 13:39:00+00:00
1747316940000,0.875,0.875,0.875,1,0.875,200,0.875,2025-05-15 13:49:00+00:00
1747317000000,0.8794,0.8794,0.8794,1,0.8794,3500,0.8794,2025-05-15 13:50:00+00:00
1747317120000,0.8795,0.8795,0.8795,2,0.8795,3503,0.8795,2025-05-15 13:52:00+00:00
1747317540000,0.85,0.8699,0.85,2,0.8699,500,0.85796,2025-05-15 13:59:00+00:00
1747317660000,0.85,0.85,0.85,1,0.85,1000,0.85,2025-05-15 14:01:00+00:00
1747317780000,0.85,0.85,0.85,2,0.85,211,0.85,2025-05-15 14:03:00+00:00
1747317840000,0.85,0.85,0.85,1,0.85,100,0.85,2025-05-15 14:04:00+00:00
1747318140000,0.8501,0.8501,0.8501,2,0.8501,140,0.8501,2025-05-15 14:09:00+00:00
1747318260000,0.85,0.85,0.85,5,0.85,1785,0.85,2025-05-15 14:11:00+00:00
1747318500000,0.87,0.87,0.8653,2,0.8653,1504,0.866863,2025-05-15 14:15:00+00:00
1747318620000,0.87,0.87,0.87,2,0.87,675,0.87,2025-05-15 14:17:00+00:00
1747318680000,0.87,0.87,0.87,5,0.87,180,0.87,2025-05-15 14:18:00+00:00
1747319340000,0.909,0.909,0.909,1,0.909,100,0.909,2025-05-15 14:29:00+00:00
1747319400000,0.88,0.894,0.88,12,0.894,1259,0.890841,2025-05-15 14:30:00+00:00
1747319460000,0.89,0.89,0.89,1,0.89,128,0.89,2025-05-15 14:31:00+00:00
1747319520000,0.89,0.89,0.89,8,0.89,241,0.89,2025-05-15 14:32:00+00:00
1747319580000,0.88,0.89,0.88,8,0.89,1532,0.8848,2025-05-15 14:33:00+00:00
1747319640000,0.88,0.88,0.88,1,0.88,371,0.88,2025-05-15 14:34:00+00:00
1747319820000,0.88,0.88,0.88,4,0.88,199,0.88,2025-05-15 14:37:00+00:00
1747320060000,0.87,0.8725,0.87,24,0.87,973,0.870737,2025-05-15 14:41:00+00:00
1747320120000,0.865,0.8702,0.865,6,0.8702,1775,0.869148,2025-05-15 14:42:00+00:00
1747320840000,0.8702,0.8702,0.8702,1,0.8702,128,0.8702,2025-05-15 14:54:00+00:00
1747321440000,0.88,0.88,0.872,12,0.872,1160,0.878274,2025-05-15 15:04:00+00:00
1747321620000,0.88,0.88,0.88,3,0.88,1684,0.88,2025-05-15 15:07:00+00:00
1747322040000,0.88,0.88,0.88,13,0.88,4427,0.88,2025-05-15 15:14:00+00:00
1747322880000,0.894,0.894,0.894,1,0.894,100,0.894,2025-05-15 15:28:00+00:00
1747322940000,0.903,0.903,0.894,2,0.894,300,0.9,2025-05-15 15:29:00+00:00
1747323060000,0.894,0.894,0.894,2,0.894,101,0.894,2025-05-15 15:31:00+00:00
1747323300000,0.9079,0.9079,0.9079,1,0.9079,300,0.9079,2025-05-15 15:35:00+00:00
1747323360000,0.9079,0.9079,0.9079,3,0.9079,816,0.9079,2025-05-15 15:36:00+00:00
1747324080000,0.909,0.91,0.909,6,0.91,3349,0.909136,2025-05-15 15:48:00+00:00
1747324740000,0.88,0.88,0.88,1,0.88,100,0.88,2025-05-15 15:59:00+00:00
1747325040000,0.9,0.9,0.9,2,0.9,202,0.9,2025-05-15 16:04:00+00:00
1747327680000,0.88,0.88,0.88,1,0.88,109,0.88,2025-05-15 16:48:00+00:00
1747327740000,0.88,0.88,0.88,3,0.88,1000,0.88,2025-05-15 16:49:00+00:00
1747327800000,0.8849,0.8849,0.8849,2,0.8849,500,0.8849,2025-05-15 16:50:00+00:00
1747328220000,0.8849,0.8849,0.8849,1,0.8849,300,0.8849,2025-05-15 16:57:00+00:00
1747329180000,0.88,0.88,0.88,5,0.88,1781,0.88,2025-05-15 17:13:00+00:00
1747329840000,0.8805,0.8805,0.8805,2,0.8805,806,0.8805,2025-05-15 17:24:00+00:00
1747330020000,0.88,0.88,0.88,8,0.88,791,0.88,2025-05-15 17:27:00+00:00
1747330260000,0.885,0.885,0.885,2,0.885,114,0.885,2025-05-15 17:31:00+00:00
1747330860000,0.882,0.882,0.882,1,0.882,100,0.882,2025-05-15 17:41:00+00:00
1747331520000,0.88,0.88,0.88,3,0.88,400,0.88,2025-05-15 17:52:00+00:00
1747332060000,0.888,0.888,0.88,12,0.88,1165,0.886473,2025-05-15 18:01:00+00:00
1747332420000,0.88,0.88,0.8765,8,0.8765,1158,0.879656,2025-05-15 18:07:00+00:00
1747332540000,0.888,0.888,0.888,1,0.888,150,0.888,2025-05-15 18:09:00+00:00
1747333320000,0.89,0.89,0.89,1,0.89,600,0.89,2025-05-15 18:22:00+00:00
1747334100000,0.88,0.88,0.88,4,0.88,557,0.88,2025-05-15 18:35:00+00:00
1747334880000,0.8887,0.8887,0.8887,1,0.8887,150,0.8887,2025-05-15 18:48:00+00:00
1747337580000,0.885,0.885,0.885,1,0.885,100,0.885,2025-05-15 19:33:00+00:00
1747337640000,0.885,0.885,0.885,1,0.885,100,0.885,2025-05-15 19:34:00+00:00
1747338480000,0.88,0.88,0.88,3,0.88,148,0.88,2025-05-15 19:48:00+00:00
1747338840000,0.8811,0.8811,0.88,5,0.88,488,0.88055,2025-05-15 19:54:00+00:00
1747338900000,0.88,0.8836,0.88,20,0.88,4850,0.880075,2025-05-15 19:55:00+00:00
1747338960000,0.88,0.88,0.88,1,0.88,100,0.88,2025-05-15 19:56:00+00:00
1747339140000,0.8803,0.887,0.88,9,0.88,5012,0.885387,2025-05-15 19:59:00+00:00
1747402200000,0.9,0.9,0.9,3,0.9,165,0.9,2025-05-16 13:30:00+00:00
1747402380000,0.9,0.9,0.9,4,0.9,862,0.9,2025-05-16 13:33:00+00:00
1747402500000,0.905,0.905,0.905,1,0.905,500,0.905,2025-05-16 13:35:00+00:00
1747402560000,0.9,0.9,0.9,2,0.9,158,0.9,2025-05-16 13:36:00+00:00
1747402620000,0.88,0.89,0.88,5,0.89,425,0.8825,2025-05-16 13:37:00+00:00
1747403460000,0.905,0.905,0.905,4,0.905,300,0.905,2025-05-16 13:51:00+00:00
1747404180000,0.8799,0.8799,0.8799,1,0.8799,400,0.8799,2025-05-16 14:03:00+00:00
1747404840000,0.8799,0.8799,0.8799,1,0.8799,840,0.8799,2025-05-16 14:14:00+00:00
1747404900000,0.865,0.865,0.865,1,0.865,500,0.865,2025-05-16 14:15:00+00:00
1747405080000,0.856,0.856,0.856,1,0.856,100,0.856,2025-05-16 14:18:00+00:00
1747405380000,0.85,0.85,0.85,1,0.85,875,0.85,2025-05-16 14:23:00+00:00
1747408320000,0.86,0.861,0.86,2,0.861,250,0.8604,2025-05-16 15:12:00+00:00
1747408380000,0.8805,0.8805,0.8805,2,0.8805,1500,0.8805,2025-05-16 15:13:00+00:00
1747408560000,0.861,0.861,0.861,4,0.861,257,0.861,2025-05-16 15:16:00+00:00
1747409340000,0.86,0.86,0.86,3,0.86,3600,0.86,2025-05-16 15:29:00+00:00
1747409520000,0.8561,0.8561,0.8561,1,0.8561,2000,0.8561,2025-05-16 15:32:00+00:00
1747411200000,0.8561,0.8561,0.8561,1,0.8561,1950,0.8561,2025-05-16 16:00:00+00:00
1747412700000,0.8667,0.8667,0.8667,1,0.8667,543,0.8667,2025-05-16 16:25:00+00:00
1747413120000,0.8787,0.8787,0.8787,1,0.8787,300,0.8787,2025-05-16 16:32:00+00:00
1747413300000,0.88,0.88,0.88,1,0.88,1800,0.88,2025-05-16 16:35:00+00:00
1747414260000,0.8667,0.8667,0.8667,1,0.8667,201,0.8667,2025-05-16 16:51:00+00:00
1747414800000,0.8667,0.8667,0.8667,1,0.8667,100,0.8667,2025-05-16 17:00:00+00:00
1747415760000,0.8667,0.8667,0.8667,1,0.8667,100,0.8667,2025-05-16 17:16:00+00:00
1747418160000,0.8804,0.8804,0.8804,1,0.8804,750,0.8804,2025-05-16 17:56:00+00:00
1747418460000,0.9,0.9,0.899,10,0.8999,4300,0.899828,2025-05-16 18:01:00+00:00
1747419360000,0.8667,0.8667,0.8667,1,0.8667,875,0.8667,2025-05-16 18:16:00+00:00
1747419780000,0.9,0.9,0.9,3,0.9,500,0.9,2025-05-16 18:23:00+00:00
1747424940000,0.882,0.882,0.882,1,0.882,100,0.882,2025-05-16 19:49:00+00:00
1747425180000,0.8667,0.8667,0.8667,4,0.8667,500,0.8667,2025-05-16 19:53:00+00:00
1747425420000,0.88,0.88,0.88,1,0.88,100,0.88,2025-05-16 19:57:00+00:00
1747425480000,0.8667,0.867,0.8667,6,0.867,1096,0.86673,2025-05-16 19:58:00+00:00
1747425600000,0.8667,0.8667,0.8667,1,0.8667,361,0.8667,2025-05-16 20:00:00+00:00
1747661580000,0.8999,0.8999,0.8999,1,0.8999,2300,0.8999,2025-05-19 13:33:00+00:00
1747663020000,0.8799,0.8799,0.879,4,0.879,500,0.879466,2025-05-19 13:57:00+00:00
1747663080000,0.898,0.898,0.898,1,0.898,500,0.898,2025-05-19 13:58:00+00:00
1747663140000,0.8523,0.855,0.8523,21,0.855,4115,0.853515,2025-05-19 13:59:00+00:00
1747663200000,0.898,0.898,0.897,5,0.897,1000,0.89775,2025-05-19 14:00:00+00:00
1747663380000,0.898,0.898,0.898,1,0.898,100,0.898,2025-05-19 14:03:00+00:00
1747663860000,0.898,0.898,0.8979,10,0.898,1822,0.897994,2025-05-19 14:11:00+00:00
1747664040000,0.898,0.9,0.898,5,0.9,497,0.899583,2025-05-19 14:14:00+00:00
1747664640000,0.9,0.9,0.9,3,0.9,1200,0.9,2025-05-19 14:24:00+00:00
1747665060000,0.9,0.9,0.9,2,0.9,1000,0.9,2025-05-19 14:31:00+00:00
