timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757436180000,14.355,14.3702,14.35,34,14.3702,2847,14.363124,2025-09-09 16:43:00+00:00
1757436300000,14.34,14.34,14.34,25,14.34,403,14.34,2025-09-09 16:45:00+00:00
1757436420000,14.315,14.32,14.3125,19,14.32,2250,14.313288,2025-09-09 16:47:00+00:00
1757436480000,14.3,14.32,14.3,18,14.32,469,14.31,2025-09-09 16:48:00+00:00
1757436600000,14.31,14.31,14.31,13,14.31,258,14.31,2025-09-09 16:50:00+00:00
1757436660000,14.285,14.3,14.285,31,14.3,848,14.295,2025-09-09 16:51:00+00:00
1757436720000,14.27,14.27,14.27,8,14.27,661,14.27,2025-09-09 16:52:00+00:00
1757436840000,14.29,14.29,14.26,46,14.26,1594,14.276,2025-09-09 16:54:00+00:00
1757436900000,14.3,14.3,14.3,6,14.3,201,14.3,2025-09-09 16:55:00+00:00
1757437020000,14.3,14.3,14.3,12,14.3,150,14.3,2025-09-09 16:57:00+00:00
1757437080000,14.27,14.28,14.27,14,14.28,700,14.276491,2025-09-09 16:58:00+00:00
1757437140000,14.28,14.28,14.2526,13,14.2526,675,14.25979,2025-09-09 16:59:00+00:00
1757437260000,14.355,14.38,14.2937,49,14.2937,21157,14.316552,2025-09-09 17:01:00+00:00
1757437320000,14.355,14.355,14.355,16,14.355,837,14.355,2025-09-09 17:02:00+00:00
1757437440000,14.38,14.38,14.3444,20,14.3444,861,14.358977,2025-09-09 17:04:00+00:00
1757437500000,14.3865,14.3865,14.3865,5,14.3865,270,14.3865,2025-09-09 17:05:00+00:00
1757437620000,14.3937,14.3937,14.3937,5,14.3937,364,14.3937,2025-09-09 17:07:00+00:00
1757437680000,14.385,14.3887,14.385,16,14.3887,672,14.387775,2025-09-09 17:08:00+00:00
1757437740000,14.4,14.4,14.4,10,14.4,666,14.4,2025-09-09 17:09:00+00:00
1757437800000,14.4,14.4,14.4,17,14.4,3990,14.4,2025-09-09 17:10:00+00:00
1757437860000,14.41,14.41,14.41,17,14.41,465,14.41,2025-09-09 17:11:00+00:00
1757437920000,14.4,14.4,14.4,24,14.4,872,14.4,2025-09-09 17:12:00+00:00
1757437980000,14.38,14.38,14.38,5,14.38,217,14.38,2025-09-09 17:13:00+00:00
1757438100000,14.39,14.39,14.39,4,14.39,130,14.39,2025-09-09 17:15:00+00:00
1757438160000,14.375,14.375,14.375,10,14.375,1369,14.375,2025-09-09 17:16:00+00:00
1757438220000,14.4,14.4,14.4,8,14.4,579,14.4,2025-09-09 17:17:00+00:00
1757438280000,14.385,14.385,14.3645,8,14.3645,685,14.371333,2025-09-09 17:18:00+00:00
1757438400000,14.38,14.385,14.3652,5,14.3652,550,14.37212,2025-09-09 17:20:00+00:00
1757438460000,14.38,14.38,14.38,4,14.38,132,14.38,2025-09-09 17:21:00+00:00
1757438520000,14.44,14.44,14.4011,40,14.4011,1113,14.415697,2025-09-09 17:22:00+00:00
1757438640000,14.39,14.42,14.39,40,14.42,801,14.414545,2025-09-09 17:24:00+00:00
1757438700000,14.36,14.37,14.36,18,14.37,919,14.3625,2025-09-09 17:25:00+00:00
1757438760000,14.335,14.35,14.335,28,14.335,4264,14.336103,2025-09-09 17:26:00+00:00
1757438820000,14.365,14.365,14.365,20,14.365,529,14.365,2025-09-09 17:27:00+00:00
1757438880000,14.34,14.34,14.34,14,14.34,161,14.34,2025-09-09 17:28:00+00:00
1757438940000,14.33,14.33,14.33,16,14.33,1129,14.33,2025-09-09 17:29:00+00:00
1757439000000,14.3286,14.3286,14.3286,9,14.3286,236,14.3286,2025-09-09 17:30:00+00:00
1757439060000,14.33,14.33,14.33,8,14.33,724,14.33,2025-09-09 17:31:00+00:00
1757439120000,14.34,14.34,14.34,6,14.34,228,14.34,2025-09-09 17:32:00+00:00
1757439180000,14.33,14.34,14.33,39,14.33,1919,14.334096,2025-09-09 17:33:00+00:00
1757439240000,14.33,14.33,14.33,4,14.33,1013,14.33,2025-09-09 17:34:00+00:00
1757439300000,14.3292,14.3292,14.31,15,14.3104,3013,14.320885,2025-09-09 17:35:00+00:00
1757439420000,14.31,14.31,14.31,33,14.31,2112,14.31,2025-09-09 17:37:00+00:00
1757439480000,14.32,14.32,14.318,16,14.318,587,14.3195,2025-09-09 17:38:00+00:00
1757439540000,14.33,14.34,14.33,28,14.34,767,14.335,2025-09-09 17:39:00+00:00
1757439600000,14.34,14.34,14.33,13,14.33,450,14.336774,2025-09-09 17:40:00+00:00
