timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753982100000,22.33,22.33,21.985,11,22.0,3437,22.009545,2025-07-31 17:15:00+00:00
1753982220000,22.33,22.33,22.33,8,22.33,228,22.33,2025-07-31 17:17:00+00:00
1753982280000,22.33,22.33,22.33,4,22.33,305,22.33,2025-07-31 17:18:00+00:00
1753982340000,22.32,22.32,22.32,2,22.32,525,22.32,2025-07-31 17:19:00+00:00
1753982520000,22.32,22.32,22.32,5,22.32,501,22.32,2025-07-31 17:22:00+00:00
1753982580000,21.5,21.5,21.4804,7,21.5,1575,21.493982,2025-07-31 17:23:00+00:00
1753982640000,21.6808,22.32,21.6808,3,22.32,270,22.0004,2025-07-31 17:24:00+00:00
1753982820000,22.24,22.24,22.24,2,22.24,150,22.24,2025-07-31 17:27:00+00:00
1753982880000,22.1,22.1,22.1,7,22.1,204,22.1,2025-07-31 17:28:00+00:00
1753983060000,21.82,21.82,21.82,10,21.82,121,21.82,2025-07-31 17:31:00+00:00
1753983420000,21.505,21.505,21.505,11,21.505,161,21.505,2025-07-31 17:37:00+00:00
1753983840000,22.0,22.0,22.0,1,22.0,120,22.0,2025-07-31 17:44:00+00:00
1753983900000,21.8475,21.8475,21.8475,2,21.8475,129,21.8475,2025-07-31 17:45:00+00:00
1753984140000,21.9,21.9,21.9,7,21.9,600,21.9,2025-07-31 17:49:00+00:00
1753984320000,22.1,22.1,21.95,8,21.95,515,22.067672,2025-07-31 17:52:00+00:00
1753984500000,21.9,22.0,21.9,30,22.0,1238,21.916103,2025-07-31 17:55:00+00:00
1753984620000,21.9,21.9,21.9,4,21.9,220,21.9,2025-07-31 17:57:00+00:00
1753984740000,21.9,21.9,21.9,1,21.9,200,21.9,2025-07-31 17:59:00+00:00
1753985400000,22.1,22.1,22.1,3,22.1,102,22.1,2025-07-31 18:10:00+00:00
1753985880000,22.1,22.1,22.1,2,22.1,201,22.1,2025-07-31 18:18:00+00:00
1753986000000,22.08,22.08,22.08,1,22.08,400,22.08,2025-07-31 18:20:00+00:00
1753986120000,22.32,22.32,22.1,25,22.1,919,22.16055,2025-07-31 18:22:00+00:00
1753986240000,22.32,22.32,22.32,24,22.32,463,22.32,2025-07-31 18:24:00+00:00
1753986360000,22.63,22.63,22.63,3,22.63,154,22.63,2025-07-31 18:26:00+00:00
1753986900000,22.01,22.315,22.0,48,22.23,2797,22.089724,2025-07-31 18:35:00+00:00
1753986960000,22.0,22.01,22.0,12,22.01,605,22.0025,2025-07-31 18:36:00+00:00
1753987320000,21.9,22.01,21.9,5,22.01,499,21.949348,2025-07-31 18:42:00+00:00
1753987500000,22.41,22.41,22.41,2,22.41,166,22.41,2025-07-31 18:45:00+00:00
1753987560000,20.96,21.75,20.05,53,21.22,5499,20.467991,2025-07-31 18:46:00+00:00
1753987620000,20.26,20.26,20.05,9,20.05,570,20.1025,2025-07-31 18:47:00+00:00
1753987740000,20.055,21.235,20.05,30,20.35,2334,20.358034,2025-07-31 18:49:00+00:00
1753987800000,20.0,20.34,20.0,14,20.34,946,20.099125,2025-07-31 18:50:00+00:00
1753987860000,20.09,21.15,19.88,31,20.34,4443,20.207735,2025-07-31 18:51:00+00:00
1753987920000,20.21,22.0061,20.21,12,22.0061,717,21.403327,2025-07-31 18:52:00+00:00
1753987980000,20.58,20.58,20.53,8,20.53,270,20.555,2025-07-31 18:53:00+00:00
1753988940000,21.08,21.08,20.58,12,20.58,519,20.709534,2025-07-31 19:09:00+00:00
1753989000000,20.74,20.74,20.74,2,20.74,226,20.74,2025-07-31 19:10:00+00:00
1753989600000,20.37,20.37,20.0,12,20.0,909,20.045012,2025-07-31 19:20:00+00:00
1753989960000,20.6,20.6,20.0,34,20.37,2406,20.182141,2025-07-31 19:26:00+00:00
1753990080000,21.99,21.99,21.99,5,21.99,311,21.99,2025-07-31 19:28:00+00:00
1753990140000,21.99,21.99,20.7005,18,21.1775,2023,21.588625,2025-07-31 19:29:00+00:00
1753990200000,20.5,20.5,20.5,19,20.5,438,20.5,2025-07-31 19:30:00+00:00
1753990260000,20.28,20.28,20.16,16,20.16,496,20.22,2025-07-31 19:31:00+00:00
1753990320000,20.38,20.38,20.38,5,20.38,202,20.38,2025-07-31 19:32:00+00:00
1753990380000,20.135,20.5,20.135,11,20.5,1801,20.34679,2025-07-31 19:33:00+00:00
1753990440000,20.0273,20.26,20.0273,7,20.135,1100,20.0972,2025-07-31 19:34:00+00:00
1753990560000,20.01,20.02,20.01,6,20.02,628,20.015,2025-07-31 19:36:00+00:00
1753990620000,19.8,19.9,19.8,7,19.9,501,19.863801,2025-07-31 19:37:00+00:00
1753990680000,19.8,19.8,19.8,2,19.8,109,19.8,2025-07-31 19:38:00+00:00
1753990800000,19.8,20.3,19.5,10,20.3,1325,19.683653,2025-07-31 19:40:00+00:00
1753990860000,20.04,20.22,19.3,15,19.3,1526,19.788116,2025-07-31 19:41:00+00:00
1753990920000,19.3,19.65,19.3,17,19.65,1277,19.44505,2025-07-31 19:42:00+00:00
1753991040000,19.2,19.3,19.2,18,19.3,1307,19.229851,2025-07-31 19:44:00+00:00
1753991160000,19.21,19.41,19.21,18,19.41,634,19.31,2025-07-31 19:46:00+00:00
1753991220000,19.06,19.4,19.0,17,19.2,3073,19.11844,2025-07-31 19:47:00+00:00
1753991520000,19.9426,19.9426,19.9426,2,19.9426,1000,19.9426,2025-07-31 19:52:00+00:00
1753991820000,19.5,19.55,19.5,11,19.5,700,19.517953,2025-07-31 19:57:00+00:00
1753991940000,19.06,19.94,19.06,30,19.94,1560,19.336293,2025-07-31 19:59:00+00:00
1753992000000,19.06,19.06,19.06,1,19.06,1190,19.06,2025-07-31 20:00:00+00:00
1754055000000,16.97,19.475,16.97,39,19.06,8193,18.607839,2025-08-01 13:30:00+00:00
1754055060000,18.0,18.0,16.97,46,17.15,5938,17.605268,2025-08-01 13:31:00+00:00
1754055120000,19.01,19.04,19.0,4,19.04,301,19.016667,2025-08-01 13:32:00+00:00
1754055180000,19.04,19.04,19.04,9,19.04,456,19.04,2025-08-01 13:33:00+00:00
1754055240000,19.01,19.01,18.0,9,18.0,540,18.673333,2025-08-01 13:34:00+00:00
1754055360000,19.62,19.88,19.31,4,19.88,600,19.595,2025-08-01 13:36:00+00:00
1754055480000,19.01,19.01,19.01,1,19.01,100,19.01,2025-08-01 13:38:00+00:00
1754055540000,19.01,19.01,19.01,2,19.01,501,19.01,2025-08-01 13:39:00+00:00
1754055600000,19.01,19.015,19.01,5,19.01,601,19.011667,2025-08-01 13:40:00+00:00
1754055660000,18.1,19.01,18.1,4,19.01,371,18.539437,2025-08-01 13:41:00+00:00
1754055720000,19.0,19.0,18.5539,11,18.5539,4262,18.893786,2025-08-01 13:42:00+00:00
1754055780000,19.0,19.0494,19.0,5,19.0494,860,19.00907,2025-08-01 13:43:00+00:00
1754055840000,18.8925,18.8925,18.8925,3,18.8925,155,18.8925,2025-08-01 13:44:00+00:00
1754055900000,18.84,19.02,18.8,8,18.8,2416,18.893698,2025-08-01 13:45:00+00:00
1754055960000,19.05,19.05,19.0,12,19.0,838,19.04,2025-08-01 13:46:00+00:00
1754056200000,18.8,18.96,18.8,5,18.96,2300,18.820942,2025-08-01 13:50:00+00:00
1754056260000,19.0,19.05,18.9524,9,18.9524,3762,18.974444,2025-08-01 13:51:00+00:00
1754056380000,19.05,19.05,18.8,17,19.04,2106,18.89095,2025-08-01 13:53:00+00:00
