timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757512320000,2.01,2.02,2.01,15,2.02,740,2.014115,2025-09-10 13:52:00+00:00
1757512380000,2.0345,2.05,2.01,22,2.01,13198,2.02343,2025-09-10 13:53:00+00:00
1757512440000,2.05,2.05,2.01,17,2.03,5201,2.013981,2025-09-10 13:54:00+00:00
1757512500000,1.9761,2.02,1.95,82,2.02,7321,1.964936,2025-09-10 13:55:00+00:00
1757512560000,1.99,1.995,1.99,5,1.995,347,1.991667,2025-09-10 13:56:00+00:00
1757512680000,2.01,2.01,1.97,5,2.01,2000,1.992369,2025-09-10 13:58:00+00:00
1757512740000,1.9548,1.9548,1.9548,1,1.9548,120,1.9548,2025-09-10 13:59:00+00:00
1757512860000,1.9401,1.9401,1.9401,2,1.9401,1077,1.9401,2025-09-10 14:01:00+00:00
1757512920000,1.98,2.05,1.94,12,1.995,2300,1.953,2025-09-10 14:02:00+00:00
1757513040000,2.02,2.06,1.9601,36,1.9601,13627,1.99871,2025-09-10 14:04:00+00:00
1757513100000,2.05,2.05,2.05,4,2.05,157,2.05,2025-09-10 14:05:00+00:00
1757513160000,2.044,2.044,2.021,4,2.021,2101,2.022095,2025-09-10 14:06:00+00:00
1757513220000,1.95,2.035,1.95,11,2.035,1343,1.957727,2025-09-10 14:07:00+00:00
1757513280000,1.95,1.99,1.95,5,1.99,526,1.958717,2025-09-10 14:08:00+00:00
1757513400000,2.03,2.03,2.03,7,2.03,3221,2.03,2025-09-10 14:10:00+00:00
1757513460000,1.9671,1.9671,1.9671,1,1.9671,500,1.9671,2025-09-10 14:11:00+00:00
1757513520000,1.9735,1.9735,1.9735,2,1.9735,599,1.9735,2025-09-10 14:12:00+00:00
1757513580000,2.0,2.0,2.0,4,2.0,212,2.0,2025-09-10 14:13:00+00:00
1757513640000,1.97,1.97,1.97,3,1.97,198,1.97,2025-09-10 14:14:00+00:00
1757513760000,2.07,2.15,1.9701,128,1.9701,28940,2.070191,2025-09-10 14:16:00+00:00
1757513820000,2.09,2.1,2.05,25,2.0701,5473,2.060211,2025-09-10 14:17:00+00:00
1757513880000,2.07,2.07,2.07,2,2.07,534,2.07,2025-09-10 14:18:00+00:00
1757513940000,2.051,2.051,2.051,3,2.051,503,2.051,2025-09-10 14:19:00+00:00
1757514000000,2.04,2.04,2.04,3,2.04,269,2.04,2025-09-10 14:20:00+00:00
1757514060000,2.01,2.01,2.01,3,2.01,205,2.01,2025-09-10 14:21:00+00:00
1757514240000,2.012,2.035,2.01,8,2.012,1881,2.014032,2025-09-10 14:24:00+00:00
1757514420000,2.0225,2.0225,2.0225,5,2.0225,548,2.0225,2025-09-10 14:27:00+00:00
1757514480000,2.03,2.03,2.02,2,2.02,1180,2.028475,2025-09-10 14:28:00+00:00
1757514600000,2.03,2.03,2.03,4,2.03,982,2.03,2025-09-10 14:30:00+00:00
1757514720000,2.03,2.03,2.02,16,2.02,1056,2.024475,2025-09-10 14:32:00+00:00
