timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757527680000,31.85,31.88,31.85,24,31.88,1873,31.852246,2025-09-10 18:08:00+00:00
1757527740000,31.86,31.87,31.85,26,31.85,1702,31.85524,2025-09-10 18:09:00+00:00
1757527800000,31.92,31.92,31.89,40,31.89,2063,31.902857,2025-09-10 18:10:00+00:00
1757527860000,31.9301,31.9301,31.9151,27,31.9151,2107,31.917745,2025-09-10 18:11:00+00:00
1757527920000,31.97,31.975,31.93,64,31.93,3720,31.946464,2025-09-10 18:12:00+00:00
1757527980000,31.96,31.9869,31.96,36,31.9869,2066,31.973701,2025-09-10 18:13:00+00:00
1757528040000,31.93,31.9652,31.93,19,31.93,2431,31.932447,2025-09-10 18:14:00+00:00
1757528100000,31.9,31.9301,31.9,24,31.9301,1186,31.908555,2025-09-10 18:15:00+00:00
1757528160000,31.9,31.9,31.85,85,31.89,4454,31.872535,2025-09-10 18:16:00+00:00
1757528220000,31.95,31.95,31.8501,46,31.8501,3476,31.925303,2025-09-10 18:17:00+00:00
1757528280000,31.9325,31.944,31.93,18,31.944,1510,31.940523,2025-09-10 18:18:00+00:00
1757528340000,31.83,31.91,31.83,62,31.91,3295,31.852554,2025-09-10 18:19:00+00:00
1757528400000,31.892,31.9,31.8345,35,31.84,2151,31.866931,2025-09-10 18:20:00+00:00
1757528520000,31.87,31.88,31.87,26,31.87,1458,31.874444,2025-09-10 18:22:00+00:00
1757528580000,31.81,31.86,31.81,63,31.84,5163,31.831723,2025-09-10 18:23:00+00:00
1757528640000,31.83,31.83,31.83,12,31.83,474,31.83,2025-09-10 18:24:00+00:00
1757528700000,31.85,31.88,31.8201,41,31.86,2384,31.863091,2025-09-10 18:25:00+00:00
1757528760000,31.82,31.82,31.81,29,31.81,844,31.816522,2025-09-10 18:26:00+00:00
1757528820000,31.775,31.8,31.72,95,31.8,5767,31.777427,2025-09-10 18:27:00+00:00
1757528880000,31.75,31.8,31.7359,67,31.8,6390,31.782132,2025-09-10 18:28:00+00:00
1757528940000,31.73,31.73,31.7,65,31.725,3724,31.719729,2025-09-10 18:29:00+00:00
1757529000000,31.735,31.8,31.735,88,31.74,8060,31.769411,2025-09-10 18:30:00+00:00
1757529060000,31.7716,31.78,31.75,27,31.75,1138,31.7629,2025-09-10 18:31:00+00:00
1757529120000,31.75,31.79,31.75,46,31.79,1809,31.769224,2025-09-10 18:32:00+00:00
1757529180000,31.82,31.82,31.76,41,31.76,3735,31.785457,2025-09-10 18:33:00+00:00
1757529240000,31.77,31.79,31.77,17,31.785,2720,31.778569,2025-09-10 18:34:00+00:00
1757529300000,31.77,31.785,31.77,26,31.785,960,31.773632,2025-09-10 18:35:00+00:00
1757529360000,31.73,31.77,31.73,41,31.77,3035,31.748994,2025-09-10 18:36:00+00:00
1757529420000,31.72,31.8,31.72,44,31.745,5226,31.767532,2025-09-10 18:37:00+00:00
1757529480000,31.64,31.76,31.62,79,31.76,5269,31.670451,2025-09-10 18:38:00+00:00
1757529540000,31.75,31.75,31.6451,51,31.66,2745,31.684266,2025-09-10 18:39:00+00:00
1757529600000,31.755,31.77,31.73,16,31.73,1571,31.744372,2025-09-10 18:40:00+00:00
1757529660000,31.71,31.78,31.71,26,31.78,857,31.749,2025-09-10 18:41:00+00:00
1757529720000,31.78,31.78,31.7224,55,31.7224,3110,31.757954,2025-09-10 18:42:00+00:00
1757529780000,31.81,31.81,31.7663,35,31.7663,2292,31.785846,2025-09-10 18:43:00+00:00
1757529840000,31.815,31.829,31.81,29,31.81,1978,31.819286,2025-09-10 18:44:00+00:00
1757529900000,31.855,31.855,31.81,40,31.81,2961,31.838212,2025-09-10 18:45:00+00:00
1757529960000,31.82,31.82,31.82,21,31.82,462,31.82,2025-09-10 18:46:00+00:00
1757530020000,31.79,31.815,31.75,49,31.8,2759,31.796796,2025-09-10 18:47:00+00:00
1757530080000,31.79,31.85,31.78,83,31.79,4491,31.818962,2025-09-10 18:48:00+00:00
1757530140000,31.8005,31.81,31.8005,7,31.81,741,31.802083,2025-09-10 18:49:00+00:00
1757530200000,31.74,31.8,31.74,50,31.8,10677,31.79475,2025-09-10 18:50:00+00:00
1757530260000,31.7,31.7481,31.7,44,31.74,4814,31.740316,2025-09-10 18:51:00+00:00
1757530320000,31.7193,31.73,31.7,26,31.7024,1822,31.719815,2025-09-10 18:52:00+00:00
1757530380000,31.705,31.71,31.705,49,31.71,1549,31.706364,2025-09-10 18:53:00+00:00
1757530440000,31.72,31.72,31.705,69,31.705,2583,31.713929,2025-09-10 18:54:00+00:00
1757530500000,31.78,31.78,31.72,88,31.72,4053,31.755594,2025-09-10 18:55:00+00:00
1757530560000,31.83,31.83,31.79,52,31.79,1741,31.806494,2025-09-10 18:56:00+00:00
1757530620000,31.8117,31.8341,31.81,26,31.83,1917,31.826839,2025-09-10 18:57:00+00:00
1757530680000,31.84,31.84,31.79,11,31.79,481,31.812354,2025-09-10 18:58:00+00:00
1757530740000,31.805,31.805,31.77,35,31.79,1206,31.791906,2025-09-10 18:59:00+00:00
1757530800000,31.75,31.805,31.75,48,31.805,2039,31.765703,2025-09-10 19:00:00+00:00
1757530860000,31.72,31.75,31.72,57,31.75,2708,31.747017,2025-09-10 19:01:00+00:00
1757530920000,31.625,31.71,31.625,64,31.7,3672,31.689475,2025-09-10 19:02:00+00:00
1757530980000,31.6337,31.6552,31.61,38,31.65,2495,31.638714,2025-09-10 19:03:00+00:00
1757531040000,31.575,31.62,31.575,71,31.62,5211,31.606943,2025-09-10 19:04:00+00:00
1757531100000,31.6,31.6,31.55,64,31.55,4551,31.575679,2025-09-10 19:05:00+00:00
1757531160000,31.55,31.5999,31.55,60,31.59,5715,31.563719,2025-09-10 19:06:00+00:00
1757531220000,31.595,31.6184,31.57,71,31.57,4327,31.59228,2025-09-10 19:07:00+00:00
1757531280000,31.6,31.64,31.59,57,31.62,4187,31.605837,2025-09-10 19:08:00+00:00
1757531340000,31.6,31.605,31.6,21,31.605,1024,31.601,2025-09-10 19:09:00+00:00
1757531400000,31.59,31.615,31.59,36,31.61,2217,31.612128,2025-09-10 19:10:00+00:00
1757531460000,31.64,31.645,31.61,77,31.61,3497,31.632072,2025-09-10 19:11:00+00:00
1757531520000,31.6192,31.64,31.61,43,31.64,2479,31.633729,2025-09-10 19:12:00+00:00
1757531580000,31.61,31.61,31.6,27,31.6,636,31.603333,2025-09-10 19:13:00+00:00
