timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755878220000,1.09,1.12,1.0705,1635,1.1087,643749,1.102265,2025-08-22 15:57:00+00:00
1755878280000,1.135,1.16,1.09,1491,1.1,593138,1.13328,2025-08-22 15:58:00+00:00
1755878340000,1.19,1.22,1.13,2241,1.1399,836046,1.180781,2025-08-22 15:59:00+00:00
1755878400000,1.135,1.2,1.1,2670,1.1912,1002476,1.145508,2025-08-22 16:00:00+00:00
1755878460000,1.1,1.14,1.08,1458,1.13,624291,1.100411,2025-08-22 16:01:00+00:00
1755878520000,1.03,1.1,1.03,1311,1.1,593544,1.075569,2025-08-22 16:02:00+00:00
1755878580000,1.05,1.07,1.03,1095,1.0301,427862,1.049624,2025-08-22 16:03:00+00:00
1755878640000,1.11,1.11,1.04,1041,1.04,446112,1.07004,2025-08-22 16:04:00+00:00
1755878700000,1.06,1.12,1.06,973,1.11,520215,1.095904,2025-08-22 16:05:00+00:00
1755878760000,1.15,1.15,1.06,1024,1.065,447890,1.106844,2025-08-22 16:06:00+00:00
1755878820000,1.145,1.17,1.11,1994,1.1442,928399,1.143834,2025-08-22 16:07:00+00:00
1755878880000,1.1399,1.145,1.12,606,1.14,224464,1.13117,2025-08-22 16:08:00+00:00
1755878940000,1.21,1.22,1.13,2698,1.135,1181194,1.191238,2025-08-22 16:09:00+00:00
1755879000000,1.2,1.21,1.16,2102,1.205,951387,1.193024,2025-08-22 16:10:00+00:00
1755879060000,1.2,1.23,1.19,2047,1.2,1167503,1.210284,2025-08-22 16:11:00+00:00
1755879120000,1.185,1.21,1.18,1088,1.2,413888,1.190826,2025-08-22 16:12:00+00:00
1755879180000,1.145,1.19,1.13,1061,1.1892,568976,1.169698,2025-08-22 16:13:00+00:00
1755879240000,1.1694,1.23,1.14,1278,1.145,644881,1.184627,2025-08-22 16:14:00+00:00
1755879300000,1.13,1.17,1.13,998,1.165,406174,1.147683,2025-08-22 16:15:00+00:00
1755879360000,1.175,1.18,1.12,1038,1.1288,484471,1.146401,2025-08-22 16:16:00+00:00
1755879420000,1.1999,1.2,1.16,1203,1.1711,638997,1.189698,2025-08-22 16:17:00+00:00
1755879480000,1.17,1.2,1.15,1259,1.2,609911,1.17541,2025-08-22 16:18:00+00:00
1755879540000,1.16,1.19,1.14,886,1.1699,359944,1.162408,2025-08-22 16:19:00+00:00
1755879600000,1.155,1.17,1.14,577,1.16,225344,1.160059,2025-08-22 16:20:00+00:00
1755879660000,1.13,1.16,1.12,1011,1.1599,328993,1.134011,2025-08-22 16:21:00+00:00
1755879720000,1.13,1.1594,1.13,621,1.13,218708,1.138361,2025-08-22 16:22:00+00:00
1755879780000,1.13,1.15,1.13,480,1.13,157057,1.134353,2025-08-22 16:23:00+00:00
1755879840000,1.075,1.14,1.05,2133,1.135,1004636,1.079595,2025-08-22 16:24:00+00:00
1755879900000,1.085,1.11,1.07,727,1.08,253601,1.085274,2025-08-22 16:25:00+00:00
1755879960000,1.09,1.1,1.08,389,1.085,213183,1.087323,2025-08-22 16:26:00+00:00
1755880020000,1.1392,1.16,1.09,984,1.0999,513232,1.128017,2025-08-22 16:27:00+00:00
1755880080000,1.1407,1.16,1.11,692,1.14,377662,1.131899,2025-08-22 16:28:00+00:00
1755880140000,1.14,1.19,1.14,1440,1.15,741073,1.163039,2025-08-22 16:29:00+00:00
1755880200000,1.16,1.16,1.14,469,1.141,187157,1.152516,2025-08-22 16:30:00+00:00
1755880260000,1.16,1.18,1.15,838,1.15,549444,1.168907,2025-08-22 16:31:00+00:00
1755880320000,1.17,1.17,1.15,481,1.1687,212617,1.163774,2025-08-22 16:32:00+00:00
1755880380000,1.1411,1.18,1.12,1018,1.16,548060,1.15133,2025-08-22 16:33:00+00:00
1755880440000,1.135,1.15,1.12,484,1.1408,195161,1.131309,2025-08-22 16:34:00+00:00
1755880500000,1.14,1.15,1.12,353,1.1399,166431,1.138692,2025-08-22 16:35:00+00:00
1755880560000,1.15,1.16,1.09,1149,1.135,522338,1.126909,2025-08-22 16:36:00+00:00
1755880620000,1.145,1.16,1.1393,455,1.14,269027,1.151031,2025-08-22 16:37:00+00:00
1755880680000,1.145,1.15,1.14,161,1.145,54568,1.142851,2025-08-22 16:38:00+00:00
1755880740000,1.132,1.15,1.12,340,1.14,147928,1.134706,2025-08-22 16:39:00+00:00
1755880800000,1.1287,1.14,1.12,245,1.135,94182,1.131847,2025-08-22 16:40:00+00:00
1755880860000,1.06,1.13,1.06,1070,1.125,484573,1.093293,2025-08-22 16:41:00+00:00
1755880920000,1.095,1.1,1.065,461,1.069,165091,1.085039,2025-08-22 16:42:00+00:00
1755880980000,1.085,1.1098,1.085,289,1.0999,136920,1.094555,2025-08-22 16:43:00+00:00
1755881040000,1.0813,1.1,1.07,303,1.09,162731,1.086868,2025-08-22 16:44:00+00:00
1755881100000,1.02,1.09,1.0,1425,1.0881,573952,1.040613,2025-08-22 16:45:00+00:00
1755881160000,1.011,1.04,1.01,606,1.02,311609,1.022228,2025-08-22 16:46:00+00:00
1755881220000,1.06,1.06,1.011,503,1.02,194343,1.042461,2025-08-22 16:47:00+00:00
1755881280000,1.03,1.055,1.02,372,1.05,136154,1.035008,2025-08-22 16:48:00+00:00
1755881340000,1.03,1.06,1.02,307,1.02,139091,1.042546,2025-08-22 16:49:00+00:00
1755881400000,1.02,1.0388,1.02,277,1.0301,147279,1.025024,2025-08-22 16:50:00+00:00
1755881460000,1.02,1.03,0.9801,717,1.02,383806,1.006175,2025-08-22 16:51:00+00:00
1755881520000,1.005,1.02,1.0,219,1.015,93013,1.008252,2025-08-22 16:52:00+00:00
1755881580000,1.015,1.02,1.0,201,1.0,97067,1.006855,2025-08-22 16:53:00+00:00
1755881640000,0.9957,1.02,0.9814,367,1.015,139974,1.005963,2025-08-22 16:54:00+00:00
1755881700000,1.0,1.02,0.99,236,0.99,83091,0.99719,2025-08-22 16:55:00+00:00
1755881760000,0.9977,1.01,0.9935,231,0.9982,72732,0.999248,2025-08-22 16:56:00+00:00
1755881820000,1.02,1.02,0.99,383,0.9983,152758,0.996841,2025-08-22 16:57:00+00:00
1755881880000,1.01,1.02,1.01,194,1.0199,80692,1.017662,2025-08-22 16:58:00+00:00
1755881940000,1.0211,1.03,1.01,224,1.0188,93669,1.021936,2025-08-22 16:59:00+00:00
1755882000000,1.011,1.03,1.0,276,1.02,97230,1.013825,2025-08-22 17:00:00+00:00
1755882060000,1.02,1.03,1.01,182,1.015,60913,1.019776,2025-08-22 17:01:00+00:00
1755882120000,1.0206,1.03,1.02,57,1.028,22951,1.02431,2025-08-22 17:02:00+00:00
1755882180000,1.035,1.04,1.02,157,1.03,53004,1.032482,2025-08-22 17:03:00+00:00
1755882240000,1.0405,1.05,1.03,359,1.03,142392,1.046076,2025-08-22 17:04:00+00:00
1755882300000,1.0694,1.08,1.042,574,1.045,261756,1.061822,2025-08-22 17:05:00+00:00
1755882360000,1.07,1.08,1.06,510,1.07,253742,1.074262,2025-08-22 17:06:00+00:00
1755882420000,1.04,1.08,1.04,645,1.08,295346,1.056811,2025-08-22 17:07:00+00:00
1755882480000,1.065,1.07,1.03,291,1.04,139525,1.054856,2025-08-22 17:08:00+00:00
1755882540000,1.08,1.09,1.06,297,1.0605,170640,1.076697,2025-08-22 17:09:00+00:00
1755882600000,1.06,1.09,1.06,306,1.0899,116591,1.07297,2025-08-22 17:10:00+00:00
1755882660000,1.0309,1.07,1.03,291,1.06,161974,1.049446,2025-08-22 17:11:00+00:00
1755882720000,1.045,1.05,1.03,192,1.035,76142,1.040624,2025-08-22 17:12:00+00:00
1755882780000,1.04,1.05,1.04,214,1.04,61721,1.043778,2025-08-22 17:13:00+00:00
1755882840000,1.035,1.05,1.03,331,1.04,92797,1.037616,2025-08-22 17:14:00+00:00
1755882900000,1.02,1.04,1.01,475,1.03,120727,1.02305,2025-08-22 17:15:00+00:00
1755882960000,1.06,1.069,1.02,225,1.02,89301,1.039324,2025-08-22 17:16:00+00:00
1755883020000,1.0491,1.07,1.04,178,1.06,55313,1.053351,2025-08-22 17:17:00+00:00
1755883080000,1.04,1.05,1.04,48,1.04,33321,1.043748,2025-08-22 17:18:00+00:00
1755883140000,1.05,1.05,1.04,80,1.04,35618,1.045909,2025-08-22 17:19:00+00:00
