timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757513040000,31.68,31.68,31.45,93,31.45,20893,31.513816,2025-09-10 14:04:00+00:00
1757513100000,31.58,31.75,31.58,57,31.6849,5631,31.684607,2025-09-10 14:05:00+00:00
1757513160000,31.7,31.7,31.528,44,31.59,15798,31.582921,2025-09-10 14:06:00+00:00
1757513220000,31.76,31.76,31.55,34,31.71,11170,31.70716,2025-09-10 14:07:00+00:00
1757513280000,31.7,31.7354,31.52,27,31.715,3718,31.610785,2025-09-10 14:08:00+00:00
1757513340000,31.88,31.88,31.6608,78,31.6608,10047,31.7891,2025-09-10 14:09:00+00:00
1757513400000,31.91,32.198,31.9,154,31.9,28034,32.030811,2025-09-10 14:10:00+00:00
1757513460000,31.88,32.006,31.76,42,31.95,5680,31.956862,2025-09-10 14:11:00+00:00
1757513520000,31.775,31.87,31.7,25,31.8,3065,31.789573,2025-09-10 14:12:00+00:00
1757513580000,31.71,31.8,31.71,25,31.79,1719,31.758189,2025-09-10 14:13:00+00:00
1757513640000,31.34,31.6,31.34,110,31.6,12403,31.490641,2025-09-10 14:14:00+00:00
1757513700000,31.18,31.33,31.1,94,31.33,11451,31.165825,2025-09-10 14:15:00+00:00
1757513760000,31.1,31.22,31.0101,37,31.2071,5303,31.147282,2025-09-10 14:16:00+00:00
1757513820000,31.1237,31.2722,31.1237,26,31.135,2024,31.22036,2025-09-10 14:17:00+00:00
1757513880000,30.96,31.13,30.96,29,31.115,1964,31.050948,2025-09-10 14:18:00+00:00
1757513940000,31.135,31.14,31.135,13,31.14,692,31.137222,2025-09-10 14:19:00+00:00
1757514000000,31.25,31.3,31.2,17,31.2,7086,31.285493,2025-09-10 14:20:00+00:00
1757514060000,31.16,31.186,31.12,24,31.186,1566,31.146,2025-09-10 14:21:00+00:00
1757514120000,31.291,31.291,31.1435,50,31.15,1816,31.168837,2025-09-10 14:22:00+00:00
1757514180000,31.27,31.289,31.27,11,31.289,515,31.2814,2025-09-10 14:23:00+00:00
1757514240000,31.09,31.1715,31.09,12,31.1715,440,31.137167,2025-09-10 14:24:00+00:00
1757514300000,31.178,31.2,31.1155,10,31.1155,1659,31.182413,2025-09-10 14:25:00+00:00
1757514360000,31.16,31.16,31.1,25,31.12,1625,31.113077,2025-09-10 14:26:00+00:00
1757514420000,31.1487,31.1487,31.05,12,31.07,1345,31.089404,2025-09-10 14:27:00+00:00
1757514480000,31.05,31.15,31.05,14,31.15,906,31.063369,2025-09-10 14:28:00+00:00
1757514540000,31.31,31.32,31.22,31,31.22,2214,31.297368,2025-09-10 14:29:00+00:00
1757514600000,31.2,31.32,31.2,36,31.32,2461,31.254699,2025-09-10 14:30:00+00:00
1757514660000,31.26,31.26,31.2,13,31.26,1797,31.246679,2025-09-10 14:31:00+00:00
1757514720000,31.279,31.3623,31.2378,14,31.3623,2690,31.304813,2025-09-10 14:32:00+00:00
1757514780000,31.18,31.2654,31.18,16,31.2654,1300,31.214078,2025-09-10 14:33:00+00:00
1757514840000,31.11,31.11,31.06,30,31.09,1661,31.096364,2025-09-10 14:34:00+00:00
1757514900000,30.9635,31.1,30.9635,37,31.06,3041,31.01856,2025-09-10 14:35:00+00:00
1757514960000,30.8,30.97,30.6801,80,30.97,26464,30.723107,2025-09-10 14:36:00+00:00
1757515020000,30.78,30.85,30.7137,38,30.74,2537,30.768409,2025-09-10 14:37:00+00:00
1757515080000,30.8,30.85,30.7795,25,30.81,2217,30.820061,2025-09-10 14:38:00+00:00
1757515140000,30.85,30.9,30.813,32,30.9,2529,30.835748,2025-09-10 14:39:00+00:00
1757515200000,30.72,30.78,30.71,32,30.78,1850,30.747513,2025-09-10 14:40:00+00:00
1757515260000,30.7,30.7994,30.7,22,30.77,1831,30.734926,2025-09-10 14:41:00+00:00
1757515320000,30.51,30.68,30.49,118,30.68,9364,30.556085,2025-09-10 14:42:00+00:00
1757515380000,30.505,30.53,30.44,31,30.44,6520,30.491096,2025-09-10 14:43:00+00:00
1757515440000,30.52,30.553,30.48,40,30.51,4215,30.498292,2025-09-10 14:44:00+00:00
1757515500000,30.3715,30.52,30.3715,34,30.52,2345,30.474334,2025-09-10 14:45:00+00:00
1757515560000,30.24,30.3,30.2,67,30.3,4830,30.246604,2025-09-10 14:46:00+00:00
1757515620000,30.28,30.37,30.21,31,30.21,3504,30.339765,2025-09-10 14:47:00+00:00
1757515680000,30.35,30.35,30.19,41,30.2695,5894,30.256699,2025-09-10 14:48:00+00:00
1757515740000,30.2945,30.3,30.27,18,30.28,3852,30.286987,2025-09-10 14:49:00+00:00
1757515800000,30.3,30.3,30.25,12,30.25,401,30.275,2025-09-10 14:50:00+00:00
1757515860000,30.1762,30.34,30.17,61,30.2894,5497,30.232958,2025-09-10 14:51:00+00:00
1757515920000,30.4815,30.5708,30.4572,35,30.4572,15924,30.547631,2025-09-10 14:52:00+00:00
1757515980000,30.635,30.6717,30.63,16,30.63,1070,30.6533,2025-09-10 14:53:00+00:00
1757516040000,30.76,30.76,30.67,33,30.67,3435,30.680882,2025-09-10 14:54:00+00:00
