timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,86.2,86.2,84.25,6733,84.25,651371,85.321514,2025-09-15 13:30:00+00:00
1757943060000,87.4699,87.5,85.88,4935,86.135,475573,86.721858,2025-09-15 13:31:00+00:00
1757943120000,88.8,89.4564,87.44,5394,87.5,492584,88.409082,2025-09-15 13:32:00+00:00
1757943180000,87.35,89.15,87.11,4868,88.87,337657,88.295223,2025-09-15 13:33:00+00:00
1757943240000,86.0055,88.04,85.63,3209,87.27,334361,87.22294,2025-09-15 13:34:00+00:00
1757943300000,85.64,86.7,85.36,1946,86.1275,140614,85.999304,2025-09-15 13:35:00+00:00
1757943360000,85.24,86.4475,85.0,1973,85.69,124538,85.797678,2025-09-15 13:36:00+00:00
1757943420000,85.29,86.0199,85.25,1396,85.31,123277,85.740499,2025-09-15 13:37:00+00:00
1757943480000,85.65,85.98,85.23,1006,85.33,74409,85.711572,2025-09-15 13:38:00+00:00
1757943540000,85.4405,86.0,85.1,1305,85.7499,112724,85.53005,2025-09-15 13:39:00+00:00
1757943600000,85.91,86.3,85.2701,1390,85.2701,106721,86.012177,2025-09-15 13:40:00+00:00
1757943660000,85.3595,86.13,85.21,1191,85.975,97779,85.791468,2025-09-15 13:41:00+00:00
1757943720000,85.33,86.04,85.25,1049,85.4098,68381,85.632237,2025-09-15 13:42:00+00:00
1757943780000,83.79,85.7,83.75,2810,85.36,216800,84.60151,2025-09-15 13:43:00+00:00
1757943840000,83.685,84.11,83.43,1834,83.75,146650,83.778454,2025-09-15 13:44:00+00:00
1757943900000,83.68,83.8799,83.3,1249,83.69,83207,83.614944,2025-09-15 13:45:00+00:00
1757943960000,84.4,84.536,83.66,1028,83.74,74036,84.169095,2025-09-15 13:46:00+00:00
1757944020000,84.0759,84.35,83.74,934,84.35,75204,84.059598,2025-09-15 13:47:00+00:00
1757944080000,84.18,84.4985,83.99,711,84.15,65128,84.255489,2025-09-15 13:48:00+00:00
1757944140000,84.3899,84.45,83.835,722,84.1413,70791,84.127982,2025-09-15 13:49:00+00:00
1757944200000,84.31,84.52,84.21,702,84.385,69799,84.407133,2025-09-15 13:50:00+00:00
1757944260000,84.6844,84.8,84.25,845,84.4205,71590,84.466142,2025-09-15 13:51:00+00:00
1757944320000,84.7299,84.83,84.59,570,84.69,40568,84.70084,2025-09-15 13:52:00+00:00
1757944380000,84.875,85.02,84.67,879,84.691,68011,84.86492,2025-09-15 13:53:00+00:00
1757944440000,85.4085,85.46,84.75,655,84.88,46722,85.148184,2025-09-15 13:54:00+00:00
1757944500000,84.95,85.41,84.9111,779,85.41,53384,85.160122,2025-09-15 13:55:00+00:00
1757944560000,85.36,85.56,84.743,820,84.925,60337,85.188996,2025-09-15 13:56:00+00:00
1757944620000,85.722,85.8094,85.32,847,85.38,59453,85.594078,2025-09-15 13:57:00+00:00
1757944680000,86.1,86.16,85.7,1258,85.74,110907,85.94058,2025-09-15 13:58:00+00:00
1757944740000,86.09,86.2,85.87,696,85.979,53341,86.070412,2025-09-15 13:59:00+00:00
1757944800000,85.6926,86.2222,85.64,1094,86.13,74320,86.004266,2025-09-15 14:00:00+00:00
1757944860000,85.56,85.99,85.5,798,85.6951,60073,85.705683,2025-09-15 14:01:00+00:00
1757944920000,85.185,85.57,85.09,803,85.5108,61394,85.2941,2025-09-15 14:02:00+00:00
1757944980000,85.2,85.47,85.02,680,85.2,44196,85.214037,2025-09-15 14:03:00+00:00
1757945040000,85.34,85.57,85.14,555,85.14,52484,85.383382,2025-09-15 14:04:00+00:00
1757945100000,85.27,85.5868,85.25,573,85.324,41032,85.42088,2025-09-15 14:05:00+00:00
1757945160000,84.84,85.34,84.76,835,85.27,59515,85.069976,2025-09-15 14:06:00+00:00
1757945220000,84.83,84.99,84.73,708,84.79,53898,84.825634,2025-09-15 14:07:00+00:00
1757945280000,85.165,85.33,84.84,572,84.88,39815,84.994984,2025-09-15 14:08:00+00:00
1757945340000,84.71,85.26,84.59,993,85.1835,71861,84.854107,2025-09-15 14:09:00+00:00
1757945400000,84.88,84.95,84.54,560,84.7,45038,84.727905,2025-09-15 14:10:00+00:00
1757945460000,84.6013,84.8784,84.55,450,84.8784,27067,84.754375,2025-09-15 14:11:00+00:00
1757945520000,84.68,85.11,84.59,555,84.5947,65685,84.825088,2025-09-15 14:12:00+00:00
1757945580000,84.6865,84.8999,84.635,357,84.68,16884,84.761915,2025-09-15 14:13:00+00:00
1757945640000,84.84,84.9198,84.6401,473,84.7,37596,84.84341,2025-09-15 14:14:00+00:00
1757945700000,85.2251,85.25,84.8,601,84.81,45342,85.060795,2025-09-15 14:15:00+00:00
1757945760000,85.0095,85.34,84.895,489,85.255,37529,85.088602,2025-09-15 14:16:00+00:00
1757945820000,84.65,85.08,84.6,549,85.08,41867,84.794935,2025-09-15 14:17:00+00:00
1757945880000,84.85,84.99,84.6,374,84.63,23825,84.832665,2025-09-15 14:18:00+00:00
1757945940000,84.86,84.9699,84.7,269,84.8711,19357,84.847198,2025-09-15 14:19:00+00:00
1757946000000,85.45,85.61,84.86,778,84.86,76081,85.275175,2025-09-15 14:20:00+00:00
1757946060000,85.36,85.65,85.21,605,85.505,48770,85.434114,2025-09-15 14:21:00+00:00
1757946120000,85.443,85.4999,85.24,336,85.32,37967,85.330984,2025-09-15 14:22:00+00:00
1757946180000,85.7,85.73,85.37,506,85.425,37591,85.539229,2025-09-15 14:23:00+00:00
1757946240000,85.99,86.05,85.62,859,85.6825,96253,85.890786,2025-09-15 14:24:00+00:00
1757946300000,86.03,86.2,85.81,900,85.92,59095,85.99357,2025-09-15 14:25:00+00:00
1757946360000,85.8505,86.1,85.835,655,86.06,62979,85.991564,2025-09-15 14:26:00+00:00
1757946420000,85.925,86.04,85.7726,421,85.7726,33577,85.903629,2025-09-15 14:27:00+00:00
1757946480000,86.04,86.04,85.79,335,85.84,24975,85.891635,2025-09-15 14:28:00+00:00
1757946540000,85.755,86.035,85.66,534,86.035,56161,85.861621,2025-09-15 14:29:00+00:00
1757946600000,85.755,85.81,85.45,518,85.8,39981,85.610049,2025-09-15 14:30:00+00:00
1757946660000,85.055,85.73,84.9,642,85.6341,46454,85.280977,2025-09-15 14:31:00+00:00
1757946720000,85.555,85.61,85.0654,368,85.08,22816,85.337642,2025-09-15 14:32:00+00:00
1757946780000,85.8,85.8,85.5419,281,85.69,21128,85.669501,2025-09-15 14:33:00+00:00
1757946840000,85.83,85.86,85.733,320,85.78,33051,85.813241,2025-09-15 14:34:00+00:00
1757946900000,85.993,86.0,85.7849,420,85.8378,30717,85.876291,2025-09-15 14:35:00+00:00
1757946960000,86.04,86.05,85.85,703,85.98,47411,85.9626,2025-09-15 14:36:00+00:00
1757947020000,86.24,86.374,85.9,783,86.0,70529,86.174435,2025-09-15 14:37:00+00:00
1757947080000,86.265,86.4,86.175,630,86.24,58047,86.278655,2025-09-15 14:38:00+00:00
1757947140000,86.5785,86.5825,86.2301,778,86.265,72436,86.483315,2025-09-15 14:39:00+00:00
1757947200000,86.75,86.91,86.49,810,86.59,64515,86.676527,2025-09-15 14:40:00+00:00
1757947260000,86.625,86.8305,86.61,556,86.75,45658,86.705238,2025-09-15 14:41:00+00:00
1757947320000,86.76,86.79,86.5501,501,86.635,36699,86.668456,2025-09-15 14:42:00+00:00
1757947380000,86.88,87.0499,86.75,1103,86.77,94073,86.929111,2025-09-15 14:43:00+00:00
1757947440000,86.97,87.0655,86.87,538,86.93,41361,86.960576,2025-09-15 14:44:00+00:00
1757947500000,86.84,86.953,86.58,511,86.953,32696,86.789887,2025-09-15 14:45:00+00:00
1757947560000,86.81,87.0,86.67,374,86.88,37900,86.827354,2025-09-15 14:46:00+00:00
1757947620000,87.005,87.0798,86.79,611,86.79,47782,86.951937,2025-09-15 14:47:00+00:00
