timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,1.07,1.07,1.07,2,1.07,1338,1.07,2025-09-02 13:30:00+00:00
1756819980000,1.085,1.085,1.085,2,1.085,506,1.085,2025-09-02 13:33:00+00:00
1756820040000,1.072,1.072,1.07,4,1.07,3105,1.070323,2025-09-02 13:34:00+00:00
1756820160000,1.08,1.08,1.07,6,1.071,4712,1.070408,2025-09-02 13:36:00+00:00
1756820280000,1.08,1.08,1.07,2,1.07,333,1.075345,2025-09-02 13:38:00+00:00
1756820340000,1.0701,1.0701,1.0701,4,1.0701,372,1.0701,2025-09-02 13:39:00+00:00
1756820820000,1.09,1.09,1.09,1,1.09,100,1.09,2025-09-02 13:47:00+00:00
1756820880000,1.1016,1.1016,1.0998,24,1.0998,15599,1.100023,2025-09-02 13:48:00+00:00
1756821240000,1.11,1.1101,1.11,4,1.1101,400,1.110072,2025-09-02 13:54:00+00:00
1756821360000,1.12,1.12,1.115,9,1.115,3835,1.118858,2025-09-02 13:56:00+00:00
1756821480000,1.1265,1.1265,1.1265,1,1.1265,3000,1.1265,2025-09-02 13:58:00+00:00
1756821600000,1.12,1.1426,1.12,5,1.13,2081,1.131808,2025-09-02 14:00:00+00:00
1756821660000,1.1312,1.1312,1.1312,2,1.1312,193,1.1312,2025-09-02 14:01:00+00:00
1756821720000,1.12,1.1299,1.12,12,1.1299,1470,1.12076,2025-09-02 14:02:00+00:00
1756821780000,1.09,1.09,1.09,5,1.09,1113,1.09,2025-09-02 14:03:00+00:00
1756821900000,1.12,1.12,1.12,6,1.12,24950,1.12,2025-09-02 14:05:00+00:00
1756821960000,1.12,1.12,1.12,3,1.12,2526,1.12,2025-09-02 14:06:00+00:00
1756822020000,1.1178,1.1178,1.1178,1,1.1178,500,1.1178,2025-09-02 14:07:00+00:00
1756822200000,1.1009,1.1009,1.1009,4,1.1009,203,1.1009,2025-09-02 14:10:00+00:00
1756822260000,1.115,1.115,1.115,1,1.115,200,1.115,2025-09-02 14:11:00+00:00
1756822380000,1.12,1.12,1.12,1,1.12,671,1.12,2025-09-02 14:13:00+00:00
1756822980000,1.1,1.11,1.1,10,1.11,7520,1.101062,2025-09-02 14:23:00+00:00
1756823100000,1.1008,1.1008,1.1008,1,1.1008,500,1.1008,2025-09-02 14:25:00+00:00
1756823400000,1.1,1.11,1.1,11,1.11,2800,1.100357,2025-09-02 14:30:00+00:00
1756823460000,1.11,1.11,1.1,9,1.1003,1920,1.105865,2025-09-02 14:31:00+00:00
1756824120000,1.1,1.1001,1.08,63,1.1001,20566,1.092217,2025-09-02 14:42:00+00:00
1756824300000,1.1,1.1,1.1,1,1.1,560,1.1,2025-09-02 14:45:00+00:00
1756824420000,1.1001,1.1001,1.1001,1,1.1001,1000,1.1001,2025-09-02 14:47:00+00:00
1756824720000,1.103,1.103,1.103,1,1.103,425,1.103,2025-09-02 14:52:00+00:00
1756825140000,1.1,1.1,1.1,1,1.1,300,1.1,2025-09-02 14:59:00+00:00
1756825260000,1.1001,1.1001,1.1,51,1.1,4184,1.100043,2025-09-02 15:01:00+00:00
1756825380000,1.1004,1.1099,1.1,4,1.1,893,1.101477,2025-09-02 15:03:00+00:00
1756825620000,1.105,1.105,1.105,2,1.105,128,1.105,2025-09-02 15:07:00+00:00
1756825680000,1.1036,1.1036,1.1036,2,1.1036,305,1.1036,2025-09-02 15:08:00+00:00
1756825980000,1.1001,1.1001,1.1001,1,1.1001,1000,1.1001,2025-09-02 15:13:00+00:00
1756826040000,1.1076,1.1076,1.1076,1,1.1076,500,1.1076,2025-09-02 15:14:00+00:00
1756826100000,1.1,1.105,1.1,3,1.105,4000,1.101625,2025-09-02 15:15:00+00:00
1756826520000,1.1,1.1,1.1,34,1.1,3037,1.1,2025-09-02 15:22:00+00:00
1756826640000,1.1,1.1,1.1,1,1.1,310,1.1,2025-09-02 15:24:00+00:00
1756826760000,1.1,1.1,1.1,3,1.1,25620,1.1,2025-09-02 15:26:00+00:00
1756826880000,1.1074,1.1074,1.1074,2,1.1074,507,1.1074,2025-09-02 15:28:00+00:00
