timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757515020000,7.919,7.98,7.9,125,7.98,17234,7.918811,2025-09-10 14:37:00+00:00
1757515080000,7.87,7.9,7.87,41,7.9,1177,7.883333,2025-09-10 14:38:00+00:00
1757515140000,7.87,7.8861,7.87,6,7.8861,594,7.883371,2025-09-10 14:39:00+00:00
1757515200000,7.8749,7.88,7.8749,9,7.88,405,7.8766,2025-09-10 14:40:00+00:00
1757515260000,7.873,7.9036,7.87,14,7.89,2401,7.879903,2025-09-10 14:41:00+00:00
1757515320000,7.9115,7.9115,7.88,13,7.88,2555,7.903008,2025-09-10 14:42:00+00:00
1757515380000,7.9199,7.9199,7.9199,7,7.9199,796,7.9199,2025-09-10 14:43:00+00:00
1757515440000,7.878,7.91,7.878,49,7.8884,4471,7.896097,2025-09-10 14:44:00+00:00
1757515500000,8.04,8.05,7.8826,189,7.8826,35005,7.99587,2025-09-10 14:45:00+00:00
1757515560000,8.18,8.25,8.02,179,8.0498,41304,8.181608,2025-09-10 14:46:00+00:00
1757515620000,8.1451,8.19,8.14,28,8.19,1623,8.159274,2025-09-10 14:47:00+00:00
1757515680000,8.1771,8.19,8.1015,97,8.12,31924,8.159686,2025-09-10 14:48:00+00:00
1757515740000,8.16,8.2095,8.16,62,8.2095,8219,8.197907,2025-09-10 14:49:00+00:00
1757515800000,8.1269,8.1893,8.1269,12,8.1893,1117,8.147182,2025-09-10 14:50:00+00:00
1757515860000,8.15,8.2,8.1288,75,8.1288,4474,8.172303,2025-09-10 14:51:00+00:00
1757515920000,8.15,8.16,8.1,12,8.1,10897,8.108953,2025-09-10 14:52:00+00:00
1757515980000,8.15,8.16,8.15,14,8.16,2135,8.151564,2025-09-10 14:53:00+00:00
1757516040000,8.1485,8.1485,8.1485,2,8.1485,179,8.1485,2025-09-10 14:54:00+00:00
1757516100000,8.1599,8.1599,8.145,18,8.145,1220,8.157014,2025-09-10 14:55:00+00:00
1757516160000,8.0968,8.16,8.07,91,8.145,21054,8.085767,2025-09-10 14:56:00+00:00
1757516220000,8.14,8.17,8.105,37,8.12,6689,8.154272,2025-09-10 14:57:00+00:00
1757516280000,8.2,8.22,8.145,85,8.145,15885,8.20318,2025-09-10 14:58:00+00:00
1757516340000,8.21,8.21,8.19,29,8.19,2121,8.198039,2025-09-10 14:59:00+00:00
1757516400000,8.1901,8.212,8.19,13,8.212,2159,8.206761,2025-09-10 15:00:00+00:00
1757516460000,8.2,8.2199,8.2,38,8.2199,4406,8.212057,2025-09-10 15:01:00+00:00
1757516520000,8.16,8.1795,8.16,26,8.1795,737,8.170833,2025-09-10 15:02:00+00:00
1757516580000,8.17,8.2,8.16,57,8.16,2006,8.177641,2025-09-10 15:03:00+00:00
1757516640000,8.1201,8.16,8.1201,18,8.16,1274,8.123727,2025-09-10 15:04:00+00:00
1757516700000,8.1229,8.16,8.1208,13,8.1248,806,8.127098,2025-09-10 15:05:00+00:00
1757516760000,8.111,8.13,8.111,23,8.1242,1512,8.120263,2025-09-10 15:06:00+00:00
1757516820000,8.1437,8.1437,8.14,7,8.14,236,8.14185,2025-09-10 15:07:00+00:00
1757516880000,8.14,8.15,8.13,43,8.15,3548,8.139424,2025-09-10 15:08:00+00:00
1757516940000,8.1468,8.15,8.14,8,8.14,697,8.148101,2025-09-10 15:09:00+00:00
1757517000000,8.15,8.15,8.15,11,8.15,752,8.15,2025-09-10 15:10:00+00:00
1757517120000,8.14,8.14,8.14,18,8.14,1033,8.14,2025-09-10 15:12:00+00:00
1757517180000,8.13,8.13,8.13,14,8.13,462,8.13,2025-09-10 15:13:00+00:00
