timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754573880000,35.76,35.76,35.76,2,35.76,161,35.76,2025-08-07 13:38:00+00:00
1754575080000,41.94,41.94,41.94,3,41.94,406,41.94,2025-08-07 13:58:00+00:00
1754575440000,41.94,41.94,41.94,1,41.94,250,41.94,2025-08-07 14:04:00+00:00
1754575680000,35.98,35.98,35.98,18,35.98,801,35.98,2025-08-07 14:08:00+00:00
1754576460000,30.85,30.85,30.85,23,30.85,1278,30.85,2025-08-07 14:21:00+00:00
1754577060000,21.39,21.39,21.39,3,21.39,836,21.39,2025-08-07 14:31:00+00:00
1754577120000,20.25,20.25,20.0,39,20.0,5325,20.221774,2025-08-07 14:32:00+00:00
1754577180000,19.91,20.25,19.0,33,20.1,8479,19.925868,2025-08-07 14:33:00+00:00
1754577300000,20.17,20.17,20.17,5,20.17,156,20.17,2025-08-07 14:35:00+00:00
1754577360000,19.9,19.97,19.9,15,19.97,592,19.93,2025-08-07 14:36:00+00:00
1754577420000,19.85,20.0,19.85,6,20.0,824,19.86875,2025-08-07 14:37:00+00:00
1754577480000,19.75,20.075,19.75,11,20.075,10877,19.811449,2025-08-07 14:38:00+00:00
1754577540000,20.0,20.0,19.79,8,19.8,12175,19.832479,2025-08-07 14:39:00+00:00
1754577600000,19.75,19.75,19.7465,7,19.7465,323,19.74825,2025-08-07 14:40:00+00:00
1754577660000,19.67,19.67,19.56,14,19.56,3444,19.592932,2025-08-07 14:41:00+00:00
1754577720000,19.535,19.6,19.535,10,19.6,912,19.556655,2025-08-07 14:42:00+00:00
1754577780000,19.5,19.5,19.5,4,19.5,194,19.5,2025-08-07 14:43:00+00:00
1754577840000,19.52,19.52,19.52,3,19.52,201,19.52,2025-08-07 14:44:00+00:00
1754577900000,19.6,19.6,19.53,8,19.53,2752,19.548148,2025-08-07 14:45:00+00:00
1754577960000,19.25,19.27,19.21,10,19.27,1597,19.243898,2025-08-07 14:46:00+00:00
1754578020000,19.2,19.21,19.2,3,19.21,201,19.205,2025-08-07 14:47:00+00:00
1754578080000,19.37,19.37,19.37,5,19.37,839,19.37,2025-08-07 14:48:00+00:00
1754578140000,19.23,19.39,19.23,11,19.37,830,19.352857,2025-08-07 14:49:00+00:00
1754578200000,19.32,19.32,19.25,2,19.25,200,19.285,2025-08-07 14:50:00+00:00
1754578260000,19.05,19.1799,19.05,6,19.1799,928,19.1311,2025-08-07 14:51:00+00:00
1754578320000,19.0,19.0,19.0,5,19.0,131,19.0,2025-08-07 14:52:00+00:00
1754578380000,18.96,19.0227,18.96,4,19.0227,290,18.9942,2025-08-07 14:53:00+00:00
1754578500000,18.96,18.96,18.96,1,18.96,200,18.96,2025-08-07 14:55:00+00:00
1754578560000,18.7,18.7,18.7,4,18.7,352,18.7,2025-08-07 14:56:00+00:00
