timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,16.9763,17.29,16.92,2892,17.22,482537,17.142566,2025-09-15 13:30:00+00:00
1757943060000,17.2675,17.28,16.93,1078,16.96,131849,17.138423,2025-09-15 13:31:00+00:00
1757943120000,16.86,17.29,16.825,1945,17.28,263689,17.014213,2025-09-15 13:32:00+00:00
1757943180000,16.9,17.04,16.83,765,16.86,136460,16.932844,2025-09-15 13:33:00+00:00
1757943240000,16.7601,16.9599,16.75,878,16.905,213874,16.869962,2025-09-15 13:34:00+00:00
1757943300000,16.8499,16.8963,16.74,927,16.77,166154,16.84743,2025-09-15 13:35:00+00:00
1757943360000,16.625,16.86,16.59,893,16.86,160417,16.729766,2025-09-15 13:36:00+00:00
1757943420000,16.68,16.78,16.635,680,16.635,167876,16.722792,2025-09-15 13:37:00+00:00
1757943480000,16.74,16.76,16.67,529,16.68,68445,16.723153,2025-09-15 13:38:00+00:00
1757943540000,16.75,16.78,16.715,446,16.729,71347,16.741314,2025-09-15 13:39:00+00:00
1757943600000,16.715,16.82,16.7009,474,16.78,74857,16.783032,2025-09-15 13:40:00+00:00
1757943660000,16.69,16.7586,16.6635,488,16.7,68342,16.706038,2025-09-15 13:41:00+00:00
1757943720000,16.7401,16.79,16.672,376,16.676,70510,16.744349,2025-09-15 13:42:00+00:00
1757943780000,16.62,16.75,16.56,1060,16.74,183356,16.658961,2025-09-15 13:43:00+00:00
1757943840000,16.63,16.68,16.605,385,16.62,50288,16.633694,2025-09-15 13:44:00+00:00
1757943900000,16.7099,16.73,16.63,598,16.63,77959,16.697098,2025-09-15 13:45:00+00:00
1757943960000,16.7781,16.79,16.67,407,16.71,64259,16.731919,2025-09-15 13:46:00+00:00
1757944020000,16.755,16.7999,16.7383,293,16.7799,40955,16.774089,2025-09-15 13:47:00+00:00
1757944080000,16.78,16.815,16.74,367,16.75,59338,16.78021,2025-09-15 13:48:00+00:00
1757944140000,16.805,16.81,16.75,570,16.79,82144,16.792857,2025-09-15 13:49:00+00:00
1757944200000,16.8957,16.8999,16.8,469,16.8045,71019,16.845172,2025-09-15 13:50:00+00:00
1757944260000,16.9,16.93,16.88,417,16.89,75262,16.902061,2025-09-15 13:51:00+00:00
1757944320000,16.9151,16.96,16.9,764,16.91,95971,16.932021,2025-09-15 13:52:00+00:00
1757944380000,16.9655,16.9865,16.915,284,16.92,44261,16.953719,2025-09-15 13:53:00+00:00
1757944440000,17.0369,17.06,16.97,532,16.98,133732,17.024605,2025-09-15 13:54:00+00:00
1757944500000,17.04,17.07,17.02,337,17.035,63572,17.043834,2025-09-15 13:55:00+00:00
1757944560000,17.07,17.11,17.03,402,17.03,100960,17.078206,2025-09-15 13:56:00+00:00
1757944620000,17.15,17.15,17.035,434,17.076,93798,17.097743,2025-09-15 13:57:00+00:00
1757944680000,17.1529,17.16,17.08,448,17.149,70062,17.139002,2025-09-15 13:58:00+00:00
1757944740000,17.1856,17.19,17.125,296,17.155,63084,17.16435,2025-09-15 13:59:00+00:00
1757944800000,17.1343,17.21,17.115,756,17.19,138208,17.167115,2025-09-15 14:00:00+00:00
1757944860000,17.1,17.17,17.1,512,17.1351,71371,17.126682,2025-09-15 14:01:00+00:00
1757944920000,17.038,17.0965,17.01,568,17.09,72549,17.052269,2025-09-15 14:02:00+00:00
1757944980000,17.015,17.05,16.97,454,17.0399,77844,17.008578,2025-09-15 14:03:00+00:00
1757945040000,17.03,17.07,17.01,317,17.02,42830,17.042237,2025-09-15 14:04:00+00:00
1757945100000,17.055,17.055,17.0,337,17.0251,50953,17.02188,2025-09-15 14:05:00+00:00
1757945160000,17.035,17.075,17.03,340,17.05,29673,17.049748,2025-09-15 14:06:00+00:00
1757945220000,17.05,17.09,17.03,230,17.03,25750,17.063596,2025-09-15 14:07:00+00:00
1757945280000,17.1,17.13,17.0537,313,17.055,60331,17.097532,2025-09-15 14:08:00+00:00
1757945340000,17.07,17.115,17.06,327,17.1098,56426,17.09193,2025-09-15 14:09:00+00:00
1757945400000,17.1,17.105,17.03,526,17.0643,79864,17.062284,2025-09-15 14:10:00+00:00
1757945460000,17.1,17.1157,17.09,580,17.1,92761,17.101572,2025-09-15 14:11:00+00:00
1757945520000,16.995,17.1265,16.97,547,17.1,117106,17.044337,2025-09-15 14:12:00+00:00
1757945580000,17.0435,17.05,16.99,236,16.99,45571,17.035657,2025-09-15 14:13:00+00:00
1757945640000,17.015,17.0583,17.0,344,17.05,48247,17.033136,2025-09-15 14:14:00+00:00
1757945700000,17.0103,17.05,17.0,226,17.015,49105,17.02184,2025-09-15 14:15:00+00:00
1757945760000,17.0,17.015,16.95,505,17.0135,65887,16.974262,2025-09-15 14:16:00+00:00
1757945820000,16.96,17.0,16.95,248,16.99,45787,16.967959,2025-09-15 14:17:00+00:00
1757945880000,17.0112,17.03,16.95,272,16.96,47106,17.004244,2025-09-15 14:18:00+00:00
1757945940000,17.02,17.05,17.0101,185,17.015,34174,17.031782,2025-09-15 14:19:00+00:00
1757946000000,17.035,17.075,17.01,251,17.015,39611,17.044359,2025-09-15 14:20:00+00:00
1757946060000,17.042,17.055,17.0288,149,17.05,41294,17.036532,2025-09-15 14:21:00+00:00
1757946120000,16.972,17.07,16.97,344,17.045,54494,17.013498,2025-09-15 14:22:00+00:00
1757946180000,16.96,16.99,16.95,278,16.9735,32418,16.966646,2025-09-15 14:23:00+00:00
1757946240000,16.975,16.995,16.95,221,16.96,40068,16.974759,2025-09-15 14:24:00+00:00
1757946300000,17.0,17.01,16.945,327,16.97,71170,16.963657,2025-09-15 14:25:00+00:00
1757946360000,16.945,16.99,16.93,311,16.99,62214,16.951608,2025-09-15 14:26:00+00:00
1757946420000,16.9476,16.97,16.94,205,16.95,33420,16.954459,2025-09-15 14:27:00+00:00
1757946480000,16.98,16.99,16.93,219,16.94,39658,16.969363,2025-09-15 14:28:00+00:00
1757946540000,16.995,17.0088,16.98,211,16.98,29219,16.995718,2025-09-15 14:29:00+00:00
1757946600000,17.055,17.055,16.955,377,16.99,56598,17.020687,2025-09-15 14:30:00+00:00
1757946660000,17.045,17.08,17.0345,233,17.04,26189,17.049815,2025-09-15 14:31:00+00:00
1757946720000,17.08,17.08,17.04,245,17.045,41065,17.062384,2025-09-15 14:32:00+00:00
1757946780000,17.0697,17.1,17.055,408,17.07,91601,17.082244,2025-09-15 14:33:00+00:00
1757946840000,17.0219,17.065,17.01,258,17.065,29227,17.038297,2025-09-15 14:34:00+00:00
1757946900000,17.04,17.045,17.005,223,17.03,27973,17.026055,2025-09-15 14:35:00+00:00
1757946960000,17.035,17.0567,17.01,140,17.04,26978,17.041345,2025-09-15 14:36:00+00:00
1757947020000,17.029,17.075,17.029,204,17.04,27160,17.043104,2025-09-15 14:37:00+00:00
1757947080000,17.005,17.0299,16.995,167,17.0281,27817,17.006171,2025-09-15 14:38:00+00:00
1757947140000,17.0235,17.0388,17.01,121,17.01,22593,17.026343,2025-09-15 14:39:00+00:00
1757947200000,17.005,17.03,17.0,205,17.02,20887,17.011852,2025-09-15 14:40:00+00:00
1757947260000,17.025,17.0399,16.99,184,17.005,32469,17.010907,2025-09-15 14:41:00+00:00
1757947320000,17.0658,17.08,17.0192,265,17.02,56725,17.052643,2025-09-15 14:42:00+00:00
1757947380000,17.0463,17.0755,17.045,149,17.06,30984,17.059647,2025-09-15 14:43:00+00:00
1757947440000,17.07,17.07,17.04,181,17.0426,22488,17.055232,2025-09-15 14:44:00+00:00
1757947500000,17.0654,17.07,17.0291,207,17.07,30967,17.049157,2025-09-15 14:45:00+00:00
1757947560000,17.06,17.09,17.0517,173,17.07,34243,17.07562,2025-09-15 14:46:00+00:00
1757947620000,17.045,17.0642,17.03,130,17.06,22065,17.044908,2025-09-15 14:47:00+00:00
1757947680000,17.0055,17.0482,16.995,193,17.0482,27712,17.018926,2025-09-15 14:48:00+00:00
