timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,16.0,16.14,16.0,22,16.14,8508,16.108518,2025-09-02 13:30:00+00:00
1756819860000,15.55,15.8,15.48,30,15.8,1471,15.746977,2025-09-02 13:31:00+00:00
1756819920000,15.52,15.52,15.4317,20,15.4317,1366,15.47717,2025-09-02 13:32:00+00:00
1756819980000,15.7582,15.7582,15.72,17,15.741,3804,15.734261,2025-09-02 13:33:00+00:00
1756820040000,15.8983,15.8983,15.8983,5,15.8983,712,15.8983,2025-09-02 13:34:00+00:00
1756820100000,15.99,15.99,15.99,14,15.99,750,15.99,2025-09-02 13:35:00+00:00
1756820160000,15.75,15.9882,15.7067,4,15.9882,888,15.879391,2025-09-02 13:36:00+00:00
1756820220000,15.8462,15.8462,15.8,3,15.8,760,15.834324,2025-09-02 13:37:00+00:00
1756820280000,15.95,15.9532,15.95,8,15.9532,557,15.952396,2025-09-02 13:38:00+00:00
1756820340000,15.95,15.95,15.95,2,15.95,454,15.95,2025-09-02 13:39:00+00:00
1756820520000,15.82,15.86,15.82,13,15.86,2019,15.851579,2025-09-02 13:42:00+00:00
1756820580000,15.8951,15.8951,15.8951,3,15.8951,502,15.8951,2025-09-02 13:43:00+00:00
1756820640000,16.0,16.0,15.9,5,15.9,338,15.931611,2025-09-02 13:44:00+00:00
1756820760000,16.1799,16.1799,16.1799,3,16.1799,261,16.1799,2025-09-02 13:46:00+00:00
1756820820000,16.09,16.09,16.03,7,16.03,731,16.081137,2025-09-02 13:47:00+00:00
1756820880000,16.15,16.15,16.15,4,16.15,9668,16.15,2025-09-02 13:48:00+00:00
1756820940000,16.06,16.195,16.05,11,16.195,1063,16.097158,2025-09-02 13:49:00+00:00
1756821000000,16.2744,16.28,16.2744,5,16.28,1489,16.275425,2025-09-02 13:50:00+00:00
1756821060000,16.38,16.4421,16.285,5,16.285,650,16.373785,2025-09-02 13:51:00+00:00
1756821120000,16.5387,16.5387,16.38,3,16.38,793,16.500227,2025-09-02 13:52:00+00:00
1756821240000,16.5372,16.5372,16.4508,6,16.4508,289,16.50264,2025-09-02 13:54:00+00:00
1756821300000,16.4,16.45,16.38,8,16.45,779,16.431004,2025-09-02 13:55:00+00:00
1756821360000,16.35,16.35,16.35,3,16.35,1534,16.35,2025-09-02 13:56:00+00:00
1756821600000,16.72,16.72,16.65,4,16.65,602,16.661667,2025-09-02 14:00:00+00:00
1756821960000,16.0,16.0,16.0,3,16.0,123,16.0,2025-09-02 14:06:00+00:00
1756822080000,15.9122,15.9122,15.9,6,15.9,708,15.902901,2025-09-02 14:08:00+00:00
1756822140000,15.8895,15.8895,15.8895,4,15.8895,405,15.8895,2025-09-02 14:09:00+00:00
1756822260000,15.88,15.88,15.88,2,15.88,200,15.88,2025-09-02 14:11:00+00:00
1756822320000,15.89,15.89,15.89,1,15.89,314,15.89,2025-09-02 14:12:00+00:00
1756822380000,15.8,15.8,15.8,7,15.8,571,15.8,2025-09-02 14:13:00+00:00
1756822500000,15.649,15.7,15.649,4,15.7,455,15.663571,2025-09-02 14:15:00+00:00
1756822620000,15.76,15.76,15.76,1,15.76,191,15.76,2025-09-02 14:17:00+00:00
1756822680000,15.76,15.76,15.76,4,15.76,2070,15.76,2025-09-02 14:18:00+00:00
1756822860000,15.8,15.8,15.8,5,15.8,490,15.8,2025-09-02 14:21:00+00:00
1756822980000,15.67,15.7981,15.67,11,15.7981,666,15.744912,2025-09-02 14:23:00+00:00
1756823040000,15.57,15.601,15.57,43,15.601,12612,15.581232,2025-09-02 14:24:00+00:00
1756823100000,15.5,15.5,15.5,15,15.5,608,15.5,2025-09-02 14:25:00+00:00
1756823220000,15.39,15.39,15.38,16,15.38,3090,15.381531,2025-09-02 14:27:00+00:00
1756823280000,15.4985,15.4985,15.4218,4,15.4218,2102,15.425456,2025-09-02 14:28:00+00:00
1756823340000,15.5679,15.5679,15.5679,2,15.5679,301,15.5679,2025-09-02 14:29:00+00:00
1756823580000,15.45,15.45,15.45,7,15.45,208,15.45,2025-09-02 14:33:00+00:00
1756823700000,15.3455,15.39,15.3401,15,15.3401,796,15.351221,2025-09-02 14:35:00+00:00
1756823760000,15.37,15.3755,15.33,11,15.34,1319,15.344392,2025-09-02 14:36:00+00:00
1756823820000,15.4599,15.4599,15.4599,4,15.4599,156,15.4599,2025-09-02 14:37:00+00:00
1756823880000,15.33,15.4074,15.33,22,15.37,1059,15.352486,2025-09-02 14:38:00+00:00
1756824000000,15.33,15.33,15.2801,20,15.2801,1116,15.316906,2025-09-02 14:40:00+00:00
1756824060000,15.31,15.343,15.31,14,15.343,1011,15.324498,2025-09-02 14:41:00+00:00
1756824120000,15.24,15.26,15.24,35,15.26,1171,15.249804,2025-09-02 14:42:00+00:00
1756824180000,15.23,15.23,15.21,15,15.2198,892,15.219964,2025-09-02 14:43:00+00:00
1756824240000,15.28,15.28,15.28,12,15.28,1000,15.28,2025-09-02 14:44:00+00:00
1756824420000,15.17,15.21,15.17,16,15.21,800,15.195742,2025-09-02 14:47:00+00:00
1756824480000,15.11,15.15,15.11,11,15.15,449,15.132759,2025-09-02 14:48:00+00:00
1756824540000,14.8823,15.08,14.8823,22,15.08,1053,14.987525,2025-09-02 14:49:00+00:00
1756824600000,14.92,14.97,14.92,29,14.97,4037,14.925162,2025-09-02 14:50:00+00:00
1756824660000,14.9155,14.9155,14.9155,1,14.9155,500,14.9155,2025-09-02 14:51:00+00:00
1756824780000,14.88,14.9,14.88,6,14.9,535,14.888,2025-09-02 14:53:00+00:00
1756824840000,14.9283,14.9283,14.9283,3,14.9283,252,14.9283,2025-09-02 14:54:00+00:00
1756824900000,14.85,14.9082,14.85,11,14.9082,636,14.8597,2025-09-02 14:55:00+00:00
1756824960000,14.93,14.93,14.885,25,14.91,2984,14.92428,2025-09-02 14:56:00+00:00
1756825020000,14.8001,14.8634,14.8001,9,14.8634,1585,14.847436,2025-09-02 14:57:00+00:00
1756825080000,14.8485,14.8486,14.78,42,14.8,6238,14.808066,2025-09-02 14:58:00+00:00
1756825200000,14.9,14.9,14.9,1,14.9,200,14.9,2025-09-02 15:00:00+00:00
1756825380000,14.92,14.92,14.92,5,14.92,357,14.92,2025-09-02 15:03:00+00:00
1756825440000,14.84,14.8857,14.84,18,14.84,1118,14.854242,2025-09-02 15:04:00+00:00
1756825500000,14.8,14.8,14.8,6,14.8,468,14.8,2025-09-02 15:05:00+00:00
1756825560000,14.8,14.8,14.8,17,14.8,2257,14.8,2025-09-02 15:06:00+00:00
1756825740000,14.6912,14.6912,14.6912,2,14.6912,101,14.6912,2025-09-02 15:09:00+00:00
1756825800000,14.63,14.72,14.63,12,14.72,621,14.675,2025-09-02 15:10:00+00:00
1756825860000,14.78,14.78,14.74,10,14.74,886,14.75657,2025-09-02 15:11:00+00:00
1756825920000,14.8,14.8,14.7915,16,14.7915,3022,14.798633,2025-09-02 15:12:00+00:00
1756826040000,14.7644,14.7644,14.7644,2,14.7644,126,14.7644,2025-09-02 15:14:00+00:00
1756826100000,14.7,14.7,14.7,4,14.7,117,14.7,2025-09-02 15:15:00+00:00
1756826160000,14.77,14.77,14.7194,5,14.7194,361,14.749385,2025-09-02 15:16:00+00:00
1756826340000,14.7785,14.7785,14.7785,2,14.7785,201,14.7785,2025-09-02 15:19:00+00:00
1756826520000,14.7565,14.7899,14.7,10,14.7899,1747,14.743036,2025-09-02 15:22:00+00:00
1756826580000,14.78,14.78,14.78,9,14.78,577,14.78,2025-09-02 15:23:00+00:00
1756826700000,14.8,14.8,14.8,2,14.8,101,14.8,2025-09-02 15:25:00+00:00
1756826880000,14.87,14.87,14.87,4,14.87,186,14.87,2025-09-02 15:28:00+00:00
1756826940000,14.9094,14.9094,14.8011,5,14.8011,671,14.819772,2025-09-02 15:29:00+00:00
1756827000000,14.79,14.81,14.79,12,14.81,1381,14.79762,2025-09-02 15:30:00+00:00
1756827060000,14.8592,14.8592,14.8592,4,14.8592,201,14.8592,2025-09-02 15:31:00+00:00
1756827180000,14.7715,14.7715,14.7715,3,14.7715,120,14.7715,2025-09-02 15:33:00+00:00
1756827300000,14.7,14.7414,14.7,15,14.7414,2051,14.705044,2025-09-02 15:35:00+00:00
1756827360000,14.5618,14.5618,14.53,6,14.53,363,14.546729,2025-09-02 15:36:00+00:00
1756827420000,14.5,14.5,14.5,7,14.5,357,14.5,2025-09-02 15:37:00+00:00
1756827660000,14.46,14.46,14.4557,6,14.4557,461,14.457133,2025-09-02 15:41:00+00:00
1756827720000,14.46,14.46,14.46,5,14.46,110,14.46,2025-09-02 15:42:00+00:00
1756827780000,14.45,14.48,14.45,8,14.48,799,14.464576,2025-09-02 15:43:00+00:00
1756827840000,14.38,14.4,14.38,16,14.4,1098,14.3925,2025-09-02 15:44:00+00:00
1756827900000,14.39,14.39,14.39,2,14.39,101,14.39,2025-09-02 15:45:00+00:00
1756827960000,14.345,14.4099,14.345,14,14.4099,928,14.366633,2025-09-02 15:46:00+00:00
1756828140000,14.25,14.3105,14.25,12,14.3,845,14.292688,2025-09-02 15:49:00+00:00
1756828200000,14.2,14.2,14.2,3,14.2,166,14.2,2025-09-02 15:50:00+00:00
1756828320000,14.235,14.235,14.235,2,14.235,201,14.235,2025-09-02 15:52:00+00:00
1756828380000,14.23,14.23,14.23,2,14.23,446,14.23,2025-09-02 15:53:00+00:00
1756828500000,14.2323,14.27,14.2323,4,14.27,380,14.243071,2025-09-02 15:55:00+00:00
1756828620000,14.27,14.27,14.27,7,14.27,422,14.27,2025-09-02 15:57:00+00:00
1756828680000,14.26,14.27,14.24,9,14.24,728,14.248827,2025-09-02 15:58:00+00:00
1756828800000,14.53,14.53,14.44,18,14.44,7678,14.528219,2025-09-02 16:00:00+00:00
1756829040000,14.43,14.43,14.43,3,14.43,165,14.43,2025-09-02 16:04:00+00:00
1756829340000,14.5177,14.5177,14.5177,5,14.5177,266,14.5177,2025-09-02 16:09:00+00:00
1756829700000,14.5699,14.5699,14.45,4,14.48,525,14.491985,2025-09-02 16:15:00+00:00
1756829820000,14.55,14.55,14.55,5,14.55,136,14.55,2025-09-02 16:17:00+00:00
1756829880000,14.41,14.41,14.41,26,14.41,9095,14.41,2025-09-02 16:18:00+00:00
